Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;18028 Benalúa de las Villas;Asia;..
Ambos sexos;18028 Benalúa de las Villas;Europa;2
Ambos sexos;18028 Benalúa de las Villas;Resto;..
Ambos sexos;18029 Benamaurel;Africa;..
Ambos sexos;18029 Benamaurel;América;..
Ambos sexos;18029 Benamaurel;Asia;..
Ambos sexos;18029 Benamaurel;Europa;6
Ambos sexos;18029 Benamaurel;Resto;..
Ambos sexos;18030 Bérchules;Africa;..
Ambos sexos;18030 Bérchules;América;..
Ambos sexos;18030 Bérchules;Asia;..
Ambos sexos;18030 Bérchules;Europa;9
Ambos sexos;18030 Bérchules;Resto;..
Ambos sexos;18032 Bubión;Africa;2
Ambos sexos;18032 Bubión;América;9
Ambos sexos;18032 Bubión;Asia;3
Ambos sexos;18032 Bubión;Europa;26
Ambos sexos;18032 Bubión;Resto;..
Ambos sexos;18033 Busquístar;Africa;..
Ambos sexos;18033 Busquístar;América;..
Ambos sexos;18033 Busquístar;Asia;..
Ambos sexos;18033 Busquístar;Europa;2
Ambos sexos;18033 Busquístar;Resto;..
Ambos sexos;18034 Cacín;Africa;..
Ambos sexos;18034 Cacín;América;..
Ambos sexos;18034 Cacín;Asia;..
Ambos sexos;18034 Cacín;Europa;1
Ambos sexos;18034 Cacín;Resto;..
Ambos sexos;18035 Cádiar;Africa;..
Ambos sexos;18035 Cádiar;América;..
Ambos sexos;18035 Cádiar;Asia;..
Ambos sexos;18035 Cádiar;Europa;8
Ambos sexos;18035 Cádiar;Resto;..
Ambos sexos;18036 Cájar;Africa;2
Ambos sexos;18036 Cájar;América;1
Ambos sexos;18036 Cájar;Asia;..
Ambos sexos;18036 Cájar;Europa;15
Ambos sexos;18036 Cájar;Resto;..
Ambos sexos;18037 Calicasas;Africa;..
Ambos sexos;18037 Calicasas;América;..
Ambos sexos;18037 Calicasas;Asia;..
Ambos sexos;18037 Calicasas;Europa;..
Ambos sexos;18037 Calicasas;Resto;..
Ambos sexos;18038 Campotéjar;Africa;1
Ambos sexos;18038 Campotéjar;América;..
Ambos sexos;18038 Campotéjar;Asia;..
