Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;14024 Encinas Reales;Asia;..
Ambos sexos;14024 Encinas Reales;Europa;..
Ambos sexos;14024 Encinas Reales;Resto;..
Ambos sexos;14025 Espejo;Africa;..
Ambos sexos;14025 Espejo;América;..
Ambos sexos;14025 Espejo;Asia;..
Ambos sexos;14025 Espejo;Europa;1
Ambos sexos;14025 Espejo;Resto;..
Ambos sexos;14026 Espiel;Africa;2
Ambos sexos;14026 Espiel;América;..
Ambos sexos;14026 Espiel;Asia;..
Ambos sexos;14026 Espiel;Europa;2
Ambos sexos;14026 Espiel;Resto;..
Ambos sexos;14027 Fernán-Núñez;Africa;7
Ambos sexos;14027 Fernán-Núñez;América;2
Ambos sexos;14027 Fernán-Núñez;Asia;..
Ambos sexos;14027 Fernán-Núñez;Europa;..
Ambos sexos;14027 Fernán-Núñez;Resto;..
Ambos sexos;14028 Fuente la Lancha;Africa;..
Ambos sexos;14028 Fuente la Lancha;América;..
Ambos sexos;14028 Fuente la Lancha;Asia;..
Ambos sexos;14028 Fuente la Lancha;Europa;..
Ambos sexos;14028 Fuente la Lancha;Resto;..
Ambos sexos;14029 Fuente Obejuna;Africa;1
Ambos sexos;14029 Fuente Obejuna;América;2
Ambos sexos;14029 Fuente Obejuna;Asia;..
Ambos sexos;14029 Fuente Obejuna;Europa;3
Ambos sexos;14029 Fuente Obejuna;Resto;..
Ambos sexos;14030 Fuente Palmera;Africa;..
Ambos sexos;14030 Fuente Palmera;América;1
Ambos sexos;14030 Fuente Palmera;Asia;..
Ambos sexos;14030 Fuente Palmera;Europa;2
Ambos sexos;14030 Fuente Palmera;Resto;..
Ambos sexos;14031 Fuente-Tójar;Africa;..
Ambos sexos;14031 Fuente-Tójar;América;..
Ambos sexos;14031 Fuente-Tójar;Asia;..
Ambos sexos;14031 Fuente-Tójar;Europa;1
Ambos sexos;14031 Fuente-Tójar;Resto;..
Ambos sexos;14032 Granjuela (La);Africa;1
Ambos sexos;14032 Granjuela (La);América;..
Ambos sexos;14032 Granjuela (La);Asia;..
Ambos sexos;14032 Granjuela (La);Europa;1
Ambos sexos;14032 Granjuela (La);Resto;..
Ambos sexos;14033 Guadalcázar;Africa;1
Ambos sexos;14033 Guadalcázar;América;..
Ambos sexos;14033 Guadalcázar;Asia;..
Ambos sexos;14033 Guadalcázar;Europa;..
Ambos sexos;14033 Guadalcázar;Resto;..
Ambos sexos;14034 Guijo (El);Africa;..
Ambos sexos;14034 Guijo (El);América;..
Ambos sexos;14034 Guijo (El);Asia;..
Ambos sexos;14034 Guijo (El);Europa;..
Ambos sexos;14034 Guijo (El);Resto;..
Ambos sexos;14035 Hinojosa del Duque;Africa;..
Ambos sexos;14035 Hinojosa del Duque;América;3
Ambos sexos;14035 Hinojosa del Duque;Asia;..
Ambos sexos;14035 Hinojosa del Duque;Europa;3
Ambos sexos;14035 Hinojosa del Duque;Resto;..
Ambos sexos;14036 Hornachuelos;Africa;1
Ambos sexos;14036 Hornachuelos;América;2
Ambos sexos;14036 Hornachuelos;Asia;1
Ambos sexos;14036 Hornachuelos;Europa;7
Ambos sexos;14036 Hornachuelos;Resto;..
Ambos sexos;14037 Iznájar;Africa;6
Ambos sexos;14037 Iznájar;América;2
Ambos sexos;14037 Iznájar;Asia;..
Ambos sexos;14037 Iznájar;Europa;2
Ambos sexos;14037 Iznájar;Resto;..
Ambos sexos;14038 Lucena;Africa;121
Ambos sexos;14038 Lucena;América;37
Ambos sexos;14038 Lucena;Asia;12
Ambos sexos;14038 Lucena;Europa;30
Ambos sexos;14038 Lucena;Resto;..
Ambos sexos;14039 Luque;Africa;..
Ambos sexos;14039 Luque;América;..
Ambos sexos;14039 Luque;Asia;..
Ambos sexos;14039 Luque;Europa;2
Ambos sexos;14039 Luque;Resto;..
Ambos sexos;14040 Montalbán de Córdoba;Africa;7
Ambos sexos;14040 Montalbán de Córdoba;América;1
Ambos sexos;14040 Montalbán de Córdoba;Asia;..
Ambos sexos;14040 Montalbán de Córdoba;Europa;1
