Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;21007 Aracena;Alemania;12
Ambos sexos;21007 Aracena;Francia;8
Ambos sexos;21007 Aracena;Reino Unido;18
Ambos sexos;21007 Aracena;Resto de Europa;8
Ambos sexos;21007 Aracena;Rumanía;6
Ambos sexos;21007 Aracena;Total Africa;16
Ambos sexos;21007 Aracena;Marruecos;12
Ambos sexos;21007 Aracena;Total Am‚rica;27
Ambos sexos;21007 Aracena;Colombia;7
Ambos sexos;21007 Aracena;Ecuador;1
Ambos sexos;21007 Aracena;Argentina;1
Ambos sexos;21007 Aracena;Total Asia;1
Ambos sexos;21007 Aracena;Oceanía;0
Ambos sexos;21008 Aroche;Total Población;3.360
Ambos sexos;21008 Aroche;Nacidos en el Extranjero;16
Ambos sexos;21008 Aroche;Total Europa;14
Ambos sexos;21008 Aroche;Total Unión Europea (25);14
Ambos sexos;21008 Aroche;Alemania;2
Ambos sexos;21008 Aroche;Francia;0
Ambos sexos;21008 Aroche;Reino Unido;1
Ambos sexos;21008 Aroche;Resto de Europa;0
Ambos sexos;21008 Aroche;Rumanía;0
Ambos sexos;21008 Aroche;Total Africa;2
Ambos sexos;21008 Aroche;Marruecos;1
Ambos sexos;21008 Aroche;Total Am‚rica;0
Ambos sexos;21008 Aroche;Colombia;0
Ambos sexos;21008 Aroche;Ecuador;0
Ambos sexos;21008 Aroche;Argentina;0
Ambos sexos;21008 Aroche;Total Asia;0
Ambos sexos;21008 Aroche;Oceanía;0
Ambos sexos;21009 Arroyomolinos de León;Total Población;1.105
Ambos sexos;21009 Arroyomolinos de León;Nacidos en el Extranjero;4
Ambos sexos;21009 Arroyomolinos de León;Total Europa;3
Ambos sexos;21009 Arroyomolinos de León;Total Unión Europea (25);3
Ambos sexos;21009 Arroyomolinos de León;Alemania;3
Ambos sexos;21009 Arroyomolinos de León;Francia;0
Ambos sexos;21009 Arroyomolinos de León;Reino Unido;0
Ambos sexos;21009 Arroyomolinos de León;Resto de Europa;0
Ambos sexos;21009 Arroyomolinos de León;Rumanía;0
Ambos sexos;21009 Arroyomolinos de León;Total Africa;1
Ambos sexos;21009 Arroyomolinos de León;Marruecos;1
Ambos sexos;21009 Arroyomolinos de León;Total Am‚rica;0
Ambos sexos;21009 Arroyomolinos de León;Colombia;0
Ambos sexos;21009 Arroyomolinos de León;Ecuador;0
Ambos sexos;21009 Arroyomolinos de León;Argentina;0
Ambos sexos;21009 Arroyomolinos de León;Total Asia;0
Ambos sexos;21009 Arroyomolinos de León;Oceanía;0
Ambos sexos;21010 Ayamonte;Total Población;17.623
Ambos sexos;21010 Ayamonte;Nacidos en el Extranjero;1.297
Ambos sexos;21010 Ayamonte;Total Europa;861
Ambos sexos;21010 Ayamonte;Total Unión Europea (25);755
Ambos sexos;21010 Ayamonte;Alemania;131
Ambos sexos;21010 Ayamonte;Francia;28
Ambos sexos;21010 Ayamonte;Reino Unido;44
Ambos sexos;21010 Ayamonte;Resto de Europa;106
Ambos sexos;21010 Ayamonte;Rumanía;55
Ambos sexos;21010 Ayamonte;Total Africa;184
Ambos sexos;21010 Ayamonte;Marruecos;138
Ambos sexos;21010 Ayamonte;Total Am‚rica;240
Ambos sexos;21010 Ayamonte;Colombia;49
Ambos sexos;21010 Ayamonte;Ecuador;43
Ambos sexos;21010 Ayamonte;Argentina;64
Ambos sexos;21010 Ayamonte;Total Asia;10
Ambos sexos;21010 Ayamonte;Oceanía;2
Ambos sexos;21011 Beas;Total Población;4.139
Ambos sexos;21011 Beas;Nacidos en el Extranjero;109
Ambos sexos;21011 Beas;Total Europa;33
Ambos sexos;21011 Beas;Total Unión Europea (25);11
Ambos sexos;21011 Beas;Alemania;5
Ambos sexos;21011 Beas;Francia;2
Ambos sexos;21011 Beas;Reino Unido;1
Ambos sexos;21011 Beas;Resto de Europa;22
Ambos sexos;21011 Beas;Rumanía;0
Ambos sexos;21011 Beas;Total Africa;42
Ambos sexos;21011 Beas;Marruecos;41
Ambos sexos;21011 Beas;Total Am‚rica;34
Ambos sexos;21011 Beas;Colombia;2
Ambos sexos;21011 Beas;Ecuador;13
Ambos sexos;21011 Beas;Argentina;0
Ambos sexos;21011 Beas;Total Asia;0
Ambos sexos;21011 Beas;Oceanía;0
Ambos sexos;21012 Berrocal;Total Población;371
Ambos sexos;21012 Berrocal;Nacidos en el Extranjero;2
Ambos sexos;21012 Berrocal;Total Europa;2
Ambos sexos;21012 Berrocal;Total Unión Europea (25);1
Ambos sexos;21012 Berrocal;Alemania;0
Ambos sexos;21012 Berrocal;Francia;1
Ambos sexos;21012 Berrocal;Reino Unido;0
Ambos sexos;21012 Berrocal;Resto de Europa;1
Ambos sexos;21012 Berrocal;Rumanía;0
Ambos sexos;21012 Berrocal;Total Africa;0
Ambos sexos;21012 Berrocal;Marruecos;0
Ambos sexos;21012 Berrocal;Total Am‚rica;0
Ambos sexos;21012 Berrocal;Colombia;0
Ambos sexos;21012 Berrocal;Ecuador;0
Ambos sexos;21012 Berrocal;Argentina;0
Ambos sexos;21012 Berrocal;Total Asia;0
Ambos sexos;21012 Berrocal;Oceanía;0
Ambos sexos;21013 Bollullos Par del Condado;Total Población;13.143
Ambos sexos;21013 Bollullos Par del Condado;Nacidos en el Extranjero;265
Ambos sexos;21013 Bollullos Par del Condado;Total Europa;126
Ambos sexos;21013 Bollullos Par del Condado;Total Unión Europea (25);83
Ambos sexos;21013 Bollullos Par del Condado;Alemania;27
Ambos sexos;21013 Bollullos Par del Condado;Francia;13
Ambos sexos;21013 Bollullos Par del Condado;Reino Unido;1
Ambos sexos;21013 Bollullos Par del Condado;Resto de Europa;43
Ambos sexos;21013 Bollullos Par del Condado;Rumanía;27
Ambos sexos;21013 Bollullos Par del Condado;Total Africa;89
Ambos sexos;21013 Bollullos Par del Condado;Marruecos;82
Ambos sexos;21013 Bollullos Par del Condado;Total Am‚rica;46
Ambos sexos;21013 Bollullos Par del Condado;Colombia;20
Ambos sexos;21013 Bollullos Par del Condado;Ecuador;18
Ambos sexos;21013 Bollullos Par del Condado;Argentina;2
Ambos sexos;21013 Bollullos Par del Condado;Total Asia;4
Ambos sexos;21013 Bollullos Par del Condado;Oceanía;0
Ambos sexos;21014 Bonares;Total Población;5.267
Ambos sexos;21014 Bonares;Nacidos en el Extranjero;261
Ambos sexos;21014 Bonares;Total Europa;73
Ambos sexos;21014 Bonares;Total Unión Europea (25);35
Ambos sexos;21014 Bonares;Alemania;10
Ambos sexos;21014 Bonares;Francia;2
Ambos sexos;21014 Bonares;Reino Unido;6
Ambos sexos;21014 Bonares;Resto de Europa;38
Ambos sexos;21014 Bonares;Rumanía;7
Ambos sexos;21014 Bonares;Total Africa;173
Ambos sexos;21014 Bonares;Marruecos;156
Ambos sexos;21014 Bonares;Total Am‚rica;14
Ambos sexos;21014 Bonares;Colombia;7
Ambos sexos;21014 Bonares;Ecuador;3
Ambos sexos;21014 Bonares;Argentina;0
Ambos sexos;21014 Bonares;Total Asia;1
Ambos sexos;21014 Bonares;Oceanía;0
Ambos sexos;21015 Cabezas Rubias;Total Población;899
Ambos sexos;21015 Cabezas Rubias;Nacidos en el Extranjero;12
Ambos sexos;21015 Cabezas Rubias;Total Europa;8
Ambos sexos;21015 Cabezas Rubias;Total Unión Europea (25);8
Ambos sexos;21015 Cabezas Rubias;Alemania;0
Ambos sexos;21015 Cabezas Rubias;Francia;0
Ambos sexos;21015 Cabezas Rubias;Reino Unido;0
Ambos sexos;21015 Cabezas Rubias;Resto de Europa;0
Ambos sexos;21015 Cabezas Rubias;Rumanía;0
Ambos sexos;21015 Cabezas Rubias;Total Africa;0
Ambos sexos;21015 Cabezas Rubias;Marruecos;0
Ambos sexos;21015 Cabezas Rubias;Total Am‚rica;4
Ambos sexos;21015 Cabezas Rubias;Colombia;1
Ambos sexos;21015 Cabezas Rubias;Ecuador;0
Ambos sexos;21015 Cabezas Rubias;Argentina;0
Ambos sexos;21015 Cabezas Rubias;Total Asia;0
Ambos sexos;21015 Cabezas Rubias;Oceanía;0
Ambos sexos;21016 Cala;Total Población;1.315
Ambos sexos;21016 Cala;Nacidos en el Extranjero;7
Ambos sexos;21016 Cala;Total Europa;5
Ambos sexos;21016 Cala;Total Unión Europea (25);2
Ambos sexos;21016 Cala;Alemania;0
Ambos sexos;21016 Cala;Francia;2
Ambos sexos;21016 Cala;Reino Unido;0
Ambos sexos;21016 Cala;Resto de Europa;3
Ambos sexos;21016 Cala;Rumanía;0
Ambos sexos;21016 Cala;Total Africa;0
Ambos sexos;21016 Cala;Marruecos;0
Ambos sexos;21016 Cala;Total Am‚rica;2
Ambos sexos;21016 Cala;Colombia;0
Ambos sexos;21016 Cala;Ecuador;2
Ambos sexos;21016 Cala;Argentina;0
Ambos sexos;21016 Cala;Total Asia;0
Ambos sexos;21016 Cala;Oceanía;0
Ambos sexos;21017 Calañas;Total Población;4.534
Ambos sexos;21017 Calañas;Nacidos en el Extranjero;43
Ambos sexos;21017 Calañas;Total Europa;30
Ambos sexos;21017 Calañas;Total Unión Europea (25);25
Ambos sexos;21017 Calañas;Alemania;9
Ambos sexos;21017 Calañas;Francia;11
Ambos sexos;21017 Calañas;Reino Unido;1
Ambos sexos;21017 Calañas;Resto de Europa;5
Ambos sexos;21017 Calañas;Rumanía;1
Ambos sexos;21017 Calañas;Total Africa;8
Ambos sexos;21017 Calañas;Marruecos;3
Ambos sexos;21017 Calañas;Total Am‚rica;5
Ambos sexos;21017 Calañas;Colombia;2
Ambos sexos;21017 Calañas;Ecuador;0
Ambos sexos;21017 Calañas;Argentina;2
Ambos sexos;21017 Calañas;Total Asia;0
Ambos sexos;21017 Calañas;Oceanía;0
Ambos sexos;21018 Campillo (El);Total Población;2.293
Ambos sexos;21018 Campillo (El);Nacidos en el Extranjero;31
Ambos sexos;21018 Campillo (El);Total Europa;29
Ambos sexos;21018 Campillo (El);Total Unión Europea (25);26
Ambos sexos;21018 Campillo (El);Alemania;7
Ambos sexos;21018 Campillo (El);Francia;8
Ambos sexos;21018 Campillo (El);Reino Unido;1
Ambos sexos;21018 Campillo (El);Resto de Europa;3
Ambos sexos;21018 Campillo (El);Rumanía;1
Ambos sexos;21018 Campillo (El);Total Africa;1
Ambos sexos;21018 Campillo (El);Marruecos;0
Ambos sexos;21018 Campillo (El);Total Am‚rica;1
Ambos sexos;21018 Campillo (El);Colombia;0
Ambos sexos;21018 Campillo (El);Ecuador;0
Ambos sexos;21018 Campillo (El);Argentina;1
Ambos sexos;21018 Campillo (El);Total Asia;0
Ambos sexos;21018 Campillo (El);Oceanía;0
Ambos sexos;21019 Campofrío;Total Población;832
Ambos sexos;21019 Campofrío;Nacidos en el Extranjero;5
Ambos sexos;21019 Campofrío;Total Europa;5
Ambos sexos;21019 Campofrío;Total Unión Europea (25);5
Ambos sexos;21019 Campofrío;Alemania;1
Ambos sexos;21019 Campofrío;Francia;0
Ambos sexos;21019 Campofrío;Reino Unido;0
Ambos sexos;21019 Campofrío;Resto de Europa;0
Ambos sexos;21019 Campofrío;Rumanía;0
Ambos sexos;21019 Campofrío;Total Africa;0
Ambos sexos;21019 Campofrío;Marruecos;0
Ambos sexos;21019 Campofrío;Total Am‚rica;0
Ambos sexos;21019 Campofrío;Colombia;0
Ambos sexos;21019 Campofrío;Ecuador;0
Ambos sexos;21019 Campofrío;Argentina;0
Ambos sexos;21019 Campofrío;Total Asia;0
Ambos sexos;21019 Campofrío;Oceanía;0
Ambos sexos;21020 Cañaveral de León;Total Población;434
