Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;23005 Andújar;Total Africa;135
Ambos sexos;23005 Andújar;Marruecos;116
Ambos sexos;23005 Andújar;Total Am‚rica;248
Ambos sexos;23005 Andújar;Argentina;27
Ambos sexos;23005 Andújar;Bolivia;25
Ambos sexos;23005 Andújar;Colombia;73
Ambos sexos;23005 Andújar;Ecuador;42
Ambos sexos;23005 Andújar;Perú;7
Ambos sexos;23005 Andújar;Total Asia;34
Ambos sexos;23005 Andújar;China;13
Ambos sexos;23005 Andújar;Oceanía;4
Ambos sexos;23006 Arjona;Total Población;5.759
Ambos sexos;23006 Arjona;Nacidos en el Extranjero;43
Ambos sexos;23006 Arjona;Total Europa;19
Ambos sexos;23006 Arjona;Total Unión Europea (25);15
Ambos sexos;23006 Arjona;Alemania;12
Ambos sexos;23006 Arjona;Francia;1
Ambos sexos;23006 Arjona;Italia;1
Ambos sexos;23006 Arjona;Reino Unido;0
Ambos sexos;23006 Arjona;Resto de Europa;4
Ambos sexos;23006 Arjona;Bulgaria;0
Ambos sexos;23006 Arjona;Rumanía;2
Ambos sexos;23006 Arjona;Total Africa;11
Ambos sexos;23006 Arjona;Marruecos;8
Ambos sexos;23006 Arjona;Total Am‚rica;13
Ambos sexos;23006 Arjona;Argentina;0
Ambos sexos;23006 Arjona;Bolivia;0
Ambos sexos;23006 Arjona;Colombia;4
Ambos sexos;23006 Arjona;Ecuador;5
Ambos sexos;23006 Arjona;Perú;0
Ambos sexos;23006 Arjona;Total Asia;0
Ambos sexos;23006 Arjona;China;0
Ambos sexos;23006 Arjona;Oceanía;0
Ambos sexos;23007 Arjonilla;Total Población;3.926
Ambos sexos;23007 Arjonilla;Nacidos en el Extranjero;49
Ambos sexos;23007 Arjonilla;Total Europa;11
Ambos sexos;23007 Arjonilla;Total Unión Europea (25);5
Ambos sexos;23007 Arjonilla;Alemania;0
Ambos sexos;23007 Arjonilla;Francia;2
Ambos sexos;23007 Arjonilla;Italia;0
Ambos sexos;23007 Arjonilla;Reino Unido;0
Ambos sexos;23007 Arjonilla;Resto de Europa;6
Ambos sexos;23007 Arjonilla;Bulgaria;0
Ambos sexos;23007 Arjonilla;Rumanía;1
Ambos sexos;23007 Arjonilla;Total Africa;23
Ambos sexos;23007 Arjonilla;Marruecos;21
Ambos sexos;23007 Arjonilla;Total Am‚rica;15
Ambos sexos;23007 Arjonilla;Argentina;2
Ambos sexos;23007 Arjonilla;Bolivia;0
Ambos sexos;23007 Arjonilla;Colombia;0
Ambos sexos;23007 Arjonilla;Ecuador;5
Ambos sexos;23007 Arjonilla;Perú;1
Ambos sexos;23007 Arjonilla;Total Asia;0
Ambos sexos;23007 Arjonilla;China;0
Ambos sexos;23007 Arjonilla;Oceanía;0
Ambos sexos;23008 Arquillos;Total Población;1.981
Ambos sexos;23008 Arquillos;Nacidos en el Extranjero;55
Ambos sexos;23008 Arquillos;Total Europa;13
Ambos sexos;23008 Arquillos;Total Unión Europea (25);5
Ambos sexos;23008 Arquillos;Alemania;0
Ambos sexos;23008 Arquillos;Francia;3
Ambos sexos;23008 Arquillos;Italia;0
Ambos sexos;23008 Arquillos;Reino Unido;0
Ambos sexos;23008 Arquillos;Resto de Europa;8
Ambos sexos;23008 Arquillos;Bulgaria;6
Ambos sexos;23008 Arquillos;Rumanía;2
Ambos sexos;23008 Arquillos;Total Africa;37
Ambos sexos;23008 Arquillos;Marruecos;23
Ambos sexos;23008 Arquillos;Total Am‚rica;4
Ambos sexos;23008 Arquillos;Argentina;0
Ambos sexos;23008 Arquillos;Bolivia;0
Ambos sexos;23008 Arquillos;Colombia;0
Ambos sexos;23008 Arquillos;Ecuador;0
Ambos sexos;23008 Arquillos;Perú;1
Ambos sexos;23008 Arquillos;Total Asia;0
Ambos sexos;23008 Arquillos;China;0
Ambos sexos;23008 Arquillos;Oceanía;1
Ambos sexos;23009 Baeza;Total Población;15.880
Ambos sexos;23009 Baeza;Nacidos en el Extranjero;348
Ambos sexos;23009 Baeza;Total Europa;88
Ambos sexos;23009 Baeza;Total Unión Europea (25);34
Ambos sexos;23009 Baeza;Alemania;3
Ambos sexos;23009 Baeza;Francia;13
Ambos sexos;23009 Baeza;Italia;2
Ambos sexos;23009 Baeza;Reino Unido;3
Ambos sexos;23009 Baeza;Resto de Europa;54
Ambos sexos;23009 Baeza;Bulgaria;1
Ambos sexos;23009 Baeza;Rumanía;33
Ambos sexos;23009 Baeza;Total Africa;172
Ambos sexos;23009 Baeza;Marruecos;150
Ambos sexos;23009 Baeza;Total Am‚rica;79
Ambos sexos;23009 Baeza;Argentina;11
Ambos sexos;23009 Baeza;Bolivia;1
Ambos sexos;23009 Baeza;Colombia;10
Ambos sexos;23009 Baeza;Ecuador;26
Ambos sexos;23009 Baeza;Perú;3
