Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;11023 Medina-Sidonia;Asia;1
Ambos sexos;11023 Medina-Sidonia;Europa;6
Ambos sexos;11023 Medina-Sidonia;Resto;..
Ambos sexos;11024 Olvera;Africa;12
Ambos sexos;11024 Olvera;América;8
Ambos sexos;11024 Olvera;Asia;..
Ambos sexos;11024 Olvera;Europa;5
Ambos sexos;11024 Olvera;Resto;..
Ambos sexos;11025 Paterna de Rivera;Africa;..
Ambos sexos;11025 Paterna de Rivera;América;..
Ambos sexos;11025 Paterna de Rivera;Asia;..
Ambos sexos;11025 Paterna de Rivera;Europa;1
Ambos sexos;11025 Paterna de Rivera;Resto;..
Ambos sexos;11026 Prado del Rey;Africa;8
Ambos sexos;11026 Prado del Rey;América;4
Ambos sexos;11026 Prado del Rey;Asia;..
Ambos sexos;11026 Prado del Rey;Europa;9
Ambos sexos;11026 Prado del Rey;Resto;..
Ambos sexos;11027 Puerto de Santa María (El);Africa;91
Ambos sexos;11027 Puerto de Santa María (El);América;442
Ambos sexos;11027 Puerto de Santa María (El);Asia;62
Ambos sexos;11027 Puerto de Santa María (El);Europa;269
Ambos sexos;11027 Puerto de Santa María (El);Resto;..
Ambos sexos;11028 Puerto Real;Africa;134
Ambos sexos;11028 Puerto Real;América;36
Ambos sexos;11028 Puerto Real;Asia;8
Ambos sexos;11028 Puerto Real;Europa;59
Ambos sexos;11028 Puerto Real;Resto;1
Ambos sexos;11029 Puerto Serrano;Africa;..
Ambos sexos;11029 Puerto Serrano;América;..
Ambos sexos;11029 Puerto Serrano;Asia;..
Ambos sexos;11029 Puerto Serrano;Europa;..
Ambos sexos;11029 Puerto Serrano;Resto;..
Ambos sexos;11030 Rota;Africa;78
Ambos sexos;11030 Rota;América;451
Ambos sexos;11030 Rota;Asia;26
Ambos sexos;11030 Rota;Europa;111
Ambos sexos;11030 Rota;Resto;3
Ambos sexos;11031 San Fernando;Africa;217
Ambos sexos;11031 San Fernando;América;182
Ambos sexos;11031 San Fernando;Asia;44
Ambos sexos;11031 San Fernando;Europa;309
Ambos sexos;11031 San Fernando;Resto;2
Ambos sexos;11032 Sanlúcar de Barrameda;Africa;94
Ambos sexos;11032 Sanlúcar de Barrameda;América;45
Ambos sexos;11032 Sanlúcar de Barrameda;Asia;24
Ambos sexos;11032 Sanlúcar de Barrameda;Europa;92
Ambos sexos;11032 Sanlúcar de Barrameda;Resto;..
Ambos sexos;11033 San Roque;Africa;71
Ambos sexos;11033 San Roque;América;100
Ambos sexos;11033 San Roque;Asia;79
Ambos sexos;11033 San Roque;Europa;664
Ambos sexos;11033 San Roque;Resto;3
Ambos sexos;11034 Setenil de las Bodegas;Africa;1
Ambos sexos;11034 Setenil de las Bodegas;América;1
Ambos sexos;11034 Setenil de las Bodegas;Asia;..
Ambos sexos;11034 Setenil de las Bodegas;Europa;1
Ambos sexos;11034 Setenil de las Bodegas;Resto;..
Ambos sexos;11035 Tarifa;Africa;30
Ambos sexos;11035 Tarifa;América;20
Ambos sexos;11035 Tarifa;Asia;6
Ambos sexos;11035 Tarifa;Europa;307
Ambos sexos;11035 Tarifa;Resto;..
Ambos sexos;11036 Torre Alháquime;Africa;..
Ambos sexos;11036 Torre Alháquime;América;..
Ambos sexos;11036 Torre Alháquime;Asia;..
Ambos sexos;11036 Torre Alháquime;Europa;4
Ambos sexos;11036 Torre Alháquime;Resto;..
Ambos sexos;11037 Trebujena;Africa;36
Ambos sexos;11037 Trebujena;América;3
Ambos sexos;11037 Trebujena;Asia;..
Ambos sexos;11037 Trebujena;Europa;11
Ambos sexos;11037 Trebujena;Resto;..
Ambos sexos;11038 Ubrique;Africa;12
Ambos sexos;11038 Ubrique;América;12
Ambos sexos;11038 Ubrique;Asia;3
Ambos sexos;11038 Ubrique;Europa;4
Ambos sexos;11038 Ubrique;Resto;3
Ambos sexos;11039 Vejer de la Frontera;Africa;5
Ambos sexos;11039 Vejer de la Frontera;América;5
Ambos sexos;11039 Vejer de la Frontera;Asia;1
Ambos sexos;11039 Vejer de la Frontera;Europa;71
Ambos sexos;11039 Vejer de la Frontera;Resto;..
Ambos sexos;11040 Villaluenga del Rosario;Africa;..
Ambos sexos;11040 Villaluenga del Rosario;América;..
Ambos sexos;11040 Villaluenga del Rosario;Asia;..
Ambos sexos;11040 Villaluenga del Rosario;Europa;..
Ambos sexos;11040 Villaluenga del Rosario;Resto;..
Ambos sexos;11041 Villamartín;Africa;14
Ambos sexos;11041 Villamartín;América;8
Ambos sexos;11041 Villamartín;Asia;..
Ambos sexos;11041 Villamartín;Europa;8
Ambos sexos;11041 Villamartín;Resto;1
Ambos sexos;11042 Zahara;Africa;2
Ambos sexos;11042 Zahara;América;..
Ambos sexos;11042 Zahara;Asia;..
Ambos sexos;11042 Zahara;Europa;3
Ambos sexos;11042 Zahara;Resto;..
Ambos sexos;11901 Benalup-Casas Viejas;Africa;3
Ambos sexos;11901 Benalup-Casas Viejas;América;2
Ambos sexos;11901 Benalup-Casas Viejas;Asia;..
Ambos sexos;11901 Benalup-Casas Viejas;Europa;5
Ambos sexos;11901 Benalup-Casas Viejas;Resto;..
Ambos sexos;11902 San José del Valle;Africa;2
Ambos sexos;11902 San José del Valle;América;1
Ambos sexos;11902 San José del Valle;Asia;..
Ambos sexos;11902 San José del Valle;Europa;1
Ambos sexos;11902 San José del Valle;Resto;..
