Sexo;Municipios;País de nacimiento;Total
Ambos sexos;14003-Alcaracejos;Bolivia;0
Ambos sexos;14003-Alcaracejos;Brasil;0
Ambos sexos;14003-Alcaracejos;Colombia;0
Ambos sexos;14003-Alcaracejos;Cuba;1
Ambos sexos;14003-Alcaracejos;Chile;0
Ambos sexos;14003-Alcaracejos;Ecuador;0
Ambos sexos;14003-Alcaracejos;Paraguay;1
Ambos sexos;14003-Alcaracejos;Perú;1
Ambos sexos;14003-Alcaracejos;República Dominicana;0
Ambos sexos;14003-Alcaracejos;Uruguay;0
Ambos sexos;14003-Alcaracejos;Venezuela;0
Ambos sexos;14003-Alcaracejos;Total Asia;0
Ambos sexos;14003-Alcaracejos;China;0
Ambos sexos;14003-Alcaracejos;Pakistán;0
Ambos sexos;14003-Alcaracejos;Total Oceanía;0
Ambos sexos;14004-Almedinilla;Total Población;2.455
Ambos sexos;14004-Almedinilla;Nacidos en España;2.321
Ambos sexos;14004-Almedinilla;Nacidos en el Extranjero;134
Ambos sexos;14004-Almedinilla;Total Europa;69
Ambos sexos;14004-Almedinilla;Total Unión Europea;46
Ambos sexos;14004-Almedinilla;Alemania;1
Ambos sexos;14004-Almedinilla;Bulgaria;0
Ambos sexos;14004-Almedinilla;Francia;2
Ambos sexos;14004-Almedinilla;Italia;1
Ambos sexos;14004-Almedinilla;Polonia;0
Ambos sexos;14004-Almedinilla;Portugal;0
Ambos sexos;14004-Almedinilla;Reino Unido;16
Ambos sexos;14004-Almedinilla;Rumanía;23
Ambos sexos;14004-Almedinilla;Total Europa No Comunitaria;23
Ambos sexos;14004-Almedinilla;Rusia;2
Ambos sexos;14004-Almedinilla;Ucrania;20
Ambos sexos;14004-Almedinilla;Total Africa;45
Ambos sexos;14004-Almedinilla;Argelia;0
Ambos sexos;14004-Almedinilla;Marruecos;44
Ambos sexos;14004-Almedinilla;Nigeria;0
Ambos sexos;14004-Almedinilla;Senegal;0
Ambos sexos;14004-Almedinilla;Total América;18
Ambos sexos;14004-Almedinilla;Argentina;1
Ambos sexos;14004-Almedinilla;Bolivia;0
Ambos sexos;14004-Almedinilla;Brasil;0
Ambos sexos;14004-Almedinilla;Colombia;1
Ambos sexos;14004-Almedinilla;Cuba;0
Ambos sexos;14004-Almedinilla;Chile;0
Ambos sexos;14004-Almedinilla;Ecuador;8
Ambos sexos;14004-Almedinilla;Paraguay;0
Ambos sexos;14004-Almedinilla;Perú;3
Ambos sexos;14004-Almedinilla;República Dominicana;0
Ambos sexos;14004-Almedinilla;Uruguay;0
Ambos sexos;14004-Almedinilla;Venezuela;0
Ambos sexos;14004-Almedinilla;Total Asia;1
Ambos sexos;14004-Almedinilla;China;1
Ambos sexos;14004-Almedinilla;Pakistán;0
Ambos sexos;14004-Almedinilla;Total Oceanía;1
Ambos sexos;14005-Almodóvar del Río;Total Población;7.982
Ambos sexos;14005-Almodóvar del Río;Nacidos en España;7.779
Ambos sexos;14005-Almodóvar del Río;Nacidos en el Extranjero;203
Ambos sexos;14005-Almodóvar del Río;Total Europa;113
Ambos sexos;14005-Almodóvar del Río;Total Unión Europea;101
Ambos sexos;14005-Almodóvar del Río;Alemania;32
Ambos sexos;14005-Almodóvar del Río;Bulgaria;0
Ambos sexos;14005-Almodóvar del Río;Francia;35
Ambos sexos;14005-Almodóvar del Río;Italia;2
Ambos sexos;14005-Almodóvar del Río;Polonia;1
Ambos sexos;14005-Almodóvar del Río;Portugal;3
Ambos sexos;14005-Almodóvar del Río;Reino Unido;4
Ambos sexos;14005-Almodóvar del Río;Rumanía;10
Ambos sexos;14005-Almodóvar del Río;Total Europa No Comunitaria;12
Ambos sexos;14005-Almodóvar del Río;Rusia;3
Ambos sexos;14005-Almodóvar del Río;Ucrania;0
Ambos sexos;14005-Almodóvar del Río;Total Africa;31
Ambos sexos;14005-Almodóvar del Río;Argelia;6
Ambos sexos;14005-Almodóvar del Río;Marruecos;18
Ambos sexos;14005-Almodóvar del Río;Nigeria;1
Ambos sexos;14005-Almodóvar del Río;Senegal;2
Ambos sexos;14005-Almodóvar del Río;Total América;42
Ambos sexos;14005-Almodóvar del Río;Argentina;2
Ambos sexos;14005-Almodóvar del Río;Bolivia;7
Ambos sexos;14005-Almodóvar del Río;Brasil;5
Ambos sexos;14005-Almodóvar del Río;Colombia;9
Ambos sexos;14005-Almodóvar del Río;Cuba;2
Ambos sexos;14005-Almodóvar del Río;Chile;0
Ambos sexos;14005-Almodóvar del Río;Ecuador;7
Ambos sexos;14005-Almodóvar del Río;Paraguay;1
Ambos sexos;14005-Almodóvar del Río;Perú;0
Ambos sexos;14005-Almodóvar del Río;República Dominicana;1
Ambos sexos;14005-Almodóvar del Río;Uruguay;0
Ambos sexos;14005-Almodóvar del Río;Venezuela;1
Ambos sexos;14005-Almodóvar del Río;Total Asia;16
Ambos sexos;14005-Almodóvar del Río;China;14
Ambos sexos;14005-Almodóvar del Río;Pakistán;2
Ambos sexos;14005-Almodóvar del Río;Total Oceanía;1
Ambos sexos;14006-Añora;Total Población;1.553
Ambos sexos;14006-Añora;Nacidos en España;1.525
Ambos sexos;14006-Añora;Nacidos en el Extranjero;28
Ambos sexos;14006-Añora;Total Europa;8
Ambos sexos;14006-Añora;Total Unión Europea;8
Ambos sexos;14006-Añora;Alemania;0
Ambos sexos;14006-Añora;Bulgaria;0
Ambos sexos;14006-Añora;Francia;0
Ambos sexos;14006-Añora;Italia;0
Ambos sexos;14006-Añora;Polonia;0
Ambos sexos;14006-Añora;Portugal;0
Ambos sexos;14006-Añora;Reino Unido;0
Ambos sexos;14006-Añora;Rumanía;8
Ambos sexos;14006-Añora;Total Europa No Comunitaria;0
Ambos sexos;14006-Añora;Rusia;0
Ambos sexos;14006-Añora;Ucrania;0
Ambos sexos;14006-Añora;Total Africa;0
Ambos sexos;14006-Añora;Argelia;0
Ambos sexos;14006-Añora;Marruecos;0
Ambos sexos;14006-Añora;Nigeria;0
Ambos sexos;14006-Añora;Senegal;0
Ambos sexos;14006-Añora;Total América;16
Ambos sexos;14006-Añora;Argentina;0
Ambos sexos;14006-Añora;Bolivia;0
Ambos sexos;14006-Añora;Brasil;2
Ambos sexos;14006-Añora;Colombia;0
Ambos sexos;14006-Añora;Cuba;4
Ambos sexos;14006-Añora;Chile;0
Ambos sexos;14006-Añora;Ecuador;6
Ambos sexos;14006-Añora;Paraguay;0
Ambos sexos;14006-Añora;Perú;0
Ambos sexos;14006-Añora;República Dominicana;0
Ambos sexos;14006-Añora;Uruguay;0
Ambos sexos;14006-Añora;Venezuela;0
Ambos sexos;14006-Añora;Total Asia;4
Ambos sexos;14006-Añora;China;4
Ambos sexos;14006-Añora;Pakistán;0
Ambos sexos;14006-Añora;Total Oceanía;0
Ambos sexos;14007-Baena;Total Población;19.523
Ambos sexos;14007-Baena;Nacidos en España;18.525
Ambos sexos;14007-Baena;Nacidos en el Extranjero;998
Ambos sexos;14007-Baena;Total Europa;401
Ambos sexos;14007-Baena;Total Unión Europea;378
Ambos sexos;14007-Baena;Alemania;17
Ambos sexos;14007-Baena;Bulgaria;5
Ambos sexos;14007-Baena;Francia;9
Ambos sexos;14007-Baena;Italia;5
Ambos sexos;14007-Baena;Polonia;0
Ambos sexos;14007-Baena;Portugal;4
Ambos sexos;14007-Baena;Reino Unido;2
Ambos sexos;14007-Baena;Rumanía;318
Ambos sexos;14007-Baena;Total Europa No Comunitaria;23
