Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;41011 Arahal;Alemania;0
Ambos sexos;41011 Arahal;Total Africa;41
Ambos sexos;41011 Arahal;Marruecos;36
Ambos sexos;41011 Arahal;Total América;33
Ambos sexos;41011 Arahal;Colombia;26
Ambos sexos;41011 Arahal;Ecuador;1
Ambos sexos;41011 Arahal;Total Asia;0
Ambos sexos;41011 Arahal;Resto;0
Ambos sexos;41012 Aznalcázar;Total Unión Europea;13
Ambos sexos;41012 Aznalcázar;Reino Unido;4
Ambos sexos;41012 Aznalcázar;Alemania;0
Ambos sexos;41012 Aznalcázar;Total Africa;4
Ambos sexos;41012 Aznalcázar;Marruecos;4
Ambos sexos;41012 Aznalcázar;Total América;3
Ambos sexos;41012 Aznalcázar;Colombia;0
Ambos sexos;41012 Aznalcázar;Ecuador;0
Ambos sexos;41012 Aznalcázar;Total Asia;0
Ambos sexos;41012 Aznalcázar;Resto;0
Ambos sexos;41013 Aznalcóllar;Total Unión Europea;4
Ambos sexos;41013 Aznalcóllar;Reino Unido;3
Ambos sexos;41013 Aznalcóllar;Alemania;0
Ambos sexos;41013 Aznalcóllar;Total Africa;11
Ambos sexos;41013 Aznalcóllar;Marruecos;8
Ambos sexos;41013 Aznalcóllar;Total América;11
Ambos sexos;41013 Aznalcóllar;Colombia;0
Ambos sexos;41013 Aznalcóllar;Ecuador;5
Ambos sexos;41013 Aznalcóllar;Total Asia;2
Ambos sexos;41013 Aznalcóllar;Resto;0
Ambos sexos;41014 Badolatosa;Total Unión Europea;0
Ambos sexos;41014 Badolatosa;Reino Unido;0
Ambos sexos;41014 Badolatosa;Alemania;0
Ambos sexos;41014 Badolatosa;Total Africa;0
Ambos sexos;41014 Badolatosa;Marruecos;0
Ambos sexos;41014 Badolatosa;Total América;4
Ambos sexos;41014 Badolatosa;Colombia;4
Ambos sexos;41014 Badolatosa;Ecuador;0
Ambos sexos;41014 Badolatosa;Total Asia;0
Ambos sexos;41014 Badolatosa;Resto;0
Ambos sexos;41015 Benacazón;Total Unión Europea;8
Ambos sexos;41015 Benacazón;Reino Unido;1
Ambos sexos;41015 Benacazón;Alemania;3
Ambos sexos;41015 Benacazón;Total Africa;13
Ambos sexos;41015 Benacazón;Marruecos;11
Ambos sexos;41015 Benacazón;Total América;27
Ambos sexos;41015 Benacazón;Colombia;12
Ambos sexos;41015 Benacazón;Ecuador;10
Ambos sexos;41015 Benacazón;Total Asia;0
Ambos sexos;41015 Benacazón;Resto;0
Ambos sexos;41016 Bollullos de la Mitación;Total Unión Europea;11
Ambos sexos;41016 Bollullos de la Mitación;Reino Unido;2
Ambos sexos;41016 Bollullos de la Mitación;Alemania;0
Ambos sexos;41016 Bollullos de la Mitación;Total Africa;12
Ambos sexos;41016 Bollullos de la Mitación;Marruecos;8
Ambos sexos;41016 Bollullos de la Mitación;Total América;12
Ambos sexos;41016 Bollullos de la Mitación;Colombia;0
Ambos sexos;41016 Bollullos de la Mitación;Ecuador;4
Ambos sexos;41016 Bollullos de la Mitación;Total Asia;0
Ambos sexos;41016 Bollullos de la Mitación;Resto;0
Ambos sexos;41017 Bormujos;Total Unión Europea;55
Ambos sexos;41017 Bormujos;Reino Unido;4
Ambos sexos;41017 Bormujos;Alemania;18
Ambos sexos;41017 Bormujos;Total Africa;11
Ambos sexos;41017 Bormujos;Marruecos;5
Ambos sexos;41017 Bormujos;Total América;45
Ambos sexos;41017 Bormujos;Colombia;10
Ambos sexos;41017 Bormujos;Ecuador;4
Ambos sexos;41017 Bormujos;Total Asia;5
Ambos sexos;41017 Bormujos;Resto;1
Ambos sexos;41018 Brenes;Total Unión Europea;13
Ambos sexos;41018 Brenes;Reino Unido;1
Ambos sexos;41018 Brenes;Alemania;0
Ambos sexos;41018 Brenes;Total Africa;21
Ambos sexos;41018 Brenes;Marruecos;16
Ambos sexos;41018 Brenes;Total América;24
Ambos sexos;41018 Brenes;Colombia;4
Ambos sexos;41018 Brenes;Ecuador;0
Ambos sexos;41018 Brenes;Total Asia;2
Ambos sexos;41018 Brenes;Resto;0
Ambos sexos;41019 Burguillos;Total Unión Europea;3
Ambos sexos;41019 Burguillos;Reino Unido;2
Ambos sexos;41019 Burguillos;Alemania;1
Ambos sexos;41019 Burguillos;Total Africa;18
Ambos sexos;41019 Burguillos;Marruecos;18
Ambos sexos;41019 Burguillos;Total América;6
Ambos sexos;41019 Burguillos;Colombia;0
Ambos sexos;41019 Burguillos;Ecuador;0
Ambos sexos;41019 Burguillos;Total Asia;0
Ambos sexos;41019 Burguillos;Resto;0
Ambos sexos;41020 Cabezas de San Juan (Las);Total Unión Europea;3
Ambos sexos;41020 Cabezas de San Juan (Las);Reino Unido;0
Ambos sexos;41020 Cabezas de San Juan (Las);Alemania;0
Ambos sexos;41020 Cabezas de San Juan (Las);Total Africa;20
Ambos sexos;41020 Cabezas de San Juan (Las);Marruecos;17
Ambos sexos;41020 Cabezas de San Juan (Las);Total América;22
Ambos sexos;41020 Cabezas de San Juan (Las);Colombia;14
Ambos sexos;41020 Cabezas de San Juan (Las);Ecuador;6
Ambos sexos;41020 Cabezas de San Juan (Las);Total Asia;0
Ambos sexos;41020 Cabezas de San Juan (Las);Resto;0
Ambos sexos;41021 Camas;Total Unión Europea;43
Ambos sexos;41021 Camas;Reino Unido;5
Ambos sexos;41021 Camas;Alemania;8
Ambos sexos;41021 Camas;Total Africa;30
Ambos sexos;41021 Camas;Marruecos;19
Ambos sexos;41021 Camas;Total América;129
Ambos sexos;41021 Camas;Colombia;49
Ambos sexos;41021 Camas;Ecuador;8
Ambos sexos;41021 Camas;Total Asia;7
Ambos sexos;41021 Camas;Resto;0
Ambos sexos;41022 Campana (La);Total Unión Europea;13
Ambos sexos;41022 Campana (La);Reino Unido;0
Ambos sexos;41022 Campana (La);Alemania;9
Ambos sexos;41022 Campana (La);Total Africa;9
Ambos sexos;41022 Campana (La);Marruecos;9
Ambos sexos;41022 Campana (La);Total América;9
Ambos sexos;41022 Campana (La);Colombia;4
Ambos sexos;41022 Campana (La);Ecuador;0
Ambos sexos;41022 Campana (La);Total Asia;0
Ambos sexos;41022 Campana (La);Resto;0
Ambos sexos;41023 Cantillana;Total Unión Europea;7
Ambos sexos;41023 Cantillana;Reino Unido;2
Ambos sexos;41023 Cantillana;Alemania;0
Ambos sexos;41023 Cantillana;Total Africa;10
Ambos sexos;41023 Cantillana;Marruecos;7
Ambos sexos;41023 Cantillana;Total América;12
Ambos sexos;41023 Cantillana;Colombia;0
Ambos sexos;41023 Cantillana;Ecuador;4
Ambos sexos;41023 Cantillana;Total Asia;3
Ambos sexos;41023 Cantillana;Resto;0
Ambos sexos;41024 Carmona;Total Unión Europea;54
Ambos sexos;41024 Carmona;Reino Unido;9
Ambos sexos;41024 Carmona;Alemania;10
Ambos sexos;41024 Carmona;Total Africa;53
Ambos sexos;41024 Carmona;Marruecos;45
Ambos sexos;41024 Carmona;Total América;61
Ambos sexos;41024 Carmona;Colombia;35
Ambos sexos;41024 Carmona;Ecuador;3
Ambos sexos;41024 Carmona;Total Asia;5
Ambos sexos;41024 Carmona;Resto;1
Ambos sexos;41025 Carrión de los Céspedes;Total Unión Europea;0
Ambos sexos;41025 Carrión de los Céspedes;Reino Unido;0
Ambos sexos;41025 Carrión de los Céspedes;Alemania;0
Ambos sexos;41025 Carrión de los Céspedes;Total Africa;9
Ambos sexos;41025 Carrión de los Céspedes;Marruecos;2
Ambos sexos;41025 Carrión de los Céspedes;Total América;6
Ambos sexos;41025 Carrión de los Céspedes;Colombia;5
Ambos sexos;41025 Carrión de los Céspedes;Ecuador;1
Ambos sexos;41025 Carrión de los Céspedes;Total Asia;0
Ambos sexos;41025 Carrión de los Céspedes;Resto;0
Ambos sexos;41026 Casariche;Total Unión Europea;4
Ambos sexos;41026 Casariche;Reino Unido;0
Ambos sexos;41026 Casariche;Alemania;2
Ambos sexos;41026 Casariche;Total Africa;29
Ambos sexos;41026 Casariche;Marruecos;12
Ambos sexos;41026 Casariche;Total América;6
Ambos sexos;41026 Casariche;Colombia;2
Ambos sexos;41026 Casariche;Ecuador;1
Ambos sexos;41026 Casariche;Total Asia;0
Ambos sexos;41026 Casariche;Resto;0
Ambos sexos;41027 Castilblanco de los Arroyos;Total Unión Europea;28
Ambos sexos;41027 Castilblanco de los Arroyos;Reino Unido;0
Ambos sexos;41027 Castilblanco de los Arroyos;Alemania;5
Ambos sexos;41027 Castilblanco de los Arroyos;Total Africa;4
Ambos sexos;41027 Castilblanco de los Arroyos;Marruecos;1
Ambos sexos;41027 Castilblanco de los Arroyos;Total América;8
Ambos sexos;41027 Castilblanco de los Arroyos;Colombia;1
Ambos sexos;41027 Castilblanco de los Arroyos;Ecuador;3
Ambos sexos;41027 Castilblanco de los Arroyos;Total Asia;0
Ambos sexos;41027 Castilblanco de los Arroyos;Resto;0
Ambos sexos;41028 Castilleja de Guzmán;Total Unión Europea;9
Ambos sexos;41028 Castilleja de Guzmán;Reino Unido;2
Ambos sexos;41028 Castilleja de Guzmán;Alemania;2
Ambos sexos;41028 Castilleja de Guzmán;Total Africa;4
Ambos sexos;41028 Castilleja de Guzmán;Marruecos;2
Ambos sexos;41028 Castilleja de Guzmán;Total América;12
Ambos sexos;41028 Castilleja de Guzmán;Colombia;0
Ambos sexos;41028 Castilleja de Guzmán;Ecuador;2
Ambos sexos;41028 Castilleja de Guzmán;Total Asia;0
Ambos sexos;41028 Castilleja de Guzmán;Resto;0
