Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;29011 Almogía;Total América;12
Ambos sexos;29011 Almogía;Colombia;1
Ambos sexos;29011 Almogía;Ecuador;0
Ambos sexos;29011 Almogía;Total Asia;0
Ambos sexos;29011 Almogía;Resto;0
Ambos sexos;29012 Álora;Total Unión Europea;149
Ambos sexos;29012 Álora;Reino Unido;89
Ambos sexos;29012 Álora;Alemania;35
Ambos sexos;29012 Álora;Total Africa;8
Ambos sexos;29012 Álora;Marruecos;8
Ambos sexos;29012 Álora;Total América;9
Ambos sexos;29012 Álora;Colombia;0
Ambos sexos;29012 Álora;Ecuador;2
Ambos sexos;29012 Álora;Total Asia;1
Ambos sexos;29012 Álora;Resto;0
Ambos sexos;29013 Alozaina;Total Unión Europea;19
Ambos sexos;29013 Alozaina;Reino Unido;2
Ambos sexos;29013 Alozaina;Alemania;11
Ambos sexos;29013 Alozaina;Total Africa;0
Ambos sexos;29013 Alozaina;Marruecos;0
Ambos sexos;29013 Alozaina;Total América;68
Ambos sexos;29013 Alozaina;Colombia;66
Ambos sexos;29013 Alozaina;Ecuador;1
Ambos sexos;29013 Alozaina;Total Asia;0
Ambos sexos;29013 Alozaina;Resto;0
Ambos sexos;29014 Alpandeire;Total Unión Europea;3
Ambos sexos;29014 Alpandeire;Reino Unido;0
Ambos sexos;29014 Alpandeire;Alemania;0
Ambos sexos;29014 Alpandeire;Total Africa;0
Ambos sexos;29014 Alpandeire;Marruecos;0
Ambos sexos;29014 Alpandeire;Total América;1
Ambos sexos;29014 Alpandeire;Colombia;0
Ambos sexos;29014 Alpandeire;Ecuador;1
Ambos sexos;29014 Alpandeire;Total Asia;0
Ambos sexos;29014 Alpandeire;Resto;0
Ambos sexos;29015 Antequera;Total Unión Europea;111
Ambos sexos;29015 Antequera;Reino Unido;60
Ambos sexos;29015 Antequera;Alemania;11
Ambos sexos;29015 Antequera;Total Africa;28
Ambos sexos;29015 Antequera;Marruecos;13
Ambos sexos;29015 Antequera;Total América;143
Ambos sexos;29015 Antequera;Colombia;82
Ambos sexos;29015 Antequera;Ecuador;9
Ambos sexos;29015 Antequera;Total Asia;2
Ambos sexos;29015 Antequera;Resto;1
Ambos sexos;29016 Árchez;Total Unión Europea;34
