Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;027  Benamocarra;América;2
Ambos sexos;027  Benamocarra;Asia;..
Ambos sexos;027  Benamocarra;Europa;3
Ambos sexos;027  Benamocarra;Resto;..
Ambos sexos;028  Benaoján;Africa;..
Ambos sexos;028  Benaoján;América;..
Ambos sexos;028  Benaoján;Asia;..
Ambos sexos;028  Benaoján;Europa;9
Ambos sexos;028  Benaoján;Resto;..
Ambos sexos;029  Benarrabá;Africa;1
Ambos sexos;029  Benarrabá;América;..
Ambos sexos;029  Benarrabá;Asia;..
Ambos sexos;029  Benarrabá;Europa;1
Ambos sexos;029  Benarrabá;Resto;..
Ambos sexos;030  Borge (El);Africa;..
Ambos sexos;030  Borge (El);América;..
Ambos sexos;030  Borge (El);Asia;..
Ambos sexos;030  Borge (El);Europa;1
Ambos sexos;030  Borge (El);Resto;..
Ambos sexos;031  Burgo (El);Africa;..
Ambos sexos;031  Burgo (El);América;..
Ambos sexos;031  Burgo (El);Asia;..
Ambos sexos;031  Burgo (El);Europa;..
Ambos sexos;031  Burgo (El);Resto;..
Ambos sexos;032  Campillos;Africa;6
Ambos sexos;032  Campillos;América;7
Ambos sexos;032  Campillos;Asia;..
Ambos sexos;032  Campillos;Europa;4
Ambos sexos;032  Campillos;Resto;..
Ambos sexos;033  Canillas de Aceituno;Africa;2
Ambos sexos;033  Canillas de Aceituno;América;2
Ambos sexos;033  Canillas de Aceituno;Asia;..
Ambos sexos;033  Canillas de Aceituno;Europa;37
Ambos sexos;033  Canillas de Aceituno;Resto;..
Ambos sexos;034  Canillas de Albaida;Africa;4
Ambos sexos;034  Canillas de Albaida;América;2
Ambos sexos;034  Canillas de Albaida;Asia;..
Ambos sexos;034  Canillas de Albaida;Europa;74
Ambos sexos;034  Canillas de Albaida;Resto;..
Ambos sexos;035  Cañete la Real;Africa;..
Ambos sexos;035  Cañete la Real;América;..
Ambos sexos;035  Cañete la Real;Asia;..
Ambos sexos;035  Cañete la Real;Europa;..
Ambos sexos;035  Cañete la Real;Resto;..
Ambos sexos;036  Carratraca;Africa;..
Ambos sexos;036  Carratraca;América;2
Ambos sexos;036  Carratraca;Asia;..
Ambos sexos;036  Carratraca;Europa;3
Ambos sexos;036  Carratraca;Resto;..
Ambos sexos;037  Cartajima;Africa;..
Ambos sexos;037  Cartajima;América;..
Ambos sexos;037  Cartajima;Asia;..
Ambos sexos;037  Cartajima;Europa;..
Ambos sexos;037  Cartajima;Resto;..
Ambos sexos;038  Cártama;Africa;5
Ambos sexos;038  Cártama;América;1
Ambos sexos;038  Cártama;Asia;..
Ambos sexos;038  Cártama;Europa;51
Ambos sexos;038  Cártama;Resto;..
Ambos sexos;039  Casabermeja;Africa;3
Ambos sexos;039  Casabermeja;América;2
Ambos sexos;039  Casabermeja;Asia;..
Ambos sexos;039  Casabermeja;Europa;13
Ambos sexos;039  Casabermeja;Resto;..
Ambos sexos;040  Casarabonela;Africa;2
Ambos sexos;040  Casarabonela;América;3
Ambos sexos;040  Casarabonela;Asia;..
Ambos sexos;040  Casarabonela;Europa;18
Ambos sexos;040  Casarabonela;Resto;..
Ambos sexos;041  Casares;Africa;7
Ambos sexos;041  Casares;América;11
Ambos sexos;041  Casares;Asia;5
Ambos sexos;041  Casares;Europa;314
Ambos sexos;041  Casares;Resto;2
Ambos sexos;042  Coín;Africa;23
Ambos sexos;042  Coín;América;22
Ambos sexos;042  Coín;Asia;14
Ambos sexos;042  Coín;Europa;441
Ambos sexos;042  Coín;Resto;..
Ambos sexos;043  Colmenar;Africa;..
Ambos sexos;043  Colmenar;América;3
Ambos sexos;043  Colmenar;Asia;3
Ambos sexos;043  Colmenar;Europa;28
Ambos sexos;043  Colmenar;Resto;..
Ambos sexos;044  Comares;Africa;..
Ambos sexos;044  Comares;América;2
Ambos sexos;044  Comares;Asia;..
Ambos sexos;044  Comares;Europa;83
Ambos sexos;044  Comares;Resto;..
Ambos sexos;045  Cómpeta;Africa;1
Ambos sexos;045  Cómpeta;América;4
Ambos sexos;045  Cómpeta;Asia;2
Ambos sexos;045  Cómpeta;Europa;458
Ambos sexos;045  Cómpeta;Resto;2
Ambos sexos;046  Cortes de la Frontera;Africa;..
Ambos sexos;046  Cortes de la Frontera;América;..
Ambos sexos;046  Cortes de la Frontera;Asia;..
Ambos sexos;046  Cortes de la Frontera;Europa;..
Ambos sexos;046  Cortes de la Frontera;Resto;..
Ambos sexos;047  Cuevas Bajas;Africa;..
Ambos sexos;047  Cuevas Bajas;América;..
Ambos sexos;047  Cuevas Bajas;Asia;..
Ambos sexos;047  Cuevas Bajas;Europa;1
Ambos sexos;047  Cuevas Bajas;Resto;..
Ambos sexos;048  Cuevas del Becerro;Africa;4
Ambos sexos;048  Cuevas del Becerro;América;..
Ambos sexos;048  Cuevas del Becerro;Asia;..
Ambos sexos;048  Cuevas del Becerro;Europa;..
Ambos sexos;048  Cuevas del Becerro;Resto;..
Ambos sexos;049  Cuevas de San Marcos;Africa;3
Ambos sexos;049  Cuevas de San Marcos;América;..
Ambos sexos;049  Cuevas de San Marcos;Asia;..
Ambos sexos;049  Cuevas de San Marcos;Europa;..
Ambos sexos;049  Cuevas de San Marcos;Resto;..
Ambos sexos;050  Cútar;Africa;1
Ambos sexos;050  Cútar;América;..
Ambos sexos;050  Cútar;Asia;..
Ambos sexos;050  Cútar;Europa;6
Ambos sexos;050  Cútar;Resto;..
Ambos sexos;051  Estepona;Africa;236
Ambos sexos;051  Estepona;América;344
Ambos sexos;051  Estepona;Asia;173
Ambos sexos;051  Estepona;Europa;4.147
Ambos sexos;051  Estepona;Resto;12
Ambos sexos;053  Frigiliana;Africa;3
Ambos sexos;053  Frigiliana;América;14
Ambos sexos;053  Frigiliana;Asia;3
Ambos sexos;053  Frigiliana;Europa;154
Ambos sexos;053  Frigiliana;Resto;1
Ambos sexos;054  Fuengirola;Africa;616
Ambos sexos;054  Fuengirola;América;427
Ambos sexos;054  Fuengirola;Asia;232
Ambos sexos;054  Fuengirola;Europa;4.146
Ambos sexos;054  Fuengirola;Resto;7
Ambos sexos;055  Fuente de Piedra;Africa;..
Ambos sexos;055  Fuente de Piedra;América;..
Ambos sexos;055  Fuente de Piedra;Asia;1
Ambos sexos;055  Fuente de Piedra;Europa;..
Ambos sexos;055  Fuente de Piedra;Resto;..
Ambos sexos;056  Gaucín;Africa;1
Ambos sexos;056  Gaucín;América;5
Ambos sexos;056  Gaucín;Asia;..
Ambos sexos;056  Gaucín;Europa;89
Ambos sexos;056  Gaucín;Resto;..
Ambos sexos;057  Genalguacil;Africa;1
Ambos sexos;057  Genalguacil;América;..
Ambos sexos;057  Genalguacil;Asia;..
Ambos sexos;057  Genalguacil;Europa;15
Ambos sexos;057  Genalguacil;Resto;..
Ambos sexos;058  Guaro;Africa;1
Ambos sexos;058  Guaro;América;2
Ambos sexos;058  Guaro;Asia;..
Ambos sexos;058  Guaro;Europa;33
Ambos sexos;058  Guaro;Resto;..
Ambos sexos;059  Humilladero;Africa;..
Ambos sexos;059  Humilladero;América;..
Ambos sexos;059  Humilladero;Asia;..
Ambos sexos;059  Humilladero;Europa;1
Ambos sexos;059  Humilladero;Resto;..
Ambos sexos;060  Igualeja;Africa;..
Ambos sexos;060  Igualeja;América;..
Ambos sexos;060  Igualeja;Asia;..
Ambos sexos;060  Igualeja;Europa;..
Ambos sexos;060  Igualeja;Resto;..
Ambos sexos;061  Istán;Africa;8
Ambos sexos;061  Istán;América;1
Ambos sexos;061  Istán;Asia;2
Ambos sexos;061  Istán;Europa;63
Ambos sexos;061  Istán;Resto;..
Ambos sexos;062  Iznate;Africa;1
Ambos sexos;062  Iznate;América;2
Ambos sexos;062  Iznate;Asia;..
Ambos sexos;062  Iznate;Europa;6
Ambos sexos;062  Iznate;Resto;..
Ambos sexos;063  Jimera de Líbar;Africa;..
Ambos sexos;063  Jimera de Líbar;América;..
Ambos sexos;063  Jimera de Líbar;Asia;1
Ambos sexos;063  Jimera de Líbar;Europa;6
Ambos sexos;063  Jimera de Líbar;Resto;..
Ambos sexos;064  Jubrique;Africa;1
Ambos sexos;064  Jubrique;América;..
Ambos sexos;064  Jubrique;Asia;..
Ambos sexos;064  Jubrique;Europa;8
Ambos sexos;064  Jubrique;Resto;..
Ambos sexos;065  Júzcar;Africa;..
Ambos sexos;065  Júzcar;América;..
Ambos sexos;065  Júzcar;Asia;..
Ambos sexos;065  Júzcar;Europa;..
Ambos sexos;065  Júzcar;Resto;..
Ambos sexos;066  Macharaviaya;Africa;..
Ambos sexos;066  Macharaviaya;América;1
Ambos sexos;066  Macharaviaya;Asia;..
Ambos sexos;066  Macharaviaya;Europa;5
Ambos sexos;066  Macharaviaya;Resto;..
Ambos sexos;067  Málaga;Africa;1.566
Ambos sexos;067  Málaga;América;940
Ambos sexos;067  Málaga;Asia;488
Ambos sexos;067  Málaga;Europa;2.132
Ambos sexos;067  Málaga;Resto;14
