Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;04004-Albánchez;Nacidos en el Extranjero;228
Ambos sexos;04004-Albánchez;Total Europa;222
Ambos sexos;04004-Albánchez;Total Unión Europea;219
Ambos sexos;04004-Albánchez;Alemania;2
Ambos sexos;04004-Albánchez;Bulgaria;0
Ambos sexos;04004-Albánchez;Francia;0
Ambos sexos;04004-Albánchez;Italia;1
Ambos sexos;04004-Albánchez;Polonia;0
Ambos sexos;04004-Albánchez;Portugal;0
Ambos sexos;04004-Albánchez;Reino Unido;212
Ambos sexos;04004-Albánchez;Rumanía;1
Ambos sexos;04004-Albánchez;Total Europa No Comunitaria;3
Ambos sexos;04004-Albánchez;Rusia;0
Ambos sexos;04004-Albánchez;Ucrania;0
Ambos sexos;04004-Albánchez;Total Africa;0
Ambos sexos;04004-Albánchez;Argelia;0
Ambos sexos;04004-Albánchez;Marruecos;0
Ambos sexos;04004-Albánchez;Nigeria;0
Ambos sexos;04004-Albánchez;Senegal;0
Ambos sexos;04004-Albánchez;Total América;6
Ambos sexos;04004-Albánchez;Argentina;1
Ambos sexos;04004-Albánchez;Bolivia;0
Ambos sexos;04004-Albánchez;Brasil;1
Ambos sexos;04004-Albánchez;Colombia;0
Ambos sexos;04004-Albánchez;Cuba;0
Ambos sexos;04004-Albánchez;Chile;1
Ambos sexos;04004-Albánchez;Ecuador;2
Ambos sexos;04004-Albánchez;Paraguay;0
Ambos sexos;04004-Albánchez;Perú;0
Ambos sexos;04004-Albánchez;Rep. Dominicana;0
Ambos sexos;04004-Albánchez;Uruguay;0
Ambos sexos;04004-Albánchez;Venezuela;0
Ambos sexos;04004-Albánchez;Total Asia;0
Ambos sexos;04004-Albánchez;China;0
Ambos sexos;04004-Albánchez;Pakistán;0
Ambos sexos;04004-Albánchez;Oceanía;0
Ambos sexos;04005-Alboloduy;Total Población;703
Ambos sexos;04005-Alboloduy;Nacidos en España;687
Ambos sexos;04005-Alboloduy;Nacidos en el Extranjero;16
Ambos sexos;04005-Alboloduy;Total Europa;15
