Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;14011 Blázquez (Los);Ecuador;0
Ambos sexos;14011 Blázquez (Los);Total Asia;0
Ambos sexos;14011 Blázquez (Los);Resto;0
Ambos sexos;14012 Bujalance;Total Unión Europea;1
Ambos sexos;14012 Bujalance;Reino Unido;0
Ambos sexos;14012 Bujalance;Alemania;0
Ambos sexos;14012 Bujalance;Total Africa;1
Ambos sexos;14012 Bujalance;Marruecos;1
Ambos sexos;14012 Bujalance;Total América;13
Ambos sexos;14012 Bujalance;Colombia;11
Ambos sexos;14012 Bujalance;Ecuador;0
Ambos sexos;14012 Bujalance;Total Asia;0
Ambos sexos;14012 Bujalance;Resto;0
Ambos sexos;14013 Cabra;Total Unión Europea;20
Ambos sexos;14013 Cabra;Reino Unido;5
Ambos sexos;14013 Cabra;Alemania;3
Ambos sexos;14013 Cabra;Total Africa;27
Ambos sexos;14013 Cabra;Marruecos;27
Ambos sexos;14013 Cabra;Total América;65
Ambos sexos;14013 Cabra;Colombia;24
Ambos sexos;14013 Cabra;Ecuador;31
Ambos sexos;14013 Cabra;Total Asia;3
Ambos sexos;14013 Cabra;Resto;3
Ambos sexos;14014 Cañete de las Torres;Total Unión Europea;0
Ambos sexos;14014 Cañete de las Torres;Reino Unido;0
Ambos sexos;14014 Cañete de las Torres;Alemania;0
Ambos sexos;14014 Cañete de las Torres;Total Africa;0
Ambos sexos;14014 Cañete de las Torres;Marruecos;0
Ambos sexos;14014 Cañete de las Torres;Total América;1
Ambos sexos;14014 Cañete de las Torres;Colombia;0
Ambos sexos;14014 Cañete de las Torres;Ecuador;0
Ambos sexos;14014 Cañete de las Torres;Total Asia;0
Ambos sexos;14014 Cañete de las Torres;Resto;0
Ambos sexos;14015 Carcabuey;Total Unión Europea;2
Ambos sexos;14015 Carcabuey;Reino Unido;0
Ambos sexos;14015 Carcabuey;Alemania;0
Ambos sexos;14015 Carcabuey;Total Africa;0
Ambos sexos;14015 Carcabuey;Marruecos;0
Ambos sexos;14015 Carcabuey;Total América;6
Ambos sexos;14015 Carcabuey;Colombia;1
Ambos sexos;14015 Carcabuey;Ecuador;5
Ambos sexos;14015 Carcabuey;Total Asia;0
Ambos sexos;14015 Carcabuey;Resto;0
Ambos sexos;14016 Cardeña;Total Unión Europea;0
Ambos sexos;14016 Cardeña;Reino Unido;0
Ambos sexos;14016 Cardeña;Alemania;0
Ambos sexos;14016 Cardeña;Total Africa;0
Ambos sexos;14016 Cardeña;Marruecos;0
Ambos sexos;14016 Cardeña;Total América;3
Ambos sexos;14016 Cardeña;Colombia;0
Ambos sexos;14016 Cardeña;Ecuador;1
Ambos sexos;14016 Cardeña;Total Asia;0
Ambos sexos;14016 Cardeña;Resto;0
Ambos sexos;14017 Carlota (La);Total Unión Europea;11
Ambos sexos;14017 Carlota (La);Reino Unido;5
Ambos sexos;14017 Carlota (La);Alemania;2
Ambos sexos;14017 Carlota (La);Total Africa;16
Ambos sexos;14017 Carlota (La);Marruecos;12
Ambos sexos;14017 Carlota (La);Total América;48
Ambos sexos;14017 Carlota (La);Colombia;14
Ambos sexos;14017 Carlota (La);Ecuador;15
Ambos sexos;14017 Carlota (La);Total Asia;0
Ambos sexos;14017 Carlota (La);Resto;0
Ambos sexos;14018 Carpio (El);Total Unión Europea;2
Ambos sexos;14018 Carpio (El);Reino Unido;0
Ambos sexos;14018 Carpio (El);Alemania;1
Ambos sexos;14018 Carpio (El);Total Africa;9
Ambos sexos;14018 Carpio (El);Marruecos;9
Ambos sexos;14018 Carpio (El);Total América;12
Ambos sexos;14018 Carpio (El);Colombia;6
Ambos sexos;14018 Carpio (El);Ecuador;1
Ambos sexos;14018 Carpio (El);Total Asia;4
Ambos sexos;14018 Carpio (El);Resto;0
Ambos sexos;14019 Castro del Río;Total Unión Europea;1
Ambos sexos;14019 Castro del Río;Reino Unido;0
Ambos sexos;14019 Castro del Río;Alemania;0
Ambos sexos;14019 Castro del Río;Total Africa;26
Ambos sexos;14019 Castro del Río;Marruecos;25
Ambos sexos;14019 Castro del Río;Total América;10
Ambos sexos;14019 Castro del Río;Colombia;0
Ambos sexos;14019 Castro del Río;Ecuador;10
Ambos sexos;14019 Castro del Río;Total Asia;0
Ambos sexos;14019 Castro del Río;Resto;0
Ambos sexos;14020 Conquista;Total Unión Europea;0
Ambos sexos;14020 Conquista;Reino Unido;0
Ambos sexos;14020 Conquista;Alemania;0
Ambos sexos;14020 Conquista;Total Africa;0
Ambos sexos;14020 Conquista;Marruecos;0
Ambos sexos;14020 Conquista;Total América;0
Ambos sexos;14020 Conquista;Colombia;0
Ambos sexos;14020 Conquista;Ecuador;0
Ambos sexos;14020 Conquista;Total Asia;1
Ambos sexos;14020 Conquista;Resto;0
Ambos sexos;14021 Córdoba;Total Unión Europea;432
Ambos sexos;14021 Córdoba;Reino Unido;69
Ambos sexos;14021 Córdoba;Alemania;74
Ambos sexos;14021 Córdoba;Total Africa;598
Ambos sexos;14021 Córdoba;Marruecos;434
Ambos sexos;14021 Córdoba;Total América;1.343
Ambos sexos;14021 Córdoba;Colombia;396
Ambos sexos;14021 Córdoba;Ecuador;344
Ambos sexos;14021 Córdoba;Total Asia;221
Ambos sexos;14021 Córdoba;Resto;13
Ambos sexos;14022 Doña Mencía;Total Unión Europea;0
Ambos sexos;14022 Doña Mencía;Reino Unido;0
Ambos sexos;14022 Doña Mencía;Alemania;0
Ambos sexos;14022 Doña Mencía;Total Africa;18
Ambos sexos;14022 Doña Mencía;Marruecos;17
Ambos sexos;14022 Doña Mencía;Total América;16
Ambos sexos;14022 Doña Mencía;Colombia;0
Ambos sexos;14022 Doña Mencía;Ecuador;4
Ambos sexos;14022 Doña Mencía;Total Asia;0
Ambos sexos;14022 Doña Mencía;Resto;0
Ambos sexos;14023 Dos Torres;Total Unión Europea;1
Ambos sexos;14023 Dos Torres;Reino Unido;0
Ambos sexos;14023 Dos Torres;Alemania;1
Ambos sexos;14023 Dos Torres;Total Africa;0
Ambos sexos;14023 Dos Torres;Marruecos;0
Ambos sexos;14023 Dos Torres;Total América;0
Ambos sexos;14023 Dos Torres;Colombia;0
Ambos sexos;14023 Dos Torres;Ecuador;0
Ambos sexos;14023 Dos Torres;Total Asia;0
Ambos sexos;14023 Dos Torres;Resto;0
Ambos sexos;14024 Encinas Reales;Total Unión Europea;0
Ambos sexos;14024 Encinas Reales;Reino Unido;0
Ambos sexos;14024 Encinas Reales;Alemania;0
Ambos sexos;14024 Encinas Reales;Total Africa;1
Ambos sexos;14024 Encinas Reales;Marruecos;1
Ambos sexos;14024 Encinas Reales;Total América;0
Ambos sexos;14024 Encinas Reales;Colombia;0
Ambos sexos;14024 Encinas Reales;Ecuador;0
Ambos sexos;14024 Encinas Reales;Total Asia;0
Ambos sexos;14024 Encinas Reales;Resto;0
Ambos sexos;14025 Espejo;Total Unión Europea;0
Ambos sexos;14025 Espejo;Reino Unido;0
Ambos sexos;14025 Espejo;Alemania;0
Ambos sexos;14025 Espejo;Total Africa;0
Ambos sexos;14025 Espejo;Marruecos;0
Ambos sexos;14025 Espejo;Total América;2
Ambos sexos;14025 Espejo;Colombia;2
Ambos sexos;14025 Espejo;Ecuador;0
Ambos sexos;14025 Espejo;Total Asia;0
Ambos sexos;14025 Espejo;Resto;0
Ambos sexos;14026 Espiel;Total Unión Europea;0
Ambos sexos;14026 Espiel;Reino Unido;0
Ambos sexos;14026 Espiel;Alemania;0
Ambos sexos;14026 Espiel;Total Africa;5
Ambos sexos;14026 Espiel;Marruecos;3
Ambos sexos;14026 Espiel;Total América;0
Ambos sexos;14026 Espiel;Colombia;0
Ambos sexos;14026 Espiel;Ecuador;0
Ambos sexos;14026 Espiel;Total Asia;0
Ambos sexos;14026 Espiel;Resto;0
