Sexo;Municipios;País de nacimiento;Total
Ambos sexos;21003-Almendro, El;Venezuela;0
Ambos sexos;21003-Almendro, El;Total Asia;0
Ambos sexos;21003-Almendro, El;China;0
Ambos sexos;21003-Almendro, El;Pakistán;0
Ambos sexos;21003-Almendro, El;Total Oceanía;0
Ambos sexos;21004-Almonaster la Real;Total Población;1.819
Ambos sexos;21004-Almonaster la Real;Nacidos en España;1.765
Ambos sexos;21004-Almonaster la Real;Nacidos en el Extranjero;54
Ambos sexos;21004-Almonaster la Real;Total Europa;36
Ambos sexos;21004-Almonaster la Real;Total Unión Europea;30
Ambos sexos;21004-Almonaster la Real;Alemania;3
Ambos sexos;21004-Almonaster la Real;Bulgaria;4
Ambos sexos;21004-Almonaster la Real;Francia;2
Ambos sexos;21004-Almonaster la Real;Italia;0
Ambos sexos;21004-Almonaster la Real;Polonia;0
Ambos sexos;21004-Almonaster la Real;Portugal;6
Ambos sexos;21004-Almonaster la Real;Reino Unido;4
Ambos sexos;21004-Almonaster la Real;Rumanía;11
Ambos sexos;21004-Almonaster la Real;Total Europa No Comunitaria;6
Ambos sexos;21004-Almonaster la Real;Rusia;1
Ambos sexos;21004-Almonaster la Real;Ucrania;2
Ambos sexos;21004-Almonaster la Real;Total África;7
Ambos sexos;21004-Almonaster la Real;Argelia;2
Ambos sexos;21004-Almonaster la Real;Marruecos;5
Ambos sexos;21004-Almonaster la Real;Nigeria;0
Ambos sexos;21004-Almonaster la Real;Senegal;0
Ambos sexos;21004-Almonaster la Real;Total América;8
Ambos sexos;21004-Almonaster la Real;Argentina;1
Ambos sexos;21004-Almonaster la Real;Bolivia;0
Ambos sexos;21004-Almonaster la Real;Brasil;1
Ambos sexos;21004-Almonaster la Real;Colombia;2
Ambos sexos;21004-Almonaster la Real;Cuba;0
Ambos sexos;21004-Almonaster la Real;Chile;0
Ambos sexos;21004-Almonaster la Real;Ecuador;0
Ambos sexos;21004-Almonaster la Real;Paraguay;0
Ambos sexos;21004-Almonaster la Real;Perú;1
Ambos sexos;21004-Almonaster la Real;República Dominicana;1
Ambos sexos;21004-Almonaster la Real;Uruguay;1
Ambos sexos;21004-Almonaster la Real;Venezuela;0
Ambos sexos;21004-Almonaster la Real;Total Asia;3
Ambos sexos;21004-Almonaster la Real;China;1
Ambos sexos;21004-Almonaster la Real;Pakistán;0
Ambos sexos;21004-Almonaster la Real;Total Oceanía;0
Ambos sexos;21005-Almonte;Total Población;24.191
Ambos sexos;21005-Almonte;Nacidos en España;19.277
Ambos sexos;21005-Almonte;Nacidos en el Extranjero;4.914
Ambos sexos;21005-Almonte;Total Europa;3.592
Ambos sexos;21005-Almonte;Total Unión Europea;3.550
Ambos sexos;21005-Almonte;Alemania;113
Ambos sexos;21005-Almonte;Bulgaria;374
Ambos sexos;21005-Almonte;Francia;48
Ambos sexos;21005-Almonte;Italia;5
Ambos sexos;21005-Almonte;Polonia;98
Ambos sexos;21005-Almonte;Portugal;19
Ambos sexos;21005-Almonte;Reino Unido;15
Ambos sexos;21005-Almonte;Rumanía;2.837
Ambos sexos;21005-Almonte;Total Europa No Comunitaria;42
Ambos sexos;21005-Almonte;Rusia;6
Ambos sexos;21005-Almonte;Ucrania;22
Ambos sexos;21005-Almonte;Total África;904
Ambos sexos;21005-Almonte;Argelia;18
Ambos sexos;21005-Almonte;Marruecos;854
Ambos sexos;21005-Almonte;Nigeria;1
Ambos sexos;21005-Almonte;Senegal;11
Ambos sexos;21005-Almonte;Total América;373
Ambos sexos;21005-Almonte;Argentina;21
Ambos sexos;21005-Almonte;Bolivia;46
Ambos sexos;21005-Almonte;Brasil;9
Ambos sexos;21005-Almonte;Colombia;66
Ambos sexos;21005-Almonte;Cuba;28
Ambos sexos;21005-Almonte;Chile;8
Ambos sexos;21005-Almonte;Ecuador;144
Ambos sexos;21005-Almonte;Paraguay;4
Ambos sexos;21005-Almonte;Perú;8
Ambos sexos;21005-Almonte;República Dominicana;3
Ambos sexos;21005-Almonte;Uruguay;3
Ambos sexos;21005-Almonte;Venezuela;13
Ambos sexos;21005-Almonte;Total Asia;45
Ambos sexos;21005-Almonte;China;32
Ambos sexos;21005-Almonte;Pakistán;1
Ambos sexos;21005-Almonte;Total Oceanía;0
Ambos sexos;21006-Alosno;Total Población;3.923
Ambos sexos;21006-Alosno;Nacidos en España;3.786
Ambos sexos;21006-Alosno;Nacidos en el Extranjero;137
Ambos sexos;21006-Alosno;Total Europa;66
Ambos sexos;21006-Alosno;Total Unión Europea;65
Ambos sexos;21006-Alosno;Alemania;31
Ambos sexos;21006-Alosno;Bulgaria;3
Ambos sexos;21006-Alosno;Francia;1
Ambos sexos;21006-Alosno;Italia;0
