Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;027  Benizalón;Europa;2
Ambos sexos;027  Benizalón;Resto;..
Ambos sexos;028  Bentarique;Africa;..
Ambos sexos;028  Bentarique;América;..
Ambos sexos;028  Bentarique;Asia;..
Ambos sexos;028  Bentarique;Europa;..
Ambos sexos;028  Bentarique;Resto;..
Ambos sexos;029  Berja;Africa;105
Ambos sexos;029  Berja;América;13
Ambos sexos;029  Berja;Asia;1
Ambos sexos;029  Berja;Europa;49
Ambos sexos;029  Berja;Resto;..
Ambos sexos;030  Canjáyar;Africa;..
Ambos sexos;030  Canjáyar;América;2
Ambos sexos;030  Canjáyar;Asia;..
Ambos sexos;030  Canjáyar;Europa;..
Ambos sexos;030  Canjáyar;Resto;..
Ambos sexos;031  Cantoria;Africa;1
Ambos sexos;031  Cantoria;América;3
Ambos sexos;031  Cantoria;Asia;..
Ambos sexos;031  Cantoria;Europa;33
Ambos sexos;031  Cantoria;Resto;..
Ambos sexos;032  Carboneras;Africa;23
Ambos sexos;032  Carboneras;América;4
Ambos sexos;032  Carboneras;Asia;..
Ambos sexos;032  Carboneras;Europa;81
Ambos sexos;032  Carboneras;Resto;..
Ambos sexos;033  Castro de Filabres;Africa;..
Ambos sexos;033  Castro de Filabres;América;..
Ambos sexos;033  Castro de Filabres;Asia;..
Ambos sexos;033  Castro de Filabres;Europa;..
Ambos sexos;033  Castro de Filabres;Resto;..
Ambos sexos;034  Cóbdar;Africa;..
Ambos sexos;034  Cóbdar;América;..
Ambos sexos;034  Cóbdar;Asia;..
Ambos sexos;034  Cóbdar;Europa;..
Ambos sexos;034  Cóbdar;Resto;..
Ambos sexos;035  Cuevas del Almanzora;Africa;42
Ambos sexos;035  Cuevas del Almanzora;América;6
Ambos sexos;035  Cuevas del Almanzora;Asia;2
Ambos sexos;035  Cuevas del Almanzora;Europa;95
Ambos sexos;035  Cuevas del Almanzora;Resto;..
Ambos sexos;036  Chercos;Africa;..
Ambos sexos;036  Chercos;América;..
Ambos sexos;036  Chercos;Asia;..
Ambos sexos;036  Chercos;Europa;1
Ambos sexos;036  Chercos;Resto;..
Ambos sexos;037  Chirivel;Africa;..
Ambos sexos;037  Chirivel;América;..
Ambos sexos;037  Chirivel;Asia;..
Ambos sexos;037  Chirivel;Europa;2
Ambos sexos;037  Chirivel;Resto;..
Ambos sexos;038  Dalías;Africa;13
Ambos sexos;038  Dalías;América;5
Ambos sexos;038  Dalías;Asia;..
Ambos sexos;038  Dalías;Europa;6
Ambos sexos;038  Dalías;Resto;..
Ambos sexos;041  Enix;Africa;..
Ambos sexos;041  Enix;América;1
Ambos sexos;041  Enix;Asia;..
Ambos sexos;041  Enix;Europa;10
Ambos sexos;041  Enix;Resto;..
Ambos sexos;043  Felix;Africa;..
Ambos sexos;043  Felix;América;1
Ambos sexos;043  Felix;Asia;..
Ambos sexos;043  Felix;Europa;12
Ambos sexos;043  Felix;Resto;..
Ambos sexos;044  Fines;Africa;17
Ambos sexos;044  Fines;América;5
Ambos sexos;044  Fines;Asia;..
Ambos sexos;044  Fines;Europa;7
Ambos sexos;044  Fines;Resto;..
Ambos sexos;045  Fiñana;Africa;1
Ambos sexos;045  Fiñana;América;4
Ambos sexos;045  Fiñana;Asia;..
Ambos sexos;045  Fiñana;Europa;1
Ambos sexos;045  Fiñana;Resto;..
Ambos sexos;046  Fondón;Africa;..
Ambos sexos;046  Fondón;América;..
Ambos sexos;046  Fondón;Asia;..
Ambos sexos;046  Fondón;Europa;4
Ambos sexos;046  Fondón;Resto;..
Ambos sexos;047  Gádor;Africa;..
Ambos sexos;047  Gádor;América;..
Ambos sexos;047  Gádor;Asia;..
Ambos sexos;047  Gádor;Europa;4
Ambos sexos;047  Gádor;Resto;..
Ambos sexos;048  Gallardos (Los);Africa;..
Ambos sexos;048  Gallardos (Los);América;..
Ambos sexos;048  Gallardos (Los);Asia;..
Ambos sexos;048  Gallardos (Los);Europa;42
Ambos sexos;048  Gallardos (Los);Resto;..
Ambos sexos;049  Garrucha;Africa;22
Ambos sexos;049  Garrucha;América;9
Ambos sexos;049  Garrucha;Asia;7
Ambos sexos;049  Garrucha;Europa;66
Ambos sexos;049  Garrucha;Resto;..
Ambos sexos;050  Gérgal;Africa;..
Ambos sexos;050  Gérgal;América;1
Ambos sexos;050  Gérgal;Asia;..
Ambos sexos;050  Gérgal;Europa;..
Ambos sexos;050  Gérgal;Resto;..
Ambos sexos;051  Huécija;Africa;..
Ambos sexos;051  Huécija;América;..
Ambos sexos;051  Huécija;Asia;..
Ambos sexos;051  Huécija;Europa;..
Ambos sexos;051  Huécija;Resto;..
Ambos sexos;052  Huércal de Almería;Africa;..
Ambos sexos;052  Huércal de Almería;América;6
Ambos sexos;052  Huércal de Almería;Asia;4
Ambos sexos;052  Huércal de Almería;Europa;3
Ambos sexos;052  Huércal de Almería;Resto;..
Ambos sexos;053  Huércal-Overa;Africa;15
Ambos sexos;053  Huércal-Overa;América;47
Ambos sexos;053  Huércal-Overa;Asia;2
Ambos sexos;053  Huércal-Overa;Europa;25
Ambos sexos;053  Huércal-Overa;Resto;..
Ambos sexos;054  Illar;Africa;..
Ambos sexos;054  Illar;América;..
Ambos sexos;054  Illar;Asia;..
Ambos sexos;054  Illar;Europa;..
Ambos sexos;054  Illar;Resto;..
Ambos sexos;055  Instinción;Africa;..
Ambos sexos;055  Instinción;América;..
Ambos sexos;055  Instinción;Asia;..
Ambos sexos;055  Instinción;Europa;..
Ambos sexos;055  Instinción;Resto;..
Ambos sexos;056  Laroya;Africa;..
Ambos sexos;056  Laroya;América;..
Ambos sexos;056  Laroya;Asia;..
Ambos sexos;056  Laroya;Europa;..
Ambos sexos;056  Laroya;Resto;..
Ambos sexos;057  Láujar de Andarax;Africa;1
