Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;18010 Aldeire;Alemania;0
Ambos sexos;18010 Aldeire;Francia;0
Ambos sexos;18010 Aldeire;Reino Unido;1
Ambos sexos;18010 Aldeire;Resto de Europa;8
Ambos sexos;18010 Aldeire;Rumanía;0
Ambos sexos;18010 Aldeire;Total Africa;1
Ambos sexos;18010 Aldeire;Marruecos;1
Ambos sexos;18010 Aldeire;Total Am‚rica;0
Ambos sexos;18010 Aldeire;Colombia;0
Ambos sexos;18010 Aldeire;Ecuador;0
Ambos sexos;18010 Aldeire;Argentina;0
Ambos sexos;18010 Aldeire;Total Asia;0
Ambos sexos;18010 Aldeire;Oceanía;0
Ambos sexos;18011 Alfacar;Total Población;4.766
Ambos sexos;18011 Alfacar;Nacidos en el Extranjero;139
Ambos sexos;18011 Alfacar;Total Europa;65
Ambos sexos;18011 Alfacar;Total Unión Europea (25);51
Ambos sexos;18011 Alfacar;Alemania;16
Ambos sexos;18011 Alfacar;Francia;11
Ambos sexos;18011 Alfacar;Reino Unido;2
Ambos sexos;18011 Alfacar;Resto de Europa;14
Ambos sexos;18011 Alfacar;Rumanía;1
Ambos sexos;18011 Alfacar;Total Africa;12
Ambos sexos;18011 Alfacar;Marruecos;11
Ambos sexos;18011 Alfacar;Total Am‚rica;55
Ambos sexos;18011 Alfacar;Colombia;10
Ambos sexos;18011 Alfacar;Ecuador;3
Ambos sexos;18011 Alfacar;Argentina;24
Ambos sexos;18011 Alfacar;Total Asia;7
Ambos sexos;18011 Alfacar;Oceanía;0
Ambos sexos;18012 Algarinejo;Total Población;4.268
Ambos sexos;18012 Algarinejo;Nacidos en el Extranjero;25
Ambos sexos;18012 Algarinejo;Total Europa;5
Ambos sexos;18012 Algarinejo;Total Unión Europea (25);4
Ambos sexos;18012 Algarinejo;Alemania;0
Ambos sexos;18012 Algarinejo;Francia;1
Ambos sexos;18012 Algarinejo;Reino Unido;2
Ambos sexos;18012 Algarinejo;Resto de Europa;1
Ambos sexos;18012 Algarinejo;Rumanía;0
Ambos sexos;18012 Algarinejo;Total Africa;7
Ambos sexos;18012 Algarinejo;Marruecos;7
Ambos sexos;18012 Algarinejo;Total Am‚rica;13
Ambos sexos;18012 Algarinejo;Colombia;0
Ambos sexos;18012 Algarinejo;Ecuador;0
Ambos sexos;18012 Algarinejo;Argentina;0
Ambos sexos;18012 Algarinejo;Total Asia;0
Ambos sexos;18012 Algarinejo;Oceanía;0
Ambos sexos;18013 Alhama de Granada;Total Población;6.076
