Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;29006 Algatocín;Rumanía;1
Ambos sexos;29006 Algatocín;Total Africa;6
Ambos sexos;29006 Algatocín;Marruecos;4
Ambos sexos;29006 Algatocín;Total Am‚rica;12
Ambos sexos;29006 Algatocín;Argentina;1
Ambos sexos;29006 Algatocín;Bolivia;1
Ambos sexos;29006 Algatocín;Colombia;0
Ambos sexos;29006 Algatocín;Ecuador;0
Ambos sexos;29006 Algatocín;Perú;0
Ambos sexos;29006 Algatocín;Total Asia;0
Ambos sexos;29006 Algatocín;China;0
Ambos sexos;29006 Algatocín;Oceanía;0
Ambos sexos;29007 Alhaurín de la Torre;Total Población;28.509
Ambos sexos;29007 Alhaurín de la Torre;Nacidos en el Extranjero;3.094
Ambos sexos;29007 Alhaurín de la Torre;Total Europa;1.858
Ambos sexos;29007 Alhaurín de la Torre;Total Unión Europea (25);1.674
Ambos sexos;29007 Alhaurín de la Torre;Alemania;302
Ambos sexos;29007 Alhaurín de la Torre;Francia;177
Ambos sexos;29007 Alhaurín de la Torre;Italia;41
Ambos sexos;29007 Alhaurín de la Torre;Reino Unido;777
Ambos sexos;29007 Alhaurín de la Torre;Resto de Europa;184
Ambos sexos;29007 Alhaurín de la Torre;Bulgaria;10
Ambos sexos;29007 Alhaurín de la Torre;Rumanía;14
Ambos sexos;29007 Alhaurín de la Torre;Total Africa;377
Ambos sexos;29007 Alhaurín de la Torre;Marruecos;332
Ambos sexos;29007 Alhaurín de la Torre;Total Am‚rica;786
Ambos sexos;29007 Alhaurín de la Torre;Argentina;355
Ambos sexos;29007 Alhaurín de la Torre;Bolivia;21
Ambos sexos;29007 Alhaurín de la Torre;Colombia;84
Ambos sexos;29007 Alhaurín de la Torre;Ecuador;52
Ambos sexos;29007 Alhaurín de la Torre;Perú;20
Ambos sexos;29007 Alhaurín de la Torre;Total Asia;63
Ambos sexos;29007 Alhaurín de la Torre;China;33
Ambos sexos;29007 Alhaurín de la Torre;Oceanía;10
Ambos sexos;29008 Alhaurín el Grande;Total Población;20.074
Ambos sexos;29008 Alhaurín el Grande;Nacidos en el Extranjero;3.126
Ambos sexos;29008 Alhaurín el Grande;Total Europa;2.543
Ambos sexos;29008 Alhaurín el Grande;Total Unión Europea (25);2.302
Ambos sexos;29008 Alhaurín el Grande;Alemania;142
Ambos sexos;29008 Alhaurín el Grande;Francia;90
Ambos sexos;29008 Alhaurín el Grande;Italia;19
Ambos sexos;29008 Alhaurín el Grande;Reino Unido;1.770
Ambos sexos;29008 Alhaurín el Grande;Resto de Europa;241
Ambos sexos;29008 Alhaurín el Grande;Bulgaria;3
Ambos sexos;29008 Alhaurín el Grande;Rumanía;163
Ambos sexos;29008 Alhaurín el Grande;Total Africa;196
Ambos sexos;29008 Alhaurín el Grande;Marruecos;147
Ambos sexos;29008 Alhaurín el Grande;Total Am‚rica;365
Ambos sexos;29008 Alhaurín el Grande;Argentina;194
Ambos sexos;29008 Alhaurín el Grande;Bolivia;7
Ambos sexos;29008 Alhaurín el Grande;Colombia;31
Ambos sexos;29008 Alhaurín el Grande;Ecuador;24
Ambos sexos;29008 Alhaurín el Grande;Perú;1
Ambos sexos;29008 Alhaurín el Grande;Total Asia;18
Ambos sexos;29008 Alhaurín el Grande;China;3
Ambos sexos;29008 Alhaurín el Grande;Oceanía;4
Ambos sexos;29009 Almáchar;Total Población;1.898
Ambos sexos;29009 Almáchar;Nacidos en el Extranjero;39
Ambos sexos;29009 Almáchar;Total Europa;31
Ambos sexos;29009 Almáchar;Total Unión Europea (25);25
Ambos sexos;29009 Almáchar;Alemania;4
Ambos sexos;29009 Almáchar;Francia;0
Ambos sexos;29009 Almáchar;Italia;0
Ambos sexos;29009 Almáchar;Reino Unido;19
Ambos sexos;29009 Almáchar;Resto de Europa;6
Ambos sexos;29009 Almáchar;Bulgaria;0
Ambos sexos;29009 Almáchar;Rumanía;4
Ambos sexos;29009 Almáchar;Total Africa;3
Ambos sexos;29009 Almáchar;Marruecos;2
Ambos sexos;29009 Almáchar;Total Am‚rica;3
Ambos sexos;29009 Almáchar;Argentina;0
Ambos sexos;29009 Almáchar;Bolivia;0
Ambos sexos;29009 Almáchar;Colombia;1
Ambos sexos;29009 Almáchar;Ecuador;1
Ambos sexos;29009 Almáchar;Perú;0
Ambos sexos;29009 Almáchar;Total Asia;2
Ambos sexos;29009 Almáchar;China;0
Ambos sexos;29009 Almáchar;Oceanía;0
Ambos sexos;29010 Almargen;Total Población;2.106
Ambos sexos;29010 Almargen;Nacidos en el Extranjero;57
Ambos sexos;29010 Almargen;Total Europa;43
Ambos sexos;29010 Almargen;Total Unión Europea (25);20
Ambos sexos;29010 Almargen;Alemania;12
Ambos sexos;29010 Almargen;Francia;6
Ambos sexos;29010 Almargen;Italia;0
Ambos sexos;29010 Almargen;Reino Unido;1
Ambos sexos;29010 Almargen;Resto de Europa;23
Ambos sexos;29010 Almargen;Bulgaria;0
Ambos sexos;29010 Almargen;Rumanía;10
Ambos sexos;29010 Almargen;Total Africa;7
Ambos sexos;29010 Almargen;Marruecos;6
Ambos sexos;29010 Almargen;Total Am‚rica;7
Ambos sexos;29010 Almargen;Argentina;0
Ambos sexos;29010 Almargen;Bolivia;0
Ambos sexos;29010 Almargen;Colombia;2
Ambos sexos;29010 Almargen;Ecuador;4
Ambos sexos;29010 Almargen;Perú;0
Ambos sexos;29010 Almargen;Total Asia;0
Ambos sexos;29010 Almargen;China;0
Ambos sexos;29010 Almargen;Oceanía;0
Ambos sexos;29011 Almogía;Total Población;4.313
Ambos sexos;29011 Almogía;Nacidos en el Extranjero;381
Ambos sexos;29011 Almogía;Total Europa;335
Ambos sexos;29011 Almogía;Total Unión Europea (25);322
Ambos sexos;29011 Almogía;Alemania;23
Ambos sexos;29011 Almogía;Francia;5
Ambos sexos;29011 Almogía;Italia;2
Ambos sexos;29011 Almogía;Reino Unido;258
Ambos sexos;29011 Almogía;Resto de Europa;13
Ambos sexos;29011 Almogía;Bulgaria;0
Ambos sexos;29011 Almogía;Rumanía;5
Ambos sexos;29011 Almogía;Total Africa;20
Ambos sexos;29011 Almogía;Marruecos;17
Ambos sexos;29011 Almogía;Total Am‚rica;26
Ambos sexos;29011 Almogía;Argentina;6
Ambos sexos;29011 Almogía;Bolivia;13
Ambos sexos;29011 Almogía;Colombia;1
Ambos sexos;29011 Almogía;Ecuador;5
Ambos sexos;29011 Almogía;Perú;0
Ambos sexos;29011 Almogía;Total Asia;0
Ambos sexos;29011 Almogía;China;0
Ambos sexos;29011 Almogía;Oceanía;0
Ambos sexos;29012 Álora;Total Población;13.013
Ambos sexos;29012 Álora;Nacidos en el Extranjero;851
Ambos sexos;29012 Álora;Total Europa;680
Ambos sexos;29012 Álora;Total Unión Europea (25);581
Ambos sexos;29012 Álora;Alemania;49
Ambos sexos;29012 Álora;Francia;21
Ambos sexos;29012 Álora;Italia;4
Ambos sexos;29012 Álora;Reino Unido;453
Ambos sexos;29012 Álora;Resto de Europa;99
Ambos sexos;29012 Álora;Bulgaria;20
Ambos sexos;29012 Álora;Rumanía;55
