Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;025  Paterna de Rivera;Asia;..
Ambos sexos;025  Paterna de Rivera;Europa;1
Ambos sexos;025  Paterna de Rivera;Resto;..
Ambos sexos;026  Prado del Rey;Africa;5
Ambos sexos;026  Prado del Rey;América;6
Ambos sexos;026  Prado del Rey;Asia;..
Ambos sexos;026  Prado del Rey;Europa;9
Ambos sexos;026  Prado del Rey;Resto;..
Ambos sexos;027  Puerto de Santa María (El);Africa;70
Ambos sexos;027  Puerto de Santa María (El);América;435
Ambos sexos;027  Puerto de Santa María (El);Asia;57
Ambos sexos;027  Puerto de Santa María (El);Europa;238
Ambos sexos;027  Puerto de Santa María (El);Resto;..
Ambos sexos;028  Puerto Real;Africa;87
Ambos sexos;028  Puerto Real;América;24
Ambos sexos;028  Puerto Real;Asia;6
Ambos sexos;028  Puerto Real;Europa;54
Ambos sexos;028  Puerto Real;Resto;1
Ambos sexos;029  Puerto Serrano;Africa;..
Ambos sexos;029  Puerto Serrano;América;..
Ambos sexos;029  Puerto Serrano;Asia;..
Ambos sexos;029  Puerto Serrano;Europa;..
Ambos sexos;029  Puerto Serrano;Resto;..
Ambos sexos;030  Rota;Africa;74
Ambos sexos;030  Rota;América;395
Ambos sexos;030  Rota;Asia;26
Ambos sexos;030  Rota;Europa;89
Ambos sexos;030  Rota;Resto;3
Ambos sexos;031  San Fernando;Africa;200
Ambos sexos;031  San Fernando;América;178
Ambos sexos;031  San Fernando;Asia;47
Ambos sexos;031  San Fernando;Europa;311
Ambos sexos;031  San Fernando;Resto;2
Ambos sexos;032  Sanlúcar de Barrameda;Africa;72
Ambos sexos;032  Sanlúcar de Barrameda;América;37
Ambos sexos;032  Sanlúcar de Barrameda;Asia;25
Ambos sexos;032  Sanlúcar de Barrameda;Europa;82
Ambos sexos;032  Sanlúcar de Barrameda;Resto;..
Ambos sexos;033  San Roque;Africa;42
Ambos sexos;033  San Roque;América;87
Ambos sexos;033  San Roque;Asia;77
Ambos sexos;033  San Roque;Europa;548
Ambos sexos;033  San Roque;Resto;..
Ambos sexos;034  Setenil de las Bodegas;Africa;1
Ambos sexos;034  Setenil de las Bodegas;América;1
Ambos sexos;034  Setenil de las Bodegas;Asia;..
Ambos sexos;034  Setenil de las Bodegas;Europa;1
Ambos sexos;034  Setenil de las Bodegas;Resto;..
Ambos sexos;035  Tarifa;Africa;20
Ambos sexos;035  Tarifa;América;17
Ambos sexos;035  Tarifa;Asia;3
Ambos sexos;035  Tarifa;Europa;256
Ambos sexos;035  Tarifa;Resto;..
Ambos sexos;036  Torre Alháquime;Africa;..
Ambos sexos;036  Torre Alháquime;América;..
Ambos sexos;036  Torre Alháquime;Asia;..
Ambos sexos;036  Torre Alháquime;Europa;4
Ambos sexos;036  Torre Alháquime;Resto;..
Ambos sexos;037  Trebujena;Africa;10
Ambos sexos;037  Trebujena;América;3
Ambos sexos;037  Trebujena;Asia;..
Ambos sexos;037  Trebujena;Europa;10
Ambos sexos;037  Trebujena;Resto;..
Ambos sexos;038  Ubrique;Africa;8
Ambos sexos;038  Ubrique;América;11
Ambos sexos;038  Ubrique;Asia;2
Ambos sexos;038  Ubrique;Europa;3
Ambos sexos;038  Ubrique;Resto;..
Ambos sexos;039  Vejer de la Frontera;Africa;2
Ambos sexos;039  Vejer de la Frontera;América;3
Ambos sexos;039  Vejer de la Frontera;Asia;1
Ambos sexos;039  Vejer de la Frontera;Europa;57
Ambos sexos;039  Vejer de la Frontera;Resto;..
Ambos sexos;040  Villaluenga del Rosario;Africa;..
Ambos sexos;040  Villaluenga del Rosario;América;..
Ambos sexos;040  Villaluenga del Rosario;Asia;..
Ambos sexos;040  Villaluenga del Rosario;Europa;..
Ambos sexos;040  Villaluenga del Rosario;Resto;..
Ambos sexos;041  Villamartín;Africa;13
Ambos sexos;041  Villamartín;América;2
Ambos sexos;041  Villamartín;Asia;..
Ambos sexos;041  Villamartín;Europa;10
Ambos sexos;041  Villamartín;Resto;1
Ambos sexos;042  Zahara;Africa;2
Ambos sexos;042  Zahara;América;..
Ambos sexos;042  Zahara;Asia;..
Ambos sexos;042  Zahara;Europa;3
Ambos sexos;042  Zahara;Resto;..
Ambos sexos;901  Benalup;Africa;1
Ambos sexos;901  Benalup;América;1
Ambos sexos;901  Benalup;Asia;..
Ambos sexos;901  Benalup;Europa;3
Ambos sexos;901  Benalup;Resto;..
Ambos sexos;902  San José del Valle;Africa;2
Ambos sexos;902  San José del Valle;América;1
Ambos sexos;902  San José del Valle;Asia;..
Ambos sexos;902  San José del Valle;Europa;2
Ambos sexos;902  San José del Valle;Resto;..
