Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;030  Bérchules;Resto;..
Ambos sexos;032  Bubión;Africa;3
Ambos sexos;032  Bubión;América;9
Ambos sexos;032  Bubión;Asia;3
Ambos sexos;032  Bubión;Europa;20
Ambos sexos;032  Bubión;Resto;..
Ambos sexos;033  Busquístar;Africa;..
Ambos sexos;033  Busquístar;América;..
Ambos sexos;033  Busquístar;Asia;..
Ambos sexos;033  Busquístar;Europa;2
Ambos sexos;033  Busquístar;Resto;..
Ambos sexos;034  Cacín;Africa;..
Ambos sexos;034  Cacín;América;..
Ambos sexos;034  Cacín;Asia;..
Ambos sexos;034  Cacín;Europa;1
Ambos sexos;034  Cacín;Resto;..
Ambos sexos;035  Cádiar;Africa;..
Ambos sexos;035  Cádiar;América;..
Ambos sexos;035  Cádiar;Asia;..
Ambos sexos;035  Cádiar;Europa;8
Ambos sexos;035  Cádiar;Resto;..
Ambos sexos;036  Cájar;Africa;2
Ambos sexos;036  Cájar;América;1
Ambos sexos;036  Cájar;Asia;..
Ambos sexos;036  Cájar;Europa;12
Ambos sexos;036  Cájar;Resto;..
Ambos sexos;037  Calicasas;Africa;..
Ambos sexos;037  Calicasas;América;..
Ambos sexos;037  Calicasas;Asia;..
Ambos sexos;037  Calicasas;Europa;..
Ambos sexos;037  Calicasas;Resto;..
Ambos sexos;038  Campotéjar;Africa;1
Ambos sexos;038  Campotéjar;América;..
Ambos sexos;038  Campotéjar;Asia;..
Ambos sexos;038  Campotéjar;Europa;4
Ambos sexos;038  Campotéjar;Resto;..
Ambos sexos;039  Caniles;Africa;4
Ambos sexos;039  Caniles;América;3
Ambos sexos;039  Caniles;Asia;..
Ambos sexos;039  Caniles;Europa;4
Ambos sexos;039  Caniles;Resto;..
Ambos sexos;040  Cáñar;Africa;..
Ambos sexos;040  Cáñar;América;..
Ambos sexos;040  Cáñar;Asia;..
Ambos sexos;040  Cáñar;Europa;12
Ambos sexos;040  Cáñar;Resto;..
Ambos sexos;042  Capileira;Africa;2
Ambos sexos;042  Capileira;América;..
Ambos sexos;042  Capileira;Asia;..
Ambos sexos;042  Capileira;Europa;3
Ambos sexos;042  Capileira;Resto;..
Ambos sexos;043  Carataunas;Africa;..
Ambos sexos;043  Carataunas;América;2
Ambos sexos;043  Carataunas;Asia;2
Ambos sexos;043  Carataunas;Europa;10
Ambos sexos;043  Carataunas;Resto;..
Ambos sexos;044  Cástaras;Africa;..
Ambos sexos;044  Cástaras;América;..
Ambos sexos;044  Cástaras;Asia;..
Ambos sexos;044  Cástaras;Europa;3
Ambos sexos;044  Cástaras;Resto;..
Ambos sexos;045  Castilléjar;Africa;1
Ambos sexos;045  Castilléjar;América;8
Ambos sexos;045  Castilléjar;Asia;..
Ambos sexos;045  Castilléjar;Europa;5
Ambos sexos;045  Castilléjar;Resto;..
Ambos sexos;046  Castril;Africa;..
Ambos sexos;046  Castril;América;4
Ambos sexos;046  Castril;Asia;..
Ambos sexos;046  Castril;Europa;1
Ambos sexos;046  Castril;Resto;..
Ambos sexos;047  Cenes de la Vega;Africa;8
Ambos sexos;047  Cenes de la Vega;América;20
Ambos sexos;047  Cenes de la Vega;Asia;3
Ambos sexos;047  Cenes de la Vega;Europa;18
Ambos sexos;047  Cenes de la Vega;Resto;..
Ambos sexos;048  Cijuela;Africa;..
Ambos sexos;048  Cijuela;América;..
Ambos sexos;048  Cijuela;Asia;..
Ambos sexos;048  Cijuela;Europa;1
Ambos sexos;048  Cijuela;Resto;..
Ambos sexos;049  Cogollos de Guadix;Africa;..
Ambos sexos;049  Cogollos de Guadix;América;..
Ambos sexos;049  Cogollos de Guadix;Asia;..
Ambos sexos;049  Cogollos de Guadix;Europa;9
Ambos sexos;049  Cogollos de Guadix;Resto;..
Ambos sexos;050  Cogollos de la Vega;Africa;..
Ambos sexos;050  Cogollos de la Vega;América;..
Ambos sexos;050  Cogollos de la Vega;Asia;..
Ambos sexos;050  Cogollos de la Vega;Europa;1
Ambos sexos;050  Cogollos de la Vega;Resto;..
Ambos sexos;051  Colomera;Africa;..
