Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;18014 Alhendín;Total Unión Europea;20
Ambos sexos;18014 Alhendín;Reino Unido;1
Ambos sexos;18014 Alhendín;Alemania;3
Ambos sexos;18014 Alhendín;Total Africa;2
Ambos sexos;18014 Alhendín;Marruecos;0
Ambos sexos;18014 Alhendín;Total América;12
Ambos sexos;18014 Alhendín;Colombia;2
Ambos sexos;18014 Alhendín;Ecuador;1
Ambos sexos;18014 Alhendín;Total Asia;0
Ambos sexos;18014 Alhendín;Resto;0
Ambos sexos;18015 Alicún de Ortega;Total Unión Europea;0
Ambos sexos;18015 Alicún de Ortega;Reino Unido;0
Ambos sexos;18015 Alicún de Ortega;Alemania;0
Ambos sexos;18015 Alicún de Ortega;Total Africa;0
Ambos sexos;18015 Alicún de Ortega;Marruecos;0
Ambos sexos;18015 Alicún de Ortega;Total América;0
Ambos sexos;18015 Alicún de Ortega;Colombia;0
Ambos sexos;18015 Alicún de Ortega;Ecuador;0
Ambos sexos;18015 Alicún de Ortega;Total Asia;0
Ambos sexos;18015 Alicún de Ortega;Resto;0
Ambos sexos;18016 Almegíjar;Total Unión Europea;1
Ambos sexos;18016 Almegíjar;Reino Unido;0
Ambos sexos;18016 Almegíjar;Alemania;1
Ambos sexos;18016 Almegíjar;Total Africa;0
Ambos sexos;18016 Almegíjar;Marruecos;0
Ambos sexos;18016 Almegíjar;Total América;1
Ambos sexos;18016 Almegíjar;Colombia;0
Ambos sexos;18016 Almegíjar;Ecuador;0
Ambos sexos;18016 Almegíjar;Total Asia;0
Ambos sexos;18016 Almegíjar;Resto;0
Ambos sexos;18017 Almuñécar;Total Unión Europea;1.653
Ambos sexos;18017 Almuñécar;Reino Unido;376
Ambos sexos;18017 Almuñécar;Alemania;335
Ambos sexos;18017 Almuñécar;Total Africa;127
Ambos sexos;18017 Almuñécar;Marruecos;114
Ambos sexos;18017 Almuñécar;Total América;243
Ambos sexos;18017 Almuñécar;Colombia;27
Ambos sexos;18017 Almuñécar;Ecuador;24
Ambos sexos;18017 Almuñécar;Total Asia;26
Ambos sexos;18017 Almuñécar;Resto;4
Ambos sexos;18018 Alquife;Total Unión Europea;0
Ambos sexos;18018 Alquife;Reino Unido;0
Ambos sexos;18018 Alquife;Alemania;0
Ambos sexos;18018 Alquife;Total Africa;0
Ambos sexos;18018 Alquife;Marruecos;0
Ambos sexos;18018 Alquife;Total América;0
Ambos sexos;18018 Alquife;Colombia;0
Ambos sexos;18018 Alquife;Ecuador;0
Ambos sexos;18018 Alquife;Total Asia;0
Ambos sexos;18018 Alquife;Resto;0
Ambos sexos;18020 Arenas del Rey;Total Unión Europea;22
Ambos sexos;18020 Arenas del Rey;Reino Unido;1
Ambos sexos;18020 Arenas del Rey;Alemania;18
Ambos sexos;18020 Arenas del Rey;Total Africa;7
Ambos sexos;18020 Arenas del Rey;Marruecos;4
Ambos sexos;18020 Arenas del Rey;Total América;2
Ambos sexos;18020 Arenas del Rey;Colombia;0
Ambos sexos;18020 Arenas del Rey;Ecuador;0
Ambos sexos;18020 Arenas del Rey;Total Asia;0
Ambos sexos;18020 Arenas del Rey;Resto;0
Ambos sexos;18021 Armilla;Total Unión Europea;42
Ambos sexos;18021 Armilla;Reino Unido;3
Ambos sexos;18021 Armilla;Alemania;4
Ambos sexos;18021 Armilla;Total Africa;78
Ambos sexos;18021 Armilla;Marruecos;61
Ambos sexos;18021 Armilla;Total América;99
Ambos sexos;18021 Armilla;Colombia;35
Ambos sexos;18021 Armilla;Ecuador;6
Ambos sexos;18021 Armilla;Total Asia;12
Ambos sexos;18021 Armilla;Resto;1
