Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;23005-Andújar;Marruecos;118
Ambos sexos;23005-Andújar;Total América;267
Ambos sexos;23005-Andújar;Argentina;20
Ambos sexos;23005-Andújar;Bolivia;39
Ambos sexos;23005-Andújar;Colombia;73
Ambos sexos;23005-Andújar;Ecuador;41
Ambos sexos;23005-Andújar;Perú;14
Ambos sexos;23005-Andújar;Total Asia;36
Ambos sexos;23005-Andújar;China;15
Ambos sexos;23005-Andújar;Oceanía;0
Ambos sexos;23006-Arjona;Total Población;5.775
Ambos sexos;23006-Arjona;Nacidos en el Extranjero;59
Ambos sexos;23006-Arjona;Total Europa;27
Ambos sexos;23006-Arjona;Total Unión Europea (25);16
Ambos sexos;23006-Arjona;Alemania;12
Ambos sexos;23006-Arjona;Francia;1
Ambos sexos;23006-Arjona;Italia;1
Ambos sexos;23006-Arjona;Reino Unido;0
Ambos sexos;23006-Arjona;Resto de Europa;11
Ambos sexos;23006-Arjona;Bulgaria;0
Ambos sexos;23006-Arjona;Rumanía;9
Ambos sexos;23006-Arjona;Total Africa;14
Ambos sexos;23006-Arjona;Marruecos;9
Ambos sexos;23006-Arjona;Total América;16
Ambos sexos;23006-Arjona;Argentina;0
Ambos sexos;23006-Arjona;Bolivia;0
Ambos sexos;23006-Arjona;Colombia;4
Ambos sexos;23006-Arjona;Ecuador;7
Ambos sexos;23006-Arjona;Perú;0
Ambos sexos;23006-Arjona;Total Asia;2
Ambos sexos;23006-Arjona;China;2
Ambos sexos;23006-Arjona;Oceanía;0
Ambos sexos;23007-Arjonilla;Total Población;3.908
Ambos sexos;23007-Arjonilla;Nacidos en el Extranjero;60
Ambos sexos;23007-Arjonilla;Total Europa;11
Ambos sexos;23007-Arjonilla;Total Unión Europea (25);5
Ambos sexos;23007-Arjonilla;Alemania;0
Ambos sexos;23007-Arjonilla;Francia;2
Ambos sexos;23007-Arjonilla;Italia;0
Ambos sexos;23007-Arjonilla;Reino Unido;0
Ambos sexos;23007-Arjonilla;Resto de Europa;6
Ambos sexos;23007-Arjonilla;Bulgaria;0
Ambos sexos;23007-Arjonilla;Rumanía;1
Ambos sexos;23007-Arjonilla;Total Africa;33
Ambos sexos;23007-Arjonilla;Marruecos;29
Ambos sexos;23007-Arjonilla;Total América;16
Ambos sexos;23007-Arjonilla;Argentina;3
Ambos sexos;23007-Arjonilla;Bolivia;0
Ambos sexos;23007-Arjonilla;Colombia;0
Ambos sexos;23007-Arjonilla;Ecuador;5
Ambos sexos;23007-Arjonilla;Perú;1
Ambos sexos;23007-Arjonilla;Total Asia;0
Ambos sexos;23007-Arjonilla;China;0
Ambos sexos;23007-Arjonilla;Oceanía;0
Ambos sexos;23008-Arquillos;Total Población;1.985
Ambos sexos;23008-Arquillos;Nacidos en el Extranjero;70
Ambos sexos;23008-Arquillos;Total Europa;19
Ambos sexos;23008-Arquillos;Total Unión Europea (25);5
Ambos sexos;23008-Arquillos;Alemania;0
Ambos sexos;23008-Arquillos;Francia;3
Ambos sexos;23008-Arquillos;Italia;0
Ambos sexos;23008-Arquillos;Reino Unido;0
Ambos sexos;23008-Arquillos;Resto de Europa;14
Ambos sexos;23008-Arquillos;Bulgaria;12
Ambos sexos;23008-Arquillos;Rumanía;2
Ambos sexos;23008-Arquillos;Total Africa;43
Ambos sexos;23008-Arquillos;Marruecos;30
Ambos sexos;23008-Arquillos;Total América;6
Ambos sexos;23008-Arquillos;Argentina;0
Ambos sexos;23008-Arquillos;Bolivia;0
Ambos sexos;23008-Arquillos;Colombia;0
Ambos sexos;23008-Arquillos;Ecuador;0
Ambos sexos;23008-Arquillos;Perú;1
Ambos sexos;23008-Arquillos;Total Asia;1
Ambos sexos;23008-Arquillos;China;1
Ambos sexos;23008-Arquillos;Oceanía;1
Ambos sexos;23009-Baeza;Total Población;16.056
Ambos sexos;23009-Baeza;Nacidos en el Extranjero;368
Ambos sexos;23009-Baeza;Total Europa;112
Ambos sexos;23009-Baeza;Total Unión Europea (25);49
Ambos sexos;23009-Baeza;Alemania;4
Ambos sexos;23009-Baeza;Francia;21
Ambos sexos;23009-Baeza;Italia;2
Ambos sexos;23009-Baeza;Reino Unido;3
Ambos sexos;23009-Baeza;Resto de Europa;63
Ambos sexos;23009-Baeza;Bulgaria;5
Ambos sexos;23009-Baeza;Rumanía;41
Ambos sexos;23009-Baeza;Total Africa;166
Ambos sexos;23009-Baeza;Marruecos;147
Ambos sexos;23009-Baeza;Total América;78
Ambos sexos;23009-Baeza;Argentina;8
Ambos sexos;23009-Baeza;Bolivia;1
Ambos sexos;23009-Baeza;Colombia;7
Ambos sexos;23009-Baeza;Ecuador;27
Ambos sexos;23009-Baeza;Perú;7
Ambos sexos;23009-Baeza;Total Asia;12
Ambos sexos;23009-Baeza;China;8
Ambos sexos;23009-Baeza;Oceanía;0
Ambos sexos;23010-Bailén;Total Población;18.362
Ambos sexos;23010-Bailén;Nacidos en el Extranjero;375
Ambos sexos;23010-Bailén;Total Europa;115
Ambos sexos;23010-Bailén;Total Unión Europea (25);31
Ambos sexos;23010-Bailén;Alemania;5
Ambos sexos;23010-Bailén;Francia;7
Ambos sexos;23010-Bailén;Italia;3
Ambos sexos;23010-Bailén;Reino Unido;6
Ambos sexos;23010-Bailén;Resto de Europa;84
Ambos sexos;23010-Bailén;Bulgaria;0
Ambos sexos;23010-Bailén;Rumanía;61
Ambos sexos;23010-Bailén;Total Africa;140
Ambos sexos;23010-Bailén;Marruecos;79
Ambos sexos;23010-Bailén;Total América;82
Ambos sexos;23010-Bailén;Argentina;9
Ambos sexos;23010-Bailén;Bolivia;5
Ambos sexos;23010-Bailén;Colombia;20
Ambos sexos;23010-Bailén;Ecuador;20
Ambos sexos;23010-Bailén;Perú;7
Ambos sexos;23010-Bailén;Total Asia;38
Ambos sexos;23010-Bailén;China;7
Ambos sexos;23010-Bailén;Oceanía;0
Ambos sexos;23011-Baños de la Encina;Total Población;2.715
Ambos sexos;23011-Baños de la Encina;Nacidos en el Extranjero;25
Ambos sexos;23011-Baños de la Encina;Total Europa;4
Ambos sexos;23011-Baños de la Encina;Total Unión Europea (25);3
Ambos sexos;23011-Baños de la Encina;Alemania;0
Ambos sexos;23011-Baños de la Encina;Francia;1
Ambos sexos;23011-Baños de la Encina;Italia;0
Ambos sexos;23011-Baños de la Encina;Reino Unido;1
Ambos sexos;23011-Baños de la Encina;Resto de Europa;1
Ambos sexos;23011-Baños de la Encina;Bulgaria;0
Ambos sexos;23011-Baños de la Encina;Rumanía;0
Ambos sexos;23011-Baños de la Encina;Total Africa;6
Ambos sexos;23011-Baños de la Encina;Marruecos;5
Ambos sexos;23011-Baños de la Encina;Total América;13
Ambos sexos;23011-Baños de la Encina;Argentina;5
Ambos sexos;23011-Baños de la Encina;Bolivia;1
Ambos sexos;23011-Baños de la Encina;Colombia;3
Ambos sexos;23011-Baños de la Encina;Ecuador;0
Ambos sexos;23011-Baños de la Encina;Perú;0
Ambos sexos;23011-Baños de la Encina;Total Asia;2
Ambos sexos;23011-Baños de la Encina;China;0
Ambos sexos;23011-Baños de la Encina;Oceanía;0
Ambos sexos;23012-Beas de Segura;Total Población;5.467
Ambos sexos;23012-Beas de Segura;Nacidos en el Extranjero;246
Ambos sexos;23012-Beas de Segura;Total Europa;53
Ambos sexos;23012-Beas de Segura;Total Unión Europea (25);21
Ambos sexos;23012-Beas de Segura;Alemania;4
Ambos sexos;23012-Beas de Segura;Francia;6
Ambos sexos;23012-Beas de Segura;Italia;0
Ambos sexos;23012-Beas de Segura;Reino Unido;5
Ambos sexos;23012-Beas de Segura;Resto de Europa;32
Ambos sexos;23012-Beas de Segura;Bulgaria;0
Ambos sexos;23012-Beas de Segura;Rumanía;27
Ambos sexos;23012-Beas de Segura;Total Africa;164
Ambos sexos;23012-Beas de Segura;Marruecos;162
Ambos sexos;23012-Beas de Segura;Total América;28
Ambos sexos;23012-Beas de Segura;Argentina;0
Ambos sexos;23012-Beas de Segura;Bolivia;6
Ambos sexos;23012-Beas de Segura;Colombia;14
Ambos sexos;23012-Beas de Segura;Ecuador;0
Ambos sexos;23012-Beas de Segura;Perú;1
Ambos sexos;23012-Beas de Segura;Total Asia;1
Ambos sexos;23012-Beas de Segura;China;0
Ambos sexos;23012-Beas de Segura;Oceanía;0
Ambos sexos;23014-Begíjar;Total Población;3.101
Ambos sexos;23014-Begíjar;Nacidos en el Extranjero;21
Ambos sexos;23014-Begíjar;Total Europa;14
Ambos sexos;23014-Begíjar;Total Unión Europea (25);7
Ambos sexos;23014-Begíjar;Alemania;2
Ambos sexos;23014-Begíjar;Francia;3
Ambos sexos;23014-Begíjar;Italia;0
Ambos sexos;23014-Begíjar;Reino Unido;1
Ambos sexos;23014-Begíjar;Resto de Europa;7
Ambos sexos;23014-Begíjar;Bulgaria;0
Ambos sexos;23014-Begíjar;Rumanía;5
Ambos sexos;23014-Begíjar;Total Africa;1
Ambos sexos;23014-Begíjar;Marruecos;0
Ambos sexos;23014-Begíjar;Total América;6
Ambos sexos;23014-Begíjar;Argentina;0
Ambos sexos;23014-Begíjar;Bolivia;0
Ambos sexos;23014-Begíjar;Colombia;2
Ambos sexos;23014-Begíjar;Ecuador;3
Ambos sexos;23014-Begíjar;Perú;0
Ambos sexos;23014-Begíjar;Total Asia;0
Ambos sexos;23014-Begíjar;China;0
Ambos sexos;23014-Begíjar;Oceanía;0
Ambos sexos;23015-Bélmez de la Moraleda;Total Población;1.922
Ambos sexos;23015-Bélmez de la Moraleda;Nacidos en el Extranjero;81
Ambos sexos;23015-Bélmez de la Moraleda;Total Europa;21
Ambos sexos;23015-Bélmez de la Moraleda;Total Unión Europea (25);4
Ambos sexos;23015-Bélmez de la Moraleda;Alemania;0
Ambos sexos;23015-Bélmez de la Moraleda;Francia;2
Ambos sexos;23015-Bélmez de la Moraleda;Italia;0
Ambos sexos;23015-Bélmez de la Moraleda;Reino Unido;0
Ambos sexos;23015-Bélmez de la Moraleda;Resto de Europa;17
Ambos sexos;23015-Bélmez de la Moraleda;Bulgaria;0
Ambos sexos;23015-Bélmez de la Moraleda;Rumanía;16
Ambos sexos;23015-Bélmez de la Moraleda;Total Africa;36
Ambos sexos;23015-Bélmez de la Moraleda;Marruecos;32
Ambos sexos;23015-Bélmez de la Moraleda;Total América;23
Ambos sexos;23015-Bélmez de la Moraleda;Argentina;0
Ambos sexos;23015-Bélmez de la Moraleda;Bolivia;21
Ambos sexos;23015-Bélmez de la Moraleda;Colombia;0
Ambos sexos;23015-Bélmez de la Moraleda;Ecuador;0
Ambos sexos;23015-Bélmez de la Moraleda;Perú;0
Ambos sexos;23015-Bélmez de la Moraleda;Total Asia;1
Ambos sexos;23015-Bélmez de la Moraleda;China;0
Ambos sexos;23015-Bélmez de la Moraleda;Oceanía;0
Ambos sexos;23016-Benatae;Total Población;586
Ambos sexos;23016-Benatae;Nacidos en el Extranjero;39
Ambos sexos;23016-Benatae;Total Europa;13
Ambos sexos;23016-Benatae;Total Unión Europea (25);13
Ambos sexos;23016-Benatae;Alemania;1
Ambos sexos;23016-Benatae;Francia;8
Ambos sexos;23016-Benatae;Italia;0
Ambos sexos;23016-Benatae;Reino Unido;1
Ambos sexos;23016-Benatae;Resto de Europa;0
Ambos sexos;23016-Benatae;Bulgaria;0
