Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;21024 Corteconcepción;Asia;1
Ambos sexos;21024 Corteconcepción;Europa;3
Ambos sexos;21024 Corteconcepción;Resto;..
Ambos sexos;21025 Cortegana;Africa;5
Ambos sexos;21025 Cortegana;América;7
Ambos sexos;21025 Cortegana;Asia;..
Ambos sexos;21025 Cortegana;Europa;36
Ambos sexos;21025 Cortegana;Resto;..
Ambos sexos;21026 Cortelazor;Africa;..
Ambos sexos;21026 Cortelazor;América;..
Ambos sexos;21026 Cortelazor;Asia;..
Ambos sexos;21026 Cortelazor;Europa;..
Ambos sexos;21026 Cortelazor;Resto;..
Ambos sexos;21027 Cumbres de Enmedio;Africa;..
Ambos sexos;21027 Cumbres de Enmedio;América;..
Ambos sexos;21027 Cumbres de Enmedio;Asia;..
Ambos sexos;21027 Cumbres de Enmedio;Europa;..
Ambos sexos;21027 Cumbres de Enmedio;Resto;..
Ambos sexos;21028 Cumbres de San Bartolomé;Africa;..
Ambos sexos;21028 Cumbres de San Bartolomé;América;..
Ambos sexos;21028 Cumbres de San Bartolomé;Asia;..
Ambos sexos;21028 Cumbres de San Bartolomé;Europa;..
Ambos sexos;21028 Cumbres de San Bartolomé;Resto;..
Ambos sexos;21029 Cumbres Mayores;Africa;..
Ambos sexos;21029 Cumbres Mayores;América;..
Ambos sexos;21029 Cumbres Mayores;Asia;..
Ambos sexos;21029 Cumbres Mayores;Europa;3
Ambos sexos;21029 Cumbres Mayores;Resto;..
Ambos sexos;21030 Chucena;Africa;..
Ambos sexos;21030 Chucena;América;1
Ambos sexos;21030 Chucena;Asia;..
Ambos sexos;21030 Chucena;Europa;..
Ambos sexos;21030 Chucena;Resto;..
Ambos sexos;21031 Encinasola;Africa;..
Ambos sexos;21031 Encinasola;América;..
Ambos sexos;21031 Encinasola;Asia;..
Ambos sexos;21031 Encinasola;Europa;4
Ambos sexos;21031 Encinasola;Resto;..
Ambos sexos;21032 Escacena del Campo;Africa;..
Ambos sexos;21032 Escacena del Campo;América;2
Ambos sexos;21032 Escacena del Campo;Asia;..
Ambos sexos;21032 Escacena del Campo;Europa;..
Ambos sexos;21032 Escacena del Campo;Resto;..
Ambos sexos;21033 Fuenteheridos;Africa;..
Ambos sexos;21033 Fuenteheridos;América;1
Ambos sexos;21033 Fuenteheridos;Asia;..
Ambos sexos;21033 Fuenteheridos;Europa;3
Ambos sexos;21033 Fuenteheridos;Resto;..
Ambos sexos;21034 Galaroza;Africa;2
Ambos sexos;21034 Galaroza;América;..
Ambos sexos;21034 Galaroza;Asia;..
Ambos sexos;21034 Galaroza;Europa;12
Ambos sexos;21034 Galaroza;Resto;..
