Sexo;Municipios;País de nacimiento;Total
Ambos sexos;21003-Almendro, El;Venezuela;0
Ambos sexos;21003-Almendro, El;Total Asia;0
Ambos sexos;21003-Almendro, El;China;0
Ambos sexos;21003-Almendro, El;Pakistán;0
Ambos sexos;21003-Almendro, El;Total Oceanía;0
Ambos sexos;21004-Almonaster la Real;Total Población;1.849
Ambos sexos;21004-Almonaster la Real;Nacidos en España;1.770
Ambos sexos;21004-Almonaster la Real;Nacidos en el Extranjero;79
Ambos sexos;21004-Almonaster la Real;Total Europa;54
Ambos sexos;21004-Almonaster la Real;Total Unión Europea;48
Ambos sexos;21004-Almonaster la Real;Alemania;2
Ambos sexos;21004-Almonaster la Real;Bulgaria;0
Ambos sexos;21004-Almonaster la Real;Francia;3
Ambos sexos;21004-Almonaster la Real;Italia;1
Ambos sexos;21004-Almonaster la Real;Polonia;1
Ambos sexos;21004-Almonaster la Real;Portugal;18
Ambos sexos;21004-Almonaster la Real;Reino Unido;7
Ambos sexos;21004-Almonaster la Real;Rumanía;14
Ambos sexos;21004-Almonaster la Real;Total Europa No Comunitaria;6
Ambos sexos;21004-Almonaster la Real;Rusia;1
Ambos sexos;21004-Almonaster la Real;Ucrania;2
Ambos sexos;21004-Almonaster la Real;Total Africa;9
Ambos sexos;21004-Almonaster la Real;Argelia;2
Ambos sexos;21004-Almonaster la Real;Marruecos;6
Ambos sexos;21004-Almonaster la Real;Nigeria;0
Ambos sexos;21004-Almonaster la Real;Senegal;0
Ambos sexos;21004-Almonaster la Real;Total América;15
Ambos sexos;21004-Almonaster la Real;Argentina;2
Ambos sexos;21004-Almonaster la Real;Bolivia;0
Ambos sexos;21004-Almonaster la Real;Brasil;1
Ambos sexos;21004-Almonaster la Real;Colombia;1
Ambos sexos;21004-Almonaster la Real;Cuba;0
Ambos sexos;21004-Almonaster la Real;Chile;0
Ambos sexos;21004-Almonaster la Real;Ecuador;0
Ambos sexos;21004-Almonaster la Real;Paraguay;0
Ambos sexos;21004-Almonaster la Real;Perú;8
Ambos sexos;21004-Almonaster la Real;Rep. Dominicana;0
Ambos sexos;21004-Almonaster la Real;Uruguay;0
Ambos sexos;21004-Almonaster la Real;Venezuela;0
Ambos sexos;21004-Almonaster la Real;Total Asia;1
Ambos sexos;21004-Almonaster la Real;China;1
Ambos sexos;21004-Almonaster la Real;Pakistán;0
Ambos sexos;21004-Almonaster la Real;Total Oceanía;0
Ambos sexos;21005-Almonte;Total Población;22.525
Ambos sexos;21005-Almonte;Nacidos en España;18.666
Ambos sexos;21005-Almonte;Nacidos en el Extranjero;3.859
Ambos sexos;21005-Almonte;Total Europa;3.010
Ambos sexos;21005-Almonte;Total Unión Europea;2.976
Ambos sexos;21005-Almonte;Alemania;162
Ambos sexos;21005-Almonte;Bulgaria;191
Ambos sexos;21005-Almonte;Francia;40
Ambos sexos;21005-Almonte;Italia;14
Ambos sexos;21005-Almonte;Polonia;277
Ambos sexos;21005-Almonte;Portugal;102
Ambos sexos;21005-Almonte;Reino Unido;20
Ambos sexos;21005-Almonte;Rumanía;2.101
Ambos sexos;21005-Almonte;Total Europa No Comunitaria;34
Ambos sexos;21005-Almonte;Rusia;4
Ambos sexos;21005-Almonte;Ucrania;15
Ambos sexos;21005-Almonte;Total Africa;412
Ambos sexos;21005-Almonte;Argelia;18
Ambos sexos;21005-Almonte;Marruecos;374
Ambos sexos;21005-Almonte;Nigeria;0
Ambos sexos;21005-Almonte;Senegal;7
Ambos sexos;21005-Almonte;Total América;411
Ambos sexos;21005-Almonte;Argentina;16
Ambos sexos;21005-Almonte;Bolivia;47
Ambos sexos;21005-Almonte;Brasil;9
Ambos sexos;21005-Almonte;Colombia;76
Ambos sexos;21005-Almonte;Cuba;24
Ambos sexos;21005-Almonte;Chile;10
Ambos sexos;21005-Almonte;Ecuador;181
Ambos sexos;21005-Almonte;Paraguay;7
Ambos sexos;21005-Almonte;Perú;11
Ambos sexos;21005-Almonte;Rep. Dominicana;1
Ambos sexos;21005-Almonte;Uruguay;7
Ambos sexos;21005-Almonte;Venezuela;11
Ambos sexos;21005-Almonte;Total Asia;25
Ambos sexos;21005-Almonte;China;23
Ambos sexos;21005-Almonte;Pakistán;0
Ambos sexos;21005-Almonte;Total Oceanía;1
Ambos sexos;21006-Alosno;Total Población;4.285
Ambos sexos;21006-Alosno;Nacidos en España;4.112
Ambos sexos;21006-Alosno;Nacidos en el Extranjero;173
Ambos sexos;21006-Alosno;Total Europa;107
Ambos sexos;21006-Alosno;Total Unión Europea;103
Ambos sexos;21006-Alosno;Alemania;38
Ambos sexos;21006-Alosno;Bulgaria;13
Ambos sexos;21006-Alosno;Francia;7
