Sexo;Municipios;País de nacimiento;Total
Ambos sexos;04004-Albanchez;Nacidos en el Extranjero;295
Ambos sexos;04004-Albanchez;Total Europa;291
Ambos sexos;04004-Albanchez;Total Unión Europea;285
Ambos sexos;04004-Albanchez;Alemania;4
Ambos sexos;04004-Albanchez;Bulgaria;0
Ambos sexos;04004-Albanchez;Francia;0
Ambos sexos;04004-Albanchez;Italia;1
Ambos sexos;04004-Albanchez;Polonia;0
Ambos sexos;04004-Albanchez;Portugal;0
Ambos sexos;04004-Albanchez;Reino Unido;262
Ambos sexos;04004-Albanchez;Rumanía;2
Ambos sexos;04004-Albanchez;Total Europa No Comunitaria;6
Ambos sexos;04004-Albanchez;Rusia;0
Ambos sexos;04004-Albanchez;Ucrania;0
Ambos sexos;04004-Albanchez;Total África;0
Ambos sexos;04004-Albanchez;Argelia;0
Ambos sexos;04004-Albanchez;Marruecos;0
Ambos sexos;04004-Albanchez;Nigeria;0
Ambos sexos;04004-Albanchez;Senegal;0
Ambos sexos;04004-Albanchez;Total América;3
Ambos sexos;04004-Albanchez;Argentina;1
Ambos sexos;04004-Albanchez;Bolivia;0
Ambos sexos;04004-Albanchez;Brasil;0
Ambos sexos;04004-Albanchez;Colombia;0
Ambos sexos;04004-Albanchez;Cuba;0
Ambos sexos;04004-Albanchez;Chile;0
Ambos sexos;04004-Albanchez;Ecuador;2
Ambos sexos;04004-Albanchez;Paraguay;0
Ambos sexos;04004-Albanchez;Perú;0
Ambos sexos;04004-Albanchez;República Dominicana;0
Ambos sexos;04004-Albanchez;Uruguay;0
Ambos sexos;04004-Albanchez;Venezuela;0
Ambos sexos;04004-Albanchez;Total Asia;1
Ambos sexos;04004-Albanchez;China;0
Ambos sexos;04004-Albanchez;Pakistán;1
Ambos sexos;04004-Albanchez;Total Oceanía;0
Ambos sexos;04005-Alboloduy;Total Población;621
Ambos sexos;04005-Alboloduy;Nacidos en España;604
Ambos sexos;04005-Alboloduy;Nacidos en el Extranjero;17
Ambos sexos;04005-Alboloduy;Total Europa;9
Ambos sexos;04005-Alboloduy;Total Unión Europea;8
Ambos sexos;04005-Alboloduy;Alemania;0
Ambos sexos;04005-Alboloduy;Bulgaria;0
Ambos sexos;04005-Alboloduy;Francia;4
Ambos sexos;04005-Alboloduy;Italia;0
Ambos sexos;04005-Alboloduy;Polonia;0
Ambos sexos;04005-Alboloduy;Portugal;0
Ambos sexos;04005-Alboloduy;Reino Unido;0
Ambos sexos;04005-Alboloduy;Rumanía;3
Ambos sexos;04005-Alboloduy;Total Europa No Comunitaria;1
Ambos sexos;04005-Alboloduy;Rusia;0
Ambos sexos;04005-Alboloduy;Ucrania;0
Ambos sexos;04005-Alboloduy;Total África;6
Ambos sexos;04005-Alboloduy;Argelia;0
Ambos sexos;04005-Alboloduy;Marruecos;6
Ambos sexos;04005-Alboloduy;Nigeria;0
Ambos sexos;04005-Alboloduy;Senegal;0
Ambos sexos;04005-Alboloduy;Total América;2
Ambos sexos;04005-Alboloduy;Argentina;1
Ambos sexos;04005-Alboloduy;Bolivia;0
Ambos sexos;04005-Alboloduy;Brasil;0
Ambos sexos;04005-Alboloduy;Colombia;0
Ambos sexos;04005-Alboloduy;Cuba;0
Ambos sexos;04005-Alboloduy;Chile;0
Ambos sexos;04005-Alboloduy;Ecuador;1
Ambos sexos;04005-Alboloduy;Paraguay;0
Ambos sexos;04005-Alboloduy;Perú;0
Ambos sexos;04005-Alboloduy;República Dominicana;0
Ambos sexos;04005-Alboloduy;Uruguay;0
Ambos sexos;04005-Alboloduy;Venezuela;0
Ambos sexos;04005-Alboloduy;Total Asia;0
Ambos sexos;04005-Alboloduy;China;0
Ambos sexos;04005-Alboloduy;Pakistán;0
Ambos sexos;04005-Alboloduy;Total Oceanía;0
Ambos sexos;04006-Albox;Total Población;11.696
Ambos sexos;04006-Albox;Nacidos en España;8.241
Ambos sexos;04006-Albox;Nacidos en el Extranjero;3.455
Ambos sexos;04006-Albox;Total Europa;2.010
Ambos sexos;04006-Albox;Total Unión Europea;1.902
Ambos sexos;04006-Albox;Alemania;37
Ambos sexos;04006-Albox;Bulgaria;33
Ambos sexos;04006-Albox;Francia;124
Ambos sexos;04006-Albox;Italia;4
Ambos sexos;04006-Albox;Polonia;4
Ambos sexos;04006-Albox;Portugal;1
Ambos sexos;04006-Albox;Reino Unido;1.199
Ambos sexos;04006-Albox;Rumanía;339
Ambos sexos;04006-Albox;Total Europa No Comunitaria;108
Ambos sexos;04006-Albox;Rusia;8
Ambos sexos;04006-Albox;Ucrania;57
Ambos sexos;04006-Albox;Total África;154
Ambos sexos;04006-Albox;Argelia;11
Ambos sexos;04006-Albox;Marruecos;108
Ambos sexos;04006-Albox;Nigeria;14
Ambos sexos;04006-Albox;Senegal;4
Ambos sexos;04006-Albox;Total América;814
Ambos sexos;04006-Albox;Argentina;140
Ambos sexos;04006-Albox;Bolivia;241
Ambos sexos;04006-Albox;Brasil;9
Ambos sexos;04006-Albox;Colombia;26
Ambos sexos;04006-Albox;Cuba;4
Ambos sexos;04006-Albox;Chile;4
Ambos sexos;04006-Albox;Ecuador;311
Ambos sexos;04006-Albox;Paraguay;13
Ambos sexos;04006-Albox;Perú;7
Ambos sexos;04006-Albox;República Dominicana;35
Ambos sexos;04006-Albox;Uruguay;3
Ambos sexos;04006-Albox;Venezuela;7
Ambos sexos;04006-Albox;Total Asia;477
Ambos sexos;04006-Albox;China;36
Ambos sexos;04006-Albox;Pakistán;410
Ambos sexos;04006-Albox;Total Oceanía;0
Ambos sexos;04007-Alcolea;Total Población;814
Ambos sexos;04007-Alcolea;Nacidos en España;797
Ambos sexos;04007-Alcolea;Nacidos en el Extranjero;17
Ambos sexos;04007-Alcolea;Total Europa;5
Ambos sexos;04007-Alcolea;Total Unión Europea;4
Ambos sexos;04007-Alcolea;Alemania;0
Ambos sexos;04007-Alcolea;Bulgaria;0
Ambos sexos;04007-Alcolea;Francia;0
Ambos sexos;04007-Alcolea;Italia;0
Ambos sexos;04007-Alcolea;Polonia;0
Ambos sexos;04007-Alcolea;Portugal;0
Ambos sexos;04007-Alcolea;Reino Unido;1
Ambos sexos;04007-Alcolea;Rumanía;1
Ambos sexos;04007-Alcolea;Total Europa No Comunitaria;1
Ambos sexos;04007-Alcolea;Rusia;1
Ambos sexos;04007-Alcolea;Ucrania;0
Ambos sexos;04007-Alcolea;Total África;5
Ambos sexos;04007-Alcolea;Argelia;0
Ambos sexos;04007-Alcolea;Marruecos;3
Ambos sexos;04007-Alcolea;Nigeria;0
Ambos sexos;04007-Alcolea;Senegal;0
Ambos sexos;04007-Alcolea;Total América;7
Ambos sexos;04007-Alcolea;Argentina;0
Ambos sexos;04007-Alcolea;Bolivia;0
Ambos sexos;04007-Alcolea;Brasil;1
Ambos sexos;04007-Alcolea;Colombia;3
Ambos sexos;04007-Alcolea;Cuba;0
Ambos sexos;04007-Alcolea;Chile;2
Ambos sexos;04007-Alcolea;Ecuador;0
Ambos sexos;04007-Alcolea;Paraguay;0
Ambos sexos;04007-Alcolea;Perú;0
