Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;11005-Algodonales;Italia;4
Ambos sexos;11005-Algodonales;Reino Unido;13
Ambos sexos;11005-Algodonales;Bulgaria;2
Ambos sexos;11005-Algodonales;Rumanía;8
Ambos sexos;11005-Algodonales;Resto de Europa;16
Ambos sexos;11005-Algodonales;Rusia;0
Ambos sexos;11005-Algodonales;Ucrania;1
Ambos sexos;11005-Algodonales;Total Africa;5
Ambos sexos;11005-Algodonales;Marruecos;4
Ambos sexos;11005-Algodonales;Total América;16
Ambos sexos;11005-Algodonales;Argentina;1
Ambos sexos;11005-Algodonales;Bolivia;7
Ambos sexos;11005-Algodonales;Colombia;0
Ambos sexos;11005-Algodonales;Ecuador;1
Ambos sexos;11005-Algodonales;Perú;3
Ambos sexos;11005-Algodonales;Total Asia;0
Ambos sexos;11005-Algodonales;China;0
Ambos sexos;11005-Algodonales;Oceanía;0
Ambos sexos;11006-Arcos de la Frontera;Total Población;30.508
Ambos sexos;11006-Arcos de la Frontera;Nacidos en el Extranjero;719
Ambos sexos;11006-Arcos de la Frontera;Total Europa;401
Ambos sexos;11006-Arcos de la Frontera;Total Unión Europea (27);377
Ambos sexos;11006-Arcos de la Frontera;Alemania;92
Ambos sexos;11006-Arcos de la Frontera;Francia;53
Ambos sexos;11006-Arcos de la Frontera;Italia;7
Ambos sexos;11006-Arcos de la Frontera;Reino Unido;120
Ambos sexos;11006-Arcos de la Frontera;Bulgaria;13
Ambos sexos;11006-Arcos de la Frontera;Rumanía;13
Ambos sexos;11006-Arcos de la Frontera;Resto de Europa;24
Ambos sexos;11006-Arcos de la Frontera;Rusia;4
Ambos sexos;11006-Arcos de la Frontera;Ucrania;4
Ambos sexos;11006-Arcos de la Frontera;Total Africa;89
Ambos sexos;11006-Arcos de la Frontera;Marruecos;70
Ambos sexos;11006-Arcos de la Frontera;Total América;219
Ambos sexos;11006-Arcos de la Frontera;Argentina;36
Ambos sexos;11006-Arcos de la Frontera;Bolivia;59
Ambos sexos;11006-Arcos de la Frontera;Colombia;58
Ambos sexos;11006-Arcos de la Frontera;Ecuador;13
Ambos sexos;11006-Arcos de la Frontera;Perú;13
Ambos sexos;11006-Arcos de la Frontera;Total Asia;9
Ambos sexos;11006-Arcos de la Frontera;China;5
Ambos sexos;11006-Arcos de la Frontera;Oceanía;1
Ambos sexos;11007-Barbate;Total Población;22.582
Ambos sexos;11007-Barbate;Nacidos en el Extranjero;776
Ambos sexos;11007-Barbate;Total Europa;396
Ambos sexos;11007-Barbate;Total Unión Europea (27);377
Ambos sexos;11007-Barbate;Alemania;145
Ambos sexos;11007-Barbate;Francia;45
Ambos sexos;11007-Barbate;Italia;29
Ambos sexos;11007-Barbate;Reino Unido;91
Ambos sexos;11007-Barbate;Bulgaria;3
Ambos sexos;11007-Barbate;Rumanía;6
Ambos sexos;11007-Barbate;Resto de Europa;19
Ambos sexos;11007-Barbate;Rusia;2
Ambos sexos;11007-Barbate;Ucrania;0
Ambos sexos;11007-Barbate;Total Africa;205
Ambos sexos;11007-Barbate;Marruecos;188
Ambos sexos;11007-Barbate;Total América;144
Ambos sexos;11007-Barbate;Argentina;33
Ambos sexos;11007-Barbate;Bolivia;22
Ambos sexos;11007-Barbate;Colombia;20
Ambos sexos;11007-Barbate;Ecuador;2
