Sexo;Municipios;País de nacimiento;Total
Ambos sexos;23003-Alcaudete;Total América;66
Ambos sexos;23003-Alcaudete;Argentina;0
Ambos sexos;23003-Alcaudete;Bolivia;13
Ambos sexos;23003-Alcaudete;Brasil;3
Ambos sexos;23003-Alcaudete;Colombia;21
Ambos sexos;23003-Alcaudete;Cuba;3
Ambos sexos;23003-Alcaudete;Chile;5
Ambos sexos;23003-Alcaudete;Ecuador;11
Ambos sexos;23003-Alcaudete;Paraguay;0
Ambos sexos;23003-Alcaudete;Perú;0
Ambos sexos;23003-Alcaudete;República Dominicana;0
Ambos sexos;23003-Alcaudete;Uruguay;2
Ambos sexos;23003-Alcaudete;Venezuela;0
Ambos sexos;23003-Alcaudete;Total Asia;18
Ambos sexos;23003-Alcaudete;China;12
Ambos sexos;23003-Alcaudete;Pakistán;3
Ambos sexos;23003-Alcaudete;Total Oceanía;0
Ambos sexos;23004-Aldeaquemada;Total Población;540
Ambos sexos;23004-Aldeaquemada;Nacidos en España;526
Ambos sexos;23004-Aldeaquemada;Nacidos en el Extranjero;14
Ambos sexos;23004-Aldeaquemada;Total Europa;4
Ambos sexos;23004-Aldeaquemada;Total Unión Europea;4
Ambos sexos;23004-Aldeaquemada;Alemania;0
Ambos sexos;23004-Aldeaquemada;Bulgaria;0
Ambos sexos;23004-Aldeaquemada;Francia;1
Ambos sexos;23004-Aldeaquemada;Italia;0
Ambos sexos;23004-Aldeaquemada;Polonia;0
Ambos sexos;23004-Aldeaquemada;Portugal;0
Ambos sexos;23004-Aldeaquemada;Reino Unido;0
Ambos sexos;23004-Aldeaquemada;Rumanía;3
Ambos sexos;23004-Aldeaquemada;Total Europa No Comunitaria;0
Ambos sexos;23004-Aldeaquemada;Rusia;0
Ambos sexos;23004-Aldeaquemada;Ucrania;0
Ambos sexos;23004-Aldeaquemada;Total Africa;0
Ambos sexos;23004-Aldeaquemada;Argelia;0
Ambos sexos;23004-Aldeaquemada;Marruecos;0
Ambos sexos;23004-Aldeaquemada;Nigeria;0
Ambos sexos;23004-Aldeaquemada;Senegal;0
Ambos sexos;23004-Aldeaquemada;Total América;10
Ambos sexos;23004-Aldeaquemada;Argentina;0
Ambos sexos;23004-Aldeaquemada;Bolivia;5
Ambos sexos;23004-Aldeaquemada;Brasil;0
Ambos sexos;23004-Aldeaquemada;Colombia;1
Ambos sexos;23004-Aldeaquemada;Cuba;0
Ambos sexos;23004-Aldeaquemada;Chile;0
Ambos sexos;23004-Aldeaquemada;Ecuador;1
Ambos sexos;23004-Aldeaquemada;Paraguay;1
Ambos sexos;23004-Aldeaquemada;Perú;2
Ambos sexos;23004-Aldeaquemada;República Dominicana;0
Ambos sexos;23004-Aldeaquemada;Uruguay;0
Ambos sexos;23004-Aldeaquemada;Venezuela;0
Ambos sexos;23004-Aldeaquemada;Total Asia;0
Ambos sexos;23004-Aldeaquemada;China;0
Ambos sexos;23004-Aldeaquemada;Pakistán;0
Ambos sexos;23004-Aldeaquemada;Total Oceanía;0
Ambos sexos;23005-Andújar;Total Población;38.885
Ambos sexos;23005-Andújar;Nacidos en España;37.449
Ambos sexos;23005-Andújar;Nacidos en el Extranjero;1.436
Ambos sexos;23005-Andújar;Total Europa;564
Ambos sexos;23005-Andújar;Total Unión Europea;486
Ambos sexos;23005-Andújar;Alemania;108
Ambos sexos;23005-Andújar;Bulgaria;18
Ambos sexos;23005-Andújar;Francia;40
Ambos sexos;23005-Andújar;Italia;26
Ambos sexos;23005-Andújar;Polonia;7
Ambos sexos;23005-Andújar;Portugal;45
Ambos sexos;23005-Andújar;Reino Unido;20
Ambos sexos;23005-Andújar;Rumanía;189
Ambos sexos;23005-Andújar;Total Europa No Comunitaria;78
Ambos sexos;23005-Andújar;Rusia;17
Ambos sexos;23005-Andújar;Ucrania;13
Ambos sexos;23005-Andújar;Total Africa;426
Ambos sexos;23005-Andújar;Argelia;76
Ambos sexos;23005-Andújar;Marruecos;308
Ambos sexos;23005-Andújar;Nigeria;0
Ambos sexos;23005-Andújar;Senegal;1
Ambos sexos;23005-Andújar;Total América;329
Ambos sexos;23005-Andújar;Argentina;24
Ambos sexos;23005-Andújar;Bolivia;41
Ambos sexos;23005-Andújar;Brasil;24
Ambos sexos;23005-Andújar;Colombia;74
Ambos sexos;23005-Andújar;Cuba;21
Ambos sexos;23005-Andújar;Chile;4
Ambos sexos;23005-Andújar;Ecuador;49
Ambos sexos;23005-Andújar;Paraguay;14
Ambos sexos;23005-Andújar;Perú;27
Ambos sexos;23005-Andújar;República Dominicana;17
