Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;29025 Benalmádena;América;446
Ambos sexos;29025 Benalmádena;Asia;226
Ambos sexos;29025 Benalmádena;Europa;4.223
Ambos sexos;29025 Benalmádena;Resto;5
Ambos sexos;29026 Benamargosa;Africa;..
Ambos sexos;29026 Benamargosa;América;6
Ambos sexos;29026 Benamargosa;Asia;..
Ambos sexos;29026 Benamargosa;Europa;8
Ambos sexos;29026 Benamargosa;Resto;..
Ambos sexos;29027 Benamocarra;Africa;1
Ambos sexos;29027 Benamocarra;América;2
Ambos sexos;29027 Benamocarra;Asia;..
Ambos sexos;29027 Benamocarra;Europa;4
Ambos sexos;29027 Benamocarra;Resto;..
Ambos sexos;29028 Benaoján;Africa;..
Ambos sexos;29028 Benaoján;América;..
Ambos sexos;29028 Benaoján;Asia;..
Ambos sexos;29028 Benaoján;Europa;10
Ambos sexos;29028 Benaoján;Resto;..
Ambos sexos;29029 Benarrabá;Africa;1
Ambos sexos;29029 Benarrabá;América;..
Ambos sexos;29029 Benarrabá;Asia;..
Ambos sexos;29029 Benarrabá;Europa;1
Ambos sexos;29029 Benarrabá;Resto;..
Ambos sexos;29030 Borge (El);Africa;..
Ambos sexos;29030 Borge (El);América;..
Ambos sexos;29030 Borge (El);Asia;..
Ambos sexos;29030 Borge (El);Europa;1
Ambos sexos;29030 Borge (El);Resto;..
Ambos sexos;29031 Burgo (El);Africa;..
Ambos sexos;29031 Burgo (El);América;..
Ambos sexos;29031 Burgo (El);Asia;..
Ambos sexos;29031 Burgo (El);Europa;..
Ambos sexos;29031 Burgo (El);Resto;..
Ambos sexos;29032 Campillos;Africa;9
Ambos sexos;29032 Campillos;América;12
Ambos sexos;29032 Campillos;Asia;..
Ambos sexos;29032 Campillos;Europa;4
Ambos sexos;29032 Campillos;Resto;..
Ambos sexos;29033 Canillas de Aceituno;Africa;1
Ambos sexos;29033 Canillas de Aceituno;América;2
Ambos sexos;29033 Canillas de Aceituno;Asia;..
Ambos sexos;29033 Canillas de Aceituno;Europa;39
Ambos sexos;29033 Canillas de Aceituno;Resto;..
Ambos sexos;29034 Canillas de Albaida;Africa;4
Ambos sexos;29034 Canillas de Albaida;América;3
Ambos sexos;29034 Canillas de Albaida;Asia;..
Ambos sexos;29034 Canillas de Albaida;Europa;90
Ambos sexos;29034 Canillas de Albaida;Resto;..
Ambos sexos;29035 Cañete la Real;Africa;..
Ambos sexos;29035 Cañete la Real;América;..
Ambos sexos;29035 Cañete la Real;Asia;..
Ambos sexos;29035 Cañete la Real;Europa;..
Ambos sexos;29035 Cañete la Real;Resto;..
Ambos sexos;29036 Carratraca;Africa;..
Ambos sexos;29036 Carratraca;América;2
Ambos sexos;29036 Carratraca;Asia;..
Ambos sexos;29036 Carratraca;Europa;10
Ambos sexos;29036 Carratraca;Resto;..
Ambos sexos;29037 Cartajima;Africa;1
Ambos sexos;29037 Cartajima;América;..
Ambos sexos;29037 Cartajima;Asia;..
Ambos sexos;29037 Cartajima;Europa;2
Ambos sexos;29037 Cartajima;Resto;..
Ambos sexos;29038 Cártama;Africa;5
Ambos sexos;29038 Cártama;América;5
Ambos sexos;29038 Cártama;Asia;1
Ambos sexos;29038 Cártama;Europa;83
Ambos sexos;29038 Cártama;Resto;..
Ambos sexos;29039 Casabermeja;Africa;5
Ambos sexos;29039 Casabermeja;América;6
Ambos sexos;29039 Casabermeja;Asia;..
Ambos sexos;29039 Casabermeja;Europa;21
Ambos sexos;29039 Casabermeja;Resto;..
Ambos sexos;29040 Casarabonela;Africa;2
Ambos sexos;29040 Casarabonela;América;3
Ambos sexos;29040 Casarabonela;Asia;..
Ambos sexos;29040 Casarabonela;Europa;24
Ambos sexos;29040 Casarabonela;Resto;..
Ambos sexos;29041 Casares;Africa;9
Ambos sexos;29041 Casares;América;14
Ambos sexos;29041 Casares;Asia;5
Ambos sexos;29041 Casares;Europa;354
Ambos sexos;29041 Casares;Resto;2
Ambos sexos;29042 Coín;Africa;29
Ambos sexos;29042 Coín;América;38
Ambos sexos;29042 Coín;Asia;17
Ambos sexos;29042 Coín;Europa;529
Ambos sexos;29042 Coín;Resto;1
Ambos sexos;29043 Colmenar;Africa;..
Ambos sexos;29043 Colmenar;América;3
Ambos sexos;29043 Colmenar;Asia;1
Ambos sexos;29043 Colmenar;Europa;31
Ambos sexos;29043 Colmenar;Resto;..
Ambos sexos;29044 Comares;Africa;..
Ambos sexos;29044 Comares;América;2
Ambos sexos;29044 Comares;Asia;..
Ambos sexos;29044 Comares;Europa;110
Ambos sexos;29044 Comares;Resto;1
Ambos sexos;29045 Cómpeta;Africa;1
Ambos sexos;29045 Cómpeta;América;4
Ambos sexos;29045 Cómpeta;Asia;1
Ambos sexos;29045 Cómpeta;Europa;500
Ambos sexos;29045 Cómpeta;Resto;2
Ambos sexos;29046 Cortes de la Frontera;Africa;2
Ambos sexos;29046 Cortes de la Frontera;América;..
Ambos sexos;29046 Cortes de la Frontera;Asia;..
Ambos sexos;29046 Cortes de la Frontera;Europa;..
Ambos sexos;29046 Cortes de la Frontera;Resto;..
