Sexo;Municipios;País de nacimiento;Total
Ambos sexos;11003-Algar;Senegal;0
Ambos sexos;11003-Algar;Total América;4
Ambos sexos;11003-Algar;Argentina;1
Ambos sexos;11003-Algar;Bolivia;0
Ambos sexos;11003-Algar;Brasil;0
Ambos sexos;11003-Algar;Colombia;0
Ambos sexos;11003-Algar;Cuba;0
Ambos sexos;11003-Algar;Chile;0
Ambos sexos;11003-Algar;Ecuador;3
Ambos sexos;11003-Algar;Paraguay;0
Ambos sexos;11003-Algar;Perú;0
Ambos sexos;11003-Algar;Rep. Dominicana;0
Ambos sexos;11003-Algar;Uruguay;0
Ambos sexos;11003-Algar;Venezuela;0
Ambos sexos;11003-Algar;Total Asia;0
Ambos sexos;11003-Algar;China;0
Ambos sexos;11003-Algar;Pakistán;0
Ambos sexos;11003-Algar;Total Oceanía;0
Ambos sexos;11004-Algeciras;Total Población;117.810
Ambos sexos;11004-Algeciras;Nacidos en España;106.876
Ambos sexos;11004-Algeciras;Nacidos en el Extranjero;10.934
Ambos sexos;11004-Algeciras;Total Europa;2.539
Ambos sexos;11004-Algeciras;Total Unión Europea;2.283
Ambos sexos;11004-Algeciras;Alemania;383
Ambos sexos;11004-Algeciras;Bulgaria;29
Ambos sexos;11004-Algeciras;Francia;517
Ambos sexos;11004-Algeciras;Italia;101
Ambos sexos;11004-Algeciras;Polonia;96
Ambos sexos;11004-Algeciras;Portugal;143
Ambos sexos;11004-Algeciras;Reino Unido;339
Ambos sexos;11004-Algeciras;Rumanía;382
Ambos sexos;11004-Algeciras;Total Europa No Comunitaria;256
Ambos sexos;11004-Algeciras;Rusia;60
Ambos sexos;11004-Algeciras;Ucrania;96
Ambos sexos;11004-Algeciras;Total Africa;5.842
Ambos sexos;11004-Algeciras;Argelia;35
Ambos sexos;11004-Algeciras;Marruecos;5.575
Ambos sexos;11004-Algeciras;Nigeria;83
Ambos sexos;11004-Algeciras;Senegal;49
Ambos sexos;11004-Algeciras;Total América;2.224
Ambos sexos;11004-Algeciras;Argentina;337
Ambos sexos;11004-Algeciras;Bolivia;537
Ambos sexos;11004-Algeciras;Brasil;243
Ambos sexos;11004-Algeciras;Colombia;236
Ambos sexos;11004-Algeciras;Cuba;90
Ambos sexos;11004-Algeciras;Chile;34
Ambos sexos;11004-Algeciras;Ecuador;69
Ambos sexos;11004-Algeciras;Paraguay;143
Ambos sexos;11004-Algeciras;Perú;135
Ambos sexos;11004-Algeciras;Rep. Dominicana;79
Ambos sexos;11004-Algeciras;Uruguay;91
Ambos sexos;11004-Algeciras;Venezuela;108
Ambos sexos;11004-Algeciras;Total Asia;286
Ambos sexos;11004-Algeciras;China;204
Ambos sexos;11004-Algeciras;Pakistán;12
Ambos sexos;11004-Algeciras;Total Oceanía;43
Ambos sexos;11005-Algodonales;Total Población;5.800
Ambos sexos;11005-Algodonales;Nacidos en España;5.567
Ambos sexos;11005-Algodonales;Nacidos en el Extranjero;233
Ambos sexos;11005-Algodonales;Total Europa;204
Ambos sexos;11005-Algodonales;Total Unión Europea;184
Ambos sexos;11005-Algodonales;Alemania;78
Ambos sexos;11005-Algodonales;Bulgaria;3
Ambos sexos;11005-Algodonales;Francia;43
Ambos sexos;11005-Algodonales;Italia;3
Ambos sexos;11005-Algodonales;Polonia;4
Ambos sexos;11005-Algodonales;Portugal;1
Ambos sexos;11005-Algodonales;Reino Unido;29
Ambos sexos;11005-Algodonales;Rumanía;8
Ambos sexos;11005-Algodonales;Total Europa No Comunitaria;20
Ambos sexos;11005-Algodonales;Rusia;0
Ambos sexos;11005-Algodonales;Ucrania;1
Ambos sexos;11005-Algodonales;Total Africa;6
Ambos sexos;11005-Algodonales;Argelia;1
Ambos sexos;11005-Algodonales;Marruecos;5
Ambos sexos;11005-Algodonales;Nigeria;0
Ambos sexos;11005-Algodonales;Senegal;0
Ambos sexos;11005-Algodonales;Total América;19
Ambos sexos;11005-Algodonales;Argentina;4
Ambos sexos;11005-Algodonales;Bolivia;6
Ambos sexos;11005-Algodonales;Brasil;2
Ambos sexos;11005-Algodonales;Colombia;4
Ambos sexos;11005-Algodonales;Cuba;0
Ambos sexos;11005-Algodonales;Chile;1
Ambos sexos;11005-Algodonales;Ecuador;0
Ambos sexos;11005-Algodonales;Paraguay;0
Ambos sexos;11005-Algodonales;Perú;1
Ambos sexos;11005-Algodonales;Rep. Dominicana;0
Ambos sexos;11005-Algodonales;Uruguay;0
Ambos sexos;11005-Algodonales;Venezuela;0
Ambos sexos;11005-Algodonales;Total Asia;4
Ambos sexos;11005-Algodonales;China;4
Ambos sexos;11005-Algodonales;Pakistán;0
Ambos sexos;11005-Algodonales;Total Oceanía;0
Ambos sexos;11006-Arcos de la Frontera;Total Población;31.496
Ambos sexos;11006-Arcos de la Frontera;Nacidos en España;30.474
Ambos sexos;11006-Arcos de la Frontera;Nacidos en el Extranjero;1.022
Ambos sexos;11006-Arcos de la Frontera;Total Europa;565
Ambos sexos;11006-Arcos de la Frontera;Total Unión Europea;541
Ambos sexos;11006-Arcos de la Frontera;Alemania;117
Ambos sexos;11006-Arcos de la Frontera;Bulgaria;6
Ambos sexos;11006-Arcos de la Frontera;Francia;62
Ambos sexos;11006-Arcos de la Frontera;Italia;12
Ambos sexos;11006-Arcos de la Frontera;Polonia;13
Ambos sexos;11006-Arcos de la Frontera;Portugal;28
Ambos sexos;11006-Arcos de la Frontera;Reino Unido;163
Ambos sexos;11006-Arcos de la Frontera;Rumanía;60
Ambos sexos;11006-Arcos de la Frontera;Total Europa No Comunitaria;24
Ambos sexos;11006-Arcos de la Frontera;Rusia;6
Ambos sexos;11006-Arcos de la Frontera;Ucrania;5
Ambos sexos;11006-Arcos de la Frontera;Total Africa;157
Ambos sexos;11006-Arcos de la Frontera;Argelia;6
Ambos sexos;11006-Arcos de la Frontera;Marruecos;128
Ambos sexos;11006-Arcos de la Frontera;Nigeria;1
Ambos sexos;11006-Arcos de la Frontera;Senegal;0
Ambos sexos;11006-Arcos de la Frontera;Total América;262
Ambos sexos;11006-Arcos de la Frontera;Argentina;33
Ambos sexos;11006-Arcos de la Frontera;Bolivia;23
Ambos sexos;11006-Arcos de la Frontera;Brasil;23
Ambos sexos;11006-Arcos de la Frontera;Colombia;71
Ambos sexos;11006-Arcos de la Frontera;Cuba;12
Ambos sexos;11006-Arcos de la Frontera;Chile;2
Ambos sexos;11006-Arcos de la Frontera;Ecuador;17
Ambos sexos;11006-Arcos de la Frontera;Paraguay;16
Ambos sexos;11006-Arcos de la Frontera;Perú;36
Ambos sexos;11006-Arcos de la Frontera;Rep. Dominicana;5
Ambos sexos;11006-Arcos de la Frontera;Uruguay;2
Ambos sexos;11006-Arcos de la Frontera;Venezuela;7
Ambos sexos;11006-Arcos de la Frontera;Total Asia;37
Ambos sexos;11006-Arcos de la Frontera;China;32
Ambos sexos;11006-Arcos de la Frontera;Pakistán;0
Ambos sexos;11006-Arcos de la Frontera;Total Oceanía;1
Ambos sexos;11007-Barbate;Total Población;22.928
Ambos sexos;11007-Barbate;Nacidos en España;21.988
Ambos sexos;11007-Barbate;Nacidos en el Extranjero;940
Ambos sexos;11007-Barbate;Total Europa;462
Ambos sexos;11007-Barbate;Total Unión Europea;431
Ambos sexos;11007-Barbate;Alemania;172
Ambos sexos;11007-Barbate;Bulgaria;3
Ambos sexos;11007-Barbate;Francia;50
Ambos sexos;11007-Barbate;Italia;37
Ambos sexos;11007-Barbate;Polonia;3
Ambos sexos;11007-Barbate;Portugal;12
Ambos sexos;11007-Barbate;Reino Unido;89
Ambos sexos;11007-Barbate;Rumanía;12
Ambos sexos;11007-Barbate;Total Europa No Comunitaria;31
Ambos sexos;11007-Barbate;Rusia;6
Ambos sexos;11007-Barbate;Ucrania;0
Ambos sexos;11007-Barbate;Total Africa;273
Ambos sexos;11007-Barbate;Argelia;2
Ambos sexos;11007-Barbate;Marruecos;248
Ambos sexos;11007-Barbate;Nigeria;0
