Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;14005 Almodóvar del Río;Total Africa;13
Ambos sexos;14005 Almodóvar del Río;Marruecos;5
Ambos sexos;14005 Almodóvar del Río;Total Am‚rica;10
Ambos sexos;14005 Almodóvar del Río;Argentina;1
Ambos sexos;14005 Almodóvar del Río;Bolivia;0
Ambos sexos;14005 Almodóvar del Río;Colombia;2
Ambos sexos;14005 Almodóvar del Río;Ecuador;1
Ambos sexos;14005 Almodóvar del Río;Perú;0
Ambos sexos;14005 Almodóvar del Río;Total Asia;0
Ambos sexos;14005 Almodóvar del Río;China;0
Ambos sexos;14005 Almodóvar del Río;Oceanía;1
Ambos sexos;14006 Añora;Total Población;1.531
Ambos sexos;14006 Añora;Nacidos en el Extranjero;8
Ambos sexos;14006 Añora;Total Europa;5
Ambos sexos;14006 Añora;Total Unión Europea (25);0
Ambos sexos;14006 Añora;Alemania;0
Ambos sexos;14006 Añora;Francia;0
Ambos sexos;14006 Añora;Italia;0
Ambos sexos;14006 Añora;Reino Unido;0
Ambos sexos;14006 Añora;Resto de Europa;5
Ambos sexos;14006 Añora;Bulgaria;0
Ambos sexos;14006 Añora;Rumanía;4
Ambos sexos;14006 Añora;Total Africa;0
Ambos sexos;14006 Añora;Marruecos;0
Ambos sexos;14006 Añora;Total Am‚rica;0
Ambos sexos;14006 Añora;Argentina;0
Ambos sexos;14006 Añora;Bolivia;0
Ambos sexos;14006 Añora;Colombia;0
Ambos sexos;14006 Añora;Ecuador;0
Ambos sexos;14006 Añora;Perú;0
Ambos sexos;14006 Añora;Total Asia;3
Ambos sexos;14006 Añora;China;3
Ambos sexos;14006 Añora;Oceanía;0
Ambos sexos;14007 Baena;Total Población;20.447
Ambos sexos;14007 Baena;Nacidos en el Extranjero;862
Ambos sexos;14007 Baena;Total Europa;398
Ambos sexos;14007 Baena;Total Unión Europea (25);71
Ambos sexos;14007 Baena;Alemania;26
Ambos sexos;14007 Baena;Francia;16
Ambos sexos;14007 Baena;Italia;4
Ambos sexos;14007 Baena;Reino Unido;0
Ambos sexos;14007 Baena;Resto de Europa;327
Ambos sexos;14007 Baena;Bulgaria;2
Ambos sexos;14007 Baena;Rumanía;285
Ambos sexos;14007 Baena;Total Africa;315
Ambos sexos;14007 Baena;Marruecos;228
Ambos sexos;14007 Baena;Total Am‚rica;129
Ambos sexos;14007 Baena;Argentina;6
Ambos sexos;14007 Baena;Bolivia;14
Ambos sexos;14007 Baena;Colombia;26
Ambos sexos;14007 Baena;Ecuador;56
Ambos sexos;14007 Baena;Perú;1
Ambos sexos;14007 Baena;Total Asia;17
Ambos sexos;14007 Baena;China;12
Ambos sexos;14007 Baena;Oceanía;3
Ambos sexos;14008 Belalcázar;Total Población;3.576
Ambos sexos;14008 Belalcázar;Nacidos en el Extranjero;19
Ambos sexos;14008 Belalcázar;Total Europa;9
Ambos sexos;14008 Belalcázar;Total Unión Europea (25);4
Ambos sexos;14008 Belalcázar;Alemania;2
Ambos sexos;14008 Belalcázar;Francia;1
Ambos sexos;14008 Belalcázar;Italia;0
Ambos sexos;14008 Belalcázar;Reino Unido;0
Ambos sexos;14008 Belalcázar;Resto de Europa;5
Ambos sexos;14008 Belalcázar;Bulgaria;0
Ambos sexos;14008 Belalcázar;Rumanía;3
Ambos sexos;14008 Belalcázar;Total Africa;2
Ambos sexos;14008 Belalcázar;Marruecos;0
Ambos sexos;14008 Belalcázar;Total Am‚rica;7
Ambos sexos;14008 Belalcázar;Argentina;0
Ambos sexos;14008 Belalcázar;Bolivia;2
Ambos sexos;14008 Belalcázar;Colombia;2
Ambos sexos;14008 Belalcázar;Ecuador;0
Ambos sexos;14008 Belalcázar;Perú;2
Ambos sexos;14008 Belalcázar;Total Asia;1
Ambos sexos;14008 Belalcázar;China;1
Ambos sexos;14008 Belalcázar;Oceanía;0
Ambos sexos;14009 Belmez;Total Población;3.440
Ambos sexos;14009 Belmez;Nacidos en el Extranjero;42
Ambos sexos;14009 Belmez;Total Europa;31
Ambos sexos;14009 Belmez;Total Unión Europea (25);28
Ambos sexos;14009 Belmez;Alemania;8
Ambos sexos;14009 Belmez;Francia;3
Ambos sexos;14009 Belmez;Italia;0
Ambos sexos;14009 Belmez;Reino Unido;0
Ambos sexos;14009 Belmez;Resto de Europa;3
Ambos sexos;14009 Belmez;Bulgaria;1
Ambos sexos;14009 Belmez;Rumanía;2
Ambos sexos;14009 Belmez;Total Africa;1
Ambos sexos;14009 Belmez;Marruecos;1
Ambos sexos;14009 Belmez;Total Am‚rica;7
Ambos sexos;14009 Belmez;Argentina;0
Ambos sexos;14009 Belmez;Bolivia;0
Ambos sexos;14009 Belmez;Colombia;1
Ambos sexos;14009 Belmez;Ecuador;2
Ambos sexos;14009 Belmez;Perú;0
Ambos sexos;14009 Belmez;Total Asia;3
Ambos sexos;14009 Belmez;China;1
Ambos sexos;14009 Belmez;Oceanía;0
Ambos sexos;14010 Benamejí;Total Población;5.030
Ambos sexos;14010 Benamejí;Nacidos en el Extranjero;41
Ambos sexos;14010 Benamejí;Total Europa;21
Ambos sexos;14010 Benamejí;Total Unión Europea (25);16
Ambos sexos;14010 Benamejí;Alemania;2
Ambos sexos;14010 Benamejí;Francia;1
Ambos sexos;14010 Benamejí;Italia;0
Ambos sexos;14010 Benamejí;Reino Unido;11
Ambos sexos;14010 Benamejí;Resto de Europa;5
Ambos sexos;14010 Benamejí;Bulgaria;1
Ambos sexos;14010 Benamejí;Rumanía;0
Ambos sexos;14010 Benamejí;Total Africa;15
Ambos sexos;14010 Benamejí;Marruecos;15
Ambos sexos;14010 Benamejí;Total Am‚rica;5
Ambos sexos;14010 Benamejí;Argentina;0
Ambos sexos;14010 Benamejí;Bolivia;0
Ambos sexos;14010 Benamejí;Colombia;3
Ambos sexos;14010 Benamejí;Ecuador;1
Ambos sexos;14010 Benamejí;Perú;0
Ambos sexos;14010 Benamejí;Total Asia;0
Ambos sexos;14010 Benamejí;China;0
Ambos sexos;14010 Benamejí;Oceanía;0
Ambos sexos;14011 Blázquez (Los);Total Población;685
Ambos sexos;14011 Blázquez (Los);Nacidos en el Extranjero;5
Ambos sexos;14011 Blázquez (Los);Total Europa;5
Ambos sexos;14011 Blázquez (Los);Total Unión Europea (25);1
Ambos sexos;14011 Blázquez (Los);Alemania;0
Ambos sexos;14011 Blázquez (Los);Francia;1
Ambos sexos;14011 Blázquez (Los);Italia;0
Ambos sexos;14011 Blázquez (Los);Reino Unido;0
Ambos sexos;14011 Blázquez (Los);Resto de Europa;4
