Sexo;Municipios;País de nacimiento;Total
Ambos sexos;21001-Alájar;Total Población;805
Ambos sexos;21001-Alájar;Nacidos en España;737
Ambos sexos;21001-Alájar;Nacidos en el Extranjero;68
Ambos sexos;21001-Alájar;Total Europa;54
Ambos sexos;21001-Alájar;Total Unión Europea;50
Ambos sexos;21001-Alájar;Alemania;20
Ambos sexos;21001-Alájar;Bulgaria;0
Ambos sexos;21001-Alájar;Francia;3
Ambos sexos;21001-Alájar;Italia;4
Ambos sexos;21001-Alájar;Polonia;1
Ambos sexos;21001-Alájar;Portugal;6
Ambos sexos;21001-Alájar;Reino Unido;9
Ambos sexos;21001-Alájar;Rumanía;0
Ambos sexos;21001-Alájar;Total Europa No Comunitaria;4
Ambos sexos;21001-Alájar;Rusia;2
Ambos sexos;21001-Alájar;Ucrania;0
Ambos sexos;21001-Alájar;Total Africa;2
Ambos sexos;21001-Alájar;Argelia;1
Ambos sexos;21001-Alájar;Marruecos;0
Ambos sexos;21001-Alájar;Nigeria;0
Ambos sexos;21001-Alájar;Senegal;1
Ambos sexos;21001-Alájar;Total América;10
Ambos sexos;21001-Alájar;Argentina;3
Ambos sexos;21001-Alájar;Bolivia;0
Ambos sexos;21001-Alájar;Brasil;0
Ambos sexos;21001-Alájar;Colombia;0
Ambos sexos;21001-Alájar;Cuba;0
Ambos sexos;21001-Alájar;Chile;0
Ambos sexos;21001-Alájar;Ecuador;0
Ambos sexos;21001-Alájar;Paraguay;0
Ambos sexos;21001-Alájar;Perú;0
Ambos sexos;21001-Alájar;República Dominicana;0
Ambos sexos;21001-Alájar;Uruguay;0
Ambos sexos;21001-Alájar;Venezuela;0
Ambos sexos;21001-Alájar;Total Asia;2
Ambos sexos;21001-Alájar;China;0
Ambos sexos;21001-Alájar;Pakistán;0
Ambos sexos;21001-Alájar;Total Oceanía;0
Ambos sexos;21002-Aljaraque;Total Población;19.492
Ambos sexos;21002-Aljaraque;Nacidos en España;18.649
Ambos sexos;21002-Aljaraque;Nacidos en el Extranjero;843
Ambos sexos;21002-Aljaraque;Total Europa;454
Ambos sexos;21002-Aljaraque;Total Unión Europea;421
Ambos sexos;21002-Aljaraque;Alemania;119
Ambos sexos;21002-Aljaraque;Bulgaria;3
Ambos sexos;21002-Aljaraque;Francia;34
Ambos sexos;21002-Aljaraque;Italia;10
Ambos sexos;21002-Aljaraque;Polonia;25
Ambos sexos;21002-Aljaraque;Portugal;74
Ambos sexos;21002-Aljaraque;Reino Unido;30
Ambos sexos;21002-Aljaraque;Rumanía;85
Ambos sexos;21002-Aljaraque;Total Europa No Comunitaria;33
Ambos sexos;21002-Aljaraque;Rusia;4
Ambos sexos;21002-Aljaraque;Ucrania;8
Ambos sexos;21002-Aljaraque;Total Africa;106
Ambos sexos;21002-Aljaraque;Argelia;0
Ambos sexos;21002-Aljaraque;Marruecos;71
Ambos sexos;21002-Aljaraque;Nigeria;0
Ambos sexos;21002-Aljaraque;Senegal;26
Ambos sexos;21002-Aljaraque;Total América;246
Ambos sexos;21002-Aljaraque;Argentina;58
Ambos sexos;21002-Aljaraque;Bolivia;4
Ambos sexos;21002-Aljaraque;Brasil;29
Ambos sexos;21002-Aljaraque;Colombia;35
Ambos sexos;21002-Aljaraque;Cuba;19
Ambos sexos;21002-Aljaraque;Chile;2
Ambos sexos;21002-Aljaraque;Ecuador;11
Ambos sexos;21002-Aljaraque;Paraguay;0
Ambos sexos;21002-Aljaraque;Perú;14
Ambos sexos;21002-Aljaraque;República Dominicana;5
Ambos sexos;21002-Aljaraque;Uruguay;6
Ambos sexos;21002-Aljaraque;Venezuela;25
Ambos sexos;21002-Aljaraque;Total Asia;35
Ambos sexos;21002-Aljaraque;China;22
Ambos sexos;21002-Aljaraque;Pakistán;0
Ambos sexos;21002-Aljaraque;Total Oceanía;2
Ambos sexos;21003-Almendro, El;Total Población;847
Ambos sexos;21003-Almendro, El;Nacidos en España;779
Ambos sexos;21003-Almendro, El;Nacidos en el Extranjero;68
Ambos sexos;21003-Almendro, El;Total Europa;65
Ambos sexos;21003-Almendro, El;Total Unión Europea;62
Ambos sexos;21003-Almendro, El;Alemania;9
Ambos sexos;21003-Almendro, El;Bulgaria;1
Ambos sexos;21003-Almendro, El;Francia;0
Ambos sexos;21003-Almendro, El;Italia;0
Ambos sexos;21003-Almendro, El;Polonia;2
Ambos sexos;21003-Almendro, El;Portugal;23
Ambos sexos;21003-Almendro, El;Reino Unido;11
Ambos sexos;21003-Almendro, El;Rumanía;16
Ambos sexos;21003-Almendro, El;Total Europa No Comunitaria;3
Ambos sexos;21003-Almendro, El;Rusia;0
Ambos sexos;21003-Almendro, El;Ucrania;3
Ambos sexos;21003-Almendro, El;Total Africa;2
Ambos sexos;21003-Almendro, El;Argelia;0
Ambos sexos;21003-Almendro, El;Marruecos;1
Ambos sexos;21003-Almendro, El;Nigeria;0
Ambos sexos;21003-Almendro, El;Senegal;0
Ambos sexos;21003-Almendro, El;Total América;1
Ambos sexos;21003-Almendro, El;Argentina;0
Ambos sexos;21003-Almendro, El;Bolivia;0
Ambos sexos;21003-Almendro, El;Brasil;0
Ambos sexos;21003-Almendro, El;Colombia;0
Ambos sexos;21003-Almendro, El;Cuba;0
Ambos sexos;21003-Almendro, El;Chile;0
Ambos sexos;21003-Almendro, El;Ecuador;0
Ambos sexos;21003-Almendro, El;Paraguay;0
Ambos sexos;21003-Almendro, El;Perú;0
Ambos sexos;21003-Almendro, El;República Dominicana;0
Ambos sexos;21003-Almendro, El;Uruguay;0
Ambos sexos;21003-Almendro, El;Venezuela;0
Ambos sexos;21003-Almendro, El;Total Asia;0
Ambos sexos;21003-Almendro, El;China;0
Ambos sexos;21003-Almendro, El;Pakistán;0
Ambos sexos;21003-Almendro, El;Total Oceanía;0
Ambos sexos;21004-Almonaster la Real;Total Población;1.809
Ambos sexos;21004-Almonaster la Real;Nacidos en España;1.737
Ambos sexos;21004-Almonaster la Real;Nacidos en el Extranjero;72
Ambos sexos;21004-Almonaster la Real;Total Europa;46
Ambos sexos;21004-Almonaster la Real;Total Unión Europea;41
Ambos sexos;21004-Almonaster la Real;Alemania;2
Ambos sexos;21004-Almonaster la Real;Bulgaria;0
Ambos sexos;21004-Almonaster la Real;Francia;3
Ambos sexos;21004-Almonaster la Real;Italia;1
Ambos sexos;21004-Almonaster la Real;Polonia;0
Ambos sexos;21004-Almonaster la Real;Portugal;16
Ambos sexos;21004-Almonaster la Real;Reino Unido;2
Ambos sexos;21004-Almonaster la Real;Rumanía;15
Ambos sexos;21004-Almonaster la Real;Total Europa No Comunitaria;5
Ambos sexos;21004-Almonaster la Real;Rusia;1
Ambos sexos;21004-Almonaster la Real;Ucrania;2
Ambos sexos;21004-Almonaster la Real;Total Africa;7
Ambos sexos;21004-Almonaster la Real;Argelia;2
Ambos sexos;21004-Almonaster la Real;Marruecos;5
Ambos sexos;21004-Almonaster la Real;Nigeria;0
Ambos sexos;21004-Almonaster la Real;Senegal;0
Ambos sexos;21004-Almonaster la Real;Total América;18
Ambos sexos;21004-Almonaster la Real;Argentina;1
Ambos sexos;21004-Almonaster la Real;Bolivia;0
Ambos sexos;21004-Almonaster la Real;Brasil;1
Ambos sexos;21004-Almonaster la Real;Colombia;1
Ambos sexos;21004-Almonaster la Real;Cuba;0
Ambos sexos;21004-Almonaster la Real;Chile;0
Ambos sexos;21004-Almonaster la Real;Ecuador;0
Ambos sexos;21004-Almonaster la Real;Paraguay;0
Ambos sexos;21004-Almonaster la Real;Perú;8
Ambos sexos;21004-Almonaster la Real;República Dominicana;0
Ambos sexos;21004-Almonaster la Real;Uruguay;2
Ambos sexos;21004-Almonaster la Real;Venezuela;0
Ambos sexos;21004-Almonaster la Real;Total Asia;1
Ambos sexos;21004-Almonaster la Real;China;1
Ambos sexos;21004-Almonaster la Real;Pakistán;0
Ambos sexos;21004-Almonaster la Real;Total Oceanía;0
Ambos sexos;21005-Almonte;Total Población;22.964
Ambos sexos;21005-Almonte;Nacidos en España;18.876
Ambos sexos;21005-Almonte;Nacidos en el Extranjero;4.088
Ambos sexos;21005-Almonte;Total Europa;3.167
Ambos sexos;21005-Almonte;Total Unión Europea;3.123
Ambos sexos;21005-Almonte;Alemania;166
Ambos sexos;21005-Almonte;Bulgaria;220
Ambos sexos;21005-Almonte;Francia;41
Ambos sexos;21005-Almonte;Italia;15
Ambos sexos;21005-Almonte;Polonia;217
Ambos sexos;21005-Almonte;Portugal;64
Ambos sexos;21005-Almonte;Reino Unido;20
Ambos sexos;21005-Almonte;Rumanía;2.318
Ambos sexos;21005-Almonte;Total Europa No Comunitaria;44
Ambos sexos;21005-Almonte;Rusia;5
Ambos sexos;21005-Almonte;Ucrania;20
Ambos sexos;21005-Almonte;Total Africa;462
Ambos sexos;21005-Almonte;Argelia;19
Ambos sexos;21005-Almonte;Marruecos;418
Ambos sexos;21005-Almonte;Nigeria;0
Ambos sexos;21005-Almonte;Senegal;10
Ambos sexos;21005-Almonte;Total América;412
Ambos sexos;21005-Almonte;Argentina;15
Ambos sexos;21005-Almonte;Bolivia;55
Ambos sexos;21005-Almonte;Brasil;8
Ambos sexos;21005-Almonte;Colombia;75
Ambos sexos;21005-Almonte;Cuba;33
Ambos sexos;21005-Almonte;Chile;9
Ambos sexos;21005-Almonte;Ecuador;172
Ambos sexos;21005-Almonte;Paraguay;7
Ambos sexos;21005-Almonte;Perú;9
Ambos sexos;21005-Almonte;República Dominicana;3
Ambos sexos;21005-Almonte;Uruguay;5
Ambos sexos;21005-Almonte;Venezuela;8
Ambos sexos;21005-Almonte;Total Asia;46
Ambos sexos;21005-Almonte;China;39
Ambos sexos;21005-Almonte;Pakistán;1
Ambos sexos;21005-Almonte;Total Oceanía;1
Ambos sexos;21006-Alosno;Total Población;4.152
Ambos sexos;21006-Alosno;Nacidos en España;3.987
Ambos sexos;21006-Alosno;Nacidos en el Extranjero;165
Ambos sexos;21006-Alosno;Total Europa;91
Ambos sexos;21006-Alosno;Total Unión Europea;90
Ambos sexos;21006-Alosno;Alemania;30
Ambos sexos;21006-Alosno;Bulgaria;15
Ambos sexos;21006-Alosno;Francia;2
Ambos sexos;21006-Alosno;Italia;0
Ambos sexos;21006-Alosno;Polonia;8
Ambos sexos;21006-Alosno;Portugal;7
Ambos sexos;21006-Alosno;Reino Unido;0
Ambos sexos;21006-Alosno;Rumanía;25
Ambos sexos;21006-Alosno;Total Europa No Comunitaria;1
Ambos sexos;21006-Alosno;Rusia;0
Ambos sexos;21006-Alosno;Ucrania;0
Ambos sexos;21006-Alosno;Total Africa;66
Ambos sexos;21006-Alosno;Argelia;1
Ambos sexos;21006-Alosno;Marruecos;62
Ambos sexos;21006-Alosno;Nigeria;1
Ambos sexos;21006-Alosno;Senegal;0
Ambos sexos;21006-Alosno;Total América;8
Ambos sexos;21006-Alosno;Argentina;0
Ambos sexos;21006-Alosno;Bolivia;0
Ambos sexos;21006-Alosno;Brasil;1
Ambos sexos;21006-Alosno;Colombia;0
Ambos sexos;21006-Alosno;Cuba;0
Ambos sexos;21006-Alosno;Chile;0
Ambos sexos;21006-Alosno;Ecuador;1
Ambos sexos;21006-Alosno;Paraguay;1
Ambos sexos;21006-Alosno;Perú;3
Ambos sexos;21006-Alosno;República Dominicana;1
Ambos sexos;21006-Alosno;Uruguay;0
Ambos sexos;21006-Alosno;Venezuela;1
Ambos sexos;21006-Alosno;Total Asia;0
Ambos sexos;21006-Alosno;China;0
Ambos sexos;21006-Alosno;Pakistán;0
Ambos sexos;21006-Alosno;Total Oceanía;0
Ambos sexos;21007-Aracena;Total Población;7.900
Ambos sexos;21007-Aracena;Nacidos en España;7.590
Ambos sexos;21007-Aracena;Nacidos en el Extranjero;310
Ambos sexos;21007-Aracena;Total Europa;195
Ambos sexos;21007-Aracena;Total Unión Europea;188
Ambos sexos;21007-Aracena;Alemania;16
Ambos sexos;21007-Aracena;Bulgaria;0
Ambos sexos;21007-Aracena;Francia;6
Ambos sexos;21007-Aracena;Italia;2
Ambos sexos;21007-Aracena;Polonia;19
Ambos sexos;21007-Aracena;Portugal;32
Ambos sexos;21007-Aracena;Reino Unido;22
Ambos sexos;21007-Aracena;Rumanía;83
Ambos sexos;21007-Aracena;Total Europa No Comunitaria;7
Ambos sexos;21007-Aracena;Rusia;1
Ambos sexos;21007-Aracena;Ucrania;0
Ambos sexos;21007-Aracena;Total Africa;53
Ambos sexos;21007-Aracena;Argelia;3
Ambos sexos;21007-Aracena;Marruecos;35
Ambos sexos;21007-Aracena;Nigeria;0
Ambos sexos;21007-Aracena;Senegal;2
Ambos sexos;21007-Aracena;Total América;52
Ambos sexos;21007-Aracena;Argentina;2
Ambos sexos;21007-Aracena;Bolivia;11
Ambos sexos;21007-Aracena;Brasil;4
Ambos sexos;21007-Aracena;Colombia;4
Ambos sexos;21007-Aracena;Cuba;0
Ambos sexos;21007-Aracena;Chile;0
Ambos sexos;21007-Aracena;Ecuador;4
Ambos sexos;21007-Aracena;Paraguay;1
Ambos sexos;21007-Aracena;Perú;4
Ambos sexos;21007-Aracena;República Dominicana;3
Ambos sexos;21007-Aracena;Uruguay;2
Ambos sexos;21007-Aracena;Venezuela;1
Ambos sexos;21007-Aracena;Total Asia;5
Ambos sexos;21007-Aracena;China;1
Ambos sexos;21007-Aracena;Pakistán;0
Ambos sexos;21007-Aracena;Total Oceanía;5
Ambos sexos;21008-Aroche;Total Población;3.233
Ambos sexos;21008-Aroche;Nacidos en España;3.182
Ambos sexos;21008-Aroche;Nacidos en el Extranjero;51
Ambos sexos;21008-Aroche;Total Europa;35
Ambos sexos;21008-Aroche;Total Unión Europea;33
Ambos sexos;21008-Aroche;Alemania;3
Ambos sexos;21008-Aroche;Bulgaria;2
Ambos sexos;21008-Aroche;Francia;0
Ambos sexos;21008-Aroche;Italia;0
Ambos sexos;21008-Aroche;Polonia;1
Ambos sexos;21008-Aroche;Portugal;20
Ambos sexos;21008-Aroche;Reino Unido;0
Ambos sexos;21008-Aroche;Rumanía;5
Ambos sexos;21008-Aroche;Total Europa No Comunitaria;2
Ambos sexos;21008-Aroche;Rusia;0
Ambos sexos;21008-Aroche;Ucrania;2
Ambos sexos;21008-Aroche;Total Africa;7
Ambos sexos;21008-Aroche;Argelia;1
Ambos sexos;21008-Aroche;Marruecos;5
Ambos sexos;21008-Aroche;Nigeria;0
Ambos sexos;21008-Aroche;Senegal;0
Ambos sexos;21008-Aroche;Total América;6
Ambos sexos;21008-Aroche;Argentina;0
Ambos sexos;21008-Aroche;Bolivia;0
Ambos sexos;21008-Aroche;Brasil;1
Ambos sexos;21008-Aroche;Colombia;0
Ambos sexos;21008-Aroche;Cuba;0
Ambos sexos;21008-Aroche;Chile;1
Ambos sexos;21008-Aroche;Ecuador;0
Ambos sexos;21008-Aroche;Paraguay;2
Ambos sexos;21008-Aroche;Perú;2
Ambos sexos;21008-Aroche;República Dominicana;0
Ambos sexos;21008-Aroche;Uruguay;0
Ambos sexos;21008-Aroche;Venezuela;0
Ambos sexos;21008-Aroche;Total Asia;3
Ambos sexos;21008-Aroche;China;3
Ambos sexos;21008-Aroche;Pakistán;0
Ambos sexos;21008-Aroche;Total Oceanía;0
Ambos sexos;21009-Arroyomolinos de León;Total Población;1.023
Ambos sexos;21009-Arroyomolinos de León;Nacidos en España;1.019
Ambos sexos;21009-Arroyomolinos de León;Nacidos en el Extranjero;4
Ambos sexos;21009-Arroyomolinos de León;Total Europa;3
Ambos sexos;21009-Arroyomolinos de León;Total Unión Europea;3
Ambos sexos;21009-Arroyomolinos de León;Alemania;3
Ambos sexos;21009-Arroyomolinos de León;Bulgaria;0
Ambos sexos;21009-Arroyomolinos de León;Francia;0
Ambos sexos;21009-Arroyomolinos de León;Italia;0
Ambos sexos;21009-Arroyomolinos de León;Polonia;0
Ambos sexos;21009-Arroyomolinos de León;Portugal;0
Ambos sexos;21009-Arroyomolinos de León;Reino Unido;0
Ambos sexos;21009-Arroyomolinos de León;Rumanía;0
Ambos sexos;21009-Arroyomolinos de León;Total Europa No Comunitaria;0
Ambos sexos;21009-Arroyomolinos de León;Rusia;0
Ambos sexos;21009-Arroyomolinos de León;Ucrania;0
Ambos sexos;21009-Arroyomolinos de León;Total Africa;1
Ambos sexos;21009-Arroyomolinos de León;Argelia;0
Ambos sexos;21009-Arroyomolinos de León;Marruecos;1
Ambos sexos;21009-Arroyomolinos de León;Nigeria;0
Ambos sexos;21009-Arroyomolinos de León;Senegal;0
Ambos sexos;21009-Arroyomolinos de León;Total América;0
Ambos sexos;21009-Arroyomolinos de León;Argentina;0
Ambos sexos;21009-Arroyomolinos de León;Bolivia;0
Ambos sexos;21009-Arroyomolinos de León;Brasil;0
Ambos sexos;21009-Arroyomolinos de León;Colombia;0
Ambos sexos;21009-Arroyomolinos de León;Cuba;0
Ambos sexos;21009-Arroyomolinos de León;Chile;0
Ambos sexos;21009-Arroyomolinos de León;Ecuador;0
Ambos sexos;21009-Arroyomolinos de León;Paraguay;0
Ambos sexos;21009-Arroyomolinos de León;Perú;0
Ambos sexos;21009-Arroyomolinos de León;República Dominicana;0
Ambos sexos;21009-Arroyomolinos de León;Uruguay;0
Ambos sexos;21009-Arroyomolinos de León;Venezuela;0
Ambos sexos;21009-Arroyomolinos de León;Total Asia;0
Ambos sexos;21009-Arroyomolinos de León;China;0
Ambos sexos;21009-Arroyomolinos de León;Pakistán;0
Ambos sexos;21009-Arroyomolinos de León;Total Oceanía;0
Ambos sexos;21010-Ayamonte;Total Población;20.406
Ambos sexos;21010-Ayamonte;Nacidos en España;16.831
Ambos sexos;21010-Ayamonte;Nacidos en el Extranjero;3.575
Ambos sexos;21010-Ayamonte;Total Europa;2.834
Ambos sexos;21010-Ayamonte;Total Unión Europea;2.765
Ambos sexos;21010-Ayamonte;Alemania;185
Ambos sexos;21010-Ayamonte;Bulgaria;60
Ambos sexos;21010-Ayamonte;Francia;58
Ambos sexos;21010-Ayamonte;Italia;28
Ambos sexos;21010-Ayamonte;Polonia;47
Ambos sexos;21010-Ayamonte;Portugal;1.402
Ambos sexos;21010-Ayamonte;Reino Unido;477
Ambos sexos;21010-Ayamonte;Rumanía;374
Ambos sexos;21010-Ayamonte;Total Europa No Comunitaria;69
Ambos sexos;21010-Ayamonte;Rusia;10
Ambos sexos;21010-Ayamonte;Ucrania;10
Ambos sexos;21010-Ayamonte;Total Africa;300
Ambos sexos;21010-Ayamonte;Argelia;8
Ambos sexos;21010-Ayamonte;Marruecos;205
Ambos sexos;21010-Ayamonte;Nigeria;0
Ambos sexos;21010-Ayamonte;Senegal;13
Ambos sexos;21010-Ayamonte;Total América;370
Ambos sexos;21010-Ayamonte;Argentina;62
Ambos sexos;21010-Ayamonte;Bolivia;20
Ambos sexos;21010-Ayamonte;Brasil;97
Ambos sexos;21010-Ayamonte;Colombia;57
Ambos sexos;21010-Ayamonte;Cuba;16
Ambos sexos;21010-Ayamonte;Chile;5
Ambos sexos;21010-Ayamonte;Ecuador;33
Ambos sexos;21010-Ayamonte;Paraguay;6
Ambos sexos;21010-Ayamonte;Perú;11
Ambos sexos;21010-Ayamonte;República Dominicana;14
Ambos sexos;21010-Ayamonte;Uruguay;6
Ambos sexos;21010-Ayamonte;Venezuela;16
Ambos sexos;21010-Ayamonte;Total Asia;70
Ambos sexos;21010-Ayamonte;China;36
Ambos sexos;21010-Ayamonte;Pakistán;19
Ambos sexos;21010-Ayamonte;Total Oceanía;1
Ambos sexos;21011-Beas;Total Población;4.336
Ambos sexos;21011-Beas;Nacidos en España;4.130
Ambos sexos;21011-Beas;Nacidos en el Extranjero;206
Ambos sexos;21011-Beas;Total Europa;121
Ambos sexos;21011-Beas;Total Unión Europea;116
Ambos sexos;21011-Beas;Alemania;5
Ambos sexos;21011-Beas;Bulgaria;4
Ambos sexos;21011-Beas;Francia;0
Ambos sexos;21011-Beas;Italia;0
Ambos sexos;21011-Beas;Polonia;7
Ambos sexos;21011-Beas;Portugal;10
Ambos sexos;21011-Beas;Reino Unido;7
Ambos sexos;21011-Beas;Rumanía;75
Ambos sexos;21011-Beas;Total Europa No Comunitaria;5
Ambos sexos;21011-Beas;Rusia;1
Ambos sexos;21011-Beas;Ucrania;0
Ambos sexos;21011-Beas;Total Africa;61
Ambos sexos;21011-Beas;Argelia;2
Ambos sexos;21011-Beas;Marruecos;57
Ambos sexos;21011-Beas;Nigeria;0
Ambos sexos;21011-Beas;Senegal;0
Ambos sexos;21011-Beas;Total América;19
Ambos sexos;21011-Beas;Argentina;0
Ambos sexos;21011-Beas;Bolivia;0
Ambos sexos;21011-Beas;Brasil;1
Ambos sexos;21011-Beas;Colombia;1
Ambos sexos;21011-Beas;Cuba;3
Ambos sexos;21011-Beas;Chile;0
Ambos sexos;21011-Beas;Ecuador;7
Ambos sexos;21011-Beas;Paraguay;0
Ambos sexos;21011-Beas;Perú;1
Ambos sexos;21011-Beas;República Dominicana;1
Ambos sexos;21011-Beas;Uruguay;0
Ambos sexos;21011-Beas;Venezuela;2
Ambos sexos;21011-Beas;Total Asia;4
Ambos sexos;21011-Beas;China;3
Ambos sexos;21011-Beas;Pakistán;0
Ambos sexos;21011-Beas;Total Oceanía;1
Ambos sexos;21012-Berrocal;Total Población;300
Ambos sexos;21012-Berrocal;Nacidos en España;297
Ambos sexos;21012-Berrocal;Nacidos en el Extranjero;3
Ambos sexos;21012-Berrocal;Total Europa;1
Ambos sexos;21012-Berrocal;Total Unión Europea;1
Ambos sexos;21012-Berrocal;Alemania;0
Ambos sexos;21012-Berrocal;Bulgaria;0
Ambos sexos;21012-Berrocal;Francia;1
Ambos sexos;21012-Berrocal;Italia;0
Ambos sexos;21012-Berrocal;Polonia;0
Ambos sexos;21012-Berrocal;Portugal;0
Ambos sexos;21012-Berrocal;Reino Unido;0
Ambos sexos;21012-Berrocal;Rumanía;0
Ambos sexos;21012-Berrocal;Total Europa No Comunitaria;0
Ambos sexos;21012-Berrocal;Rusia;0
Ambos sexos;21012-Berrocal;Ucrania;0
Ambos sexos;21012-Berrocal;Total Africa;0
Ambos sexos;21012-Berrocal;Argelia;0
Ambos sexos;21012-Berrocal;Marruecos;0
Ambos sexos;21012-Berrocal;Nigeria;0
Ambos sexos;21012-Berrocal;Senegal;0
