Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;04006-Albox;Total Unión Europea (25);918
Ambos sexos;04006-Albox;Alemania;26
Ambos sexos;04006-Albox;Francia;120
Ambos sexos;04006-Albox;Italia;4
Ambos sexos;04006-Albox;Reino Unido;667
Ambos sexos;04006-Albox;Resto de Europa;320
Ambos sexos;04006-Albox;Bulgaria;87
Ambos sexos;04006-Albox;Rumanía;147
Ambos sexos;04006-Albox;Total Africa;13
Ambos sexos;04006-Albox;Marruecos;9
Ambos sexos;04006-Albox;Total América;908
Ambos sexos;04006-Albox;Argentina;195
Ambos sexos;04006-Albox;Bolivia;223
Ambos sexos;04006-Albox;Colombia;17
Ambos sexos;04006-Albox;Ecuador;399
Ambos sexos;04006-Albox;Perú;5
Ambos sexos;04006-Albox;Total Asia;369
Ambos sexos;04006-Albox;China;13
Ambos sexos;04006-Albox;Oceanía;0
Ambos sexos;04007-Alcolea;Total Población;967
Ambos sexos;04007-Alcolea;Nacidos en el Extranjero;16
Ambos sexos;04007-Alcolea;Total Europa;9
Ambos sexos;04007-Alcolea;Total Unión Europea (25);7
Ambos sexos;04007-Alcolea;Alemania;1
Ambos sexos;04007-Alcolea;Francia;1
Ambos sexos;04007-Alcolea;Italia;0
Ambos sexos;04007-Alcolea;Reino Unido;2
Ambos sexos;04007-Alcolea;Resto de Europa;2
Ambos sexos;04007-Alcolea;Bulgaria;0
Ambos sexos;04007-Alcolea;Rumanía;1
Ambos sexos;04007-Alcolea;Total Africa;1
Ambos sexos;04007-Alcolea;Marruecos;1
Ambos sexos;04007-Alcolea;Total América;6
Ambos sexos;04007-Alcolea;Argentina;0
Ambos sexos;04007-Alcolea;Bolivia;0
Ambos sexos;04007-Alcolea;Colombia;2
Ambos sexos;04007-Alcolea;Ecuador;1
Ambos sexos;04007-Alcolea;Perú;0
Ambos sexos;04007-Alcolea;Total Asia;0
Ambos sexos;04007-Alcolea;China;0
Ambos sexos;04007-Alcolea;Oceanía;0
Ambos sexos;04008-Alcóntar;Total Población;617
