Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;025  Espejo;Europa;..
Ambos sexos;025  Espejo;Resto;..
Ambos sexos;026  Espiel;Africa;..
Ambos sexos;026  Espiel;América;..
Ambos sexos;026  Espiel;Asia;2
Ambos sexos;026  Espiel;Europa;1
Ambos sexos;026  Espiel;Resto;..
Ambos sexos;027  Fernán-Núñez;Africa;8
Ambos sexos;027  Fernán-Núñez;América;1
Ambos sexos;027  Fernán-Núñez;Asia;..
Ambos sexos;027  Fernán-Núñez;Europa;..
Ambos sexos;027  Fernán-Núñez;Resto;..
Ambos sexos;028  Fuente la Lancha;Africa;..
Ambos sexos;028  Fuente la Lancha;América;..
Ambos sexos;028  Fuente la Lancha;Asia;..
Ambos sexos;028  Fuente la Lancha;Europa;..
Ambos sexos;028  Fuente la Lancha;Resto;..
Ambos sexos;029  Fuente Obejuna;Africa;1
Ambos sexos;029  Fuente Obejuna;América;2
Ambos sexos;029  Fuente Obejuna;Asia;..
Ambos sexos;029  Fuente Obejuna;Europa;..
Ambos sexos;029  Fuente Obejuna;Resto;..
Ambos sexos;030  Fuente Palmera;Africa;..
Ambos sexos;030  Fuente Palmera;América;..
Ambos sexos;030  Fuente Palmera;Asia;..
Ambos sexos;030  Fuente Palmera;Europa;2
Ambos sexos;030  Fuente Palmera;Resto;..
Ambos sexos;031  Fuente-Tójar;Africa;..
Ambos sexos;031  Fuente-Tójar;América;..
Ambos sexos;031  Fuente-Tójar;Asia;..
Ambos sexos;031  Fuente-Tójar;Europa;1
Ambos sexos;031  Fuente-Tójar;Resto;..
Ambos sexos;032  Granjuela (La);Africa;1
Ambos sexos;032  Granjuela (La);América;..
Ambos sexos;032  Granjuela (La);Asia;..
Ambos sexos;032  Granjuela (La);Europa;1
Ambos sexos;032  Granjuela (La);Resto;..
Ambos sexos;033  Guadalcázar;Africa;1
Ambos sexos;033  Guadalcázar;América;..
Ambos sexos;033  Guadalcázar;Asia;..
Ambos sexos;033  Guadalcázar;Europa;..
Ambos sexos;033  Guadalcázar;Resto;..
Ambos sexos;034  Guijo (El);Africa;..
Ambos sexos;034  Guijo (El);América;..
Ambos sexos;034  Guijo (El);Asia;..
Ambos sexos;034  Guijo (El);Europa;..
Ambos sexos;034  Guijo (El);Resto;..
Ambos sexos;035  Hinojosa del Duque;Africa;..
Ambos sexos;035  Hinojosa del Duque;América;2
Ambos sexos;035  Hinojosa del Duque;Asia;..
Ambos sexos;035  Hinojosa del Duque;Europa;1
Ambos sexos;035  Hinojosa del Duque;Resto;..
Ambos sexos;036  Hornachuelos;Africa;..
Ambos sexos;036  Hornachuelos;América;1
Ambos sexos;036  Hornachuelos;Asia;..
Ambos sexos;036  Hornachuelos;Europa;8
Ambos sexos;036  Hornachuelos;Resto;..
Ambos sexos;037  Iznájar;Africa;6
Ambos sexos;037  Iznájar;América;1
Ambos sexos;037  Iznájar;Asia;..
Ambos sexos;037  Iznájar;Europa;3
Ambos sexos;037  Iznájar;Resto;..
Ambos sexos;038  Lucena;Africa;69
Ambos sexos;038  Lucena;América;26
Ambos sexos;038  Lucena;Asia;9
Ambos sexos;038  Lucena;Europa;30
Ambos sexos;038  Lucena;Resto;..
Ambos sexos;039  Luque;Africa;..
Ambos sexos;039  Luque;América;..
Ambos sexos;039  Luque;Asia;..
Ambos sexos;039  Luque;Europa;2
Ambos sexos;039  Luque;Resto;..
Ambos sexos;040  Montalbán de Córdoba;Africa;8
Ambos sexos;040  Montalbán de Córdoba;América;1
