,Sexo,Municipios,País de nacimiento,Total,Año
100,Ambos sexos,Alboloduy,Total Europa,9.0,2017
101,Ambos sexos,Alboloduy,Total Europa,9.0,2018
102,Ambos sexos,Alboloduy,Total Europa,12.0,2019
103,Ambos sexos,Albox,Europa,9,1998
104,Ambos sexos,Albox,Europa,90,1999
105,Ambos sexos,Albox,Europa,130,2000
106,Ambos sexos,Albox,Europa,212,2001
107,Ambos sexos,Albox,Total Unión Europea,195.0,2002
108,Ambos sexos,Albox,Total Europa,825.0,2004
109,Ambos sexos,Albox,Total Europa,1083,2005
110,Ambos sexos,Albox,Total Europa,1238.0,2006
111,Ambos sexos,Albox,Total Europa,1525.0,2007
112,Ambos sexos,Albox,Total Europa,1797.0,2008
113,Ambos sexos,Albox,Total Europa,1915.0,2009
114,Ambos sexos,Albox,Total Europa,1956.0,2010
115,Ambos sexos,Albox,Total Europa,2060.0,2011
116,Ambos sexos,Albox,Total Europa,2090.0,2012
117,Ambos sexos,Albox,Total Europa,1495.0,2013
118,Ambos sexos,Albox,Total Europa,2376.0,2014
119,Ambos sexos,Albox,Total Europa,2392.0,2015
120,Ambos sexos,Albox,Total Europa,1873.0,2016
121,Ambos sexos,Albox,Total Europa,2061.0,2017
122,Ambos sexos,Albox,Total Europa,2009.0,2018
123,Ambos sexos,Albox,Total Europa,1996.0,2019
124,Ambos sexos,Alcolea,Europa,0,1998
125,Ambos sexos,Alcolea,Europa,0,1999
126,Ambos sexos,Alcolea,Europa,0,2000
127,Ambos sexos,Alcolea,Europa,3,2001
128,Ambos sexos,Alcolea,Total Unión Europea,1.0,2002
129,Ambos sexos,Alcolea,Total Europa,7.0,2004
130,Ambos sexos,Alcolea,Total Europa,7,2005
131,Ambos sexos,Alcolea,Total Europa,9.0,2006
132,Ambos sexos,Alcolea,Total Europa,10.0,2007
133,Ambos sexos,Alcolea,Total Europa,11.0,2008
134,Ambos sexos,Alcolea,Total Europa,11.0,2009
135,Ambos sexos,Alcolea,Total Europa,12.0,2010
136,Ambos sexos,Alcolea,Total Europa,13.0,2011
137,Ambos sexos,Alcolea,Total Europa,14.0,2012
138,Ambos sexos,Alcolea,Total Europa,11.0,2013
139,Ambos sexos,Alcolea,Total Europa,7.0,2014
140,Ambos sexos,Alcolea,Total Europa,4.0,2015
141,Ambos sexos,Alcolea,Total Europa,5.0,2016
142,Ambos sexos,Alcolea,Total Europa,3.0,2017
143,Ambos sexos,Alcolea,Total Europa,5.0,2018
144,Ambos sexos,Alcolea,Total Europa,7.0,2019
145,Ambos sexos,Alcóntar,Europa,0,1998
146,Ambos sexos,Alcóntar,Europa,0,1999
147,Ambos sexos,Alcóntar,Europa,0,2000
148,Ambos sexos,Alcóntar,Europa,0,2001
149,Ambos sexos,Alcóntar,Total Unión Europea,0.0,2002
150,Ambos sexos,Alcóntar,Total Europa,10.0,2004
151,Ambos sexos,Alcóntar,Total Europa,13,2005
152,Ambos sexos,Alcóntar,Total Europa,13.0,2006
153,Ambos sexos,Alcóntar,Total Europa,13.0,2007
154,Ambos sexos,Alcóntar,Total Europa,17.0,2008
155,Ambos sexos,Alcóntar,Total Europa,20.0,2009
156,Ambos sexos,Alcóntar,Total Europa,26.0,2010
157,Ambos sexos,Alcóntar,Total Europa,29.0,2011
158,Ambos sexos,Alcóntar,Total Europa,30.0,2012
159,Ambos sexos,Alcóntar,Total Europa,38.0,2013
160,Ambos sexos,Alcóntar,Total Europa,33.0,2014
161,Ambos sexos,Alcóntar,Total Europa,22.0,2015
162,Ambos sexos,Alcóntar,Total Europa,24.0,2016
163,Ambos sexos,Alcóntar,Total Europa,26.0,2017
164,Ambos sexos,Alcóntar,Total Europa,18.0,2018
165,Ambos sexos,Alcóntar,Total Europa,19.0,2019
166,Ambos sexos,Alcudia de Monteagud,Europa,0,1998
167,Ambos sexos,Alcudia de Monteagud,Europa,0,1999
168,Ambos sexos,Alcudia de Monteagud,Europa,0,2000
169,Ambos sexos,Alcudia de Monteagud,Europa,0,2001
170,Ambos sexos,Alcudia de Monteagud,Total Unión Europea,0.0,2002
171,Ambos sexos,Alcudia de Monteagud,Total Europa,8.0,2004
172,Ambos sexos,Alcudia de Monteagud,Total Europa,8,2005
173,Ambos sexos,Alcudia de Monteagud,Total Europa,3.0,2006
174,Ambos sexos,Alcudia de Monteagud,Total Europa,8.0,2007
175,Ambos sexos,Alcudia de Monteagud,Total Europa,6.0,2008
176,Ambos sexos,Alcudia de Monteagud,Total Europa,6.0,2009
177,Ambos sexos,Alcudia de Monteagud,Total Europa,5.0,2010
178,Ambos sexos,Alcudia de Monteagud,Total Europa,5.0,2011
179,Ambos sexos,Alcudia de Monteagud,Total Europa,5.0,2012
180,Ambos sexos,Alcudia de Monteagud,Total Europa,1.0,2013
181,Ambos sexos,Alcudia de Monteagud,Total Europa,0.0,2014
182,Ambos sexos,Alcudia de Monteagud,Total Europa,2.0,2015
183,Ambos sexos,Alcudia de Monteagud,Total Europa,1.0,2016
184,Ambos sexos,Alcudia de Monteagud,Total Europa,1.0,2017
185,Ambos sexos,Alcudia de Monteagud,Total Europa,1.0,2018
186,Ambos sexos,Alcudia de Monteagud,Total Europa,6.0,2019
187,Ambos sexos,Alhabia,Europa,0,1998
188,Ambos sexos,Alhabia,Europa,0,1999
189,Ambos sexos,Alhabia,Europa,0,2000
190,Ambos sexos,Alhabia,Europa,0,2001
191,Ambos sexos,Alhabia,Total Unión Europea,1.0,2002
192,Ambos sexos,Alhabia,Total Europa,4.0,2004
193,Ambos sexos,Alhabia,Total Europa,13,2005
194,Ambos sexos,Alhabia,Total Europa,17.0,2006
195,Ambos sexos,Alhabia,Total Europa,18.0,2007
196,Ambos sexos,Alhabia,Total Europa,26.0,2008
197,Ambos sexos,Alhabia,Total Europa,24.0,2009
198,Ambos sexos,Alhabia,Total Europa,23.0,2010
199,Ambos sexos,Alhabia,Total Europa,25.0,2011
200,Ambos sexos,Alhabia,Total Europa,26.0,2012
201,Ambos sexos,Alhabia,Total Europa,17.0,2013
202,Ambos sexos,Alhabia,Total Europa,20.0,2014
203,Ambos sexos,Alhabia,Total Europa,25.0,2015
204,Ambos sexos,Alhabia,Total Europa,20.0,2016
205,Ambos sexos,Alhabia,Total Europa,16.0,2017
206,Ambos sexos,Alhabia,Total Europa,16.0,2018
207,Ambos sexos,Alhabia,Total Europa,20.0,2019
208,Ambos sexos,Alhama de Almería,Europa,1,1998
209,Ambos sexos,Alhama de Almería,Europa,2,1999
210,Ambos sexos,Alhama de Almería,Europa,5,2000
211,Ambos sexos,Alhama de Almería,Europa,7,2001
212,Ambos sexos,Alhama de Almería,Total Unión Europea,12.0,2002
213,Ambos sexos,Alhama de Almería,Total Europa,83.0,2004
214,Ambos sexos,Alhama de Almería,Total Europa,144,2005
215,Ambos sexos,Alhama de Almería,Total Europa,216.0,2006
216,Ambos sexos,Alhama de Almería,Total Europa,250.0,2007
217,Ambos sexos,Alhama de Almería,Total Europa,310.0,2008
218,Ambos sexos,Alhama de Almería,Total Europa,321.0,2009
219,Ambos sexos,Alhama de Almería,Total Europa,338.0,2010
220,Ambos sexos,Alhama de Almería,Total Europa,330.0,2011
221,Ambos sexos,Alhama de Almería,Total Europa,340.0,2012
