,Sexo,Municipios,País de nacimiento,Total,Año
0,Ambos sexos,Alhama de Almería,Europa,1,1998
1,Ambos sexos,Alhama de Almería,Europa,2,1999
2,Ambos sexos,Alhama de Almería,Europa,5,2000
3,Ambos sexos,Alhama de Almería,Europa,7,2001
4,Ambos sexos,Alhama de Almería,Total Unión Europea,12.0,2002
5,Ambos sexos,Alhama de Almería,Total Europa,83.0,2004
6,Ambos sexos,Alhama de Almería,Total Europa,144,2005
7,Ambos sexos,Alhama de Almería,Total Europa,216.0,2006
8,Ambos sexos,Alhama de Almería,Total Europa,250.0,2007
9,Ambos sexos,Alhama de Almería,Total Europa,310.0,2008
10,Ambos sexos,Alhama de Almería,Total Europa,321.0,2009
11,Ambos sexos,Alhama de Almería,Total Europa,338.0,2010
12,Ambos sexos,Alhama de Almería,Total Europa,330.0,2011
13,Ambos sexos,Alhama de Almería,Total Europa,340.0,2012
14,Ambos sexos,Alhama de Almería,Total Europa,343.0,2013
15,Ambos sexos,Alhama de Almería,Total Europa,302.0,2014
16,Ambos sexos,Alhama de Almería,Total Europa,266.0,2015
17,Ambos sexos,Alhama de Almería,Total Europa,233.0,2016
18,Ambos sexos,Alhama de Almería,Total Europa,216.0,2017
19,Ambos sexos,Alhama de Almería,Total Europa,197.0,2018
20,Ambos sexos,Alhama de Almería,Total Europa,198.0,2019
21,Ambos sexos,Antas,Europa,3,1998
22,Ambos sexos,Antas,Europa,7,1999
23,Ambos sexos,Antas,Europa,21,2000
24,Ambos sexos,Antas,Europa,88,2001
25,Ambos sexos,Antas,Total Unión Europea,32.0,2002
26,Ambos sexos,Antas,Total Europa,251.0,2004
27,Ambos sexos,Antas,Total Europa,320,2005
28,Ambos sexos,Antas,Total Europa,341.0,2006
29,Ambos sexos,Antas,Total Europa,370.0,2007
30,Ambos sexos,Antas,Total Europa,447.0,2008
31,Ambos sexos,Antas,Total Europa,479.0,2009
32,Ambos sexos,Antas,Total Europa,425.0,2010
33,Ambos sexos,Antas,Total Europa,426.0,2011
34,Ambos sexos,Antas,Total Europa,431.0,2012
35,Ambos sexos,Antas,Total Europa,425.0,2013
36,Ambos sexos,Antas,Total Europa,319.0,2014
37,Ambos sexos,Antas,Total Europa,305.0,2015
38,Ambos sexos,Antas,Total Europa,298.0,2016
