Provincia,Municipios,Población,Resultado Izquierda,Resultado Derecha,Diferencia,Fecha,Mes,Año
Almería,Velefique,532,10.31,89.69,-79.38,197706,06,1977
Almería,Vélez-Blanco,3873,20.79,78.92,-58.13,197706,06,1977
Almería,Vélez-Rubio,8349,19.34,80.44,-61.1,197706,06,1977
Almería,Vera,5132,45.77,54.07,-8.3,197706,06,1977
Almería,Viator,2258,56.62,42.96,13.66,197706,06,1977
Almería,Vícar,6032,25.58,74.29,-48.71,197706,06,1977
Almería,Zurgena,2080,38.84,60.88,-22.04,197706,06,1977
Cádiz,Alcalá de los Gazules,6455,46.57,52.43,-5.86,197706,06,1977
Cádiz,Alcalá del Valle,4908,69.01,30.73,38.28,197706,06,1977
Cádiz,Algar,2058,25.67,74.21,-48.54,197706,06,1977
Cádiz,Algeciras,88006,49.47,45.97,3.5,197706,06,1977
Cádiz,Algodonales,6550,67.56,32.06,35.5,197706,06,1977
Cádiz,Arcos de la Frontera,24867,78.09,21.02,57.07,197706,06,1977
Cádiz,Barbate,20092,66.52,32.41,34.11,197706,06,1977
Cádiz,Los Barrios,9755,70.29,27.23,43.06,197706,06,1977
Cádiz,Benaocaz,604,13.71,85.89,-72.18,197706,06,1977
Cádiz,Bornos,7357,51.42,47.4,4.02,197706,06,1977
Cádiz,El Bosque,2041,35.66,63.82,-28.16,197706,06,1977
Cádiz,Cádiz,142242,50.61,48.9,1.71,197706,06,1977
Cádiz,Castellar de la Frontera,2017,71.91,25.12,46.79,197706,06,1977
Cádiz,Conil de la Frontera,11926,68.77,29.98,38.79,197706,06,1977
Cádiz,Chiclana de la Frontera,31711,76.46,22.98,53.48,197706,06,1977
Cádiz,Chipiona,11196,38.13,60.68,-22.55,197706,06,1977
Cádiz,Espera,4742,57.06,42.23,14.83,197706,06,1977
Cádiz,El Gastor,2468,25.56,73.18,-47.62,197706,06,1977
Cádiz,Grazalema,2169,35.8,61.64,-25.84,197706,06,1977
Cádiz,Jerez de la Frontera,167720,64.4,34.95,29.45,197706,06,1977
Cádiz,Jimena de la Frontera,8283,74.39,21.06,53.33,197706,06,1977
Cádiz,La Línea de la Concepción,54158,64.01,25.45,38.56,197706,06,1977
Cádiz,Medina-Sidonia,14618,75.97,23.53,52.44,197706,06,1977
Cádiz,Olvera,10923,54.51,45.28,9.23,197706,06,1977
Cádiz,Paterna de Rivera,3691,80.73,18.09,62.64,197706,06,1977
Cádiz,Prado del Rey,4569,32.21,66.56,-34.35,197706,06,1977
Cádiz,El Puerto de Santa María,51600,58.61,40.76,17.85,197706,06,1977
Cádiz,Puerto Real,21465,75.54,23.99,51.55,197706,06,1977
Cádiz,Puerto Serrano,5519,60.64,38.32,22.32,197706,06,1977
Cádiz,Rota,25702,52.0,46.93,5.07,197706,06,1977
Cádiz,San Fernando,68051,58.89,40.34,18.55,197706,06,1977
Cádiz,Sanlúcar de Barrameda,43867,70.72,28.47,42.25,197706,06,1977
Cádiz,San Roque,21198,64.42,27.27,37.15,197706,06,1977
Cádiz,Setenil de las Bodegas,3632,20.72,75.83,-55.11,197706,06,1977
Cádiz,Tarifa,15006,50.68,46.04,4.64,197706,06,1977
Cádiz,Torre Alháquime,1078,19.69,80.09,-60.4,197706,06,1977
Cádiz,Trebujena,6113,83.8,16.03,67.77,197706,06,1977
Cádiz,Ubrique,14751,64.43,35.04,29.39,197706,06,1977
Cádiz,Vejer de la Frontera,13301,58.01,40.79,17.22,197706,06,1977
Cádiz,Villaluenga del Rosario,645,14.66,84.91,-70.25,197706,06,1977
Cádiz,Villamartín,12466,56.82,42.19,14.63,197706,06,1977
Cádiz,Zahara,2808,40.46,58.68,-18.22,197706,06,1977
Córdoba,Adamuz,4271,62.46,37.3,25.16,197706,06,1977
Córdoba,Aguilar de la Frontera,14619,69.62,30.19,39.43,197706,06,1977
Córdoba,Alcaracejos,1993,53.07,46.93,6.14,197706,06,1977
Córdoba,Almedinilla,3077,10.51,87.85,-77.34,197706,06,1977
Córdoba,Almodóvar del Río,6299,76.14,23.41,52.73,197706,06,1977
Córdoba,Añora,2126,34.84,64.67,-29.83,197706,06,1977
Córdoba,Baena,20138,52.48,47.2,5.28,197706,06,1977
Córdoba,Belalcázar,4669,44.94,54.78,-9.84,197706,06,1977
Córdoba,Belmez,4649,52.86,46.39,6.47,197706,06,1977
Córdoba,Benamejí,4422,33.5,66.36,-32.86,197706,06,1977
Córdoba,Los Blázquez,842,43.58,56.01,-12.43,197706,06,1977
Córdoba,Bujalance,9316,72.5,27.07,45.43,197706,06,1977
