,Municipio,variable,value
0,Adamuz,enero_2006,13.83
1,Alameda,enero_2006,11.69
2,Albaida del Aljarafe,enero_2006,1.53
3,Albuñol,enero_2006,4.1
4,Alcalá de los Gazules,enero_2006,2.83
5,Alcalá del Río,enero_2006,5.08
6,Alcalá del Valle,enero_2006,4.89
7,Alcolea del Río,enero_2006,6.41
8,Alfacar,enero_2006,1.76
9,Algarinejo,enero_2006,3.7
10,Algarrobo,enero_2006,2.4
11,Algodonales,enero_2006,3.31
12,Alhama de Almería,enero_2006,1.87
13,Alhama de Granada,enero_2006,7.59
14,Alhendín,enero_2006,2.06
15,Almargen,enero_2006,5.38
16,Almedinilla,enero_2006,14.59
17,Almensilla,enero_2006,3.31
18,Almodóvar del Río,enero_2006,9.19
19,Almogía,enero_2006,1.09
20,Alosno,enero_2006,3.01
21,Alozaina,enero_2006,3.33
22,Antas,enero_2006,6.21
23,Aracena,enero_2006,5.13
24,Arboleas,enero_2006,1.7
25,Archidona,enero_2006,9.92
26,Ardales,enero_2006,6.06
27,Arenas del Rey,enero_2006,1.63
28,Arjona,enero_2006,19.31
29,Arjonilla,enero_2006,18.24
30,Aroche,enero_2006,4.92
31,Arriate,enero_2006,2.51
32,Arroyo del Ojanco,enero_2006,9.64
33,Aznalcázar,enero_2006,6.96
34,Aznalcóllar,enero_2006,2.61
35,Badolatosa,enero_2006,9.62
36,Baños de la Encina,enero_2006,13.0
37,Beas,enero_2006,3.28
38,Beas de Segura,enero_2006,9.88
39,Bedmar y Garcíez,enero_2006,19.56
40,Begíjar,enero_2006,10.8
41,Belalcázar,enero_2006,2.75
42,Belmez,enero_2006,1.2
43,Benacazón,enero_2006,3.34
44,Benahadux,enero_2006,3.62
45,Benahavís,enero_2006,14.3
46,Benalup-Casas Viejas,enero_2006,6.82
47,Benalúa,enero_2006,2.27
48,Benamaurel,enero_2006,3.91
49,Benamejí,enero_2006,8.66
50,Benamocarra,enero_2006,3.25
51,Bollullos de la Mitación,enero_2006,7.04
52,Bonares,enero_2006,10.27
53,Bornos,enero_2006,3.0
54,Bujalance,enero_2006,13.05
55,Burguillos,enero_2006,7.41
56,Cabra del Santo Cristo,enero_2006,5.83
57,Calañas,enero_2006,1.8
58,Cambil,enero_2006,5.77
59,Campillo de Arenas,enero_2006,6.78
60,Campillos,enero_2006,10.72
61,Canena,enero_2006,14.27
62,Caniles,enero_2006,2.55
63,Canillas de Aceituno,enero_2006,2.19
64,Cantillana,enero_2006,10.56
65,Cantoria,enero_2006,2.62
66,Carboneras,enero_2006,2.06
67,Carcabuey,enero_2006,9.51
68,Carrión de los Céspedes,enero_2006,3.79
69,Casabermeja,enero_2006,1.78
70,Casarabonela,enero_2006,2.51
71,Casares,enero_2006,7.12
72,Casariche,enero_2006,11.12
73,Castellar,enero_2006,4.06
74,Castellar de la Frontera,enero_2006,1.83
75,Castilblanco de los Arroyos,enero_2006,1.7
76,Castilleja de Guzmán,enero_2006,0.48
77,Castillo de Locubín,enero_2006,13.36
78,Castril,enero_2006,2.44
79,Castro del Río,enero_2006,19.77
80,Cazalla de la Sierra,enero_2006,4.23
81,Cazorla,enero_2006,4.4
82,Cañada Rosal,enero_2006,2.35
83,Cañete de las Torres,enero_2006,41.2
84,Cañete la Real,enero_2006,6.58
85,Cenes de la Vega,enero_2006,1.75
86,Chauchina,enero_2006,6.59
87,Chucena,enero_2006,3.75
88,Churriana de la Vega,enero_2006,2.77
89,Cijuela,enero_2006,4.03
90,Cogollos de la Vega,enero_2006,2.24
91,Colmenar,enero_2006,4.49
92,Constantina,enero_2006,5.73
93,Cortegana,enero_2006,4.19
94,Cortes de Baza,enero_2006,4.35
95,Cortes de la Frontera,enero_2006,2.32
96,Cuevas de San Marcos,enero_2006,5.39
97,Cuevas del Campo,enero_2006,4.97
98,Cumbres Mayores,enero_2006,10.92
99,Cájar,enero_2006,1.28
100,Cómpeta,enero_2006,2.04
101,Cúllar,enero_2006,3.14
102,Cúllar Vega,enero_2006,2.72
103,Dalías,enero_2006,1.21
104,Deifontes,enero_2006,8.68
105,Dos Torres,enero_2006,1.85
106,Doña Mencía,enero_2006,16.56
107,Dúrcal,enero_2006,2.98
108,El Bosque,enero_2006,4.15
109,El Burgo,enero_2006,9.47
110,El Campillo,enero_2006,6.33
111,El Carpio,enero_2006,4.31
112,El Cerro de Andévalo,enero_2006,1.9
113,El Coronil,enero_2006,6.38
114,El Cuervo de Sevilla,enero_2006,3.08
115,El Pedroso,enero_2006,9.54
116,El Rubio,enero_2006,4.15
117,El Saucejo,enero_2006,4.57
118,El Viso,enero_2006,1.4
119,Encinas Reales,enero_2006,8.41
120,Escacena del Campo,enero_2006,1.89
121,Espartinas,enero_2006,5.48
122,Espejo,enero_2006,11.1
123,Espera,enero_2006,10.81
124,Espiel,enero_2006,2.93
125,Fernán-Núñez,enero_2006,2.43
126,Fines,enero_2006,2.52
127,Fiñana,enero_2006,1.57
128,Frigiliana,enero_2006,2.27
129,Fuensanta de Martos,enero_2006,6.25
130,Fuente Obejuna,enero_2006,2.87
131,Fuente Vaqueros,enero_2006,4.16
132,Fuente de Piedra,enero_2006,12.54
133,Fuentes de Andalucía,enero_2006,4.09
134,Garrucha,enero_2006,2.49
135,Gelves,enero_2006,1.69
136,Gerena,enero_2006,2.48
137,Gilena,enero_2006,10.7
138,Grazalema,enero_2006,2.36
139,Guadahortuna,enero_2006,3.15
140,Guadalcanal,enero_2006,17.47
141,Gualchos,enero_2006,7.32
142,Guaro,enero_2006,1.57
143,Guarromán,enero_2006,6.58
144,Guillena,enero_2006,4.2
145,Gádor,enero_2006,7.91
146,Gójar,enero_2006,1.44
147,Güejar Sierra,enero_2006,1.54
148,Güevéjar,enero_2006,1.44
149,Herrera,enero_2006,9.05
150,Hinojos,enero_2006,6.77
151,Hinojosa del Duque,enero_2006,1.9
152,Hornachuelos,enero_2006,19.91
153,Huelma,enero_2006,4.18
154,Huesa,enero_2006,2.6
155,Humilladero,enero_2006,6.27
156,Huéscar,enero_2006,2.37
157,Huétor Tájar,enero_2006,7.52
158,Huévar del Aljarafe,enero_2006,3.94
159,Ibros,enero_2006,6.15
160,Isla Mayor,enero_2006,2.14
161,Iznalloz,enero_2006,7.48
162,Iznájar,enero_2006,11.47
163,Jabalquinto,enero_2006,15.31
164,Jabugo,enero_2006,12.7
165,Jamilena,enero_2006,13.36
166,Jimena de la Frontera,enero_2006,1.99
167,Jun,enero_2006,1.89
168,La Campana,enero_2006,3.84
169,La Guardia de Jaén,enero_2006,2.27
170,La Luisiana,enero_2006,8.42
171,La Mojonera,enero_2006,5.34
172,La Palma del Condado,enero_2006,3.28
173,La Puebla de los Infantes,enero_2006,5.29
174,La Puerta de Segura,enero_2006,5.77
175,La Rambla,enero_2006,8.31
176,La Roda de Andalucía,enero_2006,13.24
177,Lanjarón,enero_2006,2.24
178,Lantejuela,enero_2006,0.0
179,Lecrín,enero_2006,3.56
180,Lopera,enero_2006,36.52
181,Los Corrales,enero_2006,4.04
182,Los Gallardos,enero_2006,4.16
183,Los Molares,enero_2006,5.73
184,Los Villares,enero_2006,7.73
185,Lucena del Puerto,enero_2006,27.72
186,Luque,enero_2006,9.6
187,Láchar,enero_2006,4.65
188,Macael,enero_2006,1.55
189,Manilva,enero_2006,5.29
190,Manzanilla,enero_2006,2.04
191,Marinaleda,enero_2006,5.69
192,Marmolejo,enero_2006,8.41
193,Martín de la Jara,enero_2006,4.38
194,Mengíbar,enero_2006,4.74
195,Minas de Riotinto,enero_2006,2.07
196,Moclín,enero_2006,10.23
197,Mojácar,enero_2006,5.45
198,Mollina,enero_2006,6.98
199,Molvízar,enero_2006,1.63
200,Monachil,enero_2006,5.52
201,Monda,enero_2006,2.2
202,Montalbán de Córdoba,enero_2006,9.87
203,Montefrío,enero_2006,6.87
204,Montejícar,enero_2006,3.85
205,Montellano,enero_2006,4.04
206,Montemayor,enero_2006,5.77
207,Montoro,enero_2006,7.43
208,Monturque,enero_2006,7.9
209,Moraleda de Zafayona,enero_2006,7.03
210,Moriles,enero_2006,6.75
211,Navas de San Juan,enero_2006,9.63
212,Nerva,enero_2006,4.73
213,Niebla,enero_2006,4.96
214,Noalejo,enero_2006,4.98
215,Nueva Carteya,enero_2006,15.79
216,Ojén,enero_2006,3.73
217,Olivares,enero_2006,1.32
218,Olula del Río,enero_2006,1.75
219,Olvera,enero_2006,6.25
220,Orcera,enero_2006,5.51
221,Oria,enero_2006,4.09
222,Padul,enero_2006,2.86
223,Palomares del Río,enero_2006,2.46
224,Palos de la Frontera,enero_2006,28.69
225,Paradas,enero_2006,4.71
226,Paterna de Rivera,enero_2006,3.29
227,Paterna del Campo,enero_2006,3.4
228,Peal de Becerro,enero_2006,7.41
229,Pechina,enero_2006,2.25
230,Pedrera,enero_2006,8.02
231,Pedro Abad,enero_2006,6.92
232,Pegalajar,enero_2006,2.46
233,Periana,enero_2006,3.23
234,Peñaflor,enero_2006,3.71
235,Pizarra,enero_2006,2.3
236,Porcuna,enero_2006,31.1
237,Posadas,enero_2006,6.52
238,Pozo Alcón,enero_2006,2.89
239,Prado del Rey,enero_2006,2.34
240,Pruna,enero_2006,7.32
