,Municipio,variable,value
0,Adra,enero_2006,2.66
1,Aguilar de la Frontera,enero_2006,12.2
2,Albolote,enero_2006,5.29
3,Albox,enero_2006,2.59
4,Alcalá de Guadaíra,enero_2006,4.22
5,Alcalá la Real,enero_2006,8.79
6,Alcaudete,enero_2006,12.63
7,Alhaurín de la Torre,enero_2006,2.57
8,Alhaurín el Grande,enero_2006,2.05
9,Aljaraque,enero_2006,3.17
10,Almonte,enero_2006,11.12
11,Almuñécar,enero_2006,2.25
12,Andújar,enero_2006,5.5
13,Antequera,enero_2006,6.64
14,Arahal,enero_2006,3.44
15,Arcos de la Frontera,enero_2006,5.14
16,Armilla,enero_2006,3.01
17,Atarfe,enero_2006,4.45
18,Ayamonte,enero_2006,5.51
19,Baena,enero_2006,12.51
20,Baeza,enero_2006,8.71
21,Bailén,enero_2006,11.42
22,Barbate,enero_2006,2.6
23,Baza,enero_2006,2.0
24,Benalmádena,enero_2006,2.96
25,Berja,enero_2006,1.58
26,Bollullos Par del Condado,enero_2006,7.54
27,Bormujos,enero_2006,3.55
28,Brenes,enero_2006,17.84
29,Cabra,enero_2006,9.2
30,Camas,enero_2006,2.51
31,Carmona,enero_2006,7.16
32,Cartaya,enero_2006,7.79
33,Castilleja de la Cuesta,enero_2006,2.45
34,Chiclana de la Frontera,enero_2006,2.6
35,Chipiona,enero_2006,4.11
36,Conil de la Frontera,enero_2006,2.58
37,Coria del Río,enero_2006,2.0
38,Coín,enero_2006,2.43
39,Cuevas del Almanzora,enero_2006,8.05
40,Cártama,enero_2006,2.15
41,El Ejido,enero_2006,5.07
42,El Puerto de Santa María,enero_2006,4.08
43,El Viso del Alcor,enero_2006,2.45
44,Estepa,enero_2006,12.93
45,Estepona,enero_2006,3.49
46,Fuengirola,enero_2006,2.83
47,Fuente Palmera,enero_2006,13.3
48,Gibraleón,enero_2006,5.13
49,Gines,enero_2006,1.63
50,Guadix,enero_2006,2.27
51,Huércal de Almería,enero_2006,4.93
52,Huércal-Overa,enero_2006,3.3
53,Huétor Vega,enero_2006,1.75
54,Illora,enero_2006,5.24
55,Isla Cristina,enero_2006,6.17
56,Jódar,enero_2006,4.12
57,La Algaba,enero_2006,2.41
58,La Carlota,enero_2006,4.36
59,La Carolina,enero_2006,1.82
60,La Línea de la Concepción,enero_2006,1.81
61,La Puebla de Cazalla,enero_2006,6.74
62,La Puebla del Río,enero_2006,1.56
63,La Rinconada,enero_2006,5.56
64,La Zubia,enero_2006,1.46
65,Las Cabezas de San Juan,enero_2006,5.19
66,Las Gabias,enero_2006,2.02
67,Lebrija,enero_2006,4.18
68,Lepe,enero_2006,6.05
69,Linares,enero_2006,2.41
70,Loja,enero_2006,6.62
71,Lora del Río,enero_2006,7.97
72,Los Barrios,enero_2006,5.76
73,Los Palacios y Villafranca,enero_2006,3.84
74,Lucena,enero_2006,8.54
75,Mairena del Alcor,enero_2006,3.33
76,Mairena del Aljarafe,enero_2006,2.37
77,Mancha Real,enero_2006,7.27
78,Maracena,enero_2006,1.26
79,Marchena,enero_2006,5.88
80,Martos,enero_2006,13.47
81,Medina-Sidonia,enero_2006,2.79
82,Mijas,enero_2006,2.89
83,Moguer,enero_2006,13.64
84,Montilla,enero_2006,5.64
85,Morón de la Frontera,enero_2006,4.03
86,Motril,enero_2006,4.6
87,Nerja,enero_2006,2.19
88,Níjar,enero_2006,3.55
89,Ogíjares,enero_2006,1.77
90,Osuna,enero_2006,5.9
91,Palma del Río,enero_2006,12.14
92,Peligros,enero_2006,4.12
93,Peñarroya-Pueblonuevo,enero_2006,1.71
94,Pilas,enero_2006,2.57
95,Pinos Puente,enero_2006,5.71
96,Pozoblanco,enero_2006,3.42
97,Priego de Córdoba,enero_2006,5.87
98,Puente Genil,enero_2006,9.41
99,Puerto Real,enero_2006,3.49
100,Punta Umbría,enero_2006,3.04
101,Rincón de la Victoria,enero_2006,1.77
102,Ronda,enero_2006,3.18
103,Roquetas de Mar,enero_2006,3.05
104,Rota,enero_2006,3.03
105,Rute,enero_2006,8.49
106,Salobreña,enero_2006,2.45
107,San Fernando,enero_2006,1.81
108,San Juan de Aznalfarache,enero_2006,2.47
109,San Roque,enero_2006,4.96
110,Sanlúcar de Barrameda,enero_2006,3.5
111,Sanlúcar la Mayor,enero_2006,6.91
112,Santa Fe,enero_2006,3.28
113,Tarifa,enero_2006,1.87
114,Tomares,enero_2006,2.25
115,Torre del Campo,enero_2006,4.77
116,Torredonjimeno,enero_2006,10.03
117,Torremolinos,enero_2006,4.0
118,Torrox,enero_2006,2.93
119,Ubrique,enero_2006,2.91
120,Utrera,enero_2006,4.64
121,Valverde del Camino,enero_2006,2.43
122,Vejer de la Frontera,enero_2006,3.21
123,Vera,enero_2006,6.99
124,Villacarrillo,enero_2006,19.45
125,Villamartín,enero_2006,4.7
126,Vélez-Málaga,enero_2006,3.24
127,Vícar,enero_2006,4.05
128,Álora,enero_2006,2.68
129,Écija,enero_2006,5.94
130,Úbeda,enero_2006,7.24
131,Adra,febrero_2006,2.44
132,Aguilar de la Frontera,febrero_2006,16.35
133,Albolote,febrero_2006,5.1
134,Albox,febrero_2006,2.32
135,Alcalá de Guadaíra,febrero_2006,4.1
136,Alcalá la Real,febrero_2006,4.71
137,Alcaudete,febrero_2006,5.07
138,Alhaurín de la Torre,febrero_2006,2.48
139,Alhaurín el Grande,febrero_2006,1.72
140,Aljaraque,febrero_2006,2.42
141,Almonte,febrero_2006,14.46
142,Almuñécar,febrero_2006,2.46
143,Andújar,febrero_2006,4.23
144,Antequera,febrero_2006,6.23
145,Arahal,febrero_2006,2.72
146,Arcos de la Frontera,febrero_2006,5.45
147,Armilla,febrero_2006,2.86
148,Atarfe,febrero_2006,3.59
149,Ayamonte,febrero_2006,5.14
150,Baena,febrero_2006,4.97
151,Baeza,febrero_2006,3.93
152,Bailén,febrero_2006,4.27
153,Barbate,febrero_2006,1.4
154,Baza,febrero_2006,1.48
155,Benalmádena,febrero_2006,3.03
156,Berja,febrero_2006,1.48
157,Bollullos Par del Condado,febrero_2006,7.24
158,Bormujos,febrero_2006,2.5
159,Brenes,febrero_2006,18.35
160,Cabra,febrero_2006,6.55
161,Camas,febrero_2006,1.91
162,Carmona,febrero_2006,5.03
163,Cartaya,febrero_2006,10.37
164,Castilleja de la Cuesta,febrero_2006,2.12
165,Chiclana de la Frontera,febrero_2006,2.67
166,Chipiona,febrero_2006,4.31
167,Conil de la Frontera,febrero_2006,2.43
168,Coria del Río,febrero_2006,1.78
169,Coín,febrero_2006,1.76
170,Cuevas del Almanzora,febrero_2006,5.05
171,Cártama,febrero_2006,2.44
172,El Ejido,febrero_2006,4.97
173,El Puerto de Santa María,febrero_2006,3.35
174,El Viso del Alcor,febrero_2006,4.63
175,Estepa,febrero_2006,5.09
176,Estepona,febrero_2006,3.6
177,Fuengirola,febrero_2006,2.97
178,Fuente Palmera,febrero_2006,7.3
179,Gibraleón,febrero_2006,5.68
180,Gines,febrero_2006,1.84
181,Guadix,febrero_2006,1.89
182,Huércal de Almería,febrero_2006,3.28
183,Huércal-Overa,febrero_2006,2.41
184,Huétor Vega,febrero_2006,0.99
185,Illora,febrero_2006,4.48
186,Isla Cristina,febrero_2006,5.98
187,Jódar,febrero_2006,1.84
188,La Algaba,febrero_2006,2.13
189,La Carlota,febrero_2006,4.28
190,La Carolina,febrero_2006,1.63
191,La Línea de la Concepción,febrero_2006,1.68
192,La Puebla de Cazalla,febrero_2006,5.67
193,La Puebla del Río,febrero_2006,1.91
194,La Rinconada,febrero_2006,5.84
195,La Zubia,febrero_2006,0.85
196,Las Cabezas de San Juan,febrero_2006,5.07
197,Las Gabias,febrero_2006,2.0
198,Lebrija,febrero_2006,5.26
199,Lepe,febrero_2006,11.01
200,Linares,febrero_2006,1.94
201,Loja,febrero_2006,8.12
202,Lora del Río,febrero_2006,7.35
203,Los Barrios,febrero_2006,5.04
204,Los Palacios y Villafranca,febrero_2006,3.93
205,Lucena,febrero_2006,8.85
206,Mairena del Alcor,febrero_2006,5.0
207,Mairena del Aljarafe,febrero_2006,2.42
208,Mancha Real,febrero_2006,3.84
209,Maracena,febrero_2006,1.35
210,Marchena,febrero_2006,6.69
211,Martos,febrero_2006,6.47
212,Medina-Sidonia,febrero_2006,3.92
213,Mijas,febrero_2006,3.8
214,Moguer,febrero_2006,21.43
215,Montilla,febrero_2006,3.94
216,Morón de la Frontera,febrero_2006,2.93
217,Motril,febrero_2006,4.6
218,Nerja,febrero_2006,2.57
219,Níjar,febrero_2006,4.79
220,Ogíjares,febrero_2006,1.69
221,Osuna,febrero_2006,3.61
222,Palma del Río,febrero_2006,16.09
223,Peligros,febrero_2006,3.51
224,Peñarroya-Pueblonuevo,febrero_2006,0.95
225,Pilas,febrero_2006,3.2
226,Pinos Puente,febrero_2006,3.97
227,Pozoblanco,febrero_2006,2.94
228,Priego de Córdoba,febrero_2006,4.45
229,Puente Genil,febrero_2006,6.23
230,Puerto Real,febrero_2006,3.15
231,Punta Umbría,febrero_2006,3.26
232,Rincón de la Victoria,febrero_2006,1.75
233,Ronda,febrero_2006,2.38
234,Roquetas de Mar,febrero_2006,3.08
235,Rota,febrero_2006,3.18
236,Rute,febrero_2006,8.38
237,Salobreña,febrero_2006,2.58
238,San Fernando,febrero_2006,1.51
239,San Juan de Aznalfarache,febrero_2006,2.21
240,San Roque,febrero_2006,4.58
241,Sanlúcar de Barrameda,febrero_2006,3.26
242,Sanlúcar la Mayor,febrero_2006,6.03
243,Santa Fe,febrero_2006,2.62
244,Tarifa,febrero_2006,1.62
245,Tomares,febrero_2006,2.59
246,Torre del Campo,febrero_2006,2.36
247,Torredonjimeno,febrero_2006,4.13
248,Torremolinos,febrero_2006,3.75
249,Torrox,febrero_2006,2.29
250,Ubrique,febrero_2006,2.12
251,Utrera,febrero_2006,3.82
252,Valverde del Camino,febrero_2006,1.48
253,Vejer de la Frontera,febrero_2006,3.8
254,Vera,febrero_2006,6.33
255,Villacarrillo,febrero_2006,10.93
256,Villamartín,febrero_2006,4.44
257,Vélez-Málaga,febrero_2006,3.04
258,Vícar,febrero_2006,3.95
259,Álora,febrero_2006,2.1
260,Écija,febrero_2006,4.85
261,Úbeda,febrero_2006,3.52
262,Adra,marzo_2006,2.48
263,Aguilar de la Frontera,marzo_2006,7.39
264,Albolote,marzo_2006,6.61
265,Albox,marzo_2006,2.3
266,Alcalá de Guadaíra,marzo_2006,4.57
267,Alcalá la Real,marzo_2006,4.2
268,Alcaudete,marzo_2006,5.77
269,Alhaurín de la Torre,marzo_2006,2.24
270,Alhaurín el Grande,marzo_2006,1.72
271,Aljaraque,marzo_2006,2.79
272,Almonte,marzo_2006,16.7
273,Almuñécar,marzo_2006,2.04
274,Andújar,marzo_2006,3.83
275,Antequera,marzo_2006,6.17
276,Arahal,marzo_2006,3.32
277,Arcos de la Frontera,marzo_2006,7.14
278,Armilla,marzo_2006,3.77
279,Atarfe,marzo_2006,3.75
280,Ayamonte,marzo_2006,5.49
281,Baena,marzo_2006,4.47
282,Baeza,marzo_2006,3.8
283,Bailén,marzo_2006,3.55
284,Barbate,marzo_2006,1.61
285,Baza,marzo_2006,1.73
286,Benalmádena,marzo_2006,3.89
287,Berja,marzo_2006,2.0
288,Bollullos Par del Condado,marzo_2006,9.09
289,Bormujos,marzo_2006,3.19
290,Brenes,marzo_2006,13.05
291,Cabra,marzo_2006,6.68
292,Camas,marzo_2006,2.77
293,Carmona,marzo_2006,7.74
294,Cartaya,marzo_2006,13.75
295,Castilleja de la Cuesta,marzo_2006,1.98
296,Chiclana de la Frontera,marzo_2006,3.21
297,Chipiona,marzo_2006,4.82
298,Conil de la Frontera,marzo_2006,3.4
299,Coria del Río,marzo_2006,2.4
300,Coín,marzo_2006,2.18
301,Cuevas del Almanzora,marzo_2006,4.75
302,Cártama,marzo_2006,2.39
303,El Ejido,marzo_2006,6.45
304,El Puerto de Santa María,marzo_2006,3.49
305,El Viso del Alcor,marzo_2006,3.67
306,Estepa,marzo_2006,5.34
307,Estepona,marzo_2006,3.85
308,Fuengirola,marzo_2006,3.67
309,Fuente Palmera,marzo_2006,8.74
310,Gibraleón,marzo_2006,9.9
311,Gines,marzo_2006,1.71
312,Guadix,marzo_2006,2.11
313,Huércal de Almería,marzo_2006,4.81
