,Municipio,variable,value
0,Agrón,enero_2006,5.65
1,Alamedilla,enero_2006,10.57
2,Albanchez,enero_2006,0.61
3,Alboloduy,enero_2006,2.06
4,Albondón,enero_2006,4.6
5,Albuñán,enero_2006,10.04
6,Alcolea,enero_2006,3.1
7,Alcudia de Monteagud,enero_2006,3.52
8,Alcóntar,enero_2006,2.92
9,Aldeaquemada,enero_2006,3.87
10,Aldeire,enero_2006,6.88
11,Alfarnatejo,enero_2006,4.91
12,Algatocín,enero_2006,6.58
13,Alhabia,enero_2006,2.28
14,Alicún,enero_2006,1.94
15,Alicún de Ortega,enero_2006,4.81
16,Almegíjar,enero_2006,1.43
17,Almócita,enero_2006,2.56
18,Alpandeire,enero_2006,5.61
19,Alquife,enero_2006,0.51
20,Alsodux,enero_2006,0.0
21,Alájar,enero_2006,7.43
22,Armuña de Almanzora,enero_2006,5.61
23,Atajate,enero_2006,0.0
24,Bacares,enero_2006,0.69
25,Bayarque,enero_2006,1.27
26,Bayárcal,enero_2006,0.0
27,Beas de Guadix,enero_2006,1.34
28,Beires,enero_2006,1.56
29,Benadalid,enero_2006,1.16
30,Benalauría,enero_2006,2.35
31,Benaocaz,enero_2006,3.06
32,Benarrabá,enero_2006,4.28
33,Benatae,enero_2006,2.73
34,Benitagla,enero_2006,4.55
35,Benizalón,enero_2006,4.07
36,Bentarique,enero_2006,7.75
37,Berrocal,enero_2006,11.67
38,Bubión,enero_2006,1.64
39,Busquístar,enero_2006,5.17
40,Bédar,enero_2006,1.09
41,Bérchules,enero_2006,3.21
42,Cabezas Rubias,enero_2006,3.73
43,Cacín,enero_2006,3.07
44,Calicasas,enero_2006,11.68
45,Campofrío,enero_2006,1.81
46,Canillas de Albaida,enero_2006,2.21
47,Capileira,enero_2006,0.89
48,Carataunas,enero_2006,1.5
49,Carboneros,enero_2006,4.32
50,Carratraca,enero_2006,0.9
51,Cartajima,enero_2006,3.19
52,Castaño del Robledo,enero_2006,10.28
53,Castilleja del Campo,enero_2006,3.23
54,Castro de Filabres,enero_2006,0.65
55,Cazalilla,enero_2006,44.34
56,Cañaveral de León,enero_2006,11.17
57,Chercos,enero_2006,1.33
58,Cogollos de Guadix,enero_2006,2.22
59,Conquista,enero_2006,3.29
60,Corteconcepción,enero_2006,1.95
61,Cortelazor,enero_2006,6.3
62,Cumbres de Enmedio,enero_2006,20.45
63,Cumbres de San Bartolomé,enero_2006,5.31
64,Cástaras,enero_2006,7.34
65,Cáñar,enero_2006,2.74
66,Cóbdar,enero_2006,0.0
67,Cútar,enero_2006,4.98
68,Dehesas de Guadix,enero_2006,7.9
69,Diezma,enero_2006,3.35
70,Dólar,enero_2006,5.38
71,Dúdar,enero_2006,1.03
72,El Almendro,enero_2006,7.44
73,El Borge,enero_2006,4.15
74,El Garrobo,enero_2006,3.45
75,El Granado,enero_2006,4.85
76,El Guijo,enero_2006,4.46
77,El Madroño,enero_2006,7.48
78,Enix,enero_2006,2.39
79,Escañuela,enero_2006,6.53
80,Escúzar,enero_2006,5.56
81,Espelúy,enero_2006,2.93
82,Faraján,enero_2006,7.61
83,Felix,enero_2006,1.36
84,Ferreira,enero_2006,3.7
85,Fondón,enero_2006,1.47
86,Fuente la Lancha,enero_2006,5.06
87,Fuente-Tójar,enero_2006,12.2
88,Fuenteheridos,enero_2006,4.62
89,Genalguacil,enero_2006,5.78
90,Gobernador,enero_2006,0.93
91,Gor,enero_2006,5.73
92,Gorafe,enero_2006,2.47
93,Génave,enero_2006,3.54
94,Higuera de Calatrava,enero_2006,19.54
95,Hinojales,enero_2006,7.38
96,Hinojares,enero_2006,0.45
97,Hornos,enero_2006,3.32
98,Huécija,enero_2006,1.5
99,Huélago,enero_2006,1.82
100,Igualeja,enero_2006,7.07
101,Illar,enero_2006,3.41
102,Instinción,enero_2006,0.0
103,Iznate,enero_2006,3.49
104,Jete,enero_2006,5.98
105,Jimera de Líbar,enero_2006,2.85
106,Jubrique,enero_2006,4.31
107,Juviles,enero_2006,6.78
108,Júzcar,enero_2006,11.92
109,La Calahorra,enero_2006,1.57
110,La Granada de Río-Tinto,enero_2006,10.81
111,La Granjuela,enero_2006,6.99
112,La Nava,enero_2006,11.28
113,La Taha,enero_2006,1.62
114,Lanteira,enero_2006,1.14
115,Laroya,enero_2006,0.0
116,Larva,enero_2006,0.42
117,Las Tres Villas,enero_2006,5.51
118,Lentegí,enero_2006,4.39
119,Linares de la Sierra,enero_2006,6.17
120,Lobras,enero_2006,2.48
121,Lora de Estepa,enero_2006,9.39
122,Los Blázquez,enero_2006,3.33
123,Los Marines,enero_2006,6.25
124,Lucainena de las Torres,enero_2006,1.92
125,Lugros,enero_2006,10.35
126,Líjar,enero_2006,8.43
127,Lúcar,enero_2006,1.12
128,Lújar,enero_2006,9.57
129,Macharaviaya,enero_2006,5.97
130,Marchal,enero_2006,2.73
131,Morelábor,enero_2006,4.06
132,Murtas,enero_2006,1.92
133,Nacimiento,enero_2006,2.65
134,Nigüelas,enero_2006,2.26
135,Nívar,enero_2006,4.19
136,Ohanes,enero_2006,4.84
137,Olula de Castro,enero_2006,3.14
138,Padules,enero_2006,0.38
139,Pampaneira,enero_2006,4.07
140,Parauta,enero_2006,7.52
141,Partaloa,enero_2006,2.95
142,Paterna del Río,enero_2006,1.97
143,Polícar,enero_2006,1.32
144,Puerto Moral,enero_2006,0.74
145,Pujerra,enero_2006,3.8
146,Pórtugos,enero_2006,0.95
147,Rubite,enero_2006,6.41
148,Rágol,enero_2006,6.85
149,Salares,enero_2006,4.19
150,San Nicolás del Puerto,enero_2006,4.55
151,San Sebastián de los Ballesteros,enero_2006,5.98
152,San Silvestre de Guzmán,enero_2006,9.97
153,Sanlúcar de Guadiana,enero_2006,2.41
154,Santa Ana la Real,enero_2006,5.37
155,Santa Cruz de Marchena,enero_2006,0.0
156,Santa Cruz del Comercio,enero_2006,2.56
157,Santa Fe de Mondújar,enero_2006,4.06
158,Santiago de Calatrava,enero_2006,32.16
159,Sedella,enero_2006,2.01
160,Senés,enero_2006,2.72
161,Sierro,enero_2006,0.0
162,Somontín,enero_2006,2.84
163,Soportújar,enero_2006,0.0
164,Sorvilán,enero_2006,5.91
165,Suflí,enero_2006,0.0
166,Tahal,enero_2006,1.44
167,Terque,enero_2006,2.05
168,Torre Alháquime,enero_2006,2.4
169,Torres de Albánchez,enero_2006,2.64
170,Torvizcón,enero_2006,5.35
171,Totalán,enero_2006,2.69
172,Trevélez,enero_2006,1.68
173,Turrillas,enero_2006,2.41
174,Turón,enero_2006,0.92
175,Uleila del Campo,enero_2006,1.79
176,Urrácal,enero_2006,1.73
177,Valdelarco,enero_2006,17.72
178,Valsequillo,enero_2006,3.13
179,Velefique,enero_2006,0.4
180,Ventas de Huelma,enero_2006,5.86
181,Villaharta,enero_2006,1.75
182,Villaluenga del Rosario,enero_2006,5.2
183,Villanueva de las Cruces,enero_2006,1.71
184,Villanueva de las Torres,enero_2006,1.41
185,Villarrodrigo,enero_2006,15.09
186,Válor,enero_2006,3.81
187,Víznar,enero_2006,1.01
188,Zufre,enero_2006,11.16
189,Zuheros,enero_2006,12.3
190,Árchez,enero_2006,10.3
191,Agrón,febrero_2006,3.18
192,Alamedilla,febrero_2006,3.57
193,Albanchez,febrero_2006,1.97
194,Alboloduy,febrero_2006,1.38
195,Albondón,febrero_2006,1.64
196,Albuñán,febrero_2006,6.03
197,Alcolea,febrero_2006,7.14
198,Alcudia de Monteagud,febrero_2006,2.11
199,Alcóntar,febrero_2006,1.62
200,Aldeaquemada,febrero_2006,0.92
201,Aldeire,febrero_2006,2.48
202,Alfarnatejo,febrero_2006,2.9
203,Algatocín,febrero_2006,11.89
204,Alhabia,febrero_2006,1.28
205,Alicún,febrero_2006,3.49
206,Alicún de Ortega,febrero_2006,6.42
