Municipios,Año,Resultado Izquierda,Resultado Derecha,Diferencia
Abla,1982,33.45,66.54,-33.09
Abrucena,1982,63.5,36.49,27.01
Adra,1982,58.08,41.92,16.16
Albánchez,1982,38.4,61.61,-23.21
Alboloduy,1982,37.11,62.89,-25.78
Albox,1982,42.01,58.0,-15.99
Alcolea,1982,58.96,41.05,17.91
Alcóntar,1982,36.43,63.57,-27.14
Alcudia de Monteagud,1982,29.92,70.08,-40.16
Alhabia,1982,63.16,36.85,26.31
Alhama de Almería,1982,80.76,19.24,61.52
Alicún,1982,40.56,59.45,-18.89
Almería,1982,64.02,35.98,28.04
Almócita,1982,24.27,75.72,-51.45
Alsodux,1982,41.98,58.03,-16.05
Antas,1982,62.45,37.55,24.9
Arboleas,1982,42.25,57.76,-15.51
Armuña de Almanzora,1982,36.95,63.04,-26.09
Bacares,1982,76.03,23.96,52.07
Bayárcal,1982,41.92,58.08,-16.16
Bayarque,1982,58.82,41.18,17.64
Bédar,1982,55.16,44.84,10.32
Beires,1982,44.83,55.17,-10.34
Benahadux,1982,76.85,23.15,53.7
Benitagla,1982,11.11,88.89,-77.78
Benizalón,1982,45.83,54.17,-8.34
Bentarique,1982,75.13,24.86,50.27
Berja,1982,59.12,40.88,18.24
Canjáyar,1982,49.58,50.41,-0.83
Cantoria,1982,42.62,57.37,-14.75
Carboneras,1982,69.05,30.96,38.09
Castro de Filabres,1982,42.67,57.33,-14.66
Chercos,1982,54.25,45.75,8.5
Chirivel,1982,62.57,37.45,25.12
Cóbdar,1982,58.47,41.53,16.94
Cuevas del Almanzora,1982,66.17,33.83,32.34
Dalías,1982,62.31,37.69,24.62
Enix,1982,46.01,53.99,-7.98
Felix,1982,66.67,33.34,33.33
Fines,1982,79.55,20.45,59.1
Fiñana,1982,59.04,40.97,18.07
Fondón,1982,36.09,63.92,-27.83
Gádor,1982,55.28,44.72,10.56
Los Gallardos,1982,58.74,41.26,17.48
Garrucha,1982,42.31,57.69,-15.38
Gérgal,1982,34.4,65.6,-31.2
Huécija,1982,55.09,44.91,10.18
Huércal de Almería,1982,77.25,22.75,54.5
Huércal-Overa,1982,46.14,53.87,-7.73
Illar,1982,61.61,38.38,23.23
Instinción,1982,59.78,40.23,19.55
Laroya,1982,38.45,61.53,-23.08
Láujar de Andarax,1982,50.66,49.34,1.32
Líjar,1982,55.3,44.71,10.59
Lubrín,1982,60.09,39.92,20.17
Lucainena de las Torres,1982,41.93,58.07,-16.14
Lúcar,1982,23.98,76.03,-52.05
Macael,1982,56.06,43.94,12.12
María,1982,58.27,41.74,16.53
Mojácar,1982,41.2,58.8,-17.6
Nacimiento,1982,35.52,64.49,-28.97
Níjar,1982,67.01,33.0,34.01
Ohanes,1982,72.3,27.7,44.6
Olula de Castro,1982,53.26,46.75,6.51
Olula del Río,1982,54.56,45.43,9.13
Oria,1982,27.18,72.83,-45.65
Padules,1982,53.47,46.53,6.94
Partaloa,1982,24.15,75.84,-51.69
Paterna del Río,1982,7.41,92.59,-85.18
Pechina,1982,68.22,31.76,36.46
Pulpí,1982,71.21,28.79,42.42
Purchena,1982,40.15,59.84,-19.69
Rágol,1982,43.29,56.72,-13.43
Rioja,1982,79.82,20.17,59.65
Roquetas de Mar,1982,58.9,41.11,17.79
Santa Cruz de Marchena,1982,29.87,70.14,-40.27
Santa Fe de Mondújar,1982,71.96,28.04,43.92
Senés,1982,43.07,56.92,-13.85
Serón,1982,57.13,42.87,14.26
Sierro,1982,43.84,56.17,-12.33
Somontín,1982,25.41,74.61,-49.2
Sorbas,1982,38.54,61.45,-22.91
Suflí,1982,19.26,80.74,-61.48
Tabernas,1982,60.43,39.57,20.86
Taberno,1982,25.18,74.83,-49.65
Tahal,1982,29.63,70.37,-40.74
Terque,1982,52.89,47.1,5.79
Las Tres Villas,1982,39.76,60.24,-20.48
Urrácal,1982,15.6,84.39,-68.79
Velefique,1982,50.5,49.51,0.99
Vera,1982,70.72,29.27,41.45
Viator,1982,67.75,32.24,35.51
Vícar,1982,57.41,42.59,14.82
Zurgena,1982,46.63,53.36,-6.73
Alcalá de los Gazules,1982,69.95,30.07,39.88
Alcalá del Valle,1982,87.35,12.63,74.72
Algar,1982,58.33,41.66,16.67
Algeciras,1982,73.68,26.33,47.35
Algodonales,1982,70.44,29.56,40.88
Arcos de la Frontera,1982,83.88,16.11,67.77
Los Barrios,1982,87.26,12.74,74.52
Benaocaz,1982,24.13,75.88,-51.75
Bornos,1982,80.02,19.98,60.04
El Bosque,1982,58.49,41.51,16.98
Cádiz,1982,61.62,38.37,23.25
Castellar de la Frontera,1982,89.93,10.08,79.85
Chiclana de la Frontera,1982,79.31,20.69,58.62
Chipiona,1982,61.94,38.07,23.87
Conil de la Frontera,1982,74.19,25.8,48.39
Espera,1982,81.07,18.94,62.13
El Gastor,1982,55.67,44.35,11.32
Grazalema,1982,71.71,28.29,43.42
Jerez de la Frontera,1982,76.2,23.8,52.4
Jimena de la Frontera,1982,86.32,13.67,72.65
La Línea de la Concepción,1982,79.88,20.11,59.77
Medina-Sidonia,1982,79.29,20.7,58.59
Olvera,1982,66.66,33.34,33.32
Paterna de Rivera,1982,88.82,11.2,77.62
Prado del Rey,1982,61.41,38.59,22.82
El Puerto de Santa María,1982,65.31,34.7,30.61
Puerto Real,1982,82.52,17.48,65.04
Puerto Serrano,1982,83.34,16.65,66.69
Rota,1982,62.91,37.09,25.82
San Fernando,1982,67.81,32.17,35.64
San Roque,1982,77.53,22.47,55.06
Sanlúcar de Barrameda,1982,72.83,27.17,45.66
Tarifa,1982,68.99,31.0,37.99
Trebujena,1982,87.63,12.36,75.27
Ubrique,1982,70.3,29.7,40.6
Vejer de la Frontera,1982,55.7,44.29,11.41
Villaluenga del Rosario,1982,35.38,64.62,-29.24
Villamartín,1982,72.69,27.31,45.38
Zahara,1982,45.96,54.02,-8.06
Adamuz,1982,68.32,31.67,36.65
Alcaracejos,1982,58.13,41.87,16.26
Almedinilla,1982,36.26,63.74,-27.48
Almodóvar del Río,1982,80.68,19.35,61.33
Añora,1982,49.33,50.66,-1.33
Baena,1982,66.11,33.9,32.21
Belalcázar,1982,65.73,34.27,31.46
Belmez,1982,77.57,22.42,55.15
Benamejí,1982,61.71,38.31,23.4
Bujalance,1982,73.46,26.55,46.91
Cabra,1982,59.1,40.9,18.2
Cañete de las Torres,1982,69.69,30.33,39.36
Carcabuey,1982,51.17,48.83,2.34
Cardeña,1982,61.6,38.4,23.2
La Carlota,1982,71.39,28.61,42.78
El Carpio,1982,74.11,25.89,48.22
Castro del Río,1982,72.1,27.92,44.18
Conquista,1982,59.18,40.83,18.35
Córdoba,1982,68.07,31.94,36.13
Doña Mencía,1982,75.02,24.98,50.04
Dos Torres,1982,50.37,49.63,0.74
Encinas Reales,1982,67.73,32.28,35.45
Espejo,1982,81.29,18.73,62.56
Espiel,1982,71.41,28.59,42.82
Fuente la Lancha,1982,30.82,69.17,-38.35
Fuente Obejuna,1982,72.75,27.26,45.49
Fuente Palmera,1982,72.59,27.4,45.19
Fuente-Tójar,1982,48.92,51.08,-2.16
La Granjuela,1982,59.93,40.06,19.87
Guadalcázar,1982,69.12,30.87,38.25
Hinojosa del Duque,1982,59.13,40.88,18.25
Hornachuelos,1982,76.51,23.49,53.02
Iznájar,1982,55.48,44.51,10.97
Lucena,1982,62.21,37.81,24.4
Luque,1982,59.39,40.62,18.77
Montalbán de Córdoba,1982,76.62,23.4,53.22
Montemayor,1982,85.68,14.33,71.35
Montilla,1982,74.24,25.77,48.47
Montoro,1982,78.22,21.79,56.43
Monturque,1982,58.15,41.86,16.29
Villanueva de Córdoba,1982,64.4,35.62,28.78
Alpujarra de la Sierra,1982,72.64,27.38,45.26
La Calahorra,1982,72.32,27.66,44.66
Diezma,1982,51.45,48.55,2.9
Dílar,1982,75.08,24.91,50.17
Dúdar,1982,63.12,36.88,26.24
Las Gabias,1982,76.0,24.01,51.99
Guadix,1982,62.43,37.57,24.86
Gualchos,1982,56.56,43.44,13.12
Güevéjar,1982,66.05,33.94,32.11
Huélago,1982,61.44,38.56,22.88
Huéneja,1982,39.34,60.67,-21.33
Huéscar,1982,57.55,42.45,15.1
Huétor Tájar,1982,63.28,36.72,26.56
Huétor Vega,1982,78.15,21.86,56.29
Illora,1982,68.97,31.04,37.93
Itrabo,1982,46.67,53.33,-6.66
Iznalloz,1982,79.62,20.37,59.25
Jayena,1982,65.44,34.56,30.88
Jerez del Marquesado,1982,58.4,41.59,16.81
Jete,1982,25.7,74.31,-48.61
Jun,1982,79.39,20.61,58.78
Juviles,1982,37.15,62.86,-25.71
Láchar,1982,76.03,23.97,52.06
Lanjarón,1982,52.85,47.13,5.72
Lanteira,1982,47.27,52.74,-5.47
Lecrín,1982,63.14,36.86,26.28
Lobras,1982,19.35,80.66,-61.31
Loja,1982,64.26,35.74,28.52
Lugros,1982,68.83,31.18,37.65
Lújar,1982,29.12,70.87,-41.75
La Malahá,1982,91.52,8.48,83.04
Maracena,1982,81.75,18.25,63.5
Marchal,1982,37.85,62.14,-24.29
Moclín,1982,83.67,16.33,67.34
Molvízar,1982,50.82,49.19,1.63
Monachil,1982,78.71,21.29,57.42
Montefrío,1982,60.94,39.08,21.86
Montejícar,1982,67.09,32.92,34.17
Montillana,1982,62.43,37.58,24.85
Moraleda de Zafayona,1982,78.57,21.43,57.14
Morelábor,1982,61.62,38.39,23.23
Motril,1982,74.29,25.71,48.58
Murtas,1982,34.1,65.9,-31.8
Nevada,1982,62.67,37.34,25.33
Nigüelas,1982,77.13,22.88,54.25
Nívar,1982,57.89,42.11,15.78
Ogíjares,1982,70.46,29.54,40.92
Orce,1982,59.97,40.02,19.95
Órgiva,1982,64.33,35.69,28.64
Otívar,1982,52.76,47.26,5.5
Villa de Otura,1982,67.38,32.63,34.75
Padul,1982,64.32,35.69,28.63
Pampaneira,1982,37.43,62.57,-25.14
Pedro Martínez,1982,78.45,21.55,56.9
Peligros,1982,81.43,18.55,62.88
La Peza,1982,45.34,54.64,-9.3
El Pinar,1982,58.19,41.8,16.39
Pinos Genil,1982,69.18,30.82,38.36
Pinos Puente,1982,79.84,20.17,59.67
Píñar,1982,79.39,20.61,58.78
Polícar,1982,51.22,48.78,2.44
Polopos,1982,59.79,40.21,19.58
Pórtugos,1982,46.73,53.27,-6.54
Puebla de Don Fadrique,1982,49.46,50.52,-1.06
Pulianas,1982,79.23,20.76,58.47
Purullena,1982,60.16,39.84,20.32
Quéntar,1982,49.17,50.84,-1.67
Rubite,1982,63.6,36.42,27.18
Salar,1982,71.64,28.36,43.28
Salobreña,1982,75.61,24.39,51.22
Santa Cruz del Comercio,1982,59.26,40.74,18.52
Santa Fe,1982,74.33,25.68,48.65
Soportújar,1982,41.79,58.21,-16.42
Sorvilán,1982,38.51,61.5,-22.99
La Taha,1982,37.6,62.39,-24.79
Torre-Cardela,1982,56.49,43.51,12.98
Torvizcón,1982,53.38,46.62,6.76
Trevélez,1982,66.39,33.61,32.78
Turón,1982,23.48,76.53,-53.05
Ugíjar,1982,54.03,45.97,8.06
El Valle,1982,61.2,38.79,22.41
Valle del Zalabí,1982,51.15,48.85,2.3
Válor,1982,46.37,53.62,-7.25
Vegas del Genil,1982,66.41,33.6,32.81
Vélez de Benaudalla,1982,62.8,37.2,25.6
Ventas de Huelma,1982,54.25,45.75,8.5
Villamena,1982,69.15,30.87,38.28
Villanueva de las Torres,1982,76.65,23.37,53.28
Villanueva Mesía,1982,52.64,47.36,5.28
Víznar,1982,59.02,40.98,18.04
Zafarraya,1982,74.14,25.86,48.28
La Zubia,1982,74.61,25.39,49.22
Zújar,1982,68.7,31.31,37.39
Alájar,1982,48.57,50.96,-2.39
Aljaraque,1982,64.66,35.33,29.33
El Almendro,1982,75.11,24.88,50.23
Almonaster la Real,1982,75.96,23.57,52.39
Almonte,1982,77.48,22.23,55.25
Alosno,1982,76.97,22.95,54.02
Aracena,1982,63.17,36.68,26.49
Aroche,1982,68.18,31.72,36.46
Arroyomolinos de León,1982,53.33,46.54,6.79
Ayamonte,1982,62.69,36.98,25.71
Beas,1982,72.0,27.88,44.12
Berrocal,1982,43.56,56.45,-12.89
Bollullos Par del Condado,1982,72.03,27.04,44.99
Bonares,1982,66.03,33.86,32.17
Cabezas Rubias,1982,74.37,25.07,49.3
Cala,1982,69.22,30.79,38.43
Calañas,1982,80.04,19.65,60.39
El Campillo,1982,88.74,11.2,77.54
Campofrío,1982,84.07,15.73,68.34
Cañaveral de León,1982,50.98,48.53,2.45
Cartaya,1982,55.74,44.2,11.54
Castaño del Robledo,1982,33.55,66.46,-32.91
El Cerro de Andévalo,1982,69.58,30.21,39.37
Chucena,1982,50.94,49.06,1.88
Corteconcepción,1982,77.33,22.17,55.16
Cortegana,1982,66.37,33.11,33.26
Cortelazor,1982,57.14,42.1,15.04
Cumbres de Enmedio,1982,56.86,41.17,15.69
Cumbres de San Bartolomé,1982,50.24,49.76,0.48
Cumbres Mayores,1982,66.1,33.83,32.27
Encinasola,1982,75.11,24.89,50.22
Escacena del Campo,1982,56.71,43.3,13.41
Fuenteheridos,1982,44.97,55.04,-10.07
Galaroza,1982,59.74,40.15,19.59
Gibraleón,1982,61.81,38.15,23.66
La Granada de Río-Tinto,1982,73.5,25.63,47.87
El Granado,1982,67.26,31.83,35.43
Higuera de la Sierra,1982,49.73,50.08,-0.35
Hinojales,1982,38.45,61.06,-22.61
Hinojos,1982,64.0,35.95,28.05
Huelva,1982,66.82,32.99,33.83
Isla Cristina,1982,65.69,34.13,31.56
Jabugo,1982,66.5,33.25,33.25
Lepe,1982,50.54,49.32,1.22
Linares de la Sierra,1982,33.93,66.07,-32.14
Lucena del Puerto,1982,66.23,33.75,32.48
Manzanilla,1982,64.59,35.42,29.17
Los Marines,1982,39.91,60.1,-20.19
Minas de Riotinto,1982,78.47,21.41,57.06
Moguer,1982,69.64,29.96,39.68
La Nava,1982,51.26,47.24,4.02
Nerva,1982,82.39,16.81,65.58
Niebla,1982,70.62,29.34,41.28
La Palma del Condado,1982,42.3,57.44,-15.14
Palos de la Frontera,1982,67.01,32.9,34.11
Paterna del Campo,1982,62.71,37.11,25.6
Paymogo,1982,42.6,57.1,-14.5
Puebla de Guzmán,1982,70.84,28.93,41.91
Punta Umbría,1982,68.01,31.83,36.18
Rociana del Condado,1982,61.09,38.92,22.17
Rosal de la Frontera,1982,60.83,39.17,21.66
San Bartolomé de la Torre,1982,82.78,17.04,65.74
San Juan del Puerto,1982,68.15,31.6,36.55
San Silvestre de Guzmán,1982,66.13,33.86,32.27
Sanlúcar de Guadiana,1982,20.96,79.05,-58.09
Santa Ana la Real,1982,75.95,23.41,52.54
Santa Bárbara de Casa,1982,60.27,39.72,20.55
Santa Olalla del Cala,1982,58.69,41.12,17.57
Trigueros,1982,67.5,32.33,35.17
Valdelarco,1982,47.58,51.8,-4.22
Valverde del Camino,1982,76.19,23.56,52.63
Villablanca,1982,54.23,45.61,8.62
Villalba del Alcor,1982,67.6,32.12,35.48
Villanueva de las Cruces,1982,67.77,32.24,35.53
Villanueva de los Castillejos,1982,66.2,33.81,32.39
Villarrasa,1982,47.25,52.5,-5.25
Zalamea la Real,1982,79.24,20.4,58.84
Zufre,1982,64.39,35.61,28.78
Alcalá la Real,1982,64.26,35.74,28.52
Alcaudete,1982,67.24,32.76,34.48
Aldeaquemada,1982,56.43,43.57,12.86
Andújar,1982,62.03,37.95,24.08
Arjona,1982,67.3,32.7,34.6
Arjonilla,1982,60.15,39.83,20.32
Arquillos,1982,74.76,25.25,49.51
Baeza,1982,59.32,40.69,18.63
Bailén,1982,71.48,28.53,42.95
Baños de la Encina,1982,85.89,14.11,71.78
Beas de Segura,1982,61.11,38.9,22.21
Bedmar y Garcíez,1982,71.2,28.81,42.39
Begíjar,1982,74.63,25.36,49.27
Bélmez de la Moraleda,1982,50.15,49.84,0.31
Benatae,1982,63.37,36.65,26.72
Cabra del Santo Cristo,1982,67.46,32.55,34.91
Cambil,1982,72.72,27.27,45.45
Campillo de Arenas,1982,71.75,28.26,43.49
Canena,1982,69.65,30.34,39.31
Carboneros,1982,71.55,28.45,43.1
Cárcheles,1982,47.46,52.53,-5.07
La Carolina,1982,67.43,32.56,34.87
Castillo de Locubín,1982,52.91,47.09,5.82
Cazalilla,1982,52.55,47.45,5.1
Cazorla,1982,65.42,34.59,30.83
Chiclana de Segura,1982,52.47,47.53,4.94
Chilluévar,1982,60.75,39.25,21.5
Escañuela,1982,62.42,37.59,24.83
Espelúy,1982,75.77,24.22,51.55
Frailes,1982,49.78,50.23,-0.45
Fuensanta de Martos,1982,52.59,47.4,5.19
Fuerte del Rey,1982,59.46,40.55,18.91
Génave,1982,71.87,28.13,43.74
La Guardia de Jaén,1982,56.3,43.71,12.59
Guarromán,1982,64.74,35.27,29.47
Higuera de Calatrava,1982,36.46,63.53,-27.07
Hinojares,1982,54.13,45.87,8.26
Hornos,1982,36.52,63.48,-26.96
Huelma,1982,67.21,32.79,34.42
Huesa,1982,65.82,34.18,31.64
Ibros,1982,72.56,27.46,45.1
La Iruela,1982,63.31,36.67,26.64
Iznatoraf,1982,37.58,62.41,-24.83
Jabalquinto,1982,76.04,23.96,52.08
Jaén,1982,55.88,44.11,11.77
Jamilena,1982,53.56,46.45,7.11
Jimena,1982,59.14,40.87,18.27
Jódar,1982,69.74,30.25,39.49
Larva,1982,65.93,34.08,31.85
Linares,1982,74.09,25.91,48.18
Lopera,1982,76.16,23.83,52.33
Lupión,1982,71.0,29.0,42.0
Mancha Real,1982,69.65,30.35,39.3
Marmolejo,1982,69.67,30.32,39.35
Martos,1982,68.59,31.41,37.18
Mengíbar,1982,56.54,43.47,13.07
Montizón,1982,59.64,40.35,19.29
Navas de San Juan,1982,74.47,25.54,48.93
Noalejo,1982,39.86,60.14,-20.28
Orcera,1982,43.89,56.11,-12.22
Peal de Becerro,1982,61.85,38.14,23.71
Pegalajar,1982,64.6,35.4,29.2
Porcuna,1982,61.84,38.18,23.66
Pozo Alcón,1982,68.75,31.26,37.49
Puente de Génave,1982,48.72,51.28,-2.56
La Puerta de Segura,1982,61.36,38.64,22.72
Quesada,1982,69.26,30.74,38.52
Rus,1982,62.33,37.68,24.65
Sabiote,1982,61.23,38.76,22.47
Santa Elena,1982,71.15,28.85,42.3
Santiago de Calatrava,1982,52.85,47.15,5.7
Santiago-Pontones,1982,52.41,47.61,4.8
Santisteban del Puerto,1982,65.94,34.06,31.88
Santo Tomé,1982,67.67,32.32,35.35
Segura de la Sierra,1982,63.5,36.49,27.01
Siles,1982,59.3,40.7,18.6
Sorihuela del Guadalimar,1982,65.89,34.11,31.78
Torreblascopedro,1982,68.94,31.07,37.87
Torredonjimeno,1982,74.75,25.25,49.5
Torreperogil,1982,78.47,21.54,56.93
Torres,1982,54.46,45.55,8.91
Torres de Albánchez,1982,42.61,57.38,-14.77
Úbeda,1982,71.02,28.97,42.05
Valdepeñas de Jaén,1982,67.15,32.86,34.29
Vilches,1982,81.17,18.82,62.35
Villacarrillo,1982,66.02,33.99,32.03
Villanueva de la Reina,1982,77.11,22.9,54.21
Villanueva del Arzobispo,1982,60.44,39.56,20.88
Villardompardo,1982,54.79,45.2,9.59
Los Villares,1982,50.51,49.48,1.03
Villarrodrigo,1982,21.26,78.74,-57.48
Villatorres,1982,65.64,34.35,31.29
Alameda,1982,70.18,29.79,40.39
Alcaucín,1982,50.41,49.28,1.13
Alfarnate,1982,73.42,26.57,46.85
Alfarnatejo,1982,36.86,63.13,-26.27
Algarrobo,1982,78.49,21.38,57.11
Algatocín,1982,74.1,25.91,48.19
Alhaurín de la Torre,1982,74.18,25.68,48.5
Alhaurín el Grande,1982,71.89,28.02,43.87
Almáchar,1982,51.04,48.97,2.07
Almargen,1982,69.7,30.3,39.4
Almogía,1982,76.21,23.5,52.71
Álora,1982,70.66,28.95,41.71
Alozaina,1982,82.31,17.61,64.7
Alpandeire,1982,23.61,76.39,-52.78
Antequera,1982,65.1,34.78,30.32
Árchez,1982,39.57,59.89,-20.32
Archidona,1982,71.06,28.87,42.19
Ardales,1982,71.12,28.88,42.24
Arenas,1982,66.19,33.8,32.39
Arriate,1982,74.95,25.04,49.91
Atajate,1982,63.95,36.05,27.9
Benadalid,1982,64.1,35.9,28.2
Benahavís,1982,14.19,85.81,-71.62
Benalauría,1982,23.27,76.73,-53.46
Benalmádena,1982,71.1,28.82,42.28
Benamargosa,1982,61.82,38.18,23.64
Benamocarra,1982,68.02,31.98,36.04
Benaoján,1982,61.77,38.23,23.54
Benarrabá,1982,28.89,71.11,-42.22
El Borge,1982,80.68,19.14,61.54
El Burgo,1982,76.59,23.41,53.18
Campillos,1982,73.19,26.76,46.43
Canillas de Aceituno,1982,62.71,37.17,25.54
Canillas de Albaida,1982,23.42,76.58,-53.16
Cañete la Real,1982,76.18,23.82,52.36
Carratraca,1982,75.58,24.4,51.18
Cartajima,1982,47.94,51.55,-3.61
Cártama,1982,79.08,20.68,58.4
Casabermeja,1982,55.54,43.92,11.62
Casarabonela,1982,63.75,36.17,27.58
Casares,1982,78.23,21.76,56.47
Coín,1982,79.65,19.99,59.66
Colmenar,1982,55.54,43.92,11.62
Comares,1982,41.23,58.59,-17.36
Cómpeta,1982,51.92,47.97,3.95
Cortes de la Frontera,1982,70.06,29.82,40.24
Cuevas Bajas,1982,80.73,19.04,61.69
Cuevas de San Marcos,1982,77.62,22.23,55.39
Cuevas del Becerro,1982,90.36,9.63,80.73
Cútar,1982,54.93,45.07,9.86
Estepona,1982,78.91,20.95,57.96
Faraján,1982,30.6,68.65,-38.05
Frigiliana,1982,53.57,46.42,7.15
Fuengirola,1982,65.92,33.8,32.12
Fuente de Piedra,1982,57.81,42.1,15.71
Gaucín,1982,57.37,42.64,14.73
Genalguacil,1982,80.32,19.42,60.9
Guaro,1982,81.82,17.34,64.48
Humilladero,1982,75.55,24.37,51.18
Igualeja,1982,47.15,52.66,-5.51
Istán,1982,60.38,39.48,20.9
Iznate,1982,53.84,46.15,7.69
Jimera de Líbar,1982,68.6,31.4,37.2
Jubrique,1982,83.18,16.81,66.37
Júzcar,1982,24.39,75.61,-51.22
Macharaviaya,1982,45.66,54.35,-8.69
Málaga,1982,68.55,31.34,37.21
Manilva,1982,79.85,20.01,59.84
Marbella,1982,73.56,26.19,47.37
Mijas,1982,73.81,25.58,48.23
Moclinejo,1982,31.52,68.47,-36.95
Mollina,1982,76.18,23.8,52.38
Monda,1982,71.63,28.25,43.38
Montejaque,1982,87.35,12.65,74.7
Nerja,1982,61.21,38.71,22.5
Ojén,1982,90.82,9.07,81.75
Parauta,1982,76.05,23.96,52.09
Periana,1982,57.56,42.42,15.14
Pizarra,1982,76.52,23.48,53.04
Pujerra,1982,53.69,46.31,7.38
Rincón de la Victoria,1982,68.74,31.18,37.56
Riogordo,1982,64.85,35.16,29.69
Ronda,1982,71.92,27.93,43.99
Salares,1982,53.29,46.72,6.57
Sayalonga,1982,67.39,32.61,34.78
Sedella,1982,83.34,16.67,66.67
Sierra de Yeguas,1982,80.32,19.67,60.65
Teba,1982,81.9,18.1,63.8
Tolox,1982,75.91,23.71,52.2
Torrox,1982,72.6,27.36,45.24
Totalán,1982,83.01,16.66,66.35
Valle de Abdalajís,1982,69.61,30.39,39.22
Vélez-Málaga,1982,68.89,30.96,37.93
Villanueva de Algaidas,1982,60.57,38.98,21.59
Villanueva del Rosario,1982,76.62,23.37,53.25
Villanueva del Trabuco,1982,68.38,31.41,36.97
Villanueva de Tapia,1982,68.66,31.34,37.32
Viñuela,1982,77.19,22.79,54.4
Yunquera,1982,75.95,23.85,52.1
Aguadulce,1982,66.36,33.56,32.8
Alanís,1982,68.58,31.41,37.17
Albaida del Aljarafe,1982,48.19,50.94,-2.75
Alcalá de Guadaíra,1982,78.2,21.7,56.5
Alcalá del Río,1982,82.87,16.89,65.98
Alcolea del Río,1982,71.1,28.78,42.32
La Algaba,1982,78.21,21.64,56.57
Algámitas,1982,76.28,23.08,53.2
Almadén de la Plata,1982,73.23,26.38,46.85
Almensilla,1982,50.65,49.24,1.41
Arahal,1982,74.33,25.4,48.93
Aznalcázar,1982,59.88,38.88,21.0
Aznalcóllar,1982,77.61,21.66,55.95
Badolatosa,1982,76.43,23.45,52.98
Benacazón,1982,68.42,30.98,37.44
Bollullos de la Mitación,1982,64.95,34.81,30.14
Bormujos,1982,66.01,33.62,32.39
Brenes,1982,75.83,23.89,51.94
Burguillos,1982,74.95,24.9,50.05
Las Cabezas de San Juan,1982,72.66,27.3,45.36
Camas,1982,83.7,16.0,67.7
La Campana,1982,78.3,21.7,56.6
Cantillana,1982,65.97,33.98,31.99
Carmona,1982,75.46,24.35,51.11
Carrión de los Céspedes,1982,58.21,41.73,16.48
Casariche,1982,88.73,11.1,77.63
Castilblanco de los Arroyos,1982,74.14,25.71,48.43
Castilleja de Guzmán,1982,56.41,43.59,12.82
Castilleja de la Cuesta,1982,68.48,31.23,37.25
Castilleja del Campo,1982,68.44,31.56,36.88
El Castillo de las Guardas,1982,55.52,43.93,11.59
Cazalla de la Sierra,1982,67.2,32.64,34.56
Constantina,1982,68.81,30.83,37.98
Coria del Río,1982,80.5,19.28,61.22
Coripe,1982,59.5,40.35,19.15
El Coronil,1982,67.37,32.47,34.9
Los Corrales,1982,83.99,15.86,68.13
Dos Hermanas,1982,80.86,18.96,61.9
Espartinas,1982,50.7,48.79,1.91
Estepa,1982,64.13,35.72,28.41
Fuentes de Andalucía,1982,71.55,28.33,43.22
El Garrobo,1982,75.5,22.12,53.38
Gelves,1982,66.9,32.55,34.35
Gerena,1982,72.95,26.85,46.1
Gilena,1982,74.07,25.82,48.25
Gines,1982,60.05,39.4,20.65
Guadalcanal,1982,66.89,32.88,34.01
Guillena,1982,78.14,21.41,56.73
Herrera,1982,61.51,38.46,23.05
Lebrija,1982,69.96,29.74,40.22
Lora de Estepa,1982,71.11,28.07,43.04
Lora del Río,1982,67.85,32.01,35.84
La Luisiana,1982,83.88,15.96,67.92
El Madroño,1982,64.68,34.33,30.35
Mairena del Alcor,1982,65.94,33.72,32.22
Mairena del Aljarafe,1982,76.97,22.79,54.18
Marchena,1982,67.83,31.9,35.93
Marinaleda,1982,76.52,20.77,55.75
Martín de la Jara,1982,78.06,21.92,56.14
Los Molares,1982,83.07,16.77,66.3
Montellano,1982,71.03,28.37,42.66
Morón de la Frontera,1982,75.72,24.02,51.7
Las Navas de la Concepción,1982,74.22,25.79,48.43
Olivares,1982,60.49,39.4,21.09
Osuna,1982,66.93,32.89,34.04
Los Palacios y Villafranca,1982,81.51,18.24,63.27
Palomares del Río,1982,74.95,24.65,50.3
Paradas,1982,67.8,32.06,35.74
Pedrera,1982,76.64,23.31,53.33
El Pedroso,1982,67.58,31.68,35.9
Peñaflor,1982,71.26,28.61,42.65
Pilas,1982,66.29,33.44,32.85
Pruna,1982,62.06,37.89,24.17
La Puebla de Cazalla,1982,71.16,28.8,42.36
La Puebla de los Infantes,1982,66.53,33.38,33.15
La Puebla del Río,1982,84.12,15.65,68.47
El Real de la Jara,1982,70.11,29.8,40.31
La Rinconada,1982,86.23,13.41,72.82
La Roda de Andalucía,1982,70.36,29.48,40.88
El Ronquillo,1982,79.06,20.61,58.45
El Rubio,1982,73.02,26.6,46.42
Salteras,1982,60.03,39.8,20.23
San Juan de Aznalfarache,1982,82.16,17.26,64.9
Sanlúcar la Mayor,1982,46.98,52.65,-5.67
San Nicolás del Puerto,1982,69.97,30.02,39.95
Santiponce,1982,85.95,13.64,72.31
El Saucejo,1982,64.64,35.12,29.52
Sevilla,1982,67.49,32.34,35.15
Tocina,1982,79.5,20.22,59.28
Tomares,1982,65.91,33.81,32.1
Umbrete,1982,50.53,49.23,1.3
Utrera,1982,80.69,19.06,61.63
