,Municipio,variable,value
144,Campotéjar,febrero_2006,4.36
145,Canjáyar,febrero_2006,2.56
146,Cardeña,febrero_2006,2.23
147,Castilléjar,febrero_2006,4.76
148,Chiclana de Segura,febrero_2006,7.98
149,Chilluévar,febrero_2006,6.38
150,Chimeneas,febrero_2006,8.04
151,Chirivel,febrero_2006,1.46
152,Colomera,febrero_2006,4.59
153,Comares,febrero_2006,1.91
154,Coripe,febrero_2006,3.97
155,Cortes y Graena,febrero_2006,2.68
156,Cuevas Bajas,febrero_2006,6.5
157,Cuevas del Becerro,febrero_2006,3.09
158,Cádiar,febrero_2006,0.68
159,Cárcheles,febrero_2006,4.65
160,Darro,febrero_2006,4.17
161,Dílar,febrero_2006,1.44
162,El Castillo de las Guardas,febrero_2006,4.73
163,El Gastor,febrero_2006,4.21
164,El Pinar,febrero_2006,2.48
165,El Real de la Jara,febrero_2006,0.79
166,El Ronquillo,febrero_2006,2.44
167,El Valle,febrero_2006,7.61
168,Encinasola,febrero_2006,2.02
169,Fonelas,febrero_2006,5.24
170,Frailes,febrero_2006,3.29
171,Freila,febrero_2006,2.33
172,Fuerte del Rey,febrero_2006,3.39
173,Galaroza,febrero_2006,3.61
174,Galera,febrero_2006,2.23
175,Gaucín,febrero_2006,3.3
176,Guadalcázar,febrero_2006,9.36
177,Gérgal,febrero_2006,3.26
178,Higuera de la Sierra,febrero_2006,6.02
179,Huéneja,febrero_2006,0.98
180,Huétor de Santillán,febrero_2006,2.86
181,Istán,febrero_2006,2.03
182,Iznatoraf,febrero_2006,4.24
183,Jayena,febrero_2006,4.75
184,Jerez del Marquesado,febrero_2006,1.01
185,Jimena,febrero_2006,3.25
186,La Iruela,febrero_2006,3.22
187,La Malahá,febrero_2006,1.94
188,La Peza,febrero_2006,0.73
189,La Victoria,febrero_2006,3.51
190,Lahiguera,febrero_2006,7.94
191,Las Navas de la Concepción,febrero_2006,3.29
192,Los Guajares,febrero_2006,2.09
193,Lubrín,febrero_2006,0.58
194,Lupión,febrero_2006,3.17
195,Láujar de Andarax,febrero_2006,1.72
196,María,febrero_2006,2.28
197,Moclinejo,febrero_2006,1.92
198,Montejaque,febrero_2006,1.88
199,Montillana,febrero_2006,3.73
200,Montizón,febrero_2006,5.01
201,Nevada,febrero_2006,4.24
202,Obejo,febrero_2006,0.61
203,Orce,febrero_2006,2.16
204,Otívar,febrero_2006,2.61
205,Palenciana,febrero_2006,7.45
206,Paymogo,febrero_2006,2.2
207,Pedro Martínez,febrero_2006,3.45
208,Pedroche,febrero_2006,4.65
209,Pinos Genil,febrero_2006,1.92
210,Polopos,febrero_2006,4.43
211,Purchena,febrero_2006,1.51
212,Píñar,febrero_2006,3.38
213,Quéntar,febrero_2006,0.77
214,Rioja,febrero_2006,1.76
215,Rosal de la Frontera,febrero_2006,2.8
216,Santa Bárbara de Casa,febrero_2006,1.81
217,Santa Elena,febrero_2006,3.69
218,Santa Eufemia,febrero_2006,2.61
219,Sayalonga,febrero_2006,2.88
220,Segura de la Sierra,febrero_2006,2.02
221,Sorihuela del Guadalimar,febrero_2006,5.72
222,Taberno,febrero_2006,1.45
223,Torre-Cardela,febrero_2006,2.47
224,Torrecampo,febrero_2006,2.65
225,Torres,febrero_2006,1.25
226,Valenzuela,febrero_2006,5.13
227,Villamena,febrero_2006,2.79
228,Villanueva de San Juan,febrero_2006,3.31
229,Villanueva de Tapia,febrero_2006,12.85
230,Villanueva del Duque,febrero_2006,1.62
231,Villanueva del Rey,febrero_2006,1.72
232,Villaralto,febrero_2006,1.7
233,Villardompardo,febrero_2006,5.34
234,Viñuela,febrero_2006,3.22
235,Zagra,febrero_2006,9.01
236,Zahara,febrero_2006,6.44
237,Ítrabo,febrero_2006,2.24
238,Abla,marzo_2006,5.25
239,Abrucena,marzo_2006,3.36
240,Aguadulce,marzo_2006,8.21
241,Alanís,marzo_2006,7.3
242,Albanchez de Mágina,marzo_2006,3.62
243,Albuñuelas,marzo_2006,4.58
244,Alcaracejos,marzo_2006,2.42
245,Alcaucín,marzo_2006,2.35
246,Alfarnate,marzo_2006,5.05
247,Algar,marzo_2006,3.91
248,Algámitas,marzo_2006,3.46
249,Almadén de la Plata,marzo_2006,4.18
250,Almonaster la Real,marzo_2006,2.2
251,Almáchar,marzo_2006,2.62
252,Alpujarra de la Sierra,marzo_2006,3.77
253,Arenas,marzo_2006,4.33
254,Arquillos,marzo_2006,4.13
255,Arroyomolinos de León,marzo_2006,7.07
256,Añora,marzo_2006,0.78
257,Beas de Granada,marzo_2006,0.82
258,Benalúa de las Villas,marzo_2006,3.7
259,Benamargosa,marzo_2006,3.23
260,Benaoján,marzo_2006,3.66
261,Bélmez de la Moraleda,marzo_2006,3.59
262,Cala,marzo_2006,2.45
263,Campotéjar,marzo_2006,4.43
264,Canjáyar,marzo_2006,2.43
265,Cardeña,marzo_2006,2.23
266,Castilléjar,marzo_2006,4.26
267,Chiclana de Segura,marzo_2006,6.3
268,Chilluévar,marzo_2006,7.0
269,Chimeneas,marzo_2006,9.27
270,Chirivel,marzo_2006,1.9
271,Colomera,marzo_2006,5.35
272,Comares,marzo_2006,1.51
273,Coripe,marzo_2006,2.72
274,Cortes y Graena,marzo_2006,2.68
275,Cuevas Bajas,marzo_2006,7.55
276,Cuevas del Becerro,marzo_2006,3.03
277,Cádiar,marzo_2006,1.85
278,Cárcheles,marzo_2006,4.86
279,Darro,marzo_2006,4.66
280,Dílar,marzo_2006,2.31
281,El Castillo de las Guardas,marzo_2006,3.38
282,El Gastor,marzo_2006,3.21
283,El Pinar,marzo_2006,2.02
284,El Real de la Jara,marzo_2006,1.89
285,El Ronquillo,marzo_2006,5.68
286,El Valle,marzo_2006,10.09
287,Encinasola,marzo_2006,1.84
288,Fonelas,marzo_2006,6.9
289,Frailes,marzo_2006,5.29
290,Freila,marzo_2006,2.42
291,Fuerte del Rey,marzo_2006,1.1
292,Galaroza,marzo_2006,3.55
293,Galera,marzo_2006,4.74
294,Gaucín,marzo_2006,1.92
295,Guadalcázar,marzo_2006,11.9
296,Gérgal,marzo_2006,5.76
297,Higuera de la Sierra,marzo_2006,7.2
298,Huéneja,marzo_2006,1.95
299,Huétor de Santillán,marzo_2006,2.58
300,Istán,marzo_2006,3.07
301,Iznatoraf,marzo_2006,4.42
302,Jayena,marzo_2006,5.84
303,Jerez del Marquesado,marzo_2006,1.37
304,Jimena,marzo_2006,3.85
305,La Iruela,marzo_2006,4.78
306,La Malahá,marzo_2006,2.47
307,La Peza,marzo_2006,1.68
308,La Victoria,marzo_2006,5.05
309,Lahiguera,marzo_2006,6.61
310,Las Navas de la Concepción,marzo_2006,7.08
311,Los Guajares,marzo_2006,3.52
312,Lubrín,marzo_2006,1.79
313,Lupión,marzo_2006,3.37
314,Láujar de Andarax,marzo_2006,2.45
315,María,marzo_2006,2.55
316,Moclinejo,marzo_2006,2.92
317,Montejaque,marzo_2006,2.27
318,Montillana,marzo_2006,3.8
319,Montizón,marzo_2006,2.61
320,Nevada,marzo_2006,4.33
321,Obejo,marzo_2006,1.51
322,Orce,marzo_2006,3.24
323,Otívar,marzo_2006,1.71
324,Palenciana,marzo_2006,5.3
325,Paymogo,marzo_2006,1.73
326,Pedro Martínez,marzo_2006,4.44
327,Pedroche,marzo_2006,4.05
328,Pinos Genil,marzo_2006,0.8
329,Polopos,marzo_2006,4.3
330,Purchena,marzo_2006,2.42
331,Píñar,marzo_2006,3.16
332,Quéntar,marzo_2006,1.93
333,Rioja,marzo_2006,2.86
334,Rosal de la Frontera,marzo_2006,2.53
335,Santa Bárbara de Casa,marzo_2006,1.81
336,Santa Elena,marzo_2006,4.89
337,Santa Eufemia,marzo_2006,2.81
338,Sayalonga,marzo_2006,2.6
339,Segura de la Sierra,marzo_2006,3.1
340,Sorihuela del Guadalimar,marzo_2006,4.66
341,Taberno,marzo_2006,1.18
342,Torre-Cardela,marzo_2006,2.38
343,Torrecampo,marzo_2006,5.0
344,Torres,marzo_2006,2.08
345,Valenzuela,marzo_2006,2.86
346,Villamena,marzo_2006,2.29
347,Villanueva de San Juan,marzo_2006,2.61
348,Villanueva de Tapia,marzo_2006,15.96
349,Villanueva del Duque,marzo_2006,1.26
350,Villanueva del Rey,marzo_2006,2.78
351,Villaralto,marzo_2006,3.63
352,Villardompardo,marzo_2006,3.02
353,Viñuela,marzo_2006,4.26
354,Zagra,marzo_2006,9.96
355,Zahara,marzo_2006,6.25
356,Ítrabo,marzo_2006,0.72
357,Abla,abril_2006,2.13
358,Abrucena,abril_2006,3.14
359,Aguadulce,abril_2006,9.95
360,Alanís,abril_2006,6.35
361,Albanchez de Mágina,abril_2006,4.68
362,Albuñuelas,abril_2006,3.27
363,Alcaracejos,abril_2006,3.7
364,Alcaucín,abril_2006,1.73
365,Alfarnate,abril_2006,4.4
366,Algar,abril_2006,3.41
367,Algámitas,abril_2006,2.33
368,Almadén de la Plata,abril_2006,3.82
369,Almonaster la Real,abril_2006,4.41
370,Almáchar,abril_2006,2.26
371,Alpujarra de la Sierra,abril_2006,1.58
372,Arenas,abril_2006,3.96
373,Arquillos,abril_2006,3.07
374,Arroyomolinos de León,abril_2006,4.9
375,Añora,abril_2006,1.96
376,Beas de Granada,abril_2006,0.27
377,Benalúa de las Villas,abril_2006,2.07
378,Benamargosa,abril_2006,3.73
379,Benaoján,abril_2006,2.67
380,Bélmez de la Moraleda,abril_2006,2.55
381,Cala,abril_2006,1.61
382,Campotéjar,abril_2006,3.61
383,Canjáyar,abril_2006,2.88
384,Cardeña,abril_2006,2.11
385,Castilléjar,abril_2006,3.03
386,Chiclana de Segura,abril_2006,3.11
387,Chilluévar,abril_2006,2.33
388,Chimeneas,abril_2006,7.83
389,Chirivel,abril_2006,2.66
390,Colomera,abril_2006,1.34
391,Comares,abril_2006,1.05
392,Coripe,abril_2006,2.86
393,Cortes y Graena,abril_2006,1.39
394,Cuevas Bajas,abril_2006,2.1
395,Cuevas del Becerro,abril_2006,2.11
396,Cádiar,abril_2006,1.23
397,Cárcheles,abril_2006,4.72
398,Darro,abril_2006,4.66
399,Dílar,abril_2006,0.44
400,El Castillo de las Guardas,abril_2006,2.58
401,El Gastor,abril_2006,3.16
402,El Pinar,abril_2006,1.84
403,El Real de la Jara,abril_2006,0.67
404,El Ronquillo,abril_2006,2.59
405,El Valle,abril_2006,7.96
406,Encinasola,abril_2006,1.29
407,Fonelas,abril_2006,1.57
408,Frailes,abril_2006,2.67
409,Freila,abril_2006,1.3
410,Fuerte del Rey,abril_2006,2.05
411,Galaroza,abril_2006,2.37
412,Galera,abril_2006,3.4
413,Gaucín,abril_2006,1.54
414,Guadalcázar,abril_2006,5.39
415,Gérgal,abril_2006,3.65
416,Higuera de la Sierra,abril_2006,4.7
417,Huéneja,abril_2006,1.63
418,Huétor de Santillán,abril_2006,1.46
419,Istán,abril_2006,3.56
420,Iznatoraf,abril_2006,4.16
421,Jayena,abril_2006,4.44
422,Jerez del Marquesado,abril_2006,2.2
423,Jimena,abril_2006,2.79
424,La Iruela,abril_2006,3.42
425,La Malahá,abril_2006,2.7
426,La Peza,abril_2006,1.24
427,La Victoria,abril_2006,4.57
428,Lahiguera,abril_2006,4.0
429,Las Navas de la Concepción,abril_2006,4.18
430,Los Guajares,abril_2006,4.49
431,Lubrín,abril_2006,1.67
432,Lupión,abril_2006,1.49
433,Láujar de Andarax,abril_2006,1.89
434,María,abril_2006,1.63
435,Moclinejo,abril_2006,3.26
436,Montejaque,abril_2006,1.09
437,Montillana,abril_2006,2.64
438,Montizón,abril_2006,2.71
439,Nevada,abril_2006,4.75
440,Obejo,abril_2006,0.5
441,Orce,abril_2006,2.31
442,Otívar,abril_2006,2.16
443,Palenciana,abril_2006,3.66
444,Paymogo,abril_2006,1.65
445,Pedro Martínez,abril_2006,3.29
446,Pedroche,abril_2006,1.49
447,Pinos Genil,abril_2006,1.28
448,Polopos,abril_2006,2.5
449,Purchena,abril_2006,1.94
450,Píñar,abril_2006,2.2
451,Quéntar,abril_2006,1.45
452,Rioja,abril_2006,0.95
453,Rosal de la Frontera,abril_2006,1.98
454,Santa Bárbara de Casa,abril_2006,1.9
455,Santa Elena,abril_2006,4.69
456,Santa Eufemia,abril_2006,2.61
457,Sayalonga,abril_2006,1.71
458,Segura de la Sierra,abril_2006,3.1
459,Sorihuela del Guadalimar,abril_2006,4.01
460,Taberno,abril_2006,1.72
