,Municipio,variable,value
147,Córdoba,enero_2007,4.24
148,Dos Hermanas,enero_2007,4.22
149,Granada,enero_2007,5.24
150,Huelva,enero_2007,3.73
151,Jaén,enero_2007,10.0
152,Jerez de la Frontera,enero_2007,5.06
153,Marbella,enero_2007,4.21
154,Málaga,enero_2007,4.31
155,Sevilla,enero_2007,4.94
156,Algeciras,febrero_2007,2.91
157,Almería,febrero_2007,3.29
158,Cádiz,febrero_2007,3.51
159,Córdoba,febrero_2007,3.56
160,Dos Hermanas,febrero_2007,3.17
161,Granada,febrero_2007,5.03
162,Huelva,febrero_2007,3.21
163,Jaén,febrero_2007,6.26
164,Jerez de la Frontera,febrero_2007,4.05
165,Marbella,febrero_2007,3.51
166,Málaga,febrero_2007,3.75
167,Sevilla,febrero_2007,4.25
168,Algeciras,marzo_2007,3.29
169,Almería,marzo_2007,3.86
170,Cádiz,marzo_2007,4.02
171,Córdoba,marzo_2007,4.0
172,Dos Hermanas,marzo_2007,3.74
173,Granada,marzo_2007,5.58
174,Huelva,marzo_2007,3.97
175,Jaén,marzo_2007,4.92
176,Jerez de la Frontera,marzo_2007,5.15
177,Marbella,marzo_2007,4.52
178,Málaga,marzo_2007,4.23
179,Sevilla,marzo_2007,5.12
180,Algeciras,abril_2007,3.25
181,Almería,abril_2007,3.55
182,Cádiz,abril_2007,3.43
183,Córdoba,abril_2007,3.5
184,Dos Hermanas,abril_2007,3.37
185,Granada,abril_2007,4.88
186,Huelva,abril_2007,3.34
187,Jaén,abril_2007,4.06
188,Jerez de la Frontera,abril_2007,4.9
189,Marbella,abril_2007,4.49
190,Málaga,abril_2007,3.99
191,Sevilla,abril_2007,4.36
192,Algeciras,mayo_2007,3.53
193,Almería,mayo_2007,4.05
194,Cádiz,mayo_2007,4.2
195,Córdoba,mayo_2007,4.11
196,Dos Hermanas,mayo_2007,3.81
197,Granada,mayo_2007,5.57
198,Huelva,mayo_2007,4.13
199,Jaén,mayo_2007,4.17
200,Jerez de la Frontera,mayo_2007,5.69
201,Marbella,mayo_2007,5.04
202,Málaga,mayo_2007,4.45
203,Sevilla,mayo_2007,5.07
204,Algeciras,junio_2007,3.67
205,Almería,junio_2007,4.0
206,Cádiz,junio_2007,4.13
207,Córdoba,junio_2007,3.96
208,Dos Hermanas,junio_2007,3.34
209,Granada,junio_2007,5.09
210,Huelva,junio_2007,3.96
211,Jaén,junio_2007,4.14
212,Jerez de la Frontera,junio_2007,4.73
213,Marbella,junio_2007,5.19
214,Málaga,junio_2007,4.43
215,Sevilla,junio_2007,4.94
216,Algeciras,julio_2007,4.56
217,Almería,julio_2007,4.33
218,Cádiz,julio_2007,5.37
