Municipios,Puesto Nacional,Puesto Autonómico,Renta Bruta,Renta Disponible,Provincia,Año
Cabra del Santo Cristo,2811,520,13645.999999999998,12432,Jaén,2016
Montizón,2834,533,13544.0,12455,Jaén,2016
Noalejo,2844,542,13419.0,12437,Jaén,2016
Arquillos,2851,545,13351.0,12205,Jaén,2016
Chilluévar,2852,546,13351.0,12095,Jaén,2016
Albanchez de Mágina,2863,549,13267.999999999998,12142,Jaén,2016
Cambil,2880,555,12969.000000000002,12008,Jaén,2016
Bélmez de la Moraleda,2884,559,12860.999999999998,11847,Jaén,2016
Huesa,2889,560,12802.999999999998,11789,Jaén,2016
Agrupación municipios pequeños,0,0,14045.0,12810,Jaén,2016
Benahavís,212,10,28443.0,23127,Málaga,2016
Rincón de la Victoria,283,16,27381.999999999996,22478,Málaga,2016
Málaga,521,26,25180.0,20980,Málaga,2016
Marbella,568,29,24791.0,20565,Málaga,2016
Alhaurín de la Torre,578,30,24714.000000000004,20654,Málaga,2016
Benalmádena,641,34,24349.0,20188,Málaga,2016
Torremolinos,725,40,23795.0,19862,Málaga,2016
Antequera,998,59,22031.999999999996,18592,Málaga,2016
Ronda,1034,62,21809.0,18438,Málaga,2016
Fuengirola,1073,65,21645.0,18285,Málaga,2016
Estepona,1090,67,21537.0,18220,Málaga,2016
Manilva,1160,73,21155.0,17998,Málaga,2016
Mijas,1237,83,20803.0,17640,Málaga,2016
Vélez-Málaga,1344,98,20272.000000000004,17311,Málaga,2016
Ojén,1358,100,20192.0,17160,Málaga,2016
Casares,1369,102,20116.0,17275,Málaga,2016
Istán,1410,112,19872.0,16988,Málaga,2016
Cártama,1611,137,18870.0,16332,Málaga,2016
Coín,1624,139,18787.0,16155,Málaga,2016
Nerja,1625,140,18784.000000000004,16227,Málaga,2016
Campillos,1679,151,18565.0,16105,Málaga,2016
Alhaurín el Grande,1802,174,18083.0,15708,Málaga,2016
Casabermeja,1843,178,17918.0,15637,Málaga,2016
Pizarra,1854,184,17880.0,15682,Málaga,2016
Arriate,2045,222,17137.999999999996,15065,Málaga,2016
Fuente de Piedra,2046,223,17134.0,14954,Málaga,2016
Frigiliana,2058,225,17105.0,14946,Málaga,2016
Torrox,2071,228,17051.0,14807,Málaga,2016
Archidona,2114,240,16921.0,14761,Málaga,2016
Monda,2130,246,16849.0,14780,Málaga,2016
Algarrobo,2152,254,16757.0,14732,Málaga,2016
Almargen,2184,266,16665.0,14633,Málaga,2016
Colmenar,2248,283,16344.000000000002,14440,Málaga,2016
Álora,2255,286,16312.000000000002,14407,Málaga,2016
Benaoján,2263,287,16280.999999999998,14279,Málaga,2016
Casarabonela,2321,308,16043.0,14300,Málaga,2016
Cañete la Real,2334,315,15998.0,14322,Málaga,2016
Ardales,2347,317,15932.0,14130,Málaga,2016
Humilladero,2362,325,15845.0,14019,Málaga,2016
Cómpeta,2367,328,15828.0,14085,Málaga,2016
Alameda,2397,334,15725.0,13880,Málaga,2016
Mollina,2427,349,15580.0,13767,Málaga,2016
Cortes de la Frontera,2452,356,15472.000000000002,13732,Málaga,2016
Villanueva del Rosario,2466,362,15387.0,13682,Málaga,2016
Guaro,2522,375,15151.0,13681,Málaga,2016
Alcaucín,2528,377,15123.0,13561,Málaga,2016
Gaucín,2529,378,15118.0,13440,Málaga,2016
Almogía,2545,386,15050.999999999998,13503,Málaga,2016
Viñuela,2558,393,14989.0,13474,Málaga,2016
Cuevas del Becerro,2581,404,14923.0,13527,Málaga,2016
Cuevas Bajas,2594,408,14873.0,13318,Málaga,2016
Moclinejo,2595,409,14869.000000000002,13255,Málaga,2016
Teba,2596,410,14868.0,13493,Málaga,2016
Sierra de Yeguas,2611,414,14773.0,13312,Málaga,2016
Villanueva del Trabuco,2644,430,14642.000000000002,13067,Málaga,2016
Benamocarra,2645,431,14640.999999999998,13057,Málaga,2016
Yunquera,2673,442,14470.0,13163,Málaga,2016
Riogordo,2674,443,14469.000000000002,13077,Málaga,2016
Alozaina,2675,444,14465.0,13085,Málaga,2016
Tolox,2685,450,14411.0,13149,Málaga,2016
Periana,2723,466,14265.0,12860,Málaga,2016
Villanueva de Tapia,2724,467,14265.0,12908,Málaga,2016
Sayalonga,2746,481,14112.0,12654,Málaga,2016
Alfarnate,2749,483,14099.0,12714,Málaga,2016
Valle de Abdalajís,2758,486,14025.0,12767,Málaga,2016
Cuevas de San Marcos,2766,492,13975.0,12562,Málaga,2016
Canillas de Aceituno,2791,510,13827.0,12467,Málaga,2016
Villanueva de Algaidas,2807,517,13671.0,12329,Málaga,2016
El Burgo,2836,534,13500.0,12334,Málaga,2016
Benamargosa,2838,536,13480.0,12322,Málaga,2016
Arenas,2847,543,13388.0,12409,Málaga,2016
Comares,2856,548,13304.0,12208,Málaga,2016
Almáchar,2906,566,12032.0,11139,Málaga,2016
Agrupación municipios pequeños,0,0,14075.0,12687,Málaga,2016
Tomares,64,1,33637.0,26732,Sevilla,2016
Espartinas,87,2,32164.0,25660,Sevilla,2016
Castilleja de Guzmán,129,3,30285.999999999996,24326,Sevilla,2016
Valencina de la Concepción,149,4,29781.999999999996,24058,Sevilla,2016
Mairena del Aljarafe,176,5,29048.0,23438,Sevilla,2016
Bormujos,180,6,29017.0,23383,Sevilla,2016
Gines,182,8,28996.0,23500,Sevilla,2016
Gelves,195,9,28706.0,23170,Sevilla,2016
Sevilla,235,12,28019.000000000004,22822,Sevilla,2016
Palomares del Río,278,15,27423.0,22528,Sevilla,2016
Salteras,595,32,24624.000000000004,20368,Sevilla,2016
Bollullos de la Mitación,655,36,24228.0,20176,Sevilla,2016
Dos Hermanas,682,37,24014.0,20033,Sevilla,2016
Castilleja de la Cuesta,814,46,23206.0,19381,Sevilla,2016
Alcalá de Guadaíra,836,47,23076.0,19269,Sevilla,2016
Almensilla,916,52,22570.0,18921,Sevilla,2016
San Juan de Aznalfarache,934,53,22444.000000000004,18951,Sevilla,2016
Camas,972,55,22241.999999999996,18781,Sevilla,2016
Guillena,1059,64,21711.0,18240,Sevilla,2016
Sanlúcar la Mayor,1201,78,20956.999999999996,17732,Sevilla,2016
La Rinconada,1227,81,20829.0,17757,Sevilla,2016
La Algaba,1236,82,20805.999999999996,17817,Sevilla,2016
Santiponce,1247,85,20748.0,17667,Sevilla,2016
Mairena del Alcor,1250,86,20728.0,17569,Sevilla,2016
Gerena,1287,92,20539.0,17512,Sevilla,2016
Carmona,1290,93,20535.0,17398,Sevilla,2016
Umbrete,1295,94,20503.0,17465,Sevilla,2016
Villanueva del Ariscal,1326,97,20355.0,17382,Sevilla,2016
Utrera,1366,101,20137.999999999996,17160,Sevilla,2016
Alcalá del Río,1391,105,19988.0,17120,Sevilla,2016
Coria del Río,1394,106,19963.0,17053,Sevilla,2016
La Puebla del Río,1404,110,19907.0,17038,Sevilla,2016
Aznalcázar,1454,116,19645.0,16875,Sevilla,2016
Huévar del Aljarafe,1488,121,19450.0,16788,Sevilla,2016
Morón de la Frontera,1581,128,19002.0,16317,Sevilla,2016
Osuna,1591,130,18956.0,16249,Sevilla,2016
Aznalcóllar,1600,133,18917.0,16465,Sevilla,2016
Olivares,1605,136,18896.0,16229,Sevilla,2016
Benacazón,1622,138,18810.0,16296,Sevilla,2016
Écija,1629,141,18774.0,16079,Sevilla,2016
Burguillos,1640,143,18690.0,16160,Sevilla,2016
Marchena,1692,154,18518.0,15960,Sevilla,2016
Carrión de los Céspedes,1703,156,18459.0,15905,Sevilla,2016
El Viso del Alcor,1771,168,18210.0,15788,Sevilla,2016
Albaida del Aljarafe,1827,176,17971.0,15645,Sevilla,2016
Villanueva del Río y Minas,1849,181,17895.0,15674,Sevilla,2016
Cazalla de la Sierra,1851,182,17894.000000000004,15490,Sevilla,2016
El Ronquillo,1859,185,17855.999999999996,15517,Sevilla,2016
Villaverde del Río,1919,195,17643.0,15448,Sevilla,2016
Brenes,1923,196,17631.0,15329,Sevilla,2016
La Roda de Andalucía,1982,207,17393.0,15128,Sevilla,2016
Cantillana,1993,208,17368.0,15099,Sevilla,2016
Lebrija,1995,209,17361.0,15068,Sevilla,2016
Estepa,2006,212,17298.0,14960,Sevilla,2016
Isla Mayor,2014,214,17261.0,14918,Sevilla,2016
Constantina,2044,221,17140.0,14935,Sevilla,2016
Los Molares,2077,229,17035.0,14964,Sevilla,2016
Arahal,2081,230,17012.0,14935,Sevilla,2016
Gilena,2109,237,16935.0,14696,Sevilla,2016
Lora del Río,2115,241,16915.0,14793,Sevilla,2016
Tocina,2159,255,16729.0,14708,Sevilla,2016
Pilas,2173,261,16685.0,14560,Sevilla,2016
El Real de la Jara,2174,262,16683.0,14757,Sevilla,2016
Herrera,2179,265,16673.0,14540,Sevilla,2016
Los Palacios y Villafranca,2207,269,16570.0,14573,Sevilla,2016
Cañada Rosal,2234,278,16440.0,14298,Sevilla,2016
La Luisiana,2270,290,16264.0,14310,Sevilla,2016
Aguadulce,2283,296,16207.0,14222,Sevilla,2016
El Pedroso,2296,299,16142.0,14112,Sevilla,2016
La Puebla de Cazalla,2301,301,16114.999999999998,14297,Sevilla,2016
El Coronil,2353,320,15892.999999999998,14036,Sevilla,2016
El Castillo de las Guardas,2356,321,15883.0,13950,Sevilla,2016
Paradas,2365,326,15835.0,14017,Sevilla,2016
Castilblanco de los Arroyos,2371,329,15811.0,13937,Sevilla,2016
Las Cabezas de San Juan,2419,346,15609.000000000002,13901,Sevilla,2016
Peñaflor,2425,348,15587.0,13710,Sevilla,2016
Guadalcanal,2459,358,15434.000000000002,13705,Sevilla,2016
El Rubio,2530,379,15115.0,13283,Sevilla,2016
Fuentes de Andalucía,2533,380,15092.0,13343,Sevilla,2016
El Saucejo,2539,383,15078.0,13552,Sevilla,2016
Villamanrique de la Condesa,2540,384,15071.0,13327,Sevilla,2016
Alcolea del Río,2580,403,14932.0,13390,Sevilla,2016
Almadén de la Plata,2593,407,14878.0,13315,Sevilla,2016
Alanís,2598,411,14864.0,13158,Sevilla,2016
Pedrera,2623,417,14717.0,13132,Sevilla,2016
Casariche,2625,419,14712.0,13113,Sevilla,2016
Coripe,2659,436,14577.0,13062,Sevilla,2016
El Cuervo de Sevilla,2677,446,14459.000000000002,12946,Sevilla,2016
Montellano,2684,449,14417.0,12837,Sevilla,2016
La Campana,2718,463,14302.0,12784,Sevilla,2016
Pruna,2731,472,14206.0,12927,Sevilla,2016
La Puebla de los Infantes,2733,473,14198.0,12696,Sevilla,2016
Las Navas de la Concepción,2737,476,14170.0,12706,Sevilla,2016
Martín de la Jara,2765,491,13989.0,12667,Sevilla,2016
Algámitas,2769,495,13960.999999999998,12692,Sevilla,2016
Lantejuela,2786,507,13857.999999999998,12485,Sevilla,2016
Badolatosa,2810,519,13650.0,12390,Sevilla,2016
Los Corrales,2820,526,13595.0,12290,Sevilla,2016
Marinaleda,2827,530,13568.0,12317,Sevilla,2016
Villanueva de San Juan,2842,540,13425.999999999998,12283,Sevilla,2016
Agrupación municipios pequeños,0,0,16912.0,14814,Sevilla,2016
Tíjola,33,1,40607.0,32860,Almería,2017
Almería,788,46,23999.000000000004,19857,Almería,2017
Carboneras,930,53,23103.0,19322,Almería,2017
Huércal de Almería,1180,75,21616.999999999996,18224,Almería,2017
Roquetas de Mar,1260,83,21305.999999999996,17779,Almería,2017
Vera,1266,87,21265.0,17849,Almería,2017
Mojácar,1280,88,21193.0,17802,Almería,2017
Macael,1372,102,20703.000000000004,17445,Almería,2017
Olula del Río,1526,117,19933.0,16889,Almería,2017
Huércal-Overa,1631,133,19407.0,16543,Almería,2017
Fines,1715,149,19008.0,16280,Almería,2017
Benahadux,1725,151,18965.0,16393,Almería,2017
Serón,1791,162,18684.0,16042,Almería,2017
Garrucha,1806,167,18635.0,15948,Almería,2017
Pechina,1807,168,18635.0,16069,Almería,2017
Albox,1852,173,18477.0,15849,Almería,2017
Pulpí,1859,174,18455.0,15805,Almería,2017
Purchena,1988,197,17917.0,15344,Almería,2017
Dalías,1995,198,17882.0,15335,Almería,2017
El Ejido,2004,200,17848.0,15273,Almería,2017
Viator,2008,202,17836.0,15536,Almería,2017
Gádor,2058,222,17599.0,15265,Almería,2017
Adra,2062,223,17587.0,15204,Almería,2017
Cuevas del Almanzora,2068,225,17578.0,15192,Almería,2017
Los Gallardos,2123,235,17357.0,15000,Almería,2017
Antas,2127,238,17344.0,14962,Almería,2017
Vélez-Rubio,2128,239,17344.0,15117,Almería,2017
Alhama de Almería,2171,253,17143.0,15054,Almería,2017
Berja,2205,266,16986.0,14731,Almería,2017
Cantoria,2269,292,16747.0,14651,Almería,2017
Zurgena,2323,307,16494.0,14642,Almería,2017
Turre,2346,317,16386.0,14380,Almería,2017
Vícar,2398,334,16195.0,14180,Almería,2017
Rioja,2410,337,16137.999999999998,14087,Almería,2017
Sorbas,2438,350,16027.999999999998,14165,Almería,2017
Chirivel,2478,361,15847.000000000002,14015,Almería,2017
Arboleas,2510,370,15715.0,14007,Almería,2017
Abla,2552,383,15573.0,13654,Almería,2017
Partaloa,2577,395,15464.0,13720,Almería,2017
Vélez-Blanco,2602,407,15347.999999999998,13722,Almería,2017
Níjar,2630,418,15158.0,13312,Almería,2017
La Mojonera,2632,419,15152.999999999998,13312,Almería,2017
Tabernas,2709,455,14737.0,13102,Almería,2017
Gérgal,2730,467,14615.0,12985,Almería,2017
Fiñana,2741,472,14545.0,13077,Almería,2017
Oria,2767,489,14375.0,12795,Almería,2017
María,2785,500,14263.0,12892,Almería,2017
Lubrín,2795,505,14198.0,12977,Almería,2017
Láujar de Andarax,2830,526,13917.0,12292,Almería,2017
Canjáyar,2843,534,13727.0,12462,Almería,2017
Abrucena,2848,538,13652.999999999998,12372,Almería,2017
Agrupación municipios pequeños,0,0,15012.0,13362,Almería,2017
Algeciras,286,16,28183.000000000004,22930,Cádiz,2017
Cádiz,333,18,27518.0,22798,Cádiz,2017
Los Barrios,371,19,27149.0,22199,Cádiz,2017
El Puerto de Santa María,391,21,26959.0,22291,Cádiz,2017
San Roque,527,24,25781.0,21471,Cádiz,2017
San Fernando,643,32,24980.0,21045,Cádiz,2017
Puerto Real,734,41,24412.0,20480,Cádiz,2017
La Línea de la Concepción,741,42,24368.000000000004,20713,Cádiz,2017
Rota,801,47,23932.0,20327,Cádiz,2017
Jerez de la Frontera,884,49,23433.000000000004,19692,Cádiz,2017
Chiclana de la Frontera,1085,66,22135.0,18734,Cádiz,2017
Castellar de la Frontera,1263,85,21290.0,18101,Cádiz,2017
Tarifa,1291,91,21094.0,17953,Cádiz,2017
Conil de la Frontera,1453,111,20224.0,17159,Cádiz,2017
El Bosque,1665,139,19249.000000000004,16494,Cádiz,2017
Sanlúcar de Barrameda,1818,169,18609.0,16058,Cádiz,2017
Medina-Sidonia,1876,177,18382.0,15964,Cádiz,2017
Jimena de la Frontera,1920,186,18184.0,15704,Cádiz,2017
Ubrique,1924,188,18170.0,15668,Cádiz,2017
Barbate,2015,205,17802.0,15513,Cádiz,2017
Villamartín,2018,207,17792.0,15397,Cádiz,2017
Chipiona,2039,214,17684.0,15420,Cádiz,2017
Arcos de la Frontera,2092,231,17462.0,15260,Cádiz,2017
Alcalá de los Gazules,2125,237,17346.0,15033,Cádiz,2017
Trebujena,2138,243,17308.0,15179,Cádiz,2017
Olvera,2177,257,17119.0,15023,Cádiz,2017
Vejer de la Frontera,2226,273,16916.0,14825,Cádiz,2017
Algar,2240,279,16864.0,14760,Cádiz,2017
Setenil de las Bodegas,2375,329,16288.0,14505,Cádiz,2017
Espera,2415,339,16102.999999999998,14192,Cádiz,2017
Paterna de Rivera,2416,340,16101.0,14258,Cádiz,2017
Zahara,2430,346,16067.999999999998,14300,Cádiz,2017
Benalup-Casas Viejas,2434,349,16039.000000000002,14132,Cádiz,2017
San José del Valle,2498,366,15754.000000000002,13976,Cádiz,2017
Algodonales,2506,369,15722.999999999998,14027,Cádiz,2017
Grazalema,2582,398,15436.0,13636,Cádiz,2017
Bornos,2601,406,15349.0,13632,Cádiz,2017
Prado del Rey,2652,430,15050.999999999998,13270,Cádiz,2017
Alcalá del Valle,2703,449,14788.0,13344,Cádiz,2017
El Gastor,2792,504,14205.0,12777,Cádiz,2017
Puerto Serrano,2889,559,12614.0,11527,Cádiz,2017
Agrupación municipios pequeños,0,0,15573.0,13684,Cádiz,2017
Córdoba,561,30,25514.0,20988,Córdoba,2017
Peñarroya-Pueblonuevo,959,55,22886.999999999996,19132,Córdoba,2017
Pozoblanco,1328,97,20945.999999999996,17616,Córdoba,2017
Belmez,1348,98,20819.000000000004,17732,Córdoba,2017
Puente Genil,1574,123,19669.0,16812,Córdoba,2017
Espiel,1594,127,19580.0,16735,Córdoba,2017
Añora,1595,128,19572.0,16700,Córdoba,2017
Montilla,1705,148,19061.0,16300,Córdoba,2017
Villafranca de Córdoba,1736,154,18923.0,16146,Córdoba,2017
Cabra,1771,159,18774.0,16097,Córdoba,2017
Lucena,1794,164,18666.0,16044,Córdoba,2017
Fernán-Núñez,1805,166,18636.0,15934,Córdoba,2017
Obejo,1878,178,18375.0,15892,Córdoba,2017
Palma del Río,1964,194,18003.0,15527,Córdoba,2017
Alcaracejos,2005,201,17840.0,15427,Córdoba,2017
La Victoria,2034,211,17698.0,15450,Córdoba,2017
Baena,2052,220,17611.0,15155,Córdoba,2017
El Carpio,2082,228,17512.999999999996,15198,Córdoba,2017
Posadas,2174,255,17123.0,14876,Córdoba,2017
Castro del Río,2176,256,17121.0,14902,Córdoba,2017
La Rambla,2191,262,17058.0,14754,Córdoba,2017
La Carlota,2202,265,17005.0,14815,Córdoba,2017
Villa del Río,2209,267,16971.0,14774,Córdoba,2017
Rute,2211,268,16955.0,14758,Córdoba,2017
Montemayor,2223,272,16922.0,14770,Córdoba,2017
Montalbán de Córdoba,2227,274,16915.0,14677,Córdoba,2017
Fuente Obejuna,2231,275,16900.0,14812,Córdoba,2017
Villanueva del Rey,2241,280,16859.0,14835,Córdoba,2017
Dos Torres,2248,283,16835.0,14749,Córdoba,2017
Montoro,2255,286,16799.0,14716,Córdoba,2017
Priego de Córdoba,2265,290,16767.0,14687,Córdoba,2017
Guadalcázar,2268,291,16750.0,14677,Córdoba,2017
Hinojosa del Duque,2307,303,16576.0,14466,Córdoba,2017
Almodóvar del Río,2332,310,16441.0,14460,Córdoba,2017
Aguilar de la Frontera,2359,321,16344.000000000002,14239,Córdoba,2017
Doña Mencía,2371,326,16293.0,14414,Córdoba,2017
Pedro Abad,2403,335,16164.000000000002,14217,Córdoba,2017
Torrecampo,2422,343,16094.000000000002,14154,Córdoba,2017
Palenciana,2429,345,16078.0,14187,Córdoba,2017
Espejo,2458,355,15927.0,14081,Córdoba,2017
Cañete de las Torres,2471,358,15875.0,14001,Córdoba,2017
Bujalance,2484,363,15834.000000000002,13927,Córdoba,2017
Hornachuelos,2504,368,15732.000000000002,13777,Córdoba,2017
Villanueva de Córdoba,2538,378,15610.999999999998,13682,Córdoba,2017
Encinas Reales,2540,379,15606.0,13890,Córdoba,2017
El Viso,2543,380,15592.0,13894,Córdoba,2017
Villanueva del Duque,2558,386,15547.0,13888,Córdoba,2017
Belalcázar,2559,387,15540.999999999998,13738,Córdoba,2017
Carcabuey,2571,391,15485.999999999998,13670,Córdoba,2017
Luque,2574,392,15470.999999999998,13831,Córdoba,2017
Benamejí,2618,414,15232.999999999998,13599,Córdoba,2017
Santaella,2622,415,15215.0,13530,Córdoba,2017
Pedroche,2635,420,15124.0,13331,Córdoba,2017
Almedinilla,2645,427,15085.0,13458,Córdoba,2017
Fuente Palmera,2663,433,14989.0,13302,Córdoba,2017
Adamuz,2676,439,14910.0,13260,Córdoba,2017
Villaviciosa de Córdoba,2713,458,14715.0,13187,Córdoba,2017
Valenzuela,2726,463,14640.0,13196,Córdoba,2017
Monturque,2739,470,14550.0,12960,Córdoba,2017
Cardeña,2744,474,14525.0,12989,Córdoba,2017
Villaralto,2750,479,14491.0,13083,Córdoba,2017
Moriles,2752,481,14480.0,12949,Córdoba,2017
Iznájar,2818,518,13999.0,12612,Córdoba,2017
Nueva Carteya,2826,524,13946.0,12509,Córdoba,2017
Agrupación municipios pequeños,0,0,15269.0,13671,Córdoba,2017
Cájar,235,11,28776.0,23369,Granada,2017
Granada,260,13,28543.000000000004,23319,Granada,2017
Villa de Otura,490,22,26038.0,21463,Granada,2017
Huétor Vega,526,23,25785.0,21203,Granada,2017
Ogíjares,530,25,25766.0,21206,Granada,2017
Gójar,555,28,25583.000000000004,21166,Granada,2017
Jun,679,34,24765.0,20621,Granada,2017
Dílar,718,39,24498.0,20488,Granada,2017
Albolote,759,43,24247.0,20069,Granada,2017
Monachil,783,45,24018.0,20009,Granada,2017
La Zubia,835,48,23735.0,19814,Granada,2017
Armilla,894,50,23378.0,19490,Granada,2017
Peligros,969,56,22803.0,19178,Granada,2017
Huétor de Santillán,1001,58,22660.0,19019,Granada,2017
Cúllar Vega,1088,67,22119.0,18622,Granada,2017
Alhendín,1094,68,22084.0,18644,Granada,2017
Pinos Genil,1108,70,22015.0,18531,Granada,2017
Cenes de la Vega,1123,71,21912.0,18462,Granada,2017
Vegas del Genil,1153,72,21773.000000000004,18492,Granada,2017
Churriana de la Vega,1232,78,21419.0,18151,Granada,2017
Alfacar,1293,92,21078.000000000004,18017,Granada,2017
Las Gabias,1295,93,21075.0,17891,Granada,2017
Maracena,1318,96,20987.0,17890,Granada,2017
Santa Fe,1382,103,20630.0,17605,Granada,2017
Atarfe,1392,107,20566.999999999996,17616,Granada,2017
Motril,1405,108,20530.0,17502,Granada,2017
Guadix,1470,112,20185.0,17208,Granada,2017
Pulianas,1559,119,19775.0,17057,Granada,2017
Baza,1570,121,19692.0,16840,Granada,2017
Salobreña,1576,124,19665.0,16942,Granada,2017
Almuñécar,1666,140,19248.0,16590,Granada,2017
Gualchos,1723,150,18974.0,16503,Granada,2017
Padul,1774,160,18754.0,16320,Granada,2017
Cijuela,1803,165,18639.0,16172,Granada,2017
Dúrcal,1910,183,18217.0,15985,Granada,2017
Órgiva,1937,189,18125.0,15649,Granada,2017
Güevéjar,2019,208,17785.0,15658,Granada,2017
Lanjarón,2047,217,17647.000000000004,15344,Granada,2017
Lecrín,2049,218,17633.0,15539,Granada,2017
Loja,2050,219,17621.0,15319,Granada,2017
Cogollos de la Vega,2083,229,17510.0,15475,Granada,2017
Benalúa,2111,233,17403.0,15058,Granada,2017
Güejar Sierra,2113,234,17396.0,15185,Granada,2017
Vélez de Benaudalla,2151,248,17264.0,15062,Granada,2017
Chauchina,2154,249,17261.0,15160,Granada,2017
Huéscar,2187,260,17093.0,14818,Granada,2017
Láchar,2238,277,16875.0,14798,Granada,2017
Nigüelas,2246,282,16838.0,14888,Granada,2017
Darro,2251,284,16826.0,14937,Granada,2017
Pinos Puente,2254,285,16811.0,14851,Granada,2017
Iznalloz,2275,293,16735.0,14912,Granada,2017
Polopos,2320,306,16506.0,14607,Granada,2017
Fuente Vaqueros,2365,323,16315.000000000002,14405,Granada,2017
Campotéjar,2390,332,16224.0,14579,Granada,2017
Moraleda de Zafayona,2405,336,16157.0,14337,Granada,2017
Valle del Zalabí,2423,344,16091.999999999998,14239,Granada,2017
Huétor Tájar,2441,352,16023.0,14134,Granada,2017
Purullena,2442,353,16018.0,14135,Granada,2017
La Malahá,2514,372,15694.0,14062,Granada,2017
Illora,2555,385,15562.000000000002,13918,Granada,2017
Benalúa de las Villas,2576,394,15465.0,14011,Granada,2017
Deifontes,2586,400,15418.0,13862,Granada,2017
Albuñol,2589,401,15402.999999999998,13751,Granada,2017
Huéneja,2613,411,15254.000000000002,13520,Granada,2017
Alhama de Granada,2623,416,15213.0,13437,Granada,2017
Caniles,2624,417,15208.0,13644,Granada,2017
Píñar,2647,428,15077.0,13613,Granada,2017
Ugíjar,2678,440,14907.0,13157,Granada,2017
Benamaurel,2689,444,14868.0,13366,Granada,2017
Montefrío,2704,450,14772.0,13373,Granada,2017
Otívar,2705,451,14770.999999999998,13339,Granada,2017
Cúllar,2706,452,14760.0,13222,Granada,2017
La Peza,2708,454,14741.0,13297,Granada,2017
Cádiar,2722,461,14655.0,13110,Granada,2017
Montillana,2725,462,14644.0,13340,Granada,2017
Los Guajares,2729,466,14615.0,13404,Granada,2017
Moclín,2743,473,14525.0,13174,Granada,2017
Guadahortuna,2746,475,14524.0,13226,Granada,2017
Colomera,2749,478,14495.0,13177,Granada,2017
Galera,2754,482,14469.000000000002,13087,Granada,2017
Orce,2758,485,14432.0,12984,Granada,2017
Chimeneas,2773,493,14345.999999999998,12982,Granada,2017
Zújar,2777,496,14319.0,12943,Granada,2017
Molvízar,2782,498,14277.999999999998,12897,Granada,2017
Villanueva Mesía,2784,499,14270.0,12884,Granada,2017
Cuevas del Campo,2808,513,14090.0,12833,Granada,2017
Castilléjar,2824,522,13965.0,12472,Granada,2017
Salar,2825,523,13960.0,12583,Granada,2017
Puebla de Don Fadrique,2834,528,13875.0,12607,Granada,2017
Pedro Martínez,2839,531,13779.000000000002,12638,Granada,2017
Arenas del Rey,2841,532,13759.0,12527,Granada,2017
Itrabo,2851,540,13607.999999999998,12456,Granada,2017
Cortes de Baza,2855,543,13549.000000000002,12457,Granada,2017
Castril,2860,547,13482.000000000002,12206,Granada,2017
Jayena,2870,550,13255.999999999998,12140,Granada,2017
Zafarraya,2871,551,13175.999999999998,11923,Granada,2017
Montejícar,2873,553,13085.0,11962,Granada,2017
Nevada,2880,556,12875.0,11737,Granada,2017
Algarinejo,2886,558,12777.999999999998,11818,Granada,2017
Agrupación municipios pequeños,0,0,15503.0,13847,Granada,2017
Aljaraque,273,14,28351.0,22961,Huelva,2017
Huelva,694,37,24685.0,20445,Huelva,2017
Minas de Riotinto,1098,69,22059.0,18744,Huelva,2017
Punta Umbría,1261,84,21301.0,17882,Huelva,2017
Valverde del Camino,1265,86,21266.0,17848,Huelva,2017
Calañas,1448,110,20250.0,17140,Huelva,2017
Almonaster la Real,1493,114,20072.0,16769,Huelva,2017
La Palma del Condado,1586,125,19610.0,16718,Huelva,2017
Nerva,1621,130,19449.0,16870,Huelva,2017
Aracena,1652,137,19317.0,16401,Huelva,2017
Zalamea la Real,1657,138,19290.0,16550,Huelva,2017
El Campillo,1726,152,18965.0,16456,Huelva,2017
San Juan del Puerto,1730,153,18942.999999999996,16349,Huelva,2017
Ayamonte,1754,156,18850.0,16133,Huelva,2017
Trigueros,1758,157,18840.0,16143,Huelva,2017
Cortegana,1759,158,18834.0,16104,Huelva,2017
Beas,1826,171,18567.0,15966,Huelva,2017
Cartaya,1867,175,18415.0,15638,Huelva,2017
Hinojos,1958,192,18027.0,15519,Huelva,2017
Gibraleón,1965,195,18000.0,15557,Huelva,2017
Niebla,2012,204,17822.0,15470,Huelva,2017
Cala,2024,210,17757.0,15204,Huelva,2017
Moguer,2036,212,17685.0,15034,Huelva,2017
Cumbres Mayores,2124,236,17352.999999999996,15134,Huelva,2017
El Cerro de Andévalo,2131,240,17326.0,15020,Huelva,2017
Jabugo,2149,247,17266.0,15005,Huelva,2017
Lucena del Puerto,2185,259,17100.0,14255,Huelva,2017
Bonares,2197,263,17022.000000000004,14534,Huelva,2017
Bollullos Par del Condado,2212,269,16950.0,14557,Huelva,2017
Alosno,2214,270,16947.0,14722,Huelva,2017
Santa Olalla del Cala,2220,271,16935.0,14694,Huelva,2017
Isla Cristina,2256,287,16797.0,14638,Huelva,2017
Higuera de la Sierra,2277,294,16730.0,14556,Huelva,2017
Lepe,2300,298,16601.0,14319,Huelva,2017
Villanueva de los Castillejos,2373,328,16290.0,14095,Huelva,2017
Villarrasa,2419,341,16097.999999999998,14210,Huelva,2017
Palos de la Frontera,2433,348,16047.999999999998,13667,Huelva,2017
Puebla de Guzmán,2440,351,16023.0,14020,Huelva,2017
