Municipios;Sexo;Periodo;Total
23008 Arquillos;Total;2009;1952
23008 Arquillos;Total;2008;1937
23008 Arquillos;Total;2007;1966
23008 Arquillos;Total;2006;1985
23008 Arquillos;Total;2005;1981
23008 Arquillos;Total;2004;1962
23008 Arquillos;Total;2003;1944
23008 Arquillos;Total;2002;1926
23008 Arquillos;Total;2001;1921
23008 Arquillos;Total;2000;1970
23008 Arquillos;Total;1999;1936
23008 Arquillos;Total;1998;1892
23905 Arroyo del Ojanco;Total;2019;2288
23905 Arroyo del Ojanco;Total;2018;2323
23905 Arroyo del Ojanco;Total;2017;2353
23905 Arroyo del Ojanco;Total;2016;2354
23905 Arroyo del Ojanco;Total;2015;2373
23905 Arroyo del Ojanco;Total;2014;2455
23905 Arroyo del Ojanco;Total;2013;2505
23905 Arroyo del Ojanco;Total;2012;2525
23905 Arroyo del Ojanco;Total;2011;2522
23905 Arroyo del Ojanco;Total;2010;2509
23905 Arroyo del Ojanco;Total;2009;2483
23905 Arroyo del Ojanco;Total;2008;2490
23905 Arroyo del Ojanco;Total;2007;2468
23905 Arroyo del Ojanco;Total;2006;2500
23905 Arroyo del Ojanco;Total;2005;2533
23905 Arroyo del Ojanco;Total;2004;2468
23905 Arroyo del Ojanco;Total;2003;2287
23905 Arroyo del Ojanco;Total;2002;2348
23905 Arroyo del Ojanco;Total;2001;""
23905 Arroyo del Ojanco;Total;2000;""
23905 Arroyo del Ojanco;Total;1999;""
23905 Arroyo del Ojanco;Total;1998;""
23009 Baeza;Total;2019;15841
23009 Baeza;Total;2018;15902
23009 Baeza;Total;2017;15996
23009 Baeza;Total;2016;16100
23009 Baeza;Total;2015;16163
23009 Baeza;Total;2014;16215
23009 Baeza;Total;2013;16302
23009 Baeza;Total;2012;16535
23009 Baeza;Total;2011;16411
23009 Baeza;Total;2010;16360
23009 Baeza;Total;2009;16253
23009 Baeza;Total;2008;16197
23009 Baeza;Total;2007;16135
23009 Baeza;Total;2006;16056
23009 Baeza;Total;2005;15880
23009 Baeza;Total;2004;15177
23009 Baeza;Total;2003;15072
23009 Baeza;Total;2002;15223
23009 Baeza;Total;2001;15276
23009 Baeza;Total;2000;15738
23009 Baeza;Total;1999;15841
23009 Baeza;Total;1998;15635
23010 Bailén;Total;2019;17667
23010 Bailén;Total;2018;17820
23010 Bailén;Total;2017;17924
23010 Bailén;Total;2016;18085
23010 Bailén;Total;2015;18243
23010 Bailén;Total;2014;18419
23010 Bailén;Total;2013;18616
23010 Bailén;Total;2012;18725
23010 Bailén;Total;2011;18741
23010 Bailén;Total;2010;18763
23010 Bailén;Total;2009;18785
23010 Bailén;Total;2008;18798
23010 Bailén;Total;2007;18583
23010 Bailén;Total;2006;18362
23010 Bailén;Total;2005;18202
23010 Bailén;Total;2004;17966
23010 Bailén;Total;2003;17845
23010 Bailén;Total;2002;17736
23010 Bailén;Total;2001;17672
23010 Bailén;Total;2000;17472
23010 Bailén;Total;1999;17481
23010 Bailén;Total;1998;17414
23011 Baños de la Encina;Total;2019;2582
23011 Baños de la Encina;Total;2018;2611
23011 Baños de la Encina;Total;2017;2613
23011 Baños de la Encina;Total;2016;2634
23011 Baños de la Encina;Total;2015;2672
23011 Baños de la Encina;Total;2014;2669
23011 Baños de la Encina;Total;2013;2679
23011 Baños de la Encina;Total;2012;2694
23011 Baños de la Encina;Total;2011;2714
23011 Baños de la Encina;Total;2010;2733
23011 Baños de la Encina;Total;2009;2716
23011 Baños de la Encina;Total;2008;2713
23011 Baños de la Encina;Total;2007;2743
23011 Baños de la Encina;Total;2006;2715
23011 Baños de la Encina;Total;2005;2738
23011 Baños de la Encina;Total;2004;2734
23011 Baños de la Encina;Total;2003;2716
23011 Baños de la Encina;Total;2002;2688
23011 Baños de la Encina;Total;2001;2700
23011 Baños de la Encina;Total;2000;2721
23011 Baños de la Encina;Total;1999;2783
23011 Baños de la Encina;Total;1998;2747
23012 Beas de Segura;Total;2019;5130
23012 Beas de Segura;Total;2018;5191
23012 Beas de Segura;Total;2017;5275
23012 Beas de Segura;Total;2016;5380
23012 Beas de Segura;Total;2015;5439
23012 Beas de Segura;Total;2014;5542
23012 Beas de Segura;Total;2013;5642
23012 Beas de Segura;Total;2012;5804
