Municipios;Sexo;Periodo;Total
18011 Alfacar;Total;2012;5513
18011 Alfacar;Total;2011;5508
18011 Alfacar;Total;2010;5444
18011 Alfacar;Total;2009;5401
18011 Alfacar;Total;2008;5401
18011 Alfacar;Total;2007;5316
18011 Alfacar;Total;2006;5178
18011 Alfacar;Total;2005;5107
18011 Alfacar;Total;2004;4766
18011 Alfacar;Total;2003;4525
18011 Alfacar;Total;2002;4424
18011 Alfacar;Total;2001;4351
18011 Alfacar;Total;2000;4300
18011 Alfacar;Total;1999;4333
18011 Alfacar;Total;1998;4255
18012 Algarinejo;Total;2019;2520
18012 Algarinejo;Total;2018;2591
18012 Algarinejo;Total;2017;2677
18012 Algarinejo;Total;2016;2734
18012 Algarinejo;Total;2015;2813
18012 Algarinejo;Total;2014;2875
18012 Algarinejo;Total;2013;2943
18012 Algarinejo;Total;2012;3029
18012 Algarinejo;Total;2011;3413
18012 Algarinejo;Total;2010;3552
18012 Algarinejo;Total;2009;3705
18012 Algarinejo;Total;2008;3817
18012 Algarinejo;Total;2007;3957
18012 Algarinejo;Total;2006;4078
18012 Algarinejo;Total;2005;4184
18012 Algarinejo;Total;2004;4268
18012 Algarinejo;Total;2003;4335
18012 Algarinejo;Total;2002;4751
18012 Algarinejo;Total;2001;4801
18012 Algarinejo;Total;2000;5269
18012 Algarinejo;Total;1999;5265
18012 Algarinejo;Total;1998;5269
18013 Alhama de Granada;Total;2019;5979
18013 Alhama de Granada;Total;2018;5980
18013 Alhama de Granada;Total;2017;5981
18013 Alhama de Granada;Total;2016;6044
18013 Alhama de Granada;Total;2015;6126
18013 Alhama de Granada;Total;2014;6191
18013 Alhama de Granada;Total;2013;6154
18013 Alhama de Granada;Total;2012;6214
18013 Alhama de Granada;Total;2011;6188
18013 Alhama de Granada;Total;2010;6097
18013 Alhama de Granada;Total;2009;6062
18013 Alhama de Granada;Total;2008;6035
18013 Alhama de Granada;Total;2007;6016
18013 Alhama de Granada;Total;2006;6137
18013 Alhama de Granada;Total;2005;6184
18013 Alhama de Granada;Total;2004;6076
18013 Alhama de Granada;Total;2003;6074
18013 Alhama de Granada;Total;2002;6028
18013 Alhama de Granada;Total;2001;5952
18013 Alhama de Granada;Total;2000;5927
18013 Alhama de Granada;Total;1999;5934
18013 Alhama de Granada;Total;1998;5894
18014 Alhendín;Total;2019;9349
18014 Alhendín;Total;2018;9168
18014 Alhendín;Total;2017;8928
18014 Alhendín;Total;2016;8740
18014 Alhendín;Total;2015;8503
18014 Alhendín;Total;2014;8306
18014 Alhendín;Total;2013;8020
18014 Alhendín;Total;2012;7746
18014 Alhendín;Total;2011;7362
18014 Alhendín;Total;2010;6934
18014 Alhendín;Total;2009;6298
18014 Alhendín;Total;2008;6108
18014 Alhendín;Total;2007;5755
18014 Alhendín;Total;2006;5579
18014 Alhendín;Total;2005;5200
18014 Alhendín;Total;2004;4729
18014 Alhendín;Total;2003;4506
18014 Alhendín;Total;2002;4395
18014 Alhendín;Total;2001;4303
18014 Alhendín;Total;2000;4224
18014 Alhendín;Total;1999;4223
18014 Alhendín;Total;1998;4157
18015 Alicún de Ortega;Total;2019;480
18015 Alicún de Ortega;Total;2018;475
18015 Alicún de Ortega;Total;2017;495
18015 Alicún de Ortega;Total;2016;511
18015 Alicún de Ortega;Total;2015;523
18015 Alicún de Ortega;Total;2014;529
18015 Alicún de Ortega;Total;2013;506
18015 Alicún de Ortega;Total;2012;500
18015 Alicún de Ortega;Total;2011;528
18015 Alicún de Ortega;Total;2010;520
18015 Alicún de Ortega;Total;2009;526
18015 Alicún de Ortega;Total;2008;539
18015 Alicún de Ortega;Total;2007;555
18015 Alicún de Ortega;Total;2006;561
18015 Alicún de Ortega;Total;2005;563
18015 Alicún de Ortega;Total;2004;586
18015 Alicún de Ortega;Total;2003;609
18015 Alicún de Ortega;Total;2002;637
18015 Alicún de Ortega;Total;2001;652
18015 Alicún de Ortega;Total;2000;672
18015 Alicún de Ortega;Total;1999;719
18015 Alicún de Ortega;Total;1998;727
18016 Almegíjar;Total;2019;365
18016 Almegíjar;Total;2018;346
18016 Almegíjar;Total;2017;362
18016 Almegíjar;Total;2016;377
18016 Almegíjar;Total;2015;376
18016 Almegíjar;Total;2014;361
18016 Almegíjar;Total;2013;377
