Municipios;Sexo;Periodo;Total
11007 Barbate;Total;2012;22885
11007 Barbate;Total;2011;22928
11007 Barbate;Total;2010;22977
11007 Barbate;Total;2009;22912
11007 Barbate;Total;2008;22851
11007 Barbate;Total;2007;22582
11007 Barbate;Total;2006;22602
11007 Barbate;Total;2005;22496
11007 Barbate;Total;2004;22444
11007 Barbate;Total;2003;22264
11007 Barbate;Total;2002;22150
11007 Barbate;Total;2001;21914
11007 Barbate;Total;2000;22020
11007 Barbate;Total;1999;22011
11007 Barbate;Total;1998;21916
11008 Los Barrios;Total;2019;23642
11008 Los Barrios;Total;2018;23513
11008 Los Barrios;Total;2017;23374
11008 Los Barrios;Total;2016;23316
11008 Los Barrios;Total;2015;23167
11008 Los Barrios;Total;2014;22991
11008 Los Barrios;Total;2013;22948
11008 Los Barrios;Total;2012;23141
11008 Los Barrios;Total;2011;22853
11008 Los Barrios;Total;2010;22587
11008 Los Barrios;Total;2009;22311
11008 Los Barrios;Total;2008;21977
11008 Los Barrios;Total;2007;21358
11008 Los Barrios;Total;2006;20871
11008 Los Barrios;Total;2005;20119
11008 Los Barrios;Total;2004;19260
11008 Los Barrios;Total;2003;18599
11008 Los Barrios;Total;2002;17915
11008 Los Barrios;Total;2001;17283
11008 Los Barrios;Total;2000;16825
11008 Los Barrios;Total;1999;16511
11008 Los Barrios;Total;1998;16083
11901 Benalup-Casas Viejas;Total;2019;6929
11901 Benalup-Casas Viejas;Total;2018;6969
11901 Benalup-Casas Viejas;Total;2017;6995
11901 Benalup-Casas Viejas;Total;2016;7003
11901 Benalup-Casas Viejas;Total;2015;7000
11901 Benalup-Casas Viejas;Total;2014;6967
11901 Benalup-Casas Viejas;Total;2013;6991
11901 Benalup-Casas Viejas;Total;2012;7205
11901 Benalup-Casas Viejas;Total;2011;7221
11901 Benalup-Casas Viejas;Total;2010;7183
11901 Benalup-Casas Viejas;Total;2009;7151
11901 Benalup-Casas Viejas;Total;2008;7139
11901 Benalup-Casas Viejas;Total;2007;7038
11901 Benalup-Casas Viejas;Total;2006;6865
11901 Benalup-Casas Viejas;Total;2005;6754
11901 Benalup-Casas Viejas;Total;2004;6706
11901 Benalup-Casas Viejas;Total;2003;6610
11901 Benalup-Casas Viejas;Total;2002;6371
11901 Benalup-Casas Viejas;Total;2001;6342
11901 Benalup-Casas Viejas;Total;2000;6305
11901 Benalup-Casas Viejas;Total;1999;6286
11901 Benalup-Casas Viejas;Total;1998;6179
11009 Benaocaz;Total;2019;671
11009 Benaocaz;Total;2018;680
11009 Benaocaz;Total;2017;687
11009 Benaocaz;Total;2016;694
11009 Benaocaz;Total;2015;720
11009 Benaocaz;Total;2014;719
11009 Benaocaz;Total;2013;715
11009 Benaocaz;Total;2012;740
11009 Benaocaz;Total;2011;751
11009 Benaocaz;Total;2010;754
11009 Benaocaz;Total;2009;731
11009 Benaocaz;Total;2008;745
11009 Benaocaz;Total;2007;701
11009 Benaocaz;Total;2006;720
11009 Benaocaz;Total;2005;729
11009 Benaocaz;Total;2004;702
11009 Benaocaz;Total;2003;672
11009 Benaocaz;Total;2002;668
11009 Benaocaz;Total;2001;662
11009 Benaocaz;Total;2000;659
11009 Benaocaz;Total;1999;632
11009 Benaocaz;Total;1998;592
11010 Bornos;Total;2019;7670
11010 Bornos;Total;2018;7750
11010 Bornos;Total;2017;7818
11010 Bornos;Total;2016;7864
11010 Bornos;Total;2015;7934
11010 Bornos;Total;2014;8022
11010 Bornos;Total;2013;8083
11010 Bornos;Total;2012;8096
11010 Bornos;Total;2011;8107
11010 Bornos;Total;2010;8109
11010 Bornos;Total;2009;8134
11010 Bornos;Total;2008;8123
11010 Bornos;Total;2007;8131
11010 Bornos;Total;2006;8140
11010 Bornos;Total;2005;8164
11010 Bornos;Total;2004;8082
11010 Bornos;Total;2003;8064
11010 Bornos;Total;2002;7987
11010 Bornos;Total;2001;7979
11010 Bornos;Total;2000;7897
11010 Bornos;Total;1999;8029
11010 Bornos;Total;1998;8062
11011 El Bosque;Total;2019;2145
11011 El Bosque;Total;2018;2167
11011 El Bosque;Total;2017;2147
11011 El Bosque;Total;2016;2114
11011 El Bosque;Total;2015;2067
11011 El Bosque;Total;2014;2069
11011 El Bosque;Total;2013;2094
11011 El Bosque;Total;2012;2070
11011 El Bosque;Total;2011;2117
11011 El Bosque;Total;2010;2098
11011 El Bosque;Total;2009;2102
11011 El Bosque;Total;2008;2058
11011 El Bosque;Total;2007;2035
11011 El Bosque;Total;2006;2024
11011 El Bosque;Total;2005;2004
11011 El Bosque;Total;2004;1978
11011 El Bosque;Total;2003;1977
11011 El Bosque;Total;2002;1911
11011 El Bosque;Total;2001;1868
11011 El Bosque;Total;2000;1875
11011 El Bosque;Total;1999;1847
11011 El Bosque;Total;1998;1833
11012 Cádiz;Total;2019;116027
11012 Cádiz;Total;2018;116979
11012 Cádiz;Total;2017;118048
11012 Cádiz;Total;2016;118919
11012 Cádiz;Total;2015;120468
11012 Cádiz;Total;2014;121739
11012 Cádiz;Total;2013;122990
11012 Cádiz;Total;2012;123948
11012 Cádiz;Total;2011;124892
11012 Cádiz;Total;2010;125826
11012 Cádiz;Total;2009;126766
11012 Cádiz;Total;2008;127200
11012 Cádiz;Total;2007;128554
11012 Cádiz;Total;2006;130561
11012 Cádiz;Total;2005;131813
11012 Cádiz;Total;2004;133242
11012 Cádiz;Total;2003;134989
11012 Cádiz;Total;2002;136236
11012 Cádiz;Total;2001;137971
11012 Cádiz;Total;2000;140061
11012 Cádiz;Total;1999;142449
11012 Cádiz;Total;1998;143129
11013 Castellar de la Frontera;Total;2019;3049
11013 Castellar de la Frontera;Total;2018;3013
