Municipios;Sexo;Periodo;Total
29007 Alhaurín de la Torre;Total;2005;28509
29007 Alhaurín de la Torre;Total;2004;26764
29007 Alhaurín de la Torre;Total;2003;25401
29007 Alhaurín de la Torre;Total;2002;23774
29007 Alhaurín de la Torre;Total;2001;22654
29007 Alhaurín de la Torre;Total;2000;21649
29007 Alhaurín de la Torre;Total;1999;20192
29007 Alhaurín de la Torre;Total;1998;19024
29008 Alhaurín el Grande;Total;2019;24705
29008 Alhaurín el Grande;Total;2018;24123
29008 Alhaurín el Grande;Total;2017;24720
29008 Alhaurín el Grande;Total;2016;24315
29008 Alhaurín el Grande;Total;2015;24338
29008 Alhaurín el Grande;Total;2014;24210
29008 Alhaurín el Grande;Total;2013;24249
29008 Alhaurín el Grande;Total;2012;24074
29008 Alhaurín el Grande;Total;2011;23807
29008 Alhaurín el Grande;Total;2010;23675
29008 Alhaurín el Grande;Total;2009;23319
29008 Alhaurín el Grande;Total;2008;22785
29008 Alhaurín el Grande;Total;2007;21776
29008 Alhaurín el Grande;Total;2006;21070
29008 Alhaurín el Grande;Total;2005;20074
29008 Alhaurín el Grande;Total;2004;19324
29008 Alhaurín el Grande;Total;2003;18797
29008 Alhaurín el Grande;Total;2002;17941
29008 Alhaurín el Grande;Total;2001;17488
29008 Alhaurín el Grande;Total;2000;17021
29008 Alhaurín el Grande;Total;1999;16870
29008 Alhaurín el Grande;Total;1998;16838
29009 Almáchar;Total;2019;1811
29009 Almáchar;Total;2018;1802
29009 Almáchar;Total;2017;1814
29009 Almáchar;Total;2016;1835
29009 Almáchar;Total;2015;1867
29009 Almáchar;Total;2014;1890
29009 Almáchar;Total;2013;1915
29009 Almáchar;Total;2012;1904
29009 Almáchar;Total;2011;1885
29009 Almáchar;Total;2010;1899
29009 Almáchar;Total;2009;1888
29009 Almáchar;Total;2008;1896
29009 Almáchar;Total;2007;1892
29009 Almáchar;Total;2006;1906
29009 Almáchar;Total;2005;1898
29009 Almáchar;Total;2004;1908
29009 Almáchar;Total;2003;1902
29009 Almáchar;Total;2002;1822
29009 Almáchar;Total;2001;1873
29009 Almáchar;Total;2000;1904
29009 Almáchar;Total;1999;1956
29009 Almáchar;Total;1998;1956
29010 Almargen;Total;2019;1954
29010 Almargen;Total;2018;1984
29010 Almargen;Total;2017;2004
29010 Almargen;Total;2016;2046
29010 Almargen;Total;2015;2081
29010 Almargen;Total;2014;2122
29010 Almargen;Total;2013;2045
29010 Almargen;Total;2012;2157
29010 Almargen;Total;2011;2136
29010 Almargen;Total;2010;2137
29010 Almargen;Total;2009;2154
29010 Almargen;Total;2008;2153
29010 Almargen;Total;2007;2114
29010 Almargen;Total;2006;2118
29010 Almargen;Total;2005;2106
29010 Almargen;Total;2004;2074
29010 Almargen;Total;2003;2096
29010 Almargen;Total;2002;2072
29010 Almargen;Total;2001;2084
29010 Almargen;Total;2000;2104
29010 Almargen;Total;1999;2145
29010 Almargen;Total;1998;2145
29011 Almogía;Total;2019;3715
29011 Almogía;Total;2018;3770
29011 Almogía;Total;2017;3765
29011 Almogía;Total;2016;3786
29011 Almogía;Total;2015;3826
29011 Almogía;Total;2014;3906
29011 Almogía;Total;2013;4168
29011 Almogía;Total;2012;4195
29011 Almogía;Total;2011;4221
29011 Almogía;Total;2010;4257
29011 Almogía;Total;2009;4298
29011 Almogía;Total;2008;4316
29011 Almogía;Total;2007;4299
29011 Almogía;Total;2006;4309
29011 Almogía;Total;2005;4313
29011 Almogía;Total;2004;4244
29011 Almogía;Total;2003;4269
29011 Almogía;Total;2002;4108
29011 Almogía;Total;2001;4093
29011 Almogía;Total;2000;4072
29011 Almogía;Total;1999;4119
29011 Almogía;Total;1998;4159
29012 Álora;Total;2019;12985
29012 Álora;Total;2018;12951
29012 Álora;Total;2017;12924
29012 Álora;Total;2016;12941
29012 Álora;Total;2015;13003
29012 Álora;Total;2014;13046
29012 Álora;Total;2013;13342
29012 Álora;Total;2012;13399
29012 Álora;Total;2011;13499
29012 Álora;Total;2010;13474
29012 Álora;Total;2009;13395
29012 Álora;Total;2008;13436
29012 Álora;Total;2007;13307
29012 Álora;Total;2006;13204
29012 Álora;Total;2005;13013
29012 Álora;Total;2004;12838
29012 Álora;Total;2003;12739
29012 Álora;Total;2002;12538
29012 Álora;Total;2001;12471
29012 Álora;Total;2000;12509
29012 Álora;Total;1999;12565
29012 Álora;Total;1998;12633
29013 Alozaina;Total;2019;2051
29013 Alozaina;Total;2018;2015
29013 Alozaina;Total;2017;2017
29013 Alozaina;Total;2016;2030
29013 Alozaina;Total;2015;2082
29013 Alozaina;Total;2014;2119
29013 Alozaina;Total;2013;2206
29013 Alozaina;Total;2012;2230
29013 Alozaina;Total;2011;2268
29013 Alozaina;Total;2010;2244
29013 Alozaina;Total;2009;2242
29013 Alozaina;Total;2008;2238
29013 Alozaina;Total;2007;2217
29013 Alozaina;Total;2006;2223
29013 Alozaina;Total;2005;2269
29013 Alozaina;Total;2004;2236
29013 Alozaina;Total;2003;2211
29013 Alozaina;Total;2002;2221
29013 Alozaina;Total;2001;2159
29013 Alozaina;Total;2000;2145
29013 Alozaina;Total;1999;2127
29013 Alozaina;Total;1998;2188
29014 Alpandeire;Total;2019;260
29014 Alpandeire;Total;2018;252
29014 Alpandeire;Total;2017;244
29014 Alpandeire;Total;2016;246
29014 Alpandeire;Total;2015;257
29014 Alpandeire;Total;2014;269
29014 Alpandeire;Total;2013;271
29014 Alpandeire;Total;2012;274
29014 Alpandeire;Total;2011;279
29014 Alpandeire;Total;2010;270
29014 Alpandeire;Total;2009;271
29014 Alpandeire;Total;2008;278
29014 Alpandeire;Total;2007;284
29014 Alpandeire;Total;2006;285
29014 Alpandeire;Total;2005;291
29014 Alpandeire;Total;2004;291
29014 Alpandeire;Total;2003;298
29014 Alpandeire;Total;2002;311
29014 Alpandeire;Total;2001;299
29014 Alpandeire;Total;2000;316
29014 Alpandeire;Total;1999;301
29014 Alpandeire;Total;1998;311
29015 Antequera;Total;2019;41239
29015 Antequera;Total;2018;41154
29015 Antequera;Total;2017;41104
29015 Antequera;Total;2016;41065
29015 Antequera;Total;2015;41141
29015 Antequera;Total;2014;41430
29015 Antequera;Total;2013;41620
29015 Antequera;Total;2012;41827
29015 Antequera;Total;2011;41854
29015 Antequera;Total;2010;45234
29015 Antequera;Total;2009;45168
29015 Antequera;Total;2008;45037
29015 Antequera;Total;2007;44547
29015 Antequera;Total;2006;44032
29015 Antequera;Total;2005;43206
29015 Antequera;Total;2004;42378
29015 Antequera;Total;2003;41953
29015 Antequera;Total;2002;41197
29015 Antequera;Total;2001;40816
29015 Antequera;Total;2000;40598
29015 Antequera;Total;1999;40433
29015 Antequera;Total;1998;40239
29016 Árchez;Total;2019;385
29016 Árchez;Total;2018;391
29016 Árchez;Total;2017;405
29016 Árchez;Total;2016;428
29016 Árchez;Total;2015;436
29016 Árchez;Total;2014;444
29016 Árchez;Total;2013;487
29016 Árchez;Total;2012;476
29016 Árchez;Total;2011;476
29016 Árchez;Total;2010;446
29016 Árchez;Total;2009;440
29016 Árchez;Total;2008;437
29016 Árchez;Total;2007;427
29016 Árchez;Total;2006;427
29016 Árchez;Total;2005;399
29016 Árchez;Total;2004;397
29016 Árchez;Total;2003;355
29016 Árchez;Total;2002;350
29016 Árchez;Total;2001;352
29016 Árchez;Total;2000;352
29016 Árchez;Total;1999;338
29016 Árchez;Total;1998;333
29017 Archidona;Total;2019;8238
29017 Archidona;Total;2018;8288
29017 Archidona;Total;2017;8398
29017 Archidona;Total;2016;8499
29017 Archidona;Total;2015;8490
29017 Archidona;Total;2014;8577
29017 Archidona;Total;2013;8705
29017 Archidona;Total;2012;8814
29017 Archidona;Total;2011;8857
29017 Archidona;Total;2010;8837
29017 Archidona;Total;2009;8858
29017 Archidona;Total;2008;8868
29017 Archidona;Total;2007;8736
29017 Archidona;Total;2006;8672
29017 Archidona;Total;2005;8583
29017 Archidona;Total;2004;8403
29017 Archidona;Total;2003;8267
29017 Archidona;Total;2002;8163
29017 Archidona;Total;2001;8206
29017 Archidona;Total;2000;8171
29017 Archidona;Total;1999;8203
29017 Archidona;Total;1998;8168
29018 Ardales;Total;2019;2500
29018 Ardales;Total;2018;2493
29018 Ardales;Total;2017;2469
29018 Ardales;Total;2016;2507
29018 Ardales;Total;2015;2527
29018 Ardales;Total;2014;2555
29018 Ardales;Total;2013;2588
29018 Ardales;Total;2012;2606
29018 Ardales;Total;2011;2632
29018 Ardales;Total;2010;2660
29018 Ardales;Total;2009;2641
29018 Ardales;Total;2008;2638
29018 Ardales;Total;2007;2595
29018 Ardales;Total;2006;2558
29018 Ardales;Total;2005;2553
29018 Ardales;Total;2004;2642
29018 Ardales;Total;2003;2650
29018 Ardales;Total;2002;2824
29018 Ardales;Total;2001;2856
29018 Ardales;Total;2000;2903
29018 Ardales;Total;1999;2958
29018 Ardales;Total;1998;2977
29019 Arenas;Total;2019;1156
29019 Arenas;Total;2018;1177
29019 Arenas;Total;2017;1190
29019 Arenas;Total;2016;1205
29019 Arenas;Total;2015;1219
29019 Arenas;Total;2014;1282
29019 Arenas;Total;2013;1397
29019 Arenas;Total;2012;1411
29019 Arenas;Total;2011;1423
29019 Arenas;Total;2010;1411
29019 Arenas;Total;2009;1391
29019 Arenas;Total;2008;1421
29019 Arenas;Total;2007;1391
29019 Arenas;Total;2006;1339
29019 Arenas;Total;2005;1285
29019 Arenas;Total;2004;1202
29019 Arenas;Total;2003;1202
29019 Arenas;Total;2002;1194
29019 Arenas;Total;2001;1194
29019 Arenas;Total;2000;1191
29019 Arenas;Total;1999;1199
29019 Arenas;Total;1998;1224
29020 Arriate;Total;2019;4102
29020 Arriate;Total;2018;4147
29020 Arriate;Total;2017;4094
29020 Arriate;Total;2016;4114
29020 Arriate;Total;2015;4157
29020 Arriate;Total;2014;4125
29020 Arriate;Total;2013;4075
29020 Arriate;Total;2012;4121
29020 Arriate;Total;2011;4162
29020 Arriate;Total;2010;4137
29020 Arriate;Total;2009;4136
29020 Arriate;Total;2008;4062
29020 Arriate;Total;2007;3971
29020 Arriate;Total;2006;3906
29020 Arriate;Total;2005;3860
29020 Arriate;Total;2004;3716
29020 Arriate;Total;2003;3586
29020 Arriate;Total;2002;3477
29020 Arriate;Total;2001;3454
29020 Arriate;Total;2000;3420
29020 Arriate;Total;1999;3436
29020 Arriate;Total;1998;3415
29021 Atajate;Total;2019;168
29021 Atajate;Total;2018;169
29021 Atajate;Total;2017;167
29021 Atajate;Total;2016;171
29021 Atajate;Total;2015;158
29021 Atajate;Total;2014;133
29021 Atajate;Total;2013;142
29021 Atajate;Total;2012;158
29021 Atajate;Total;2011;171
29021 Atajate;Total;2010;127
29021 Atajate;Total;2009;130
29021 Atajate;Total;2008;146
29021 Atajate;Total;2007;154
29021 Atajate;Total;2006;142
29021 Atajate;Total;2005;167
29021 Atajate;Total;2004;172
29021 Atajate;Total;2003;175
29021 Atajate;Total;2002;164
29021 Atajate;Total;2001;172
29021 Atajate;Total;2000;164
29021 Atajate;Total;1999;169
29021 Atajate;Total;1998;176
29022 Benadalid;Total;2019;215
29022 Benadalid;Total;2018;225
29022 Benadalid;Total;2017;223
29022 Benadalid;Total;2016;232
29022 Benadalid;Total;2015;253
29022 Benadalid;Total;2014;253
29022 Benadalid;Total;2013;258
29022 Benadalid;Total;2012;262
29022 Benadalid;Total;2011;262
29022 Benadalid;Total;2010;265
29022 Benadalid;Total;2009;257
29022 Benadalid;Total;2008;261
29022 Benadalid;Total;2007;255
29022 Benadalid;Total;2006;258
29022 Benadalid;Total;2005;259
29022 Benadalid;Total;2004;258
29022 Benadalid;Total;2003;263
29022 Benadalid;Total;2002;261
29022 Benadalid;Total;2001;270
29022 Benadalid;Total;2000;262
29022 Benadalid;Total;1999;260
29022 Benadalid;Total;1998;253
29023 Benahavís;Total;2019;8085
29023 Benahavís;Total;2018;7989
29023 Benahavís;Total;2017;7348
29023 Benahavís;Total;2016;7342
29023 Benahavís;Total;2015;7105
29023 Benahavís;Total;2014;6660
29023 Benahavís;Total;2013;6380
29023 Benahavís;Total;2012;5980
29023 Benahavís;Total;2011;5486
29023 Benahavís;Total;2010;4932
29023 Benahavís;Total;2009;4373
29023 Benahavís;Total;2008;3844
29023 Benahavís;Total;2007;3253
29023 Benahavís;Total;2006;2860
29023 Benahavís;Total;2005;2649
29023 Benahavís;Total;2004;2265
29023 Benahavís;Total;2003;2401
29023 Benahavís;Total;2002;2204
29023 Benahavís;Total;2001;2116
29023 Benahavís;Total;2000;2079
29023 Benahavís;Total;1999;1867
29023 Benahavís;Total;1998;1710
29024 Benalauría;Total;2019;438
29024 Benalauría;Total;2018;443
29024 Benalauría;Total;2017;449
29024 Benalauría;Total;2016;456
29024 Benalauría;Total;2015;470
29024 Benalauría;Total;2014;482
29024 Benalauría;Total;2013;492
29024 Benalauría;Total;2012;511
29024 Benalauría;Total;2011;514
29024 Benalauría;Total;2010;506
29024 Benalauría;Total;2009;503
29024 Benalauría;Total;2008;508
29024 Benalauría;Total;2007;466
29024 Benalauría;Total;2006;468
29024 Benalauría;Total;2005;474
29024 Benalauría;Total;2004;476
29024 Benalauría;Total;2003;481
29024 Benalauría;Total;2002;470
29024 Benalauría;Total;2001;487
29024 Benalauría;Total;2000;499
29024 Benalauría;Total;1999;504
29024 Benalauría;Total;1998;509
29025 Benalmádena;Total;2019;68128
29025 Benalmádena;Total;2018;67746
29025 Benalmádena;Total;2017;68859
29025 Benalmádena;Total;2016;67245
29025 Benalmádena;Total;2015;66598
29025 Benalmádena;Total;2014;66939
29025 Benalmádena;Total;2013;69002
29025 Benalmádena;Total;2012;65965
29025 Benalmádena;Total;2011;63788
29025 Benalmádena;Total;2010;61383
29025 Benalmádena;Total;2009;58854
29025 Benalmádena;Total;2008;55960
29025 Benalmádena;Total;2007;52217
29025 Benalmádena;Total;2006;50298
29025 Benalmádena;Total;2005;45686
29025 Benalmádena;Total;2004;42437
29025 Benalmádena;Total;2003;40064
29025 Benalmádena;Total;2002;35946
29025 Benalmádena;Total;2001;33557
29025 Benalmádena;Total;2000;31964
29025 Benalmádena;Total;1999;30059
29025 Benalmádena;Total;1998;28479
29026 Benamargosa;Total;2019;1514
29026 Benamargosa;Total;2018;1496
29026 Benamargosa;Total;2017;1532
29026 Benamargosa;Total;2016;1558
29026 Benamargosa;Total;2015;1568
