Municipios;Sexo;Periodo;Total
04009 Alcudia de Monteagud;Total;2011;161
04009 Alcudia de Monteagud;Total;2010;144
04009 Alcudia de Monteagud;Total;2009;141
04009 Alcudia de Monteagud;Total;2008;148
04009 Alcudia de Monteagud;Total;2007;154
04009 Alcudia de Monteagud;Total;2006;142
04009 Alcudia de Monteagud;Total;2005;158
04009 Alcudia de Monteagud;Total;2004;166
04009 Alcudia de Monteagud;Total;2003;152
04009 Alcudia de Monteagud;Total;2002;190
04009 Alcudia de Monteagud;Total;2001;193
04009 Alcudia de Monteagud;Total;2000;209
04009 Alcudia de Monteagud;Total;1999;194
04009 Alcudia de Monteagud;Total;1998;159
04010 Alhabia;Total;2019;671
04010 Alhabia;Total;2018;648
04010 Alhabia;Total;2017;678
04010 Alhabia;Total;2016;677
04010 Alhabia;Total;2015;700
04010 Alhabia;Total;2014;681
04010 Alhabia;Total;2013;671
04010 Alhabia;Total;2012;680
04010 Alhabia;Total;2011;706
04010 Alhabia;Total;2010;718
04010 Alhabia;Total;2009;724
04010 Alhabia;Total;2008;721
04010 Alhabia;Total;2007;710
04010 Alhabia;Total;2006;703
04010 Alhabia;Total;2005;692
04010 Alhabia;Total;2004;679
04010 Alhabia;Total;2003;676
04010 Alhabia;Total;2002;681
04010 Alhabia;Total;2001;683
04010 Alhabia;Total;2000;672
04010 Alhabia;Total;1999;670
04010 Alhabia;Total;1998;675
04011 Alhama de Almería;Total;2019;3641
04011 Alhama de Almería;Total;2018;3615
04011 Alhama de Almería;Total;2017;3653
04011 Alhama de Almería;Total;2016;3687
04011 Alhama de Almería;Total;2015;3763
04011 Alhama de Almería;Total;2014;3753
04011 Alhama de Almería;Total;2013;3815
04011 Alhama de Almería;Total;2012;3847
04011 Alhama de Almería;Total;2011;3835
04011 Alhama de Almería;Total;2010;3824
04011 Alhama de Almería;Total;2009;3779
04011 Alhama de Almería;Total;2008;3724
04011 Alhama de Almería;Total;2007;3587
04011 Alhama de Almería;Total;2006;3522
04011 Alhama de Almería;Total;2005;3438
04011 Alhama de Almería;Total;2004;3319
04011 Alhama de Almería;Total;2003;3253
04011 Alhama de Almería;Total;2002;3241
04011 Alhama de Almería;Total;2001;3201
04011 Alhama de Almería;Total;2000;3165
04011 Alhama de Almería;Total;1999;3124
04011 Alhama de Almería;Total;1998;3111
04012 Alicún;Total;2019;206
04012 Alicún;Total;2018;212
04012 Alicún;Total;2017;217
04012 Alicún;Total;2016;217
04012 Alicún;Total;2015;220
04012 Alicún;Total;2014;239
04012 Alicún;Total;2013;244
04012 Alicún;Total;2012;267
04012 Alicún;Total;2011;278
04012 Alicún;Total;2010;253
04012 Alicún;Total;2009;254
04012 Alicún;Total;2008;261
04012 Alicún;Total;2007;272
04012 Alicún;Total;2006;258
04012 Alicún;Total;2005;253
04012 Alicún;Total;2004;247
04012 Alicún;Total;2003;242
04012 Alicún;Total;2002;235
04012 Alicún;Total;2001;235
04012 Alicún;Total;2000;236
04012 Alicún;Total;1999;241
04012 Alicún;Total;1998;245
04013 Almería;Total;2019;198533
04013 Almería;Total;2018;196851
04013 Almería;Total;2017;195389
04013 Almería;Total;2016;194515
04013 Almería;Total;2015;194203
04013 Almería;Total;2014;193351
04013 Almería;Total;2013;192697
04013 Almería;Total;2012;191443
04013 Almería;Total;2011;190349
04013 Almería;Total;2010;190013
04013 Almería;Total;2009;188810
04013 Almería;Total;2008;187521
04013 Almería;Total;2007;186651
04013 Almería;Total;2006;185309
04013 Almería;Total;2005;181702
04013 Almería;Total;2004;177681
04013 Almería;Total;2003;176727
04013 Almería;Total;2002;173338
04013 Almería;Total;2001;170994
04013 Almería;Total;2000;168945
04013 Almería;Total;1999;169027
04013 Almería;Total;1998;168025
04014 Almócita;Total;2019;169
04014 Almócita;Total;2018;176
04014 Almócita;Total;2017;174
04014 Almócita;Total;2016;172
04014 Almócita;Total;2015;173
04014 Almócita;Total;2014;167
04014 Almócita;Total;2013;177
04014 Almócita;Total;2012;188
04014 Almócita;Total;2011;191
04014 Almócita;Total;2010;185
04014 Almócita;Total;2009;167
04014 Almócita;Total;2008;163
04014 Almócita;Total;2007;158
04014 Almócita;Total;2006;156
04014 Almócita;Total;2005;167
04014 Almócita;Total;2004;165
04014 Almócita;Total;2003;161
04014 Almócita;Total;2002;162
04014 Almócita;Total;2001;166
04014 Almócita;Total;2000;175
04014 Almócita;Total;1999;185
04014 Almócita;Total;1998;187
04015 Alsodux;Total;2019;125
04015 Alsodux;Total;2018;133
04015 Alsodux;Total;2017;132
04015 Alsodux;Total;2016;134
04015 Alsodux;Total;2015;138
04015 Alsodux;Total;2014;131
04015 Alsodux;Total;2013;149
04015 Alsodux;Total;2012;149
04015 Alsodux;Total;2011;153
04015 Alsodux;Total;2010;149
04015 Alsodux;Total;2009;155
04015 Alsodux;Total;2008;173
04015 Alsodux;Total;2007;176
04015 Alsodux;Total;2006;131
04015 Alsodux;Total;2005;121
04015 Alsodux;Total;2004;119
04015 Alsodux;Total;2003;109
04015 Alsodux;Total;2002;112
04015 Alsodux;Total;2001;113
04015 Alsodux;Total;2000;104
04015 Alsodux;Total;1999;105
04015 Alsodux;Total;1998;106
04016 Antas;Total;2019;3182
04016 Antas;Total;2018;3169
04016 Antas;Total;2017;3124
04016 Antas;Total;2016;3159
04016 Antas;Total;2015;3195
04016 Antas;Total;2014;3161
04016 Antas;Total;2013;3288
04016 Antas;Total;2012;3312
04016 Antas;Total;2011;3375
04016 Antas;Total;2010;3389
04016 Antas;Total;2009;3403
04016 Antas;Total;2008;3389
04016 Antas;Total;2007;3244
04016 Antas;Total;2006;3157
