Municipios;Sexo;Periodo;Total
21009 Arroyomolinos de León;Total;2016;983
21009 Arroyomolinos de León;Total;2015;1018
21009 Arroyomolinos de León;Total;2014;998
21009 Arroyomolinos de León;Total;2013;1023
21009 Arroyomolinos de León;Total;2012;1009
21009 Arroyomolinos de León;Total;2011;1031
21009 Arroyomolinos de León;Total;2010;1055
21009 Arroyomolinos de León;Total;2009;1040
21009 Arroyomolinos de León;Total;2008;1056
21009 Arroyomolinos de León;Total;2007;1042
21009 Arroyomolinos de León;Total;2006;1061
21009 Arroyomolinos de León;Total;2005;1078
21009 Arroyomolinos de León;Total;2004;1105
21009 Arroyomolinos de León;Total;2003;1117
21009 Arroyomolinos de León;Total;2002;1127
21009 Arroyomolinos de León;Total;2001;1135
21009 Arroyomolinos de León;Total;2000;1157
21009 Arroyomolinos de León;Total;1999;1174
21009 Arroyomolinos de León;Total;1998;1163
21010 Ayamonte;Total;2019;20946
21010 Ayamonte;Total;2018;20883
21010 Ayamonte;Total;2017;20714
21010 Ayamonte;Total;2016;20629
21010 Ayamonte;Total;2015;20357
21010 Ayamonte;Total;2014;19690
21010 Ayamonte;Total;2013;20406
21010 Ayamonte;Total;2012;20968
21010 Ayamonte;Total;2011;20763
21010 Ayamonte;Total;2010;20597
21010 Ayamonte;Total;2009;20334
21010 Ayamonte;Total;2008;19738
21010 Ayamonte;Total;2007;19380
21010 Ayamonte;Total;2006;18636
21010 Ayamonte;Total;2005;18001
21010 Ayamonte;Total;2004;17623
21010 Ayamonte;Total;2003;17402
21010 Ayamonte;Total;2002;17292
21010 Ayamonte;Total;2001;17084
21010 Ayamonte;Total;2000;16939
21010 Ayamonte;Total;1999;16980
21010 Ayamonte;Total;1998;16891
21011 Beas;Total;2019;4257
21011 Beas;Total;2018;4236
21011 Beas;Total;2017;4238
21011 Beas;Total;2016;4272
21011 Beas;Total;2015;4304
21011 Beas;Total;2014;4190
21011 Beas;Total;2013;4336
21011 Beas;Total;2012;4321
21011 Beas;Total;2011;4353
21011 Beas;Total;2010;4336
21011 Beas;Total;2009;4293
21011 Beas;Total;2008;4320
21011 Beas;Total;2007;4270
21011 Beas;Total;2006;4210
21011 Beas;Total;2005;4162
21011 Beas;Total;2004;4139
21011 Beas;Total;2003;4036
21011 Beas;Total;2002;4023
21011 Beas;Total;2001;4085
21011 Beas;Total;2000;4124
21011 Beas;Total;1999;4165
21011 Beas;Total;1998;4165
21012 Berrocal;Total;2019;312
21012 Berrocal;Total;2018;319
21012 Berrocal;Total;2017;330
21012 Berrocal;Total;2016;331
21012 Berrocal;Total;2015;345
21012 Berrocal;Total;2014;329
21012 Berrocal;Total;2013;300
21012 Berrocal;Total;2012;337
21012 Berrocal;Total;2011;349
21012 Berrocal;Total;2010;358
21012 Berrocal;Total;2009;375
21012 Berrocal;Total;2008;376
21012 Berrocal;Total;2007;380
21012 Berrocal;Total;2006;377
21012 Berrocal;Total;2005;371
21012 Berrocal;Total;2004;371
21012 Berrocal;Total;2003;374
21012 Berrocal;Total;2002;378
21012 Berrocal;Total;2001;394
