Lugar de condena;Nacionalidad;Periodo;Total
10 Cáceres;País de Europa menos UE;2019;1
10 Cáceres;País de Europa menos UE;2018;1
10 Cáceres;País de Europa menos UE;2017;0
10 Cáceres;País de Europa menos UE;2016;3
10 Cáceres;País de Europa menos UE;2015;4
10 Cáceres;País de Europa menos UE;2014;2
10 Cáceres;País de Europa menos UE;2013;7
10 Cáceres;De Africa;2019;58
10 Cáceres;De Africa;2018;41
10 Cáceres;De Africa;2017;70
10 Cáceres;De Africa;2016;92
10 Cáceres;De Africa;2015;77
10 Cáceres;De Africa;2014;47
10 Cáceres;De Africa;2013;56
10 Cáceres;De América;2019;50
10 Cáceres;De América;2018;39
10 Cáceres;De América;2017;56
10 Cáceres;De América;2016;63
10 Cáceres;De América;2015;41
10 Cáceres;De América;2014;48
10 Cáceres;De América;2013;57
10 Cáceres;De Asia;2019;0
10 Cáceres;De Asia;2018;8
10 Cáceres;De Asia;2017;7
10 Cáceres;De Asia;2016;2
10 Cáceres;De Asia;2015;5
10 Cáceres;De Asia;2014;2
10 Cáceres;De Asia;2013;1
10 Cáceres;De Oceanía;2019;0
10 Cáceres;De Oceanía;2018;0
10 Cáceres;De Oceanía;2017;0
10 Cáceres;De Oceanía;2016;0
10 Cáceres;De Oceanía;2015;0
10 Cáceres;De Oceanía;2014;0
10 Cáceres;De Oceanía;2013;0
11 Cádiz;Total;2019;12.585
11 Cádiz;Total;2018;13.268
11 Cádiz;Total;2017;12.998
11 Cádiz;Total;2016;12.401
11 Cádiz;Total;2015;10.292
11 Cádiz;Total;2014;10.221
11 Cádiz;Total;2013;10.653
11 Cádiz;Española;2019;11.280
11 Cádiz;Española;2018;11.940
11 Cádiz;Española;2017;11.765
11 Cádiz;Española;2016;11.006
11 Cádiz;Española;2015;9.003
11 Cádiz;Española;2014;8.813
11 Cádiz;Española;2013;9.032
11 Cádiz;País de la UE28 sin España;2019;344
11 Cádiz;País de la UE28 sin España;2018;415
11 Cádiz;País de la UE28 sin España;2017;320
11 Cádiz;País de la UE28 sin España;2016;399
11 Cádiz;País de la UE28 sin España;2015;317
11 Cádiz;País de la UE28 sin España;2014;397
11 Cádiz;País de la UE28 sin España;2013;540
11 Cádiz;País de Europa menos UE;2019;24
11 Cádiz;País de Europa menos UE;2018;24
11 Cádiz;País de Europa menos UE;2017;23
11 Cádiz;País de Europa menos UE;2016;7
11 Cádiz;País de Europa menos UE;2015;23
11 Cádiz;País de Europa menos UE;2014;20
11 Cádiz;País de Europa menos UE;2013;10
11 Cádiz;De Africa;2019;732
11 Cádiz;De Africa;2018;707
11 Cádiz;De Africa;2017;700
11 Cádiz;De Africa;2016;782
11 Cádiz;De Africa;2015;764
11 Cádiz;De Africa;2014;790
11 Cádiz;De Africa;2013;861
11 Cádiz;De América;2019;192
11 Cádiz;De América;2018;163
11 Cádiz;De América;2017;167
11 Cádiz;De América;2016;163
11 Cádiz;De América;2015;171
11 Cádiz;De América;2014;187
11 Cádiz;De América;2013;194
11 Cádiz;De Asia;2019;11
11 Cádiz;De Asia;2018;19
11 Cádiz;De Asia;2017;23
11 Cádiz;De Asia;2016;37
11 Cádiz;De Asia;2015;13
11 Cádiz;De Asia;2014;14
11 Cádiz;De Asia;2013;13
11 Cádiz;De Oceanía;2019;2
11 Cádiz;De Oceanía;2018;0
11 Cádiz;De Oceanía;2017;0
11 Cádiz;De Oceanía;2016;7
11 Cádiz;De Oceanía;2015;1
11 Cádiz;De Oceanía;2014;0
11 Cádiz;De Oceanía;2013;3
39 Cantabria;Total;2019;4.897
39 Cantabria;Total;2018;4.903
39 Cantabria;Total;2017;4.615
39 Cantabria;Total;2016;4.623
39 Cantabria;Total;2015;3.376
39 Cantabria;Total;2014;3.368
39 Cantabria;Total;2013;3.268
39 Cantabria;Española;2019;4.155
39 Cantabria;Española;2018;4.230
39 Cantabria;Española;2017;4.025
39 Cantabria;Española;2016;4.004
39 Cantabria;Española;2015;2.859
39 Cantabria;Española;2014;2.852
39 Cantabria;Española;2013;2.722
39 Cantabria;País de la UE28 sin España;2019;194
39 Cantabria;País de la UE28 sin España;2018;201
39 Cantabria;País de la UE28 sin España;2017;185
39 Cantabria;País de la UE28 sin España;2016;154
39 Cantabria;País de la UE28 sin España;2015;182
39 Cantabria;País de la UE28 sin España;2014;177
39 Cantabria;País de la UE28 sin España;2013;189
39 Cantabria;País de Europa menos UE;2019;129
39 Cantabria;País de Europa menos UE;2018;83
39 Cantabria;País de Europa menos UE;2017;55
39 Cantabria;País de Europa menos UE;2016;66
39 Cantabria;País de Europa menos UE;2015;57
39 Cantabria;País de Europa menos UE;2014;48
39 Cantabria;País de Europa menos UE;2013;31
39 Cantabria;De Africa;2019;126
39 Cantabria;De Africa;2018;110
39 Cantabria;De Africa;2017;91
39 Cantabria;De Africa;2016;99
39 Cantabria;De Africa;2015;65
39 Cantabria;De Africa;2014;63
39 Cantabria;De Africa;2013;65
39 Cantabria;De América;2019;277
39 Cantabria;De América;2018;266
39 Cantabria;De América;2017;241
39 Cantabria;De América;2016;282
39 Cantabria;De América;2015;194
39 Cantabria;De América;2014;214
39 Cantabria;De América;2013;247
39 Cantabria;De Asia;2019;16
39 Cantabria;De Asia;2018;13
39 Cantabria;De Asia;2017;18
39 Cantabria;De Asia;2016;18
39 Cantabria;De Asia;2015;18
39 Cantabria;De Asia;2014;14
39 Cantabria;De Asia;2013;12
39 Cantabria;De Oceanía;2019;0
39 Cantabria;De Oceanía;2018;0
39 Cantabria;De Oceanía;2017;0
39 Cantabria;De Oceanía;2016;0
39 Cantabria;De Oceanía;2015;1
39 Cantabria;De Oceanía;2014;0
39 Cantabria;De Oceanía;2013;2
12 Castellón/Castelló;Total;2019;5.659
12 Castellón/Castelló;Total;2018;5.479
12 Castellón/Castelló;Total;2017;5.770
12 Castellón/Castelló;Total;2016;5.269
12 Castellón/Castelló;Total;2015;4.200
12 Castellón/Castelló;Total;2014;4.185
12 Castellón/Castelló;Total;2013;4.095
12 Castellón/Castelló;Española;2019;4.234
12 Castellón/Castelló;Española;2018;4.147
12 Castellón/Castelló;Española;2017;4.385
12 Castellón/Castelló;Española;2016;4.022
12 Castellón/Castelló;Española;2015;3.184
12 Castellón/Castelló;Española;2014;3.119
12 Castellón/Castelló;Española;2013;3.049
12 Castellón/Castelló;País de la UE28 sin España;2019;820
12 Castellón/Castelló;País de la UE28 sin España;2018;694
12 Castellón/Castelló;País de la UE28 sin España;2017;707
12 Castellón/Castelló;País de la UE28 sin España;2016;666
12 Castellón/Castelló;País de la UE28 sin España;2015;489
12 Castellón/Castelló;País de la UE28 sin España;2014;568
12 Castellón/Castelló;País de la UE28 sin España;2013;560
12 Castellón/Castelló;País de Europa menos UE;2019;33
12 Castellón/Castelló;País de Europa menos UE;2018;59
12 Castellón/Castelló;País de Europa menos UE;2017;37
12 Castellón/Castelló;País de Europa menos UE;2016;40
12 Castellón/Castelló;País de Europa menos UE;2015;39
12 Castellón/Castelló;País de Europa menos UE;2014;32
12 Castellón/Castelló;País de Europa menos UE;2013;25
12 Castellón/Castelló;De Africa;2019;311
12 Castellón/Castelló;De Africa;2018;316
12 Castellón/Castelló;De Africa;2017;366
12 Castellón/Castelló;De Africa;2016;333
12 Castellón/Castelló;De Africa;2015;257
12 Castellón/Castelló;De Africa;2014;280
12 Castellón/Castelló;De Africa;2013;241
12 Castellón/Castelló;De América;2019;237
12 Castellón/Castelló;De América;2018;218
12 Castellón/Castelló;De América;2017;223
12 Castellón/Castelló;De América;2016;181
12 Castellón/Castelló;De América;2015;204
12 Castellón/Castelló;De América;2014;162
12 Castellón/Castelló;De América;2013;209
12 Castellón/Castelló;De Asia;2019;24
12 Castellón/Castelló;De Asia;2018;45
12 Castellón/Castelló;De Asia;2017;52
12 Castellón/Castelló;De Asia;2016;27
12 Castellón/Castelló;De Asia;2015;27
12 Castellón/Castelló;De Asia;2014;24
12 Castellón/Castelló;De Asia;2013;10
12 Castellón/Castelló;De Oceanía;2019;0
12 Castellón/Castelló;De Oceanía;2018;0
12 Castellón/Castelló;De Oceanía;2017;0
12 Castellón/Castelló;De Oceanía;2016;0
12 Castellón/Castelló;De Oceanía;2015;0
12 Castellón/Castelló;De Oceanía;2014;0
12 Castellón/Castelló;De Oceanía;2013;1
13 Ciudad Real;Total;2019;3.991
13 Ciudad Real;Total;2018;3.893
13 Ciudad Real;Total;2017;3.419
13 Ciudad Real;Total;2016;3.140
13 Ciudad Real;Total;2015;3.125
13 Ciudad Real;Total;2014;3.111
13 Ciudad Real;Total;2013;3.160
13 Ciudad Real;Española;2019;3.326
13 Ciudad Real;Española;2018;3.338
13 Ciudad Real;Española;2017;2.889
13 Ciudad Real;Española;2016;2.591
13 Ciudad Real;Española;2015;2.572
13 Ciudad Real;Española;2014;2.546
13 Ciudad Real;Española;2013;2.495
13 Ciudad Real;País de la UE28 sin España;2019;352
13 Ciudad Real;País de la UE28 sin España;2018;294
13 Ciudad Real;País de la UE28 sin España;2017;285
13 Ciudad Real;País de la UE28 sin España;2016;309
13 Ciudad Real;País de la UE28 sin España;2015;282
13 Ciudad Real;País de la UE28 sin España;2014;309
13 Ciudad Real;País de la UE28 sin España;2013;381
13 Ciudad Real;País de Europa menos UE;2019;16
13 Ciudad Real;País de Europa menos UE;2018;8
13 Ciudad Real;País de Europa menos UE;2017;14
13 Ciudad Real;País de Europa menos UE;2016;11
13 Ciudad Real;País de Europa menos UE;2015;8
13 Ciudad Real;País de Europa menos UE;2014;10
13 Ciudad Real;País de Europa menos UE;2013;9
13 Ciudad Real;De Africa;2019;108
13 Ciudad Real;De Africa;2018;87
13 Ciudad Real;De Africa;2017;87
13 Ciudad Real;De Africa;2016;95
13 Ciudad Real;De Africa;2015;86
13 Ciudad Real;De Africa;2014;75
13 Ciudad Real;De Africa;2013;99
13 Ciudad Real;De América;2019;176
13 Ciudad Real;De América;2018;155
13 Ciudad Real;De América;2017;140
13 Ciudad Real;De América;2016;119
13 Ciudad Real;De América;2015;173
13 Ciudad Real;De América;2014;171
13 Ciudad Real;De América;2013;172
13 Ciudad Real;De Asia;2019;11
13 Ciudad Real;De Asia;2018;11
13 Ciudad Real;De Asia;2017;4
13 Ciudad Real;De Asia;2016;15
13 Ciudad Real;De Asia;2015;4
13 Ciudad Real;De Asia;2014;0
13 Ciudad Real;De Asia;2013;4
13 Ciudad Real;De Oceanía;2019;2
13 Ciudad Real;De Oceanía;2018;0
13 Ciudad Real;De Oceanía;2017;0
13 Ciudad Real;De Oceanía;2016;0
13 Ciudad Real;De Oceanía;2015;0
13 Ciudad Real;De Oceanía;2014;0
13 Ciudad Real;De Oceanía;2013;0
14 Córdoba;Total;2019;5.734
14 Córdoba;Total;2018;5.750
14 Córdoba;Total;2017;5.377
14 Córdoba;Total;2016;5.119
14 Córdoba;Total;2015;3.730
14 Córdoba;Total;2014;3.596
14 Córdoba;Total;2013;3.969
14 Córdoba;Española;2019;5.269
14 Córdoba;Española;2018;5.247
14 Córdoba;Española;2017;5.027
14 Córdoba;Española;2016;4.646
14 Córdoba;Española;2015;3.436
14 Córdoba;Española;2014;3.277
14 Córdoba;Española;2013;3.615
14 Córdoba;País de la UE28 sin España;2019;168
14 Córdoba;País de la UE28 sin España;2018;217
14 Córdoba;País de la UE28 sin España;2017;162
14 Córdoba;País de la UE28 sin España;2016;263
14 Córdoba;País de la UE28 sin España;2015;115
14 Córdoba;País de la UE28 sin España;2014;158
14 Córdoba;País de la UE28 sin España;2013;165
14 Córdoba;País de Europa menos UE;2019;26
14 Córdoba;País de Europa menos UE;2018;22
14 Córdoba;País de Europa menos UE;2017;16
14 Córdoba;País de Europa menos UE;2016;29
14 Córdoba;País de Europa menos UE;2015;15
14 Córdoba;País de Europa menos UE;2014;18
14 Córdoba;País de Europa menos UE;2013;8
14 Córdoba;De Africa;2019;133
14 Córdoba;De Africa;2018;103
14 Córdoba;De Africa;2017;94
14 Córdoba;De Africa;2016;98
14 Córdoba;De Africa;2015;72
14 Córdoba;De Africa;2014;57
14 Córdoba;De Africa;2013;77
14 Córdoba;De América;2019;135
14 Córdoba;De América;2018;151
14 Córdoba;De América;2017;70
14 Córdoba;De América;2016;74
14 Córdoba;De América;2015;81
14 Córdoba;De América;2014;76
14 Córdoba;De América;2013;96
14 Córdoba;De Asia;2019;3
14 Córdoba;De Asia;2018;10
14 Córdoba;De Asia;2017;8
14 Córdoba;De Asia;2016;9
14 Córdoba;De Asia;2015;11
14 Córdoba;De Asia;2014;10
14 Córdoba;De Asia;2013;5
14 Córdoba;De Oceanía;2019;0
14 Córdoba;De Oceanía;2018;0
14 Córdoba;De Oceanía;2017;0
14 Córdoba;De Oceanía;2016;0
14 Córdoba;De Oceanía;2015;0
14 Córdoba;De Oceanía;2014;0
14 Córdoba;De Oceanía;2013;3
15 Coruña, A;Total;2019;8.385
15 Coruña, A;Total;2018;7.299
15 Coruña, A;Total;2017;8.933
15 Coruña, A;Total;2016;8.226
15 Coruña, A;Total;2015;6.780
15 Coruña, A;Total;2014;6.262
15 Coruña, A;Total;2013;6.174
15 Coruña, A;Española;2019;7.705
15 Coruña, A;Española;2018;6.739
15 Coruña, A;Española;2017;8.117
15 Coruña, A;Española;2016;7.524
15 Coruña, A;Española;2015;6.257
15 Coruña, A;Española;2014;5.801
15 Coruña, A;Española;2013;5.708
15 Coruña, A;País de la UE28 sin España;2019;195
15 Coruña, A;País de la UE28 sin España;2018;155
15 Coruña, A;País de la UE28 sin España;2017;243
15 Coruña, A;País de la UE28 sin España;2016;201
15 Coruña, A;País de la UE28 sin España;2015;169
15 Coruña, A;País de la UE28 sin España;2014;152
15 Coruña, A;País de la UE28 sin España;2013;143
15 Coruña, A;País de Europa menos UE;2019;40
15 Coruña, A;País de Europa menos UE;2018;15
15 Coruña, A;País de Europa menos UE;2017;50
15 Coruña, A;País de Europa menos UE;2016;46
15 Coruña, A;País de Europa menos UE;2015;32
15 Coruña, A;País de Europa menos UE;2014;12
15 Coruña, A;País de Europa menos UE;2013;21
15 Coruña, A;De Africa;2019;99
15 Coruña, A;De Africa;2018;132
15 Coruña, A;De Africa;2017;177
15 Coruña, A;De Africa;2016;123
15 Coruña, A;De Africa;2015;99
15 Coruña, A;De Africa;2014;81
15 Coruña, A;De Africa;2013;73
15 Coruña, A;De América;2019;322
15 Coruña, A;De América;2018;241
15 Coruña, A;De América;2017;326
15 Coruña, A;De América;2016;320
15 Coruña, A;De América;2015;218
15 Coruña, A;De América;2014;211
15 Coruña, A;De América;2013;225
15 Coruña, A;De Asia;2019;24
15 Coruña, A;De Asia;2018;17
15 Coruña, A;De Asia;2017;20
15 Coruña, A;De Asia;2016;12
15 Coruña, A;De Asia;2015;5
15 Coruña, A;De Asia;2014;5
15 Coruña, A;De Asia;2013;3
15 Coruña, A;De Oceanía;2019;0
15 Coruña, A;De Oceanía;2018;0
15 Coruña, A;De Oceanía;2017;0
15 Coruña, A;De Oceanía;2016;0
15 Coruña, A;De Oceanía;2015;0
15 Coruña, A;De Oceanía;2014;0
15 Coruña, A;De Oceanía;2013;1
16 Cuenca;Total;2019;953
16 Cuenca;Total;2018;972
16 Cuenca;Total;2017;1.121
16 Cuenca;Total;2016;960
16 Cuenca;Total;2015;830
16 Cuenca;Total;2014;821
16 Cuenca;Total;2013;805
16 Cuenca;Española;2019;750
16 Cuenca;Española;2018;790
16 Cuenca;Española;2017;882
16 Cuenca;Española;2016;741
16 Cuenca;Española;2015;602
16 Cuenca;Española;2014;601
16 Cuenca;Española;2013;548
16 Cuenca;País de la UE28 sin España;2019;102
16 Cuenca;País de la UE28 sin España;2018;92
16 Cuenca;País de la UE28 sin España;2017;157
16 Cuenca;País de la UE28 sin España;2016;138
16 Cuenca;País de la UE28 sin España;2015;150
16 Cuenca;País de la UE28 sin España;2014;133
16 Cuenca;País de la UE28 sin España;2013;166
16 Cuenca;País de Europa menos UE;2019;5
16 Cuenca;País de Europa menos UE;2018;11
16 Cuenca;País de Europa menos UE;2017;3
16 Cuenca;País de Europa menos UE;2016;11
16 Cuenca;País de Europa menos UE;2015;8
16 Cuenca;País de Europa menos UE;2014;15
16 Cuenca;País de Europa menos UE;2013;6
16 Cuenca;De Africa;2019;47
16 Cuenca;De Africa;2018;32
16 Cuenca;De Africa;2017;30
16 Cuenca;De Africa;2016;25
16 Cuenca;De Africa;2015;20
16 Cuenca;De Africa;2014;20
16 Cuenca;De Africa;2013;31
16 Cuenca;De América;2019;45
16 Cuenca;De América;2018;47
16 Cuenca;De América;2017;43
16 Cuenca;De América;2016;45
16 Cuenca;De América;2015;48
16 Cuenca;De América;2014;50
16 Cuenca;De América;2013;49
16 Cuenca;De Asia;2019;4
16 Cuenca;De Asia;2018;0
16 Cuenca;De Asia;2017;6
16 Cuenca;De Asia;2016;0
16 Cuenca;De Asia;2015;2
16 Cuenca;De Asia;2014;2
16 Cuenca;De Asia;2013;5
16 Cuenca;De Oceanía;2019;0
16 Cuenca;De Oceanía;2018;0
16 Cuenca;De Oceanía;2017;0
16 Cuenca;De Oceanía;2016;0
16 Cuenca;De Oceanía;2015;0
16 Cuenca;De Oceanía;2014;0
16 Cuenca;De Oceanía;2013;0
20 Gipuzkoa;Total;2019;5.749
20 Gipuzkoa;Total;2018;5.283
20 Gipuzkoa;Total;2017;4.971
20 Gipuzkoa;Total;2016;4.447
20 Gipuzkoa;Total;2015;3.190
20 Gipuzkoa;Total;2014;3.488
20 Gipuzkoa;Total;2013;3.644
20 Gipuzkoa;Española;2019;3.874
20 Gipuzkoa;Española;2018;3.669
20 Gipuzkoa;Española;2017;3.483
20 Gipuzkoa;Española;2016;3.145
20 Gipuzkoa;Española;2015;2.245
20 Gipuzkoa;Española;2014;2.412
20 Gipuzkoa;Española;2013;2.485
20 Gipuzkoa;País de la UE28 sin España;2019;561
20 Gipuzkoa;País de la UE28 sin España;2018;532
20 Gipuzkoa;País de la UE28 sin España;2017;422
20 Gipuzkoa;País de la UE28 sin España;2016;471
20 Gipuzkoa;País de la UE28 sin España;2015;372
20 Gipuzkoa;País de la UE28 sin España;2014;426
20 Gipuzkoa;País de la UE28 sin España;2013;452
20 Gipuzkoa;País de Europa menos UE;2019;71
20 Gipuzkoa;País de Europa menos UE;2018;73
20 Gipuzkoa;País de Europa menos UE;2017;69
20 Gipuzkoa;País de Europa menos UE;2016;37
20 Gipuzkoa;País de Europa menos UE;2015;18
20 Gipuzkoa;País de Europa menos UE;2014;35
20 Gipuzkoa;País de Europa menos UE;2013;26
20 Gipuzkoa;De Africa;2019;723
20 Gipuzkoa;De Africa;2018;554
20 Gipuzkoa;De Africa;2017;550
20 Gipuzkoa;De Africa;2016;428
20 Gipuzkoa;De Africa;2015;270
20 Gipuzkoa;De Africa;2014;278
20 Gipuzkoa;De Africa;2013;333
20 Gipuzkoa;De América;2019;458
20 Gipuzkoa;De América;2018;408
20 Gipuzkoa;De América;2017;403
20 Gipuzkoa;De América;2016;318
20 Gipuzkoa;De América;2015;252
20 Gipuzkoa;De América;2014;308
20 Gipuzkoa;De América;2013;313
20 Gipuzkoa;De Asia;2019;61
20 Gipuzkoa;De Asia;2018;46
20 Gipuzkoa;De Asia;2017;43
20 Gipuzkoa;De Asia;2016;40
20 Gipuzkoa;De Asia;2015;31
20 Gipuzkoa;De Asia;2014;28
20 Gipuzkoa;De Asia;2013;21
20 Gipuzkoa;De Oceanía;2019;1
20 Gipuzkoa;De Oceanía;2018;1
20 Gipuzkoa;De Oceanía;2017;1
20 Gipuzkoa;De Oceanía;2016;8
20 Gipuzkoa;De Oceanía;2015;2
20 Gipuzkoa;De Oceanía;2014;1
20 Gipuzkoa;De Oceanía;2013;14
17 Girona;Total;2019;6.602
17 Girona;Total;2018;6.349
17 Girona;Total;2017;5.844
17 Girona;Total;2016;5.709
17 Girona;Total;2015;5.087
17 Girona;Total;2014;4.733
17 Girona;Total;2013;4.319
17 Girona;Española;2019;3.922
17 Girona;Española;2018;3.801
17 Girona;Española;2017;3.525
17 Girona;Española;2016;3.359
17 Girona;Española;2015;2.967
17 Girona;Española;2014;2.714
17 Girona;Española;2013;2.362
17 Girona;País de la UE28 sin España;2019;790
17 Girona;País de la UE28 sin España;2018;807
17 Girona;País de la UE28 sin España;2017;803
17 Girona;País de la UE28 sin España;2016;812
17 Girona;País de la UE28 sin España;2015;684
17 Girona;País de la UE28 sin España;2014;749
17 Girona;País de la UE28 sin España;2013;684
17 Girona;País de Europa menos UE;2019;177
17 Girona;País de Europa menos UE;2018;158
17 Girona;País de Europa menos UE;2017;143
17 Girona;País de Europa menos UE;2016;144
17 Girona;País de Europa menos UE;2015;122
17 Girona;País de Europa menos UE;2014;114
17 Girona;País de Europa menos UE;2013;92
17 Girona;De Africa;2019;1.109
17 Girona;De Africa;2018;1.026
17 Girona;De Africa;2017;919
17 Girona;De Africa;2016;850
17 Girona;De Africa;2015;774
17 Girona;De Africa;2014;672
17 Girona;De Africa;2013;677
17 Girona;De América;2019;528
17 Girona;De América;2018;491
17 Girona;De América;2017;398
17 Girona;De América;2016;480
17 Girona;De América;2015;482
17 Girona;De América;2014;435
17 Girona;De América;2013;431
17 Girona;De Asia;2019;73
17 Girona;De Asia;2018;66
17 Girona;De Asia;2017;54
17 Girona;De Asia;2016;62
17 Girona;De Asia;2015;58
17 Girona;De Asia;2014;49
17 Girona;De Asia;2013;54
17 Girona;De Oceanía;2019;3
17 Girona;De Oceanía;2018;0
17 Girona;De Oceanía;2017;2
17 Girona;De Oceanía;2016;2
17 Girona;De Oceanía;2015;0
17 Girona;De Oceanía;2014;0
17 Girona;De Oceanía;2013;19
18 Granada;Total;2019;8.229
18 Granada;Total;2018;8.364
18 Granada;Total;2017;7.941
18 Granada;Total;2016;7.710
18 Granada;Total;2015;5.931
18 Granada;Total;2014;5.594
18 Granada;Total;2013;5.236
18 Granada;Española;2019;7.087
18 Granada;Española;2018;7.269
18 Granada;Española;2017;6.960
18 Granada;Española;2016;6.747
18 Granada;Española;2015;5.161
18 Granada;Española;2014;4.857
18 Granada;Española;2013;4.498
18 Granada;País de la UE28 sin España;2019;390
18 Granada;País de la UE28 sin España;2018;369
18 Granada;País de la UE28 sin España;2017;348
18 Granada;País de la UE28 sin España;2016;336
18 Granada;País de la UE28 sin España;2015;281
18 Granada;País de la UE28 sin España;2014;271
18 Granada;País de la UE28 sin España;2013;261
18 Granada;País de Europa menos UE;2019;38
18 Granada;País de Europa menos UE;2018;49
18 Granada;País de Europa menos UE;2017;30
18 Granada;País de Europa menos UE;2016;31
18 Granada;País de Europa menos UE;2015;15
18 Granada;País de Europa menos UE;2014;18
18 Granada;País de Europa menos UE;2013;19
18 Granada;De Africa;2019;453
18 Granada;De Africa;2018;398
18 Granada;De Africa;2017;363
18 Granada;De Africa;2016;340
18 Granada;De Africa;2015;228
18 Granada;De Africa;2014;229
18 Granada;De Africa;2013;234
18 Granada;De América;2019;236
18 Granada;De América;2018;235
18 Granada;De América;2017;215
18 Granada;De América;2016;230
18 Granada;De América;2015;224
18 Granada;De América;2014;202
18 Granada;De América;2013;207
18 Granada;De Asia;2019;25
18 Granada;De Asia;2018;44
18 Granada;De Asia;2017;25
18 Granada;De Asia;2016;26
18 Granada;De Asia;2015;22
18 Granada;De Asia;2014;16
18 Granada;De Asia;2013;15
18 Granada;De Oceanía;2019;0
18 Granada;De Oceanía;2018;0
18 Granada;De Oceanía;2017;0
18 Granada;De Oceanía;2016;0
18 Granada;De Oceanía;2015;0
18 Granada;De Oceanía;2014;1
18 Granada;De Oceanía;2013;2
19 Guadalajara;Total;2019;1.906
19 Guadalajara;Total;2018;1.655
19 Guadalajara;Total;2017;1.403
19 Guadalajara;Total;2016;1.355
19 Guadalajara;Total;2015;1.314
19 Guadalajara;Total;2014;1.283
19 Guadalajara;Total;2013;1.357
19 Guadalajara;Española;2019;1.458
19 Guadalajara;Española;2018;1.206
19 Guadalajara;Española;2017;1.067
19 Guadalajara;Española;2016;1.038
19 Guadalajara;Española;2015;971
19 Guadalajara;Española;2014;953
19 Guadalajara;Española;2013;968
19 Guadalajara;País de la UE28 sin España;2019;186
19 Guadalajara;País de la UE28 sin España;2018;191
19 Guadalajara;País de la UE28 sin España;2017;145
19 Guadalajara;País de la UE28 sin España;2016;136
19 Guadalajara;País de la UE28 sin España;2015;143
19 Guadalajara;País de la UE28 sin España;2014;143
19 Guadalajara;País de la UE28 sin España;2013;190
19 Guadalajara;País de Europa menos UE;2019;9
19 Guadalajara;País de Europa menos UE;2018;12
19 Guadalajara;País de Europa menos UE;2017;10
19 Guadalajara;País de Europa menos UE;2016;9
19 Guadalajara;País de Europa menos UE;2015;7
19 Guadalajara;País de Europa menos UE;2014;13
19 Guadalajara;País de Europa menos UE;2013;5
19 Guadalajara;De Africa;2019;100
19 Guadalajara;De Africa;2018;123
19 Guadalajara;De Africa;2017;91
19 Guadalajara;De Africa;2016;48
19 Guadalajara;De Africa;2015;53
19 Guadalajara;De Africa;2014;61
19 Guadalajara;De Africa;2013;79
19 Guadalajara;De América;2019;143
19 Guadalajara;De América;2018;116
19 Guadalajara;De América;2017;88
19 Guadalajara;De América;2016;119
19 Guadalajara;De América;2015;120
19 Guadalajara;De América;2014;104
19 Guadalajara;De América;2013;107
19 Guadalajara;De Asia;2019;10
19 Guadalajara;De Asia;2018;7
19 Guadalajara;De Asia;2017;2
19 Guadalajara;De Asia;2016;5
19 Guadalajara;De Asia;2015;20
19 Guadalajara;De Asia;2014;9
19 Guadalajara;De Asia;2013;3
19 Guadalajara;De Oceanía;2019;0
19 Guadalajara;De Oceanía;2018;0
19 Guadalajara;De Oceanía;2017;0
19 Guadalajara;De Oceanía;2016;0
19 Guadalajara;De Oceanía;2015;0
19 Guadalajara;De Oceanía;2014;0
19 Guadalajara;De Oceanía;2013;5
21 Huelva;Total;2019;4.455
21 Huelva;Total;2018;5.171
21 Huelva;Total;2017;4.736
21 Huelva;Total;2016;4.255
21 Huelva;Total;2015;3.638
21 Huelva;Total;2014;3.564
21 Huelva;Total;2013;3.638
21 Huelva;Española;2019;3.730
21 Huelva;Española;2018;4.443
21 Huelva;Española;2017;4.071
21 Huelva;Española;2016;3.668
21 Huelva;Española;2015;3.140
21 Huelva;Española;2014;3.010
21 Huelva;Española;2013;3.024
21 Huelva;País de la UE28 sin España;2019;324
21 Huelva;País de la UE28 sin España;2018;360
21 Huelva;País de la UE28 sin España;2017;414
21 Huelva;País de la UE28 sin España;2016;360
21 Huelva;País de la UE28 sin España;2015;235
21 Huelva;País de la UE28 sin España;2014;301
21 Huelva;País de la UE28 sin España;2013;331
21 Huelva;País de Europa menos UE;2019;20
21 Huelva;País de Europa menos UE;2018;7
21 Huelva;País de Europa menos UE;2017;24
21 Huelva;País de Europa menos UE;2016;7
21 Huelva;País de Europa menos UE;2015;18
21 Huelva;País de Europa menos UE;2014;7
21 Huelva;País de Europa menos UE;2013;25
21 Huelva;De Africa;2019;280
21 Huelva;De Africa;2018;285
21 Huelva;De Africa;2017;168
21 Huelva;De Africa;2016;167
21 Huelva;De Africa;2015;163
21 Huelva;De Africa;2014;160
21 Huelva;De Africa;2013;179
21 Huelva;De América;2019;93
21 Huelva;De América;2018;68
21 Huelva;De América;2017;54
21 Huelva;De América;2016;48
21 Huelva;De América;2015;71
21 Huelva;De América;2014;81
21 Huelva;De América;2013;65
21 Huelva;De Asia;2019;8
21 Huelva;De Asia;2018;8
21 Huelva;De Asia;2017;5
21 Huelva;De Asia;2016;5
21 Huelva;De Asia;2015;11
21 Huelva;De Asia;2014;5
21 Huelva;De Asia;2013;13
21 Huelva;De Oceanía;2019;0
21 Huelva;De Oceanía;2018;0
21 Huelva;De Oceanía;2017;0
21 Huelva;De Oceanía;2016;0
21 Huelva;De Oceanía;2015;0
21 Huelva;De Oceanía;2014;0
